chr	start	end	strand	target_id	gene_name	pval	qval	num_aggregated_transcripts	sum_mean_obs_counts
chr2	172084740	172089677	+	ENSG00000144355.15	DLX1	0.00405421054250494	0.590235065450334	6	17.8313910764123
chr14	94612384	94624055	+	ENSG00000196136.18	SERPINA3	0.00408450595892178	0.590235065450334	8	35.8535417521184
chr2	130690133	130718831	+	ENSG00000240253.6	FAR2P3	0.00410682333476135	0.590235065450334	5	23.3037830977561
chr14	91779746	91867536	-	ENSG00000165929.13	TC2N	0.00426010574028814	0.607795816055999	7	41.5204762050255
chr1	1598012	1600135	-	ENSG00000228594.4	FNDC10	0.00431816517849933	0.611614902745999	1	4.21043633414939
chr7	103099776	103149560	-	ENSG00000161048.11	NAPEPLD	0.00440392999115244	0.619274932424933	9	40.7855407712939
chr1	151364304	151372707	-	ENSG00000143416.21	SELENBP1	0.00455033832158263	0.635292234526101	14	40.6875943359168
chr19	11377207	11384342	-	ENSG00000187266.14	EPOR	0.00469371589111482	0.6491341378272	6	16.7236282272004
chr3	156540140	156555184	-	ENSG00000114850.6	SSR3	0.00471590338542221	0.6491341378272	9	47.7093763128802
chr19	1039997	1065572	+	ENSG00000064687.13	ABCA7	0.00475309166803786	0.649677830373902	4	7.96827279105166
chr8	38263130	38269243	-	ENSG00000147535.17	PLPP5	0.00479062471802032	0.650260769016841	13	63.9789207220679
chr1	111185969	111204535	-	ENSG00000162777.17	DENND2D	0.00490455911954833	0.657172089347616	8	33.8740734567419
chr9	95442980	95517057	-	ENSG00000185920.16	PTCH1	0.00490878568734022	0.657172089347616	15	64.6038576134669
chr13	46125920	46211871	-	ENSG00000136167.14	LCP1	0.00496638971703352	0.657353399324968	6	40.2785046525016
chr19	50906352	50910738	-	ENSG00000167749.11	KLK4	0.00499830630986737	0.657353399324968	8	48.5075850671935
chr5	172834251	172952683	+	ENSG00000113719.16	ERGIC1	0.00502409368414093	0.657353399324968	14	74.4929970138676
chr16	32741314	32776196	+	ENSG00000260644.6	HERC2P5	0.00504466437627879	0.657353399324968	2	10.2965845444219
chr15	45511136	45586290	+	ENSG00000179362.14	HMGN2P46	0.00512028341604048	0.657832054165027	7	42.5254447807389
chr12	56341597	56360167	-	ENSG00000170581.14	STAT2	0.00513765056188254	0.657832054165027	21	85.8807388731156
chr7	64100305	64150721	+	ENSG00000224458.3	GUSBP6	0.00516781709059469	0.657832054165027	1	3.89407367251589
chr2	203672175	203672423	-	ENSG00000233031.1	AC125238.1	0.00518296000928139	0.657832054165027	1	2.08603699658002
chr16	90093154	90096354	+	ENSG00000261812.6	TUBB8P7	0.00539399867354053	0.67760026951363	1	1.70317020940328
chr8	98117293	98159835	+	ENSG00000104356.11	POP1	0.00540804471728877	0.67760026951363	3	13.8100613984493
chr4	56435741	56464579	+	ENSG00000128050.8	PAICS	0.00546605217689975	0.680506088214538	6	33.1162894191049
chr6	5997999	6007605	-	ENSG00000124785.9	NRN1	0.00553401617531236	0.684606836472503	3	12.8650734994791
chr5	157029413	157059119	-	ENSG00000113249.13	HAVCR1	0.00566753875585804	0.695274173662187	2	2.03576420752807
chr5	177446445	177456286	+	ENSG00000131188.12	PRR7	0.00569138789450271	0.695274173662187	4	6.75566451689674
chr22	22711689	22713203	+	ENSG00000211662.2	IGLV3-21	0.00577567389305408	0.697822259179788	1	4.84604097989967
chr3	184249650	184259585	+	ENSG00000284753.1	EEF1AKMT4	0.0057836491347143	0.697822259179788	1	5.0208631842571
chr2	108322238	108353799	+	ENSG00000237223.6	SULT1C2P1	0.00591589918987773	0.70939978874448	1	4.91002180756744
chr12	6618835	6635960	-	ENSG00000184574.10	LPAR5	0.0061638503337851	0.73028940222343	2	5.50431603093791
chr9	137168758	137170051	-	ENSG00000184709.7	LRRC26	0.00618621597766155	0.73028940222343	1	6.99663173722697
chr3	195658096	195685904	+	ENSG00000215837.7	SDHAP2	0.00622467580629481	0.73028940222343	1	5.17901958942454
chr16	69343250	69351786	-	ENSG00000157315.5	TMED6	0.0062395543932934	0.73028940222343	2	6.16228609502847
chr8	26291508	26372680	+	ENSG00000221914.11	PPP2R2A	0.00631069314200962	0.73237548020674	18	81.2932011189073
chr1	46175073	46185962	+	ENSG00000117472.10	TSPAN1	0.00633231638979531	0.73237548020674	8	41.1032813195002
chr19	15760241	15779909	-	ENSG00000267594.5	CYP4F24P	0.00640542999713553	0.733477515041041	1	2.00689418886784
chr5	141853111	141879246	-	ENSG00000156453.13	PCDH1	0.00641689629960186	0.733477515041041	7	37.6761143659681
chr16	29871159	29899547	-	ENSG00000174938.14	SEZ6L2	0.00650351344008464	0.738732277631168	7	31.9858005312806
chr15	28884483	29118315	+	ENSG00000034053.14	APBA2	0.00654167880895238	0.738732277631168	5	11.8073367065446
chr1	1434861	1442882	+	ENSG00000179403.12	VWA1	0.0065912530044428	0.738732277631168	4	24.8996784808302
chr20	46008908	46016561	+	ENSG00000100985.7	MMP9	0.00661523575909949	0.738732277631168	1	5.26708072436702
chr2	219538948	219543809	-	ENSG00000123989.14	CHPF	0.00665184082999517	0.738732277631168	3	19.5577548721338
chr18	34976928	35143470	+	ENSG00000166974.13	MAPRE2	0.00669569294506635	0.73940121075857	9	33.1516063211954
chr17	81932384	81942412	-	ENSG00000183010.17	PYCR1	0.00674075012523517	0.740194954763183	10	33.7763191648943
chr1	223992743	224010612	+	ENSG00000185495.10	AC138393.1	0.00683690659116937	0.74623773252048	6	29.9347600109332
chr8	118923557	118951885	-	ENSG00000164761.9	TNFRSF11B	0.00687213710496707	0.74623773252048	3	8.52073090422817
chr6	26871484	26956554	-	ENSG00000241549.8	GUSBP2	0.0070216838601642	0.758264269230771	3	18.5717293923074
chr21	5972924	5973383	-	ENSG00000274559.3	CU639417.1	0.00718110017069504	0.766288795855724	1	5.47484222675529
chr13	36222008	36297840	-	ENSG00000242715.8	CCDC169	0.00718539418458788	0.766288795855724	9	26.366649583352
chrX	11117651	11665920	-	ENSG00000047648.23	ARHGAP6	0.0072136057729179	0.766288795855724	7	41.2928582532123
chr2	130611481	130658091	+	ENSG00000222038.3	POTEJ	0.00728865787984378	0.770076253618521	1	7.26715993376062
chr1	164555584	164899296	+	ENSG00000185630.18	PBX1	0.00734012513746924	0.771150197226663	18	83.9494288962178
chr8	26504701	26514092	-	ENSG00000240694.9	PNMA2	0.00744282103968059	0.771150197226663	2	7.5831154207412
chr19	52594060	52690496	-	ENSG00000167766.18	ZNF83	0.00744862452167382	0.771150197226663	15	65.2587485044137
chr19	45406209	45410766	+	ENSG00000117877.10	CD3EAP	0.00749526826526576	0.771150197226663	2	8.76010121945725
chr1	145992435	145996579	-	ENSG00000265972.6	TXNIP	0.00757529334147997	0.771150197226663	3	18.0606945084477
chr3	170864875	170870208	-	ENSG00000163584.18	RPL22L1	0.00759169853656773	0.771150197226663	5	25.3005313688988
chr9	136796338	136807741	+	ENSG00000213213.14	CCDC183	0.00759469549490817	0.771150197226663	6	24.7607963258159
chr22	22195799	22196276	+	ENSG00000211640.4	IGLV6-57	0.00765255408376661	0.771150197226663	1	3.3015008982652
chr10	86958599	86963258	+	ENSG00000173267.14	SNCG	0.0076539004533906	0.771150197226663	3	7.65472372018873
chr1	84549611	84574480	-	ENSG00000117151.13	CTBS	0.00781157815263258	0.774553095590144	3	21.0144070437395
chr15	32593456	32607310	+	ENSG00000232653.8	GOLGA8N	0.00781953830797771	0.774553095590144	4	19.7296421066973
chr16	33094204	33129090	-	ENSG00000261599.6	HERC2P8	0.00782660977808062	0.774553095590144	3	11.2912668381322
chr7	84995553	85186855	-	ENSG00000153993.13	SEMA3D	0.00784618402367996	0.774553095590144	4	16.8182445370454
chr7	98211427	98212979	+	ENSG00000180535.3	BHLHA15	0.00789544976755831	0.775499804807511	1	6.06143455536708
chr1	39678648	39691485	-	ENSG00000116983.13	HPCAL4	0.00801697494710006	0.783498961580088	1	1.49153278487415
chr1	78649796	78664078	+	ENSG00000137965.11	IFI44	0.00809335029052457	0.7870279839731	9	31.8847501152853
chr1	109668022	109709551	+	ENSG00000213366.13	GSTM2	0.00817460738734993	0.788392360268141	9	38.6927887826468
chr7	45912245	45921874	-	ENSG00000146674.15	IGFBP3	0.00821270471507522	0.788392360268141	7	23.1907538778843
chr21	39556442	39673137	+	ENSG00000183778.17	B3GALT5	0.00822838644708384	0.788392360268141	1	5.11172541058679
chr1	203212827	203273641	-	ENSG00000133063.16	CHIT1	0.00841712076620884	0.800748657861444	5	11.597575127012
chr6	26277609	26285638	-	ENSG00000158406.4	H4C8	0.00849793501647376	0.800748657861444	4	22.9006597122202
chr16	69118010	69132578	-	ENSG00000168802.13	CHTF8	0.00850847877165218	0.800748657861444	8	29.2719285715708
chr2	207762598	207769906	-	ENSG00000163251.4	FZD5	0.00852121768316691	0.800748657861444	1	8.65458292313667
chr19	5674947	5691875	+	ENSG00000130255.13	RPL36	0.00856549590893056	0.801058292038071	7	38.5101087066309
chr11	66362521	66372214	-	ENSG00000174669.12	SLC29A2	0.00862057754417241	0.802370517516162	6	18.5834322432848
chr11	63681446	63759891	+	ENSG00000133318.14	RTN3	0.00869925212731581	0.803229702003226	10	34.1084585773332
chr9	33441156	33447596	-	ENSG00000165272.16	AQP3	0.00872975765671806	0.803229702003226	4	17.0786757303348
chr2	95165432	95184317	+	ENSG00000275111.5	ZNF2	0.00875309150346297	0.803229702003226	4	15.3568135839962
chrY	11153858	11215026	-	ENSG00000278212.2	AC134878.2	0.00893495645159175	0.816087190667347	3	10.5935316012478
chr1	176857302	177164973	-	ENSG00000152092.16	ASTN1	0.00898664945349048	0.816990931246162	2	5.55585653663805
chr1	230747384	230802003	+	ENSG00000135773.13	CAPN9	0.00914909663834017	0.827908531912023	3	8.13156396566272
chr6	26107419	26108136	-	ENSG00000187475.5	H1-6	0.0092063681647907	0.828746370840807	1	3.09447667148691
chr13	31134973	31162388	-	ENSG00000120694.20	HSPH1	0.00924315506207387	0.828746370840807	8	42.6897638604822
chr7	94524204	94656572	-	ENSG00000127990.19	SGCE	0.0093381449526021	0.832006323934995	21	62.4388342081754
chr8	143915147	143976734	-	ENSG00000178209.15	PLEC	0.00937818690439273	0.832006323934995	14	82.3400527468709
chr5	1598920	1634005	-	ENSG00000188002.10	AC026412.1	0.00940721362885674	0.832006323934995	5	22.153434922652
chr14	106276548	106277043	-	ENSG00000211950.2	IGHV1-24	0.00945683845500595	0.832627767754713	1	2.32596360755436
chr3	129440036	129520507	+	ENSG00000163913.11	IFT122	0.00967733720193521	0.841344286030535	22	67.7708832587677
chr1	184387029	184629019	+	ENSG00000116667.14	C1orf21	0.00975224311267938	0.841344286030535	5	30.7502124665723
chr20	56629306	56639283	+	ENSG00000087510.7	TFAP2C	0.00975253991904694	0.841344286030535	1	7.06417150550317
chr10	43194535	43266919	-	ENSG00000198915.11	RASGEF1A	0.00975683793306907	0.841344286030535	4	11.3896021150488
chr8	66429014	66430733	+	ENSG00000179041.4	RRS1	0.00980294405133879	0.841344286030535	1	6.22910785985695
chr10	22928024	23038523	+	ENSG00000165309.14	ARMC3	0.00981410504527586	0.841344286030535	2	6.52411677516139
chrX	119615724	119693370	-	ENSG00000125354.23	SEPTIN6	0.0099171030322684	0.842903597144388	9	36.9257713918134
chr10	16513734	16521879	-	ENSG00000165985.10	C1QL3	0.00992549794384365	0.842903597144388	1	3.36626835305772
chr7	30771417	30892387	+	ENSG00000106125.14	MINDY4	0.00996971909861365	0.842903597144388	3	15.3739649133054
chr8	26748150	26867278	-	ENSG00000120907.18	ADRA1A	0.0100768252437797	0.842903597144388	7	27.7297719190405
chr8	38728186	38853028	+	ENSG00000147526.20	TACC1	0.0100770785762414	0.842903597144388	24	103.570646044012
chr4	139015781	139045939	+	ENSG00000151014.6	NOCT	0.0100910386642682	0.842903597144388	3	11.2041474508241
chr11	111927144	112022653	+	ENSG00000150764.14	DIXDC1	0.0102608178668378	0.848348063928203	7	30.7064485168391
chr20	19757606	20002459	+	ENSG00000132669.13	RIN2	0.010280694056598	0.848348063928203	12	54.7258170542188
chr18	32124877	32470882	-	ENSG00000141441.16	GAREM1	0.0102864264376846	0.848348063928203	3	15.3849188077906
