#	Symbol	Description	Category	Score	PubmedIds
44	CDKN2B-AS1	CDKN2B Antisense RNA 1	RNA Gene	175.05	20541999 20729297 22664915 (more) 
45	PCAT18	Prostate Cancer Associated Transcript 18	RNA Gene	175	24519926
46	CBR3-AS1	CBR3 Antisense RNA 1	RNA Gene	174	22264502 26808578 26965999 (more) 
47	CTBP1-AS	CTBP1 Antisense RNA	RNA Gene	173.47	23644382
48	PCAT14	Prostate Cancer Associated Transcript 14	RNA Gene	171.57	27460352 27566105
49	PCAT5	Prostate Cancer Associated Transcript 5	RNA Gene	170.92	26282172
50	SPRY4-IT1	SPRY4 Intronic Transcript 1	RNA Gene	170.22	25307116 26503110
51	PCOTH	Pro-X-Gly Collagen Triple Helix Like Repeat Containing	Protein Coding	168.72	15930275 27507663
52	HOTAIR	HOX Transcript Antisense RNA	RNA Gene	168.12	20864820 23936419 25895025 (more) 
53	PCAT2	Prostate Cancer Associated Transcript 2	RNA Gene	167.69	26823525
54	POU5F1B	POU Class 5 Homeobox 1B	Protein Coding	166.46	20017164
55	PVT1	Pvt1 Oncogene	RNA Gene	166.46	21814516 23728290 27507663 (more) 
56	PCSEAT	Prostate Cancer Expressed EZH2 Associated Transcript	RNA Gene	165.79	26797523
57	PCAT6	Prostate Cancer Associated Transcript 6	RNA Gene	163.56	23728290
58	TERC	Telomerase RNA Component	RNA Gene	163.44	27507663 12746472 10547577 (more) 
59	CCAT2	Colon Cancer Associated Transcript 2	RNA Gene	161.91	27558961
60	MALAT1	Metastasis Associated Lung Adenocarcinoma Transcript 1	RNA Gene	161.25	21489289 22349460 23726266 (more) 
61	GAS5	Growth Arrest Specific 5	RNA Gene	160.73	18836484 22664915 23676682 (more) 
62	NEAT1	Nuclear Paraspeckle Assembly Transcript 1	RNA Gene	160.15	23728290 25415230
63	XIST	X Inactive Specific Transcript	RNA Gene	159.84	16261845 27507663 29212233
64	UCA1	Urothelial Cancer Associated 1	RNA Gene	159.83	23728290 26550172 27686228 (more) 
65	TP53COR1	Tumor Protein P53 Pathway Corepressor 1	RNA Gene	159.78	25999983 27976428 28994148
66	TUG1	Taurine Up-Regulated 1	RNA Gene	159.58	26975529
67	HOTTIP	HOXA Distal Transcript Antisense RNA	RNA Gene	159.42	23728290 27064878
68	FENDRR	FOXF1 Adjacent Non-Coding Developmental Regulatory RNA	RNA Gene	158.85	29465000
69	SNHG1	Small Nucleolar RNA Host Gene 1	RNA Gene	158.8	28400279
70	LINC00963	Long Intergenic Non-Protein Coding RNA 963	RNA Gene	158.66	24691949
71	SOCS2-AS1	SOCS2 Antisense RNA 1	RNA Gene	158.47	27342777
72	RNY1	RNA, Ro60-Associated Y1	RNA Gene	157.48	18283318
73	DANCR	Differentiation Antagonizing Non-Protein Coding RNA	RNA Gene	155.69	23728290 27191265
74	MIAT	Myocardial Infarction Associated Transcript	RNA Gene	155.17	27096814
75	KCNQ1OT1	KCNQ1 Opposite Strand/Antisense Transcript 1	RNA Gene	155.16	23728290
76	HCG11	HLA Complex Group 11	RNA Gene	155.15	27522256
77	TRPM2-AS	TRPM2 Antisense RNA	RNA Gene	155.12	24931166 26484139 26503110
78	SNHG5	Small Nucleolar RNA Host Gene 5	RNA Gene	155.02	28033303
79	ZFAS1	ZNFX1 Antisense RNA 1	RNA Gene	154.94	29416676
80	IGF2-AS	IGF2 Antisense RNA	RNA Gene	154.78	27507663
81	LINC01138	Long Intergenic Non-Protein Coding RNA 1138	RNA Gene	154.74	27556357
82	CASC2	Cancer Susceptibility 2	RNA Gene	154.73	29373811
83	SRA1	Steroid Receptor RNA Activator 1	Protein Coding	154.5	16607388 17710122 20219889
84	MEG3	Maternally Expressed 3	RNA Gene	154.18	14602737 23728290 26610246 (more) 
85	THBS4	Thrombospondin 4	Protein Coding	154.12	27357608
86	FALEC	Focally Amplified Long Non-Coding RNA In Epithelial Cancer	RNA Gene	153.96	28585762
87	RNY3	RNA, Ro60-Associated Y3	RNA Gene	153.7	18283318
88	H19	H19 Imprinted Maternally Expressed Transcript	RNA Gene	153.64	24063685 24988946
89	SMKR1	Small Lysine Rich Protein 1	Protein Coding	153.54	25513185
90	ENSG00000277524		RNA Gene	153.48	29723810
91	EGOT	Eosinophil Granule Ontogeny Transcript	RNA Gene	153.38	23728290
92	PRINS	Psoriasis Associated Non-Protein Coding RNA Induced By Stress	RNA Gene	153.3	23728290
93	DRAIC	Downregulated RNA In Cancer, Inhibitor Of Cell Invasion And Migration	RNA Gene	150	25700553
94	DUXAP9	Double Homeobox A Pseudogene 9	Pseudogene	150	28392705
95	ENSG00000261777		Uncategorized	150	25385343
96	HULC	Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA	RNA Gene	150	23728290
97	LINC01564	Long Intergenic Non-Protein Coding RNA 1564	RNA Gene	150	25513185
98	LRRC74B	Leucine Rich Repeat Containing 74B	Protein Coding	150	26797783
99	POTEF-AS1	POTEF Antisense RNA 1	RNA Gene	150	28032932
100	PTENP1	Phosphatase And Tensin Homolog Pseudogene 1	Pseudogene	150	20577206
101	SUZ12P1	SUZ12 Pseudogene 1	Pseudogene	150	27556357
102	WARS2-IT1	WARS2 Intronic Transcript 1	RNA Gene	150	26612002
103	XLOC_007697	Uncharacterized LOC105500239	RNA Gene	150	25513185
104	XLOC_008559	Uncharacterized LOC105378427	RNA Gene	150	25513185
105	XLOC_009911	Uncharacterized LOC105500240	RNA Gene	150	25513185
106	RNASEL	Ribonuclease L	Protein Coding	119.31	16609730 25394175 12415269 (more) 
107	ELAC2	ElaC Ribonuclease Z 2	Protein Coding	91.53	18375959 20086112 12384782 (more) 
108	MSMB	Microseminoprotein Beta	Protein Coding	86.42	7688168 10477906 9136076 (more) 
109	SRD5A2	Steroid 5 Alpha-Reductase 2	Protein Coding	83.24	12949937 11588134 12746845 (more) 
110	MIR141	MicroRNA 141	RNA Gene	74.43	20473869
111	MIR199A1	MicroRNA 199a-1	RNA Gene	74.38	16461460
112	MIR143	MicroRNA 143	RNA Gene	73.07	17616669
113	FOLH1	Folate Hydrolase 1	Protein Coding	72.5	10640975 9111600 15733392 (more) 
114	MIR182	MicroRNA 182	RNA Gene	72.29	19676045
115	MIR126	MicroRNA 126	RNA Gene	72.1	18459106
116	MIR183	MicroRNA 183	RNA Gene	71.25	19676045
117	MIR29A	MicroRNA 29a	RNA Gene	71.04	17616669
118	MIR96	MicroRNA 96	RNA Gene	70.99	19676045
119	MIR195	MicroRNA 195	RNA Gene	70.91	18459106
120	MIR224	MicroRNA 224	RNA Gene	70.66	18459106
121	KLK3	Kallikrein Related Peptidase 3	Protein Coding	70.11	8874692 10524873 17450256 (more) 
122	MIR25	MicroRNA 25	RNA Gene	68.72	16461460
123	MIR30A	MicroRNA 30a	RNA Gene	68.49	17616669
124	MIR375	MicroRNA 375	RNA Gene	68.41	19676045
125	TMPRSS2	Transmembrane Serine Protease 2	Protein Coding	68.34	19465903 19642730 17334343 (more) 
126	MSR1	Macrophage Scavenger Receptor 1	Protein Coding	67.36	16114055 20086112 15042613 (more) 
127	MIR210	MicroRNA 210	RNA Gene	67.18	17616669
128	MIR100	MicroRNA 100	RNA Gene	67.18	16192569
129	MIR31	MicroRNA 31	RNA Gene	65.92	19676045
130	MIR125A	MicroRNA 125a	RNA Gene	65.92	17616669
131	ACP3	Acid Phosphatase 3	Protein Coding	65.88	7840515 7602779 8564745 (more) 
132	HPC3	Prostate Cancer, Hereditary, 3	Genetic Locus	65.5	
133	HPC14	Prostate Cancer, Hereditary, 14	Genetic Locus	65.46	
134	HPC10	Prostate Cancer, Hereditary, 10	Genetic Locus	65.41	
135	PCAP	Predisposing For Prostate Cancer	Genetic Locus	65.41	
136	HPC4	Prostate Cancer, Hereditary, 4	Genetic Locus	65.35	
137	HPC5	Prostate Cancer, Hereditary, 5	Genetic Locus	65.35	
138	MIR99A	MicroRNA 99a	RNA Gene	65.14	17616669
139	MIR22	MicroRNA 22	RNA Gene	65.05	17616669
140	MIR149	MicroRNA 149	RNA Gene	65.01	19676045
141	MIR27A	MicroRNA 27a	RNA Gene	64.67	17616669
142	MIR106A	MicroRNA 106a	RNA Gene	64.5	16461460
143	MIR181A1	MicroRNA 181a-1	RNA Gene	64.43	18459106
144	MIR148A	MicroRNA 148a	RNA Gene	64.42	17616669
145	MIR223	MicroRNA 223	RNA Gene	64.17	16461460
146	MIR10B	MicroRNA 10b	RNA Gene	64.09	18459106
147	MIR151A	MicroRNA 151a	RNA Gene	64.02	18459106
148	MIR181B1	MicroRNA 181b-1	RNA Gene	63.88	16461460
149	MIR214	MicroRNA 214	RNA Gene	63.69	16461460
150	MIR23A	MicroRNA 23a	RNA Gene	63.62	17616669
151	MIR296	MicroRNA 296	RNA Gene	63.35	17616669
152	MIR191	MicroRNA 191	RNA Gene	63.22	16461460
153	MIR30B	MicroRNA 30b	RNA Gene	62.9	17616669
154	MIR491	MicroRNA 491	RNA Gene	62.15	17616669
155	MIR99B	MicroRNA 99b	RNA Gene	62.14	18459106
156	BRCA1	BRCA1 DNA Repair Associated	Protein Coding	61.97	19223505 17585057 20043088 (more) 
157	MIR27B	MicroRNA 27b	RNA Gene	61.73	17616669
158	MIRLET7B	MicroRNA Let-7b	RNA Gene	61.18	17616669
159	MIR32	MicroRNA 32	RNA Gene	60.47	16461460
160	MIR26B	MicroRNA 26b	RNA Gene	60.11	17616669
161	MIRLET7D	MicroRNA Let-7d	RNA Gene	59.96	17616669
162	MIR497	MicroRNA 497	RNA Gene	59.9	17616669
163	MIR10A	MicroRNA 10a	RNA Gene	59.7	18459106
164	MIRLET7G	MicroRNA Let-7g	RNA Gene	59.55	17616669
165	MIR503	MicroRNA 503	RNA Gene	59.29	17616669
166	MIR184	MicroRNA 184	RNA Gene	59.01	19676045
167	MIR199B	MicroRNA 199b	RNA Gene	58.64	18459106
168	HPC15	Prostate Cancer, Hereditary, 15	Genetic Locus	57.6	
169	HPC6	Prostate Cancer, Susceptibility To	Genetic Locus	57.6	
170	HPC7	Prostate Cancer, Hereditary, 7	Genetic Locus	57.6	
171	GSTP1	Glutathione S-Transferase Pi 1	Protein Coding	57.42	11555585 15623627 16446401 (more) 
172	NKX3-1	NK3 Homeobox 1	Protein Coding	57.16	9226374 16310933 11839815 (more) 
173	KLK2	Kallikrein Related Peptidase 2	Protein Coding	56.58	11753974 8889697 7664987 (more) 
174	MIR320A	MicroRNA 320a	RNA Gene	55.56	17616669
175	MIR370	MicroRNA 370	RNA Gene	55.45	17616669
176	MIR345	MicroRNA 345	RNA Gene	55.28	17616669
177	SLC43A1	Solute Carrier Family 43 Member 1	Protein Coding	55.18	9722952 14612934
178	MIR202	MicroRNA 202	RNA Gene	55.18	17616669
179	MIR498	MicroRNA 498	RNA Gene	54.42	17616669
180	MIR92A2	MicroRNA 92a-2	RNA Gene	53.29	16461460
181	MIR198	MicroRNA 198	RNA Gene	53.24	17616669
182	HNF1B	HNF1 Homeobox B	Protein Coding	53.01	18696045 17603485
183	DAB2IP	DAB2 Interacting Protein	Protein Coding	52.23	11944990 20154697 20332235 (more) 
184	CTNNB1	Catenin Beta 1	Protein Coding	51.2	15316903 17363566 17721186 (more) 
185	MIR29B2	MicroRNA 29b-2	RNA Gene	50	16461460
186	AMACR	Alpha-Methylacyl-CoA Racemase	Protein Coding	49.18	15743746 17134736 17527076 (more) 
187	PSCA	Prostate Stem Cell Antigen	Protein Coding	48.04	11034097 16015594 11368875 (more) 
188	AKT1	AKT Serine/Threonine Kinase 1	Protein Coding	46.65	17639041 20102399 14743383 (more) 
189	EGFR	Epidermal Growth Factor Receptor	Protein Coding	45.77	1394216 7892162 9041461 (more) 
190	ERG	ETS Transcription Factor ERG	Protein Coding	45.37	
191	EGF	Epidermal Growth Factor	Protein Coding	45.23	16804520 9518259 7586799 (more) 
192	ITGA6	Integrin Subunit Alpha 6	Protein Coding	44.79	17303120 11336792 18058365 (more) 
193	EHBP1	EH Domain Binding Protein 1	Protein Coding	43.68	
194	ERBB2	Erb-B2 Receptor Tyrosine Kinase 2	Protein Coding	43.11	11920466 12352406 15139054 (more) 
	ERBB2::MIR125A 46 	MIR125A Macro RNA (hsa-miR-125a) targets ERBB2			
195	IGF1	Insulin Like Growth Factor 1	Protein Coding	43.09	15540247 11158033 1722685 (more) 
196	SERPINA3	Serpin Family A Member 3	Protein Coding	43.05	15822791 9250919 11920529 (more) 
197	STAT3	Signal Transducer And Activator Of Transcription 3	Protein Coding	42.91	11987152 11141475 16804520 (more) 
198	PLAU	Plasminogen Activator, Urokinase	Protein Coding	42.87	15988036 7515534 9816041 (more) 
199	CDKN1B	Cyclin Dependent Kinase Inhibitor 1B	Protein Coding	42.79	14960249 12210483 9731735 (more) 
200	CDKN1A	Cyclin Dependent Kinase Inhibitor 1A	Protein Coding	42.68	1562975 15736438 10761703 (more) 
201	TRPM8	Transient Receptor Potential Cation Channel Subfamily M Member 8	Protein Coding	42.51	16174775 17517434 12858355 (more) 
202	MMP9	Matrix Metallopeptidase 9	Protein Coding	42.5	9466586 12586837 11912173 (more) 
203	CDK2	Cyclin Dependent Kinase 2	Protein Coding	42.17	9794232 11052627 12352461 (more) 
204	PIM1	Pim-1 Proto-Oncogene, Serine/Threonine Kinase	Protein Coding	41.83	20215828 13679438 16186805 (more) 
205	SRD5A1	Steroid 5 Alpha-Reductase 1	Protein Coding	41.63	11228931 15650886 18499161 (more) 
206	TRIM68	Tripartite Motif Containing 68	Protein Coding	41.24	
207	BCL2	BCL2 Apoptosis Regulator	Protein Coding	40.97	9260915 9366376 9417872 (more) 
208	CYP17A1	Cytochrome P450 Family 17 Subfamily A Member 1	Protein Coding	40.75	20437447 17704407 11571725 (more) 
209	NBN	Nibrin	Protein Coding	40.64	
210	IGF1R	Insulin Like Growth Factor 1 Receptor	Protein Coding	39.95	18196535 19211828 10984278 (more) 
211	SLC45A3	Solute Carrier Family 45 Member 3	Protein Coding	39.6	15048720 18193184 14997204
212	CCND1	Cyclin D1	Protein Coding	38.81	17375037 10815912 9568672 (more) 
	CCND1::MIR15A 46 	MIR15A Macro RNA (hsa-miR-15a) targets CCND1			
	CCND1::MIR16-1 46 	MIR16-1 Macro RNA (hsa-miR-16-1) targets CCND1			
213	ETV1	ETS Variant Transcription Factor 1	Protein Coding	38.76	17505060 16254181 18996329 (more) 
214	CD82	CD82 Molecule	Protein Coding	38.74	9589471 9121765 10440748 (more) 
215	KLK15	Kallikrein Related Peptidase 15	Protein Coding	38.58	11434875 11010966
216	MAPK1	Mitogen-Activated Protein Kinase 1	Protein Coding	38.1	15284244 15735699 15774218 (more) 
217	HPN	Hepsin	Protein Coding	38.08	16783571 14665873 18784072 (more) 
218	CHGA	Chromogranin A	Protein Coding	38.06	12209687 8996358 8632569 (more) 
219	TGFA	Transforming Growth Factor Alpha	Protein Coding	37.63	10360641 10420153 15355899 (more) 
220	RB1	RB Transcriptional Corepressor 1	Protein Coding	37.52	2217208 12479270 11943705 (more) 
	RB1::MIR106A 46 	MIR106A Macro RNA (hsa-miR-106a) targets RB1			
221	BMP6	Bone Morphogenetic Protein 6	Protein Coding	37.37	9820184 7686495 1437857 (more) 
222	CASP3	Caspase 3	Protein Coding	37.29	11122438 10786680 15467752 (more) 
223	JUN	Jun Proto-Oncogene, AP-1 Transcription Factor Subunit	Protein Coding	37.23	10413424 15486991 11462854 (more) 
224	GRP	Gastrin Releasing Peptide	Protein Coding	37.09	1434289 8661226 15866427 (more) 
225	HSP90AA1	Heat Shock Protein 90 Alpha Family Class A Member 1	Protein Coding	36.75	18840695 16452239 18954528 (more) 
226	CASP9	Caspase 9	Protein Coding	36.15	20437871 10861750 16322271 (more) 
227	ANO7	Anoctamin 7	Protein Coding	35.82	
228	MYC	MYC Proto-Oncogene, BHLH Transcription Factor	Protein Coding	35.63	15712208 17404030 9012485 (more) 
	MYC::GH08J127396	TSS distance: -334.5kb			25910213
		Elite enhancer			
		with elite association with MYC			
	MYC::GH08J127471	TSS distance: -262.6kb			22382457 23226612
229	STEAP2	STEAP2 Metalloreductase	Protein Coding	35.44	
230	GNRH1	Gonadotropin Releasing Hormone 1	Protein Coding	35.11	2118285 15081579 2046209 (more) 
231	HIF1A	Hypoxia Inducible Factor 1 Subunit Alpha	Protein Coding	35.02	15735682 14971644 11454426 (more) 
232	LEF1	Lymphoid Enhancer Binding Factor 1	Protein Coding	34.88	
233	CDKN3	Cyclin Dependent Kinase Inhibitor 3	Protein Coding	34.77	12624952 15774218 19470463 (more) 
234	PRUNE2	Prune Homolog 2 With BCH Domain	Protein Coding	34.69	
235	NFKBIA	NFKB Inhibitor Alpha	Protein Coding	34.57	8824277 18468507 15856023 (more) 
236	TNFSF10	TNF Superfamily Member 10	Protein Coding	34.33	16052230 17106251 15498932 (more) 
237	GRPR	Gastrin Releasing Peptide Receptor	Protein Coding	34.32	9495364 18491928 9406683 (more) 
238	MTOR	Mechanistic Target Of Rapamycin Kinase	Protein Coding	34.28	18519641 12414639 19725049 (more) 
239	BCL2L1	BCL2 Like 1	Protein Coding	34.26	17653717 16794010 9141489 (more) 
240	E2F1	E2F Transcription Factor 1	Protein Coding	34.15	11052627 17349545 17178887 (more) 
	E2F1::MIR17 46 	MIR17 Macro RNA (hsa-miR-17-5p) targets E2F1			
241	FGFR1	Fibroblast Growth Factor Receptor 1	Protein Coding	33.9	17137506 9844400 17607666 (more) 
242	FGFR2	Fibroblast Growth Factor Receptor 2	Protein Coding	33.81	16956712 11170144 11069376 (more) 
243	EZH2	Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit	Protein Coding	33.7	16963837 17483039 18095286 (more) 
244	OR51E2	Olfactory Receptor Family 51 Subfamily E Member 2	Protein Coding	33.64	11118034 15499628 16491480 (more) 
245	NCOA4	Nuclear Receptor Coactivator 4	Protein Coding	33.58	15166229 12649293 10405524 (more) 
246	IGFBP3	Insulin Like Growth Factor Binding Protein 3	Protein Coding	33.46	10875240 15540247 14694521 (more) 
247	TGFB1I1	Transforming Growth Factor Beta 1 Induced Transcript 1	Protein Coding	33.45	12858356 11501969 12700349 (more) 
248	MDM2	MDM2 Proto-Oncogene	Protein Coding	33.41	15269162 12518324 15176048 (more) 
249	TRPS1	Transcriptional Repressor GATA Binding 1	Protein Coding	33.29	14997205 15613454 17467349 (more) 
250	PAGE4	PAGE Family Member 4	Protein Coding	33.24	
251	PARP1	Poly(ADP-Ribose) Polymerase 1	Protein Coding	33.07	18607066 15252149 15868402 (more) 
252	MMP2	Matrix Metallopeptidase 2	Protein Coding	33.01	14991864 14679018 17121023 (more) 
253	SLC39A1	Solute Carrier Family 39 Member 1	Protein Coding	32.97	17400177 16153295
254	CASP8	Caspase 8	Protein Coding	32.67	11992615 9865748 17898872 (more) 
255	ESR2	Estrogen Receptor 2	Protein Coding	32.63	11596023 15498298 12152165 (more) 
256	CDH3	Cadherin 3	Protein Coding	32.61	9815605 9250159 10652439 (more) 
257	BAD	BCL2 Associated Agonist Of Cell Death	Protein Coding	32.57	12754297 19593445 16767165 (more) 
258	PROS1	Protein S	Protein Coding	32.44	11555588 9105163 7504042 (more) 
259	CDK4	Cyclin Dependent Kinase 4	Protein Coding	32.34	10640976 11052627 19017637 (more) 
260	EP300	E1A Binding Protein P300	Protein Coding	32.2	17409453 15705864 15994976 (more) 
261	RNF14	Ring Finger Protein 14	Protein Coding	32.13	17110431 11501969 10085091
262	CD44	CD44 Molecule (Indian Blood Group)	Protein Coding	32.1	9492843 7544562 10950120 (more) 
263	CD164	CD164 Molecule	Protein Coding	32.06	
264	TMEFF2	Transmembrane Protein With EGF Like And Two Follistatin Like Domains 2	Protein Coding	31.95	15805286 12729735 16439095 (more) 
265	SRC	SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase	Protein Coding	31.94	16894533 18223692 17449913 (more) 
266	SERPINB5	Serpin Family B Member 5	Protein Coding	31.92	14996730 17536309 12430137 (more) 
267	PRAC1	PRAC1 Small Nuclear Protein	Protein Coding	31.88	
268	PSAT1	Phosphoserine Aminotransferase 1	Protein Coding	31.85	10897582 7535074 19533181 (more) 
269	SPDEF	SAM Pointed Domain Containing ETS Transcription Factor	Protein Coding	31.65	17483333 10625666 17521701 (more) 
270	MAK	Male Germ Cell Associated Kinase	Protein Coding	31.52	
271	CREB3L4	CAMP Responsive Element Binding Protein 3 Like 4	Protein Coding	31.49	
272	MAP2K1	Mitogen-Activated Protein Kinase Kinase 1	Protein Coding	31.46	15774218 15488643
273	IL6R	Interleukin 6 Receptor	Protein Coding	31.38	12913106 18295256 12461182 (more) 
274	KLK10	Kallikrein Related Peptidase 10	Protein Coding	31.28	9809976 16103744 11705853 (more) 
275	CYCS	Cytochrome C, Somatic	Protein Coding	31.27	12419835 10786680 15467752 (more) 
276	MAPK8	Mitogen-Activated Protein Kinase 8	Protein Coding	31.24	12538493 14766760 19178296 (more) 
277	VEGFA	Vascular Endothelial Growth Factor A	Protein Coding	31.2	18814815 9146665 11856116 (more) 
278	BIRC5	Baculoviral IAP Repeat Containing 5	Protein Coding	31.18	14770431 17134550 17615972 (more) 
	BIRC5::MIR203A 46 	MIR203A Macro RNA (hsa-miR-203) targets BIRC5			
279	E2F3	E2F Transcription Factor 3	Protein Coding	31.11	15184867 16909110 16938365 (more) 
	E2F3::MIR34A 46 	MIR34A Macro RNA (hsa-miR-34a) targets E2F3			
280	FGF2	Fibroblast Growth Factor 2	Protein Coding	31.11	8635036 15191726 10792180 (more) 
281	FASN	Fatty Acid Synthase	Protein Coding	31.06	17904792 15543204 15609334 (more) 
282	BAX	BCL2 Associated X, Apoptosis Regulator	Protein Coding	30.98	12515134 11571575 12655519 (more) 
283	TRPV6	Transient Receptor Potential Cation Channel Subfamily V Member 6	Protein Coding	30.95	14586412 19857260 12869611 (more) 
284	PLAUR	Plasminogen Activator, Urokinase Receptor	Protein Coding	30.91	15302576 16689831 10388537 (more) 
285	KRT18	Keratin 18	Protein Coding	30.89	15129425 11254220 19152342 (more) 
286	PTHLH	Parathyroid Hormone Like Hormone	Protein Coding	30.86	10606251 10898344 11742494 (more) 
287	PIK3R1	Phosphoinositide-3-Kinase Regulatory Subunit 1	Protein Coding	30.83	18372911 16015604 18476967 (more) 
288	MAPK3	Mitogen-Activated Protein Kinase 3	Protein Coding	30.77	9010448 19724911 9645439
289	CLU	Clusterin	Protein Coding	30.74	11641613 19879420 16979705 (more) 
290	GDF15	Growth Differentiation Factor 15	Protein Coding	30.67	17908975 18413810 15757899 (more) 
291	CRISP3	Cysteine Rich Secretory Protein 3	Protein Coding	30.65	12433721 17634540 16388501
292	HRAS	HRas Proto-Oncogene, GTPase	Protein Coding	30.63	10955786
293	KRAS	KRAS Proto-Oncogene, GTPase	Protein Coding	30.5	19212633
294	PDGFRB	Platelet Derived Growth Factor Receptor Beta	Protein Coding	30.44	20505768 17908974 15176001 (more) 
295	URI1	URI1 Prefoldin Like Chaperone	Protein Coding	30.29	
296	ALKBH3	AlkB Homolog 3, Alpha-Ketoglutarate Dependent Dioxygenase	Protein Coding	30.28	18077911 17968469 17970783 (more) 
297	KRT8	Keratin 8	Protein Coding	30.16	1711687 11102954 7516071 (more) 
298	CAV1	Caveolin 1	Protein Coding	29.93	15712208 12599229 11920460 (more) 
299	AKT2	AKT Serine/Threonine Kinase 2	Protein Coding	29.93	20102399 16721361 20018812 (more) 
300	TGFB1	Transforming Growth Factor Beta 1	Protein Coding	29.85	16078668 7850789 11064817 (more) 
301	ST14	ST14 Transmembrane Serine Protease Matriptase	Protein Coding	29.85	18813126 18649738 16492908 (more) 
302	ESR1	Estrogen Receptor 1	Protein Coding	29.84	10676656 12891629 15358197 (more) 
303	FOXO1	Forkhead Box O1	Protein Coding	29.82	12351634 12482965 17597184 (more) 
304	HSD17B1	Hydroxysteroid 17-Beta Dehydrogenase 1	Protein Coding	29.59	16311626 17507624
