chr_x	start_x	end_x	chr_y	start_y	end_y	loopID	Benign	Malignant
chr10	28150000	28260000	chr10	28360000	28400000	10124_10126	5	10
chr10	28640000	28680000	chr10	28980000	29010000	10129_10131	2	5
chr10	28640000	28680000	chr10	29120000	29140000	10129_10132	4	11
chr10	28640000	28680000	chr10	29290000	29320000	10129_10134	5	10
chr10	30390000	30420000	chr10	30520000	30540000	10142_10143	3	2
chr10	30390000	30420000	chr10	30550000	30590000	10142_10144	4	10
chr10	30720000	30780000	chr10	31480000	31500000	10147_10154	2	3
chr10	30720000	30780000	chr10	31780000	31810000	10147_10156	4	9
chr1	161190000	161230000	chr1	161360000	161390000	1014_1015	5	12
chr10	32250000	32260000	chr10	32350000	32370000	10162_10163	3	6
chr10	32790000	32810000	chr10	33000000	33020000	10165_10166	5	9
chr10	33180000	33220000	chr10	34620000	34650000	10167_10182	4	7
chr10	33320000	33360000	chr10	33740000	33780000	10169_10173	3	1
chr10	33320000	33360000	chr10	34620000	34650000	10169_10182	5	8
chr1	161780000	161820000	chr1	162020000	162080000	1016_1019	5	12
chr10	34660000	34700000	chr10	34950000	34980000	10183_10185	5	10
chr10	35110000	35120000	chr10	35210000	35230000	10187_10188	4	5
chr10	35240000	35260000	chr10	35570000	35600000	10189_10193	4	2
chr10	35610000	35660000	chr10	36760000	36790000	10194_10202	3	5
chr10	35610000	35660000	chr10	36860000	36910000	10194_10203	2	3
chr1	162020000	162080000	chr1	162250000	162290000	1019_1020	5	11
chr1	162020000	162080000	chr1	162380000	162410000	1019_1022	5	12
chr1	11220000	11260000	chr1	11610000	11660000	101_104	5	10
chr10	42850000	42860000	chr10	43070000	43120000	10215_10217	1	3
chr10	42940000	42970000	chr10	43070000	43120000	10216_10217	1	5
chr10	43270000	43310000	chr10	43450000	43470000	10219_10220	5	12
chr10	43650000	43720000	chr10	44040000	44100000	10221_10229	1	3
chr10	43650000	43720000	chr10	44260000	44420000	10221_10234	9	24
chr10	43650000	43720000	chr10	44650000	44690000	10221_10238	2	3
chr10	43650000	43720000	chr10	44830000	44880000	10221_10241	5	12
chr10	44260000	44420000	chr10	44830000	44880000	10234_10241	8	13
chr10	45000000	45050000	chr10	45230000	45270000	10244_10247	2	4
chr10	45230000	45270000	chr10	45430000	45470000	10247_10249	1	5
chr10	45230000	45270000	chr10	45620000	45650000	10247_10251	2	4
chr10	45430000	45470000	chr10	45580000	45610000	10249_10250	1	6
chr10	47010000	47040000	chr10	47300000	47340000	10252_10256	5	12
chr10	47120000	47180000	chr10	47300000	47340000	10255_10256	1	8
chr10	48350000	48380000	chr10	48500000	48560000	10261_10263	1	4
chr10	48350000	48380000	chr10	48640000	48690000	10261_10264	5	7
chr10	48640000	48690000	chr10	49150000	49200000	10264_10273	4	6
chr10	48960000	49000000	chr10	49150000	49200000	10272_10273	5	7
chr10	48960000	49000000	chr10	49500000	49530000	10272_10276	1	3
chr10	49360000	49420000	chr10	49500000	49530000	10275_10276	4	11
chr1	162840000	162880000	chr1	163060000	163090000	1027_1028	2	11
chr1	162840000	162880000	chr1	163160000	163190000	1027_1029	5	9
chr1	162840000	162880000	chr1	163290000	163320000	1027_1030	5	12
chr10	50400000	50430000	chr10	50610000	50630000	10282_10284	1	4
chr10	50990000	51090000	chr10	51390000	51440000	10286_10293	4	8
chr10	50990000	51090000	chr10	51960000	52050000	10286_10306	4	7
chr10	50990000	51090000	chr10	52170000	52210000	10286_10309	1	4
chr1	163060000	163090000	chr1	163290000	163320000	1028_1030	3	8
chr10	52300000	52330000	chr10	52470000	52510000	10312_10314	4	9
chr1	163360000	163410000	chr1	165060000	165110000	1031_1049	3	2
chr10	53830000	53850000	chr10	54360000	54410000	10328_10336	3	2
chr10	55070000	55110000	chr10	55250000	55270000	10341_10342	1	6
chr1	163520000	163570000	chr1	163690000	163710000	1034_1035	1	7
chr1	163520000	163570000	chr1	165060000	165110000	1034_1049	4	3
chr10	58940000	58970000	chr10	59180000	59210000	10353_10354	4	3
chr10	59230000	59260000	chr10	59570000	59640000	10355_10359	4	8
chr10	59570000	59640000	chr10	59800000	59820000	10359_10360	4	3
chr10	59570000	59640000	chr10	60020000	60050000	10359_10363	4	3
chr10	60090000	60120000	chr10	60410000	60460000	10365_10367	4	3
chr10	60410000	60460000	chr10	60640000	60660000	10367_10368	5	3
chr10	61890000	61930000	chr10	62230000	62250000	10376_10379	2	5
chr10	62010000	62060000	chr10	62230000	62250000	10377_10379	4	6
chr10	63160000	63210000	chr10	63610000	63630000	10387_10390	3	3
chr10	63160000	63210000	chr10	63710000	63740000	10387_10392	2	4
chr10	67860000	67890000	chr10	68150000	68170000	10395_10398	4	5
chr10	68350000	68380000	chr10	68740000	68760000	10401_10404	1	5
chr10	69230000	69250000	chr10	69380000	69400000	10409_10410	5	10
chr10	69410000	69430000	chr10	69500000	69520000	10411_10412	5	5
chr10	69410000	69430000	chr10	69630000	69650000	10411_10413	2	3
chr10	69500000	69520000	chr10	69630000	69650000	10412_10413	3	5
chr10	70210000	70240000	chr10	70360000	70370000	10415_10416	5	8
chr10	70540000	70560000	chr10	70750000	70770000	10417_10418	5	8
chr10	70910000	70940000	chr10	71190000	71210000	10420_10421	5	7
chr10	70910000	70940000	chr10	71260000	71290000	10420_10422	4	12
chr10	71300000	71330000	chr10	71690000	71710000	10423_10427	3	5
chr10	71300000	71330000	chr10	71790000	71830000	10423_10428	3	2
chr10	71380000	71400000	chr10	71560000	71580000	10425_10426	3	1
chr10	72360000	72390000	chr10	72830000	72870000	10436_10441	5	9
chr10	72360000	72390000	chr10	73050000	73080000	10436_10443	4	1
chr10	74240000	74280000	chr10	75010000	75040000	10453_10457	4	9
chr10	74240000	74280000	chr10	75080000	75120000	10453_10459	5	11
chr10	74240000	74280000	chr10	75200000	75250000	10453_10460	3	4
chr10	75370000	75420000	chr10	75900000	75930000	10462_10466	2	4
chr10	75370000	75420000	chr10	76020000	76080000	10462_10467	4	5
chr10	75370000	75420000	chr10	76280000	76320000	10462_10468	3	6
chr10	75370000	75420000	chr10	76530000	76570000	10462_10469	3	3
chr10	77150000	77190000	chr10	77380000	77410000	10472_10475	2	4
chr10	77150000	77190000	chr10	77620000	77660000	10472_10478	5	12
chr10	77150000	77190000	chr10	77700000	77760000	10472_10479	3	4
chr10	77250000	77280000	chr10	77620000	77660000	10473_10478	1	4
chr10	77380000	77410000	chr10	77620000	77660000	10475_10478	4	9
chr10	77820000	77860000	chr10	77980000	78020000	10480_10482	4	9
chr10	78040000	78080000	chr10	79180000	79220000	10483_10493	5	10
chr10	78190000	78230000	chr10	79180000	79220000	10484_10493	5	11
chr10	78290000	78310000	chr10	79180000	79220000	10485_10493	1	3
chr10	80380000	80390000	chr10	80500000	80520000	10497_10499	1	3
chr10	80680000	80710000	chr10	80900000	80940000	10500_10501	3	4
chr10	82780000	82810000	chr10	83840000	83890000	10505_10512	2	4
chr1	165130000	165160000	chr1	165360000	165380000	1050_1053	3	2
chr10	84360000	84380000	chr10	84520000	84550000	10516_10517	5	9
chr10	86390000	86410000	chr10	86580000	86600000	10528_10529	5	8
chr10	86680000	86720000	chr10	86890000	86920000	10530_10531	4	11
chr10	87530000	87540000	chr10	87730000	87750000	10532_10533	2	4
chr10	87840000	87870000	chr10	88370000	88410000	10535_10542	3	8
chr10	87840000	87870000	chr10	88540000	88560000	10535_10544	5	9
chr10	88920000	88950000	chr10	89200000	89230000	10546_10548	5	3
chr10	89020000	89040000	chr10	89200000	89230000	10547_10548	5	11
chr10	89250000	89280000	chr10	89380000	89410000	10549_10550	4	4
chr10	89250000	89280000	chr10	89550000	89580000	10549_10552	3	7
chr1	165390000	165410000	chr1	165570000	165630000	1054_1055	5	12
chr10	89420000	89440000	chr10	89550000	89580000	10551_10552	5	8
chr10	89780000	89800000	chr10	90750000	90760000	10553_10559	3	1
chr1	165570000	165630000	chr1	165900000	165940000	1055_1057	4	8
chr10	90890000	90920000	chr10	91230000	91270000	10563_10565	5	7
chr10	91000000	91030000	chr10	91230000	91270000	10564_10565	5	6
chr1	165700000	165750000	chr1	165900000	165940000	1056_1057	5	10
chr10	92060000	92100000	chr10	92420000	92450000	10571_10574	5	8
chr10	93080000	93110000	chr10	93280000	93310000	10575_10576	5	7
chr10	93360000	93390000	chr10	93480000	93510000	10578_10579	5	9
chr1	165900000	165940000	chr1	166450000	166500000	1057_1060	4	9
chr10	93910000	93930000	chr10	94300000	94350000	10583_10585	5	9
chr10	95220000	95250000	chr10	95350000	95380000	10588_10589	3	2
chr10	95350000	95380000	chr10	95590000	95620000	10589_10591	2	3
chr10	95410000	95450000	chr10	95590000	95620000	10590_10591	5	7
chr10	95690000	95710000	chr10	95840000	95870000	10592_10593	2	4
chr10	96370000	96410000	chr10	96500000	96540000	10597_10598	2	6
chr10	97050000	97080000	chr10	97200000	97230000	10606_10607	5	8
chr10	97900000	97920000	chr10	98030000	98050000	10612_10613	5	8
chr10	98440000	98480000	chr10	99230000	99270000	10617_10623	5	9
chr1	166890000	166920000	chr1	167050000	167080000	1061_1062	5	11
chr1	166890000	166920000	chr1	167420000	167450000	1061_1066	1	3
chr10	99840000	99870000	chr10	100030000	100060000	10627_10628	5	7
chr1	167050000	167080000	chr1	167200000	167270000	1062_1063	2	4
chr1	167050000	167080000	chr1	167420000	167450000	1062_1066	5	9
chr1	167050000	167080000	chr1	167520000	167550000	1062_1068	4	5
chr10	100320000	100340000	chr10	100420000	100460000	10631_10632	5	7
chr10	100320000	100340000	chr10	100500000	100520000	10631_10633	2	3
chr10	100550000	100570000	chr10	100860000	100890000	10634_10636	2	8
chr10	101190000	101220000	chr10	101560000	101580000	10638_10641	5	8
chr10	101190000	101220000	chr10	101750000	101790000	10638_10643	3	3
chr1	167200000	167270000	chr1	167420000	167450000	1063_1066	4	7
chr1	167200000	167270000	chr1	167520000	167550000	1063_1068	3	2
chr10	102230000	102240000	chr10	102340000	102360000	10646_10647	3	7
chr10	102700000	102740000	chr10	102890000	102930000	10650_10652	3	4
chr10	102700000	102740000	chr10	103060000	103100000	10650_10653	2	3
chr10	102820000	102840000	chr10	103060000	103100000	10651_10653	2	3
chr10	102890000	102930000	chr10	103060000	103100000	10652_10653	5	7
chr10	102890000	102930000	chr10	103240000	103260000	10652_10654	3	3
chr10	103700000	103730000	chr10	103850000	103910000	10658_10659	5	10
chr10	103700000	103730000	chr10	104210000	104230000	10658_10661	3	1
chr10	103850000	103910000	chr10	104100000	104130000	10659_10660	3	5
chr10	109880000	109900000	chr10	110110000	110150000	10668_10670	3	4
chr10	109880000	109900000	chr10	110270000	110290000	10668_10671	1	3
chr10	110110000	110150000	chr10	110270000	110290000	10670_10671	5	10
chr10	110300000	110340000	chr10	110520000	110570000	10672_10673	5	11
chr10	110740000	110760000	chr10	110890000	110900000	10676_10679	1	3
chr10	112160000	112190000	chr10	112420000	112450000	10687_10689	2	4
chr10	112460000	112500000	chr10	113370000	113400000	10690_10696	3	5
chr10	112700000	112740000	chr10	113110000	113150000	10693_10695	1	5
chr1	167570000	167600000	chr1	167680000	167700000	1069_1070	2	4
chr10	113680000	113710000	chr10	114090000	114120000	10700_10705	5	10
chr10	113790000	113820000	chr10	114090000	114120000	10702_10705	5	11
chr10	114290000	114310000	chr10	114420000	114480000	10707_10708	5	9
chr10	114290000	114310000	chr10	114770000	114810000	10707_10711	3	2
chr10	114420000	114480000	chr10	114770000	114810000	10708_10711	4	5
chr10	114540000	114570000	chr10	114770000	114810000	10710_10711	5	12
chr10	114870000	114890000	chr10	115100000	115140000	10712_10713	4	7
chr10	115790000	115810000	chr10	116270000	116300000	10718_10719	5	6
chr10	116670000	116700000	chr10	116770000	116820000	10726_10727	3	4
chr10	116770000	116820000	chr10	117070000	117090000	10727_10728	1	3
chr10	116770000	116820000	chr10	117160000	117180000	10727_10729	5	12
chr10	117480000	117560000	chr10	118200000	118250000	10733_10737	4	12
chr10	117480000	117560000	chr10	118410000	118440000	10733_10738	4	6
chr10	118560000	118590000	chr10	118710000	118740000	10741_10743	5	10
chr10	118560000	118590000	chr10	118790000	118820000	10741_10744	5	6
chr10	119180000	119210000	chr10	119420000	119440000	10747_10748	5	12
chr10	119180000	119210000	chr10	119520000	119570000	10747_10751	1	5
chr10	119590000	119620000	chr10	119850000	119880000	10752_10756	2	3
chr10	120940000	120970000	chr10	121590000	121620000	10765_10774	3	8
chr10	121060000	121080000	chr10	121590000	121620000	10766_10774	3	2
chr1	168330000	168360000	chr1	168570000	168620000	1076_1078	4	1
chr1	168330000	168360000	chr1	169320000	169360000	1076_1087	3	1
chr10	122280000	122320000	chr10	122430000	122450000	10778_10780	5	6
chr10	122280000	122320000	chr10	122550000	122570000	10778_10781	3	7
chr1	168430000	168460000	chr1	168570000	168620000	1077_1078	2	4
chr10	123040000	123100000	chr10	123540000	123610000	10782_10785	5	9
chr10	123120000	123150000	chr10	123370000	123390000	10783_10784	4	11
chr10	123120000	123150000	chr10	123540000	123610000	10783_10785	4	8
chr10	123540000	123610000	chr10	123950000	123980000	10785_10786	5	12
chr10	123540000	123610000	chr10	124360000	124400000	10785_10791	3	7
chr10	123990000	124030000	chr10	124360000	124400000	10787_10791	5	12
chr1	168570000	168620000	chr1	169100000	169130000	1078_1083	3	8
chr1	168570000	168620000	chr1	169320000	169360000	1078_1087	5	12
chr10	124520000	124550000	chr10	124730000	124760000	10792_10794	5	8
chr10	124520000	124550000	chr10	124800000	124830000	10792_10796	5	5
chr10	125020000	125070000	chr10	125690000	125730000	10799_10803	2	5
chr1	12090000	12130000	chr1	12200000	12230000	107_108	5	8
chr1	12090000	12130000	chr1	12590000	12680000	107_114	2	5
chr10	125140000	125160000	chr10	125690000	125730000	10800_10803	1	3
chr10	125960000	126000000	chr10	126370000	126410000	10804_10806	3	5
chr10	125960000	126000000	chr10	126490000	126520000	10804_10807	5	10
chr10	125960000	126000000	chr10	126740000	126760000	10804_10808	1	3
chr10	127710000	127730000	chr10	127840000	127870000	10813_10814	4	5
chr10	127890000	127910000	chr10	128000000	128050000	10815_10816	4	10
chr10	128250000	128310000	chr10	128510000	128540000	10819_10821	1	6
chr10	128250000	128310000	chr10	129950000	129990000	10819_10829	2	3
chr10	129010000	129050000	chr10	129950000	129990000	10823_10829	5	11
chr10	130180000	130210000	chr10	131840000	131900000	10832_10847	1	5
chr10	131840000	131900000	chr10	132020000	132030000	10847_10848	5	8
chr10	132210000	132250000	chr10	132350000	132360000	10850_10851	3	5
chr10	132380000	132400000	chr10	132630000	132650000	10852_10855	1	3
chr10	132440000	132480000	chr10	132630000	132650000	10853_10855	5	12
chr11	2180000	2210000	chr11	2410000	2440000	10872_10874	4	8
chr11	2410000	2440000	chr11	2520000	2560000	10874_10875	2	5
chr11	2410000	2440000	chr11	2860000	2900000	10874_10878	3	10
chr11	2520000	2560000	chr11	2860000	2900000	10875_10878	4	12
chr11	3830000	3860000	chr11	4070000	4080000	10883_10884	5	11
chr11	4620000	4660000	chr11	4810000	4830000	10888_10889	4	7
chr11	4620000	4660000	chr11	5000000	5020000	10888_10891	1	6
chr11	5460000	5480000	chr11	5810000	5840000	10895_10899	2	4
chr11	6000000	6040000	chr11	6310000	6360000	10900_10902	4	7
chr11	6370000	6400000	chr11	6490000	6540000	10903_10904	2	3
chr11	6490000	6540000	chr11	6680000	6710000	10904_10906	3	10
chr11	7080000	7150000	chr11	7420000	7470000	10907_10908	4	5
chr11	7080000	7150000	chr11	7660000	7710000	10907_10912	4	8
chr11	7550000	7570000	chr11	7660000	7710000	10911_10912	3	7
chr11	8200000	8240000	chr11	8550000	8580000	10916_10920	5	11
chr1	169570000	169600000	chr1	169800000	169820000	1091_1093	4	2
chr11	8670000	8710000	chr11	8940000	8970000	10921_10923	1	3
chr11	9000000	9030000	chr11	9120000	9150000	10924_10925	2	5
chr11	9610000	9640000	chr11	10300000	10350000	10931_10936	1	4
chr11	9740000	9790000	chr11	9960000	9990000	10932_10934	5	8
chr11	9740000	9790000	chr11	10300000	10350000	10932_10936	5	11
chr11	9850000	9880000	chr11	10300000	10350000	10933_10936	2	3
chr11	9960000	9990000	chr11	10300000	10350000	10934_10936	3	7
chr11	10390000	10420000	chr11	10640000	10670000	10937_10942	3	8
chr11	10390000	10420000	chr11	10720000	10750000	10937_10944	5	9
chr11	10770000	10800000	chr11	11010000	11050000	10945_10948	4	8
chr11	10770000	10800000	chr11	11750000	11820000	10945_10958	3	3
chr11	10920000	10960000	chr11	11750000	11820000	10947_10958	4	7
chr11	11010000	11050000	chr11	11750000	11820000	10948_10958	5	11
chr1	169920000	169960000	chr1	170910000	170950000	1094_1102	2	7
chr11	11750000	11820000	chr11	12020000	12070000	10958_10962	2	7
chr11	12020000	12070000	chr11	12250000	12350000	10962_10963	5	11
chr11	12250000	12350000	chr11	12860000	12910000	10963_10973	4	11
chr11	12490000	12540000	chr11	12860000	12910000	10966_10973	4	4
chr11	12590000	12620000	chr11	12860000	12910000	10968_10973	1	5
chr11	12960000	12990000	chr11	13150000	13230000	10974_10976	4	2
chr11	13150000	13230000	chr11	13330000	13360000	10976_10977	5	11
chr11	13760000	13780000	chr11	14230000	14260000	10978_10980	4	6
chr11	13940000	13980000	chr11	14230000	14260000	10979_10980	5	10
chr11	14280000	14320000	chr11	14430000	14480000	10981_10982	5	5
chr11	14520000	14550000	chr11	14750000	14780000	10984_10987	3	3
chr11	14520000	14550000	chr11	14870000	14930000	10984_10988	4	7
chr11	15090000	15110000	chr11	15200000	15220000	10990_10991	1	4
chr11	15300000	15350000	chr11	15620000	15660000	10994_10997	1	5
chr11	15300000	15350000	chr11	16590000	16650000	10994_11006	4	6
chr11	15620000	15660000	chr11	16590000	16650000	10997_11006	5	9
chr11	15780000	15850000	chr11	16590000	16650000	11001_11006	3	7
chr11	15900000	15940000	chr11	16590000	16650000	11002_11006	1	3
chr11	16780000	16810000	chr11	17040000	17070000	11008_11011	3	2
chr11	17370000	17390000	chr11	17490000	17520000	11013_11014	5	12
chr11	17580000	17610000	chr11	17960000	18000000	11015_11017	2	3
chr11	17720000	17750000	chr11	17960000	18000000	11016_11017	5	12
chr11	18540000	18550000	chr11	18720000	18750000	11023_11024	1	3
chr11	19060000	19090000	chr11	19530000	19580000	11026_11030	4	9
chr11	19060000	19090000	chr11	19730000	19760000	11026_11031	1	6
chr11	19240000	19270000	chr11	19530000	19580000	11028_11030	3	5
chr11	19290000	19330000	chr11	19530000	19580000	11029_11030	4	8
chr11	19530000	19580000	chr11	19730000	19760000	11030_11031	5	12
chr11	19530000	19580000	chr11	19880000	19920000	11030_11033	5	11
chr11	19730000	19760000	chr11	19880000	19920000	11031_11033	3	3
chr11	19930000	19970000	chr11	20100000	20140000	11034_11035	5	10
chr11	20380000	20400000	chr11	20600000	20620000	11038_11039	3	6
chr11	20630000	20670000	chr11	22280000	22350000	11040_11047	1	3
chr11	22280000	22350000	chr11	22770000	22800000	11047_11048	5	9
chr11	25970000	26000000	chr11	26240000	26260000	11052_11054	1	3
chr11	26290000	26310000	chr11	26620000	26670000	11056_11059	3	5
chr11	26290000	26310000	chr11	27120000	27200000	11056_11062	1	3
chr11	26740000	26780000	chr11	27120000	27200000	11060_11062	5	12
chr11	27120000	27200000	chr11	27470000	27500000	11062_11067	5	8
chr11	27290000	27310000	chr11	27470000	27500000	11063_11067	1	3
chr11	27670000	27720000	chr11	28500000	28540000	11068_11071	1	5
chr11	27670000	27720000	chr11	28690000	28710000	11068_11072	1	3
chr11	27670000	27720000	chr11	29150000	29180000	11068_11073	3	5
chr11	29410000	29440000	chr11	30900000	30920000	11075_11082	1	3
chr11	30320000	30360000	chr11	30580000	30600000	11078_11079	3	1
chr11	30320000	30360000	chr11	30850000	30890000	11078_11081	5	9
chr11	32030000	32060000	chr11	32160000	32200000	11092_11094	5	9
chr11	32310000	32340000	chr11	32780000	32810000	11095_11096	3	5
chr11	33160000	33170000	chr11	33320000	33390000	11099_11100	3	5
chr1	171780000	171820000	chr1	171970000	172060000	1109_1110	5	8
chr1	171780000	171820000	chr1	172390000	172470000	1109_1112	1	3
chr1	12290000	12320000	chr1	12590000	12680000	110_114	5	10
chr11	33320000	33390000	chr11	33660000	33710000	11100_11101	5	9
chr11	33320000	33390000	chr11	33740000	33760000	11100_11102	3	4
chr11	33320000	33390000	chr11	33800000	33830000	11100_11103	4	4
chr11	33840000	33860000	chr11	33970000	34010000	11104_11105	5	7
chr11	33970000	34010000	chr11	34350000	34370000	11105_11107	5	6
chr11	34150000	34190000	chr11	34350000	34370000	11106_11107	5	11
chr1	171970000	172060000	chr1	172390000	172470000	1110_1112	7	11
chr11	34560000	34600000	chr11	34870000	34900000	11111_11113	5	10
chr11	34560000	34600000	chr11	35380000	35430000	11111_11116	2	4
chr11	34920000	34950000	chr11	35380000	35430000	11114_11116	5	10
chr11	35590000	35630000	chr11	36120000	36150000	11118_11121	3	6
chr11	35590000	35630000	chr11	36250000	36270000	11118_11122	4	11
chr11	35590000	35630000	chr11	36460000	36500000	11118_11124	2	6
chr1	172070000	172110000	chr1	172390000	172470000	1111_1112	2	8
chr11	36280000	36310000	chr11	36460000	36500000	11123_11124	5	8
chr11	37930000	37980000	chr11	38770000	38800000	11126_11138	2	10
chr1	172390000	172470000	chr1	172700000	172770000	1112_1116	1	4
chr11	41440000	41520000	chr11	42510000	42540000	11158_11171	4	8
chr1	172700000	172770000	chr1	173190000	173230000	1116_1120	2	9
chr1	172810000	172840000	chr1	173190000	173230000	1117_1120	2	6
chr11	43870000	43910000	chr11	44020000	44060000	11183_11184	3	10
chr11	44090000	44130000	chr11	44510000	44570000	11185_11189	5	12
chr11	44240000	44320000	chr11	44510000	44570000	11187_11189	5	12
chr11	44240000	44320000	chr11	44890000	44940000	11187_11196	1	4
chr11	44510000	44570000	chr11	44890000	44940000	11189_11196	5	8
chr11	44610000	44650000	chr11	44890000	44940000	11190_11196	5	10
chr11	44610000	44650000	chr11	45290000	45400000	11190_11200	1	4
chr11	44710000	44740000	chr11	44890000	44940000	11193_11196	4	8
chr11	44890000	44940000	chr11	45090000	45120000	11196_11198	4	4
chr11	44890000	44940000	chr11	45290000	45400000	11196_11200	5	12
chr11	45090000	45120000	chr11	45290000	45400000	11198_11200	3	10
chr11	45290000	45400000	chr11	45640000	45680000	11200_11203	6	9
chr11	45290000	45400000	chr11	45760000	45790000	11200_11206	5	12
chr11	46370000	46420000	chr11	46520000	46550000	11216_11217	5	11
chr11	46370000	46420000	chr11	46600000	46630000	11216_11218	3	5
chr11	46870000	46910000	chr11	47140000	47180000	11223_11226	5	11
chr11	46870000	46910000	chr11	47300000	47370000	11223_11229	4	6
chr11	47140000	47180000	chr11	47300000	47370000	11226_11229	1	4
chr1	173410000	173450000	chr1	173720000	173740000	1122_1123	3	1
chr1	173410000	173450000	chr1	173810000	173850000	1122_1124	3	8
chr11	47930000	47950000	chr11	48100000	48130000	11234_11236	5	12
chr11	56830000	56860000	chr11	57110000	57140000	11246_11247	2	4
chr11	56830000	56860000	chr11	57230000	57270000	11246_11248	5	12
chr11	57110000	57140000	chr11	57230000	57270000	11247_11248	2	8
chr11	57320000	57360000	chr11	57520000	57540000	11249_11252	2	4
chr11	57690000	57730000	chr11	58500000	58550000	11255_11263	2	3
chr11	57800000	57840000	chr11	58500000	58550000	11257_11263	5	5
chr11	58640000	58680000	chr11	59050000	59080000	11264_11267	2	3
chr11	58640000	58680000	chr11	59130000	59180000	11264_11269	3	2
chr11	59520000	59550000	chr11	59660000	59700000	11273_11274	3	8
chr11	60340000	60370000	chr11	60480000	60500000	11279_11280	1	5
chr11	60340000	60370000	chr11	60600000	60640000	11279_11281	4	8
chr11	61450000	61480000	chr11	61630000	61650000	11288_11290	5	8
chr1	174750000	174800000	chr1	174970000	174990000	1128_1129	5	7
chr11	61770000	61810000	chr11	62070000	62120000	11292_11295	5	5
chr11	61880000	61920000	chr11	62070000	62120000	11294_11295	5	6
chr11	62380000	62430000	chr11	62540000	62570000	11299_11300	5	7
chr1	12380000	12420000	chr1	12590000	12680000	112_114	3	8
chr11	62900000	62920000	chr11	63010000	63040000	11304_11305	5	11
chr1	175140000	175160000	chr1	175310000	175330000	1130_1131	5	12
chr11	63460000	63500000	chr11	63620000	63650000	11312_11314	5	7
