loop_chr_x	loop_start_x	loop_end_x	loop_chr_y	loop_start_y	loop_end_y	loop_anchor_ID_x	loop_anchor_ID_y	loop_loopID	loop_Loop_Type	peak_chr	peak_start	peak_end	peak_Conc_T2E	peak_Conc_NonT2E	peak_Fold	peak_p.value	peak_FDR
chr12	64880000	64900000	chr12	65100000	65140000	12255	12256	12255_12256	shared	chr12	64882684	64883185	4.64	6.19	-1.55	3.13e-08	5.24e-06
chr10	92060000	92100000	chr10	92420000	92450000	10571	10574	10571_10574	shared	chr10	92096583	92097084	3.02	5.56	-2.54	4.54e-08	7.17e-06
chr1	239390000	239420000	chr1	239880000	239940000	1575	1577	1575_1577	shared	chr1	239392256	239392757	4.45	0.43	4.02	5.19e-08	8.03e-06
chr18	51110000	51130000	chr18	51370000	51390000	15749	15750	15749_15750	T2E-specific	chr18	51115732	51116233	1.98	4.9	-2.92	7.12e-08	1.06e-05
chr7	155580000	155610000	chr7	155740000	155760000	8309	8310	8309_8310	shared	chr7	155590580	155591535	5.76	3.5	2.26	8.09e-08	1.18e-05
chr11	118380000	118400000	chr11	118480000	118510000	11657	11658	11657_11658	shared	chr11	118395898	118396399	4.33	5.86	-1.52	8.45e-08	1.23e-05
chr21	38490000	38530000	chr21	39110000	39160000	16910	16919	16910_16919	shared	chr21	38493524	38494025	5.76	3.38	2.38	8.9e-08	1.29e-05
chr21	38490000	38530000	chr21	38700000	38760000	16910	16914	16910_16914	nonT2E-specific	chr21	38493524	38494025	5.76	3.38	2.38	8.9e-08	1.29e-05
chr14	37420000	37440000	chr14	37560000	37590000	13291	13292	13291_13292	shared	chr14	37438105	37438606	5.03	6.45	-1.43	9.03e-08	1.3e-05
chr1	179840000	179880000	chr1	180150000	180210000	1167	1169	1167_1169	T2E-specific	chr1	179840255	179840756	5.32	3.44	1.88	9.83e-08	1.4e-05
chr18	32260000	32300000	chr18	32460000	32490000	15662	15664	15662_15664	shared	chr18	32277906	32278407	5.17	3.29	1.88	1.23e-07	1.67e-05
chr18	32260000	32300000	chr18	32520000	32560000	15662	15665	15662_15665	shared	chr18	32277906	32278407	5.17	3.29	1.88	1.23e-07	1.67e-05
chr6	26110000	26150000	chr6	27120000	27200000	6416	6424	6416_6424	shared	chr6	26118508	26119009	3.03	5.46	-2.43	1.25e-07	1.7e-05
chr6	26110000	26150000	chr6	27760000	27840000	6416	6428	6416_6428	shared	chr6	26118508	26119009	3.03	5.46	-2.43	1.25e-07	1.7e-05
chr2	230150000	230200000	chr2	230590000	230640000	2970	2973	2970_2973	shared	chr2	230170161	230170662	5.99	4.32	1.67	1.3e-07	1.75e-05
chr6	39150000	39180000	chr6	39290000	39320000	6517	6518	6517_6518	shared	chr6	39169609	39170110	5.73	4.29	1.45	1.37e-07	1.84e-05
chr7	103560000	103590000	chr7	104140000	104180000	8024	8026	8024_8026	shared	chr7	103571756	103572257	1.87	4.76	-2.88	1.41e-07	1.88e-05
chr5	6760000	6790000	chr5	7740000	7770000	5174	5180	5174_5180	shared	chr5	6773315	6773816	4.74	0.32	4.43	1.43e-07	1.91e-05
chr9	72030000	72080000	chr9	72250000	72310000	9378	9379	9378_9379	shared	chr9	72042954	72043455	5.33	3.16	2.17	1.46e-07	1.94e-05
chr9	72030000	72080000	chr9	72800000	72840000	9378	9386	9378_9386	shared	chr9	72042954	72043455	5.33	3.16	2.17	1.46e-07	1.94e-05
chr22	45960000	46020000	chr22	46100000	46140000	17246	17247	17246_17247	shared	chr22	45996669	45997170	6.96	5.7	1.26	1.5e-07	1.98e-05
chr22	45960000	46020000	chr22	46290000	46330000	17246	17249	17246_17249	shared	chr22	45996669	45997170	6.96	5.7	1.26	1.5e-07	1.98e-05
chr12	92980000	93020000	chr12	93380000	93410000	12405	12407	12405_12407	shared	chr12	93011211	93011712	3.97	5.95	-1.98	1.51e-07	2e-05
chr2	230150000	230200000	chr2	230590000	230640000	2970	2973	2970_2973	shared	chr2	230172069	230172570	4.91	2.39	2.52	1.65e-07	2.15e-05
chr2	237580000	237610000	chr2	237740000	237770000	3039	3041	3039_3041	shared	chr2	237603613	237604114	6.41	4.86	1.56	1.66e-07	2.15e-05
chr12	93510000	93590000	chr12	93730000	93770000	12410	12412	12410_12412	shared	chr12	93524396	93524897	5.33	6.89	-1.56	1.75e-07	2.25e-05
chr12	93510000	93590000	chr12	94070000	94110000	12410	12418	12410_12418	shared	chr12	93524396	93524897	5.33	6.89	-1.56	1.75e-07	2.25e-05
chr15	89870000	89910000	chr15	90070000	90090000	14187	14188	14187_14188	shared	chr15	89875127	89875628	4.12	5.96	-1.84	2.06e-07	2.58e-05
chr3	54830000	54880000	chr3	55180000	55190000	3455	3457	3455_3457	shared	chr3	54843448	54843949	4.91	1.99	2.92	2.06e-07	2.58e-05
chr3	54830000	54880000	chr3	55470000	55510000	3455	3460	3455_3460	shared	chr3	54843448	54843949	4.91	1.99	2.92	2.06e-07	2.58e-05
chr3	54830000	54880000	chr3	55880000	55910000	3455	3463	3455_3463	shared	chr3	54843448	54843949	4.91	1.99	2.92	2.06e-07	2.58e-05
chr3	54830000	54880000	chr3	56230000	56260000	3455	3466	3455_3466	shared	chr3	54843448	54843949	4.91	1.99	2.92	2.06e-07	2.58e-05
chr3	54830000	54880000	chr3	55710000	55750000	3455	3462	3455_3462	nonT2E-specific	chr3	54843448	54843949	4.91	1.99	2.92	2.06e-07	2.58e-05
chr22	37280000	37330000	chr22	37440000	37480000	17165	17166	17165_17166	shared	chr22	37307215	37307716	6.88	5.66	1.22	2.12e-07	2.63e-05
chr17	78260000	78300000	chr17	78420000	78430000	15429	15430	15429_15430	shared	chr17	78263113	78263614	6.79	5.23	1.55	2.16e-07	2.67e-05
chr1	19900000	19960000	chr1	20150000	20170000	178	180	178_180	shared	chr1	19921438	19922728	6.17	4.26	1.91	2.37e-07	2.87e-05
chr1	19900000	19960000	chr1	20470000	20500000	178	183	178_183	shared	chr1	19921438	19922728	6.17	4.26	1.91	2.37e-07	2.87e-05
chr7	7400000	7430000	chr7	7530000	7550000	7357	7359	7357_7359	shared	chr7	7407975	7408476	2.71	5.23	-2.52	2.54e-07	3.04e-05
chr12	93510000	93590000	chr12	93730000	93770000	12410	12412	12410_12412	shared	chr12	93553358	93553859	5.39	6.87	-1.47	2.94e-07	3.43e-05
chr12	93510000	93590000	chr12	94070000	94110000	12410	12418	12410_12418	shared	chr12	93553358	93553859	5.39	6.87	-1.47	2.94e-07	3.43e-05
chr6	1570000	1630000	chr6	2080000	2120000	6164	6170	6164_6170	shared	chr6	1622024	1622525	4.87	2.39	2.48	3.19e-07	3.68e-05
chr6	1570000	1630000	chr6	2180000	2230000	6164	6172	6164_6172	shared	chr6	1622024	1622525	4.87	2.39	2.48	3.19e-07	3.68e-05
chr6	1570000	1630000	chr6	2340000	2370000	6164	6174	6164_6174	shared	chr6	1622024	1622525	4.87	2.39	2.48	3.19e-07	3.68e-05
chr6	1570000	1630000	chr6	2440000	2470000	6164	6175	6164_6175	shared	chr6	1622024	1622525	4.87	2.39	2.48	3.19e-07	3.68e-05
chr6	1570000	1630000	chr6	2610000	2650000	6164	6178	6164_6178	shared	chr6	1622024	1622525	4.87	2.39	2.48	3.19e-07	3.68e-05
chr6	1570000	1630000	chr6	2720000	2760000	6164	6181	6164_6181	shared	chr6	1622024	1622525	4.87	2.39	2.48	3.19e-07	3.68e-05
chr21	38490000	38530000	chr21	39110000	39160000	16910	16919	16910_16919	shared	chr21	38489781	38490282	5.87	4.09	1.77	3.28e-07	3.74e-05
chr21	38490000	38530000	chr21	38700000	38760000	16910	16914	16910_16914	nonT2E-specific	chr21	38489781	38490282	5.87	4.09	1.77	3.28e-07	3.74e-05
chr2	118030000	118060000	chr2	118140000	118160000	2326	2327	2326_2327	shared	chr2	118049955	118050456	5.15	2.93	2.22	3.35e-07	3.8e-05
chr2	118030000	118060000	chr2	118840000	118870000	2326	2330	2326_2330	shared	chr2	118049955	118050456	5.15	2.93	2.22	3.35e-07	3.8e-05
chr12	56750000	56780000	chr12	56980000	57020000	12215	12216	12215_12216	shared	chr12	56749623	56750124	3.88	5.64	-1.76	3.49e-07	3.92e-05
chrX	23770000	23800000	chrX	23890000	23920000	17385	17386	17385_17386	shared	chrX	23773130	23773631	5.42	3.69	1.73	3.62e-07	4.03e-05
chr8	52100000	52130000	chr8	52390000	52420000	8645	8647	8645_8647	shared	chr8	52127679	52128180	3.28	5.32	-2.05	3.7e-07	4.11e-05
chr5	55320000	55350000	chr5	55670000	55700000	5363	5368	5363_5368	shared	chr5	55342745	55343246	1.65	4.72	-3.07	3.74e-07	4.13e-05
chr20	47760000	47800000	chr20	48590000	48630000	16627	16634	16627_16634	shared	chr20	47774026	47774527	6	4.5	1.49	4.08e-07	4.44e-05
chr22	37280000	37330000	chr22	37440000	37480000	17165	17166	17165_17166	shared	chr22	37309599	37310100	6.01	4.34	1.67	4.45e-07	4.74e-05
chr8	42160000	42190000	chr8	42300000	42340000	8607	8608	8607_8608	shared	chr8	42187359	42187860	5.7	3.74	1.96	4.55e-07	4.82e-05
chr8	42160000	42190000	chr8	42350000	42440000	8607	8609	8607_8609	shared	chr8	42187359	42187860	5.7	3.74	1.96	4.55e-07	4.82e-05
chr22	37280000	37330000	chr22	37440000	37480000	17165	17166	17165_17166	shared	chr22	37289227	37289728	4.56	1.46	3.1	4.63e-07	4.89e-05
chr7	155790000	155830000	chr7	156460000	156490000	8311	8315	8311_8315	shared	chr7	155825213	155825714	5.44	2.98	2.46	4.87e-07	5.09e-05
chr7	155790000	155830000	chr7	156570000	156600000	8311	8317	8311_8317	shared	chr7	155825213	155825714	5.44	2.98	2.46	4.87e-07	5.09e-05
chr7	155790000	155830000	chr7	156640000	156660000	8311	8319	8311_8319	shared	chr7	155825213	155825714	5.44	2.98	2.46	4.87e-07	5.09e-05
chr7	155790000	155830000	chr7	156740000	156830000	8311	8322	8311_8322	shared	chr7	155825213	155825714	5.44	2.98	2.46	4.87e-07	5.09e-05
chr2	20090000	20130000	chr2	20220000	20230000	1748	1749	1748_1749	shared	chr2	20105116	20105617	5.96	4.55	1.41	5.91e-07	5.95e-05
chr10	30390000	30420000	chr10	30550000	30590000	10142	10144	10142_10144	shared	chr10	30417387	30417888	5.48	3.72	1.76	6.05e-07	6.06e-05
chr22	40010000	40060000	chr22	40330000	40360000	17190	17195	17190_17195	shared	chr22	40028443	40028944	4.72	6.39	-1.68	6.06e-07	6.07e-05
chr15	89870000	89910000	chr15	90070000	90090000	14187	14188	14187_14188	shared	chr15	89870524	89871025	3.98	5.75	-1.77	6.42e-07	6.33e-05
chr11	126410000	126510000	chr11	126970000	127010000	11743	11748	11743_11748	shared	chr11	126465453	126465954	5.88	3.79	2.09	6.73e-07	6.54e-05
chr8	57560000	57590000	chr8	58350000	58410000	8683	8689	8683_8689	shared	chr8	57564566	57565067	2.69	5.17	-2.48	7.22e-07	6.88e-05
chr2	175350000	175380000	chr2	176060000	176100000	2605	2608	2605_2608	shared	chr2	175373673	175374174	5.2	3.33	1.87	7.3e-07	6.95e-05
chr17	33280000	33300000	chr17	33640000	33700000	15046	15050	15046_15050	shared	chr17	33292359	33292860	5.92	3.78	2.14	7.8e-07	7.3e-05
chr3	193770000	193810000	chr3	194060000	194090000	4286	4289	4286_4289	shared	chr3	193790315	193790816	6.24	4.79	1.45	7.9e-07	7.36e-05
chr3	193770000	193810000	chr3	194120000	194160000	4286	4290	4286_4290	shared	chr3	193790315	193790816	6.24	4.79	1.45	7.9e-07	7.36e-05
chr3	193770000	193810000	chr3	194290000	194360000	4286	4291	4286_4291	shared	chr3	193790315	193790816	6.24	4.79	1.45	7.9e-07	7.36e-05
chr20	21690000	21740000	chr20	22100000	22120000	16396	16398	16396_16398	shared	chr20	21703132	21703633	4.91	2.18	2.73	7.97e-07	7.41e-05
chr20	21690000	21740000	chr20	22290000	22310000	16396	16402	16396_16402	shared	chr20	21703132	21703633	4.91	2.18	2.73	7.97e-07	7.41e-05
chr7	107860000	107900000	chr7	108130000	108150000	8060	8061	8060_8061	nonT2E-specific	chr7	107868862	107869856	4.22	5.92	-1.71	8.04e-07	7.46e-05
chr12	93100000	93170000	chr12	93380000	93410000	12406	12407	12406_12407	shared	chr12	93160865	93161366	4.39	5.87	-1.48	8.2e-07	7.58e-05
chr14	61290000	61320000	chr14	61440000	61500000	13405	13406	13405_13406	shared	chr14	61308499	61309000	4.64	2.01	2.63	8.36e-07	7.71e-05
chr14	61290000	61320000	chr14	61820000	61850000	13405	13413	13405_13413	shared	chr14	61308499	61309000	4.64	2.01	2.63	8.36e-07	7.71e-05
chr12	3970000	4050000	chr12	4260000	4290000	11843	11845	11843_11845	shared	chr12	4000076	4000577	5.64	3.41	2.23	8.36e-07	7.71e-05
chr8	52100000	52130000	chr8	52390000	52420000	8645	8647	8645_8647	shared	chr8	52120415	52120916	3.8	5.72	-1.92	9.06e-07	8.19e-05
chr6	3120000	3160000	chr6	3240000	3310000	6185	6186	6185_6186	shared	chr6	3129261	3129762	1.78	4.94	-3.16	9.88e-07	8.77e-05
chr2	226620000	226670000	chr2	226790000	226840000	2935	2938	2935_2938	shared	chr2	226630822	226631323	6.98	5.88	1.1	1.04e-06	9.19e-05
chr14	37420000	37440000	chr14	37560000	37590000	13291	13292	13291_13292	shared	chr14	37420503	37421004	5.51	6.86	-1.36	1.04e-06	9.2e-05
chr6	146850000	146870000	chr6	147270000	147300000	7149	7155	7149_7155	shared	chr6	146857761	146858262	6.67	5.37	1.3	1.18e-06	0.000101
chr7	2860000	2900000	chr7	3140000	3180000	7330	7332	7330_7332	shared	chr7	2870057	2870558	5.98	4.67	1.31	1.29e-06	0.000109
chr7	2860000	2900000	chr7	3880000	3910000	7330	7334	7330_7334	shared	chr7	2870057	2870558	5.98	4.67	1.31	1.29e-06	0.000109
chr7	17680000	17740000	chr7	18310000	18370000	7419	7421	7419_7421	shared	chr7	17726177	17726678	5.26	3.4	1.86	1.41e-06	0.000117
chr13	23700000	23720000	chr13	23850000	23890000	12762	12764	12762_12764	T2E-specific	chr13	23711544	23712045	1.5	4.63	-3.13	1.44e-06	0.000119
chr13	112600000	112650000	chr13	112860000	112880000	13151	13152	13151_13152	shared	chr13	112638073	112638574	4.86	2.53	2.32	1.54e-06	0.000126
chr21	29080000	29110000	chr21	29340000	29380000	16843	16846	16843_16846	shared	chr21	29104367	29104868	5.06	3.11	1.95	1.55e-06	0.000126
chr8	27580000	27620000	chr8	27730000	27770000	8516	8517	8516_8517	shared	chr8	27603035	27603536	3.98	5.43	-1.45	1.6e-06	0.000129
chr8	134660000	134710000	chr8	134850000	134890000	9118	9120	9118_9120	shared	chr8	134681040	134681541	5.97	4.45	1.52	1.63e-06	0.000131
chr9	107460000	107510000	chr9	108270000	108290000	9631	9639	9631_9639	shared	chr9	107508701	107509202	5.42	6.66	-1.24	1.69e-06	0.000135
chr9	107460000	107510000	chr9	108550000	108580000	9631	9642	9631_9642	shared	chr9	107508701	107509202	5.42	6.66	-1.24	1.69e-06	0.000135
chr9	107460000	107510000	chr9	108750000	108780000	9631	9643	9631_9643	shared	chr9	107508701	107509202	5.42	6.66	-1.24	1.69e-06	0.000135
chr5	14690000	14740000	chr5	14990000	15020000	5207	5209	5207_5209	shared	chr5	14717675	14718176	5.69	6.92	-1.24	1.73e-06	0.000137
chr7	107860000	107900000	chr7	108130000	108150000	8060	8061	8060_8061	nonT2E-specific	chr7	107871390	107871891	3.16	5.21	-2.05	1.82e-06	0.000143
chrX	23770000	23800000	chrX	23890000	23920000	17385	17386	17385_17386	shared	chrX	23773942	23774443	4.75	2.59	2.16	1.89e-06	0.000147
chr8	52100000	52130000	chr8	52390000	52420000	8645	8647	8645_8647	shared	chr8	52116863	52117364	4	5.74	-1.74	1.89e-06	0.000147
chr20	10530000	10570000	chr20	11260000	11300000	16324	16329	16324_16329	shared	chr20	10566744	10567245	5.8	4.35	1.45	1.96e-06	0.000151
chr12	93510000	93590000	chr12	93730000	93770000	12410	12412	12410_12412	shared	chr12	93517387	93517888	3.54	5.48	-1.93	2.15e-06	0.000162
chr12	93510000	93590000	chr12	94070000	94110000	12410	12418	12410_12418	shared	chr12	93517387	93517888	3.54	5.48	-1.93	2.15e-06	0.000162
chr5	14690000	14740000	chr5	14990000	15020000	5207	5209	5207_5209	shared	chr5	14711596	14712097	3.29	5.05	-1.76	2.27e-06	0.000169
chr5	55380000	55420000	chr5	55670000	55700000	5364	5368	5364_5368	shared	chr5	55384652	55385153	3.59	5.39	-1.8	2.29e-06	0.00017
chr17	41520000	41570000	chr17	41650000	41680000	15129	15130	15129_15130	shared	chr17	41548665	41549166	7.1	6.11	1	2.35e-06	0.000174
chr21	38490000	38530000	chr21	39110000	39160000	16910	16919	16910_16919	shared	chr21	38497961	38498462	5.04	2.64	2.4	2.41e-06	0.000177
