chr_x	start_x	end_x	chr_y	start_y	end_y	anchor_ID_x	anchor_ID_y	loopID	Benign	Malignant	Consistent_in_benign_or_tumour
chr2	187490000	187510000	chr2	187830000	187850000	2665	2667	2665_2667	0	3	TRUE
chr2	196770000	196800000	chr2	197350000	197410000	2714	2721	2714_2721	2	3	TRUE
chr2	219000000	219060000	chr2	219140000	219180000	2865	2866	2865_2866	3	3	TRUE
chr2	222030000	222060000	chr2	222290000	222330000	2890	2891	2890_2891	0	3	TRUE
chr2	236540000	236580000	chr2	237020000	237070000	3028	3033	3028_3033	1	4	TRUE
chr2	241710000	241740000	chr2	241860000	241880000	3078	3079	3078_3079	3	4	TRUE
chr3	39700000	39740000	chr3	39970000	40000000	3307	3310	3307_3310	2	4	TRUE
chr3	54140000	54170000	chr3	54350000	54380000	3450	3451	3450_3451	2	4	TRUE
chr3	126670000	126690000	chr3	127440000	127470000	3828	3834	3828_3834	1	3	TRUE
chr3	132240000	132260000	chr3	132320000	132340000	3882	3883	3882_3883	2	3	TRUE
chr3	160690000	160720000	chr3	161400000	161440000	4095	4100	4095_4100	3	3	TRUE
chr3	168200000	168230000	chr3	168830000	168860000	4114	4115	4114_4115	3	3	TRUE
chr3	190220000	190240000	chr3	190380000	190400000	4258	4260	4258_4260	0	3	TRUE
chr4	7440000	7480000	chr4	7700000	7730000	4359	4360	4359_4360	1	4	TRUE
chr4	16280000	16310000	chr4	17320000	17350000	4417	4419	4417_4419	1	3	TRUE
chr4	87670000	87690000	chr4	87830000	87880000	4732	4733	4732_4733	2	3	TRUE
chr4	93790000	93810000	chr4	94120000	94140000	4761	4762	4761_4762	0	3	TRUE
chr4	167000000	167030000	chr4	167270000	167310000	5051	5052	5051_5052	3	3	TRUE
chr4	184730000	184760000	chr4	184970000	185000000	5120	5121	5120_5121	2	5	TRUE
chr5	35760000	35790000	chr5	35910000	35940000	5267	5268	5267_5268	4	3	TRUE
chr5	73980000	73990000	chr5	74620000	74660000	5525	5535	5525_5535	0	3	TRUE
chr5	76400000	76420000	chr5	76540000	76560000	5549	5550	5549_5550	1	3	TRUE
chr5	82630000	82650000	chr5	83430000	83470000	5599	5603	5599_5603	0	3	TRUE
chr5	82630000	82650000	chr5	83550000	83590000	5599	5605	5599_5605	1	3	TRUE
chr5	113370000	113390000	chr5	113500000	113540000	5697	5699	5697_5699	2	3	TRUE
chr5	116570000	116600000	chr5	116930000	116950000	5718	5719	5718_5719	0	3	TRUE
chr5	131250000	131280000	chr5	131390000	131420000	5784	5786	5784_5786	1	3	TRUE
chr5	138620000	138660000	chr5	139230000	139280000	5858	5865	5858_5865	1	3	TRUE
chr6	3340000	3380000	chr6	3710000	3760000	6187	6195	6187_6195	2	3	TRUE
chr6	3400000	3420000	chr6	3710000	3760000	6188	6195	6188_6195	1	3	TRUE
chr6	6060000	6080000	chr6	6510000	6570000	6221	6225	6221_6225	1	3	TRUE
chr6	14180000	14230000	chr6	14790000	14810000	6298	6304	6298_6304	0	3	TRUE
chr1	87280000	87340000	chr1	88040000	88060000	683	687	683_687	0	3	TRUE
chr6	122370000	122380000	chr6	122520000	122550000	6954	6955	6954_6955	0	3	TRUE
chr6	150880000	150910000	chr6	151000000	151030000	7185	7186	7185_7186	2	3	TRUE
chr7	11400000	11440000	chr7	11830000	11860000	7372	7374	7372_7374	0	3	TRUE
chr7	19120000	19150000	chr7	19440000	19450000	7425	7426	7425_7426	0	3	TRUE
chr7	25820000	25910000	chr7	26260000	26310000	7475	7479	7475_7479	2	3	TRUE
chr7	29740000	29760000	chr7	29910000	29930000	7511	7512	7511_7512	0	3	TRUE
chr7	31110000	31170000	chr7	31720000	31780000	7522	7525	7522_7525	3	3	TRUE
chr7	31430000	31460000	chr7	31620000	31650000	7523	7524	7523_7524	1	3	TRUE
chr7	32180000	32230000	chr7	32460000	32480000	7528	7529	7528_7529	0	4	TRUE
chr7	39880000	39900000	chr7	40040000	40060000	7581	7582	7581_7582	3	3	TRUE
chr7	46340000	46370000	chr7	47150000	47200000	7638	7644	7638_7644	0	3	TRUE
chr7	46770000	46790000	chr7	47070000	47120000	7640	7642	7640_7642	0	3	TRUE
chr7	100450000	100480000	chr7	100840000	100880000	8002	8006	8002_8006	2	3	TRUE
chr7	147540000	147560000	chr7	148070000	148090000	8269	8270	8269_8270	0	3	TRUE
chr7	152440000	152460000	chr7	152680000	152720000	8299	8300	8299_8300	1	3	TRUE
chr8	22680000	22720000	chr8	22890000	22930000	8477	8478	8477_8478	1	3	TRUE
chr8	68560000	68590000	chr8	69530000	69560000	8749	8751	8749_8751	0	3	TRUE
chr8	85290000	85320000	chr8	86020000	86060000	8822	8825	8822_8825	1	4	TRUE
chr8	103070000	103100000	chr8	103360000	103390000	8932	8933	8932_8933	1	4	TRUE
chr8	119260000	119270000	chr8	119420000	119440000	9011	9012	9011_9012	1	3	TRUE
chr9	6550000	6590000	chr9	6720000	6740000	9208	9209	9208_9209	0	3	TRUE
chr9	17520000	17550000	chr9	17800000	17830000	9252	9256	9252_9256	1	3	TRUE
chr9	86410000	86510000	chr9	86920000	86970000	9459	9463	9459_9463	5	3	TRUE
chr9	90200000	90230000	chr9	90750000	90770000	9494	9497	9494_9497	0	3	TRUE
chr9	99240000	99290000	chr9	99990000	100040000	9575	9582	9575_9582	0	3	TRUE
chr9	115570000	115630000	chr9	116110000	116170000	9708	9711	9708_9711	0	3	TRUE
chr9	124760000	124780000	chr9	125350000	125380000	9781	9790	9781_9790	0	3	TRUE
