anchor_chr	anchor_start	anchor_end	anchor_anchor_ID	peak_chr	peak_start	peak_end	peak_Conc_T2E	peak_Conc_NonT2E	peak_Fold	peak_p.value	peak_FDR
chr15	89870000	89910000	14187	chr15	89874170	89874671	3.01	5.59	-2.58	1.87e-11	1.06e-08
chr3	156810000	156840000	4069	chr3	156810550	156811051	5.05	1.8	3.25	1.93e-11	1.09e-08
chr20	62780000	62820000	16767	chr20	62784196	62784697	5.08	1.38	3.7	2.37e-11	1.32e-08
chr20	61860000	61910000	16754	chr20	61873932	61874855	5.66	2.73	2.93	2.59e-11	1.42e-08
chr5	175440000	175460000	6120	chr5	175444440	175444941	6.24	4.08	2.16	3.48e-11	1.82e-08
chr15	72700000	72730000	14064	chr15	72726747	72727248	3.67	6.02	-2.34	3.68e-11	1.9e-08
chr12	109590000	109610000	12561	chr12	109606526	109607027	3.61	6.04	-2.43	4.9e-11	2.34e-08
chr17	61540000	61600000	15281	chr17	61568165	61568666	4.59	6.41	-1.81	5.89e-11	2.75e-08
chr13	23850000	23890000	12764	chr13	23879409	23879910	0.56	4.94	-4.38	6.45e-11	2.97e-08
chr14	77050000	77080000	13555	chr14	77075643	77076144	7.24	5.97	1.27	8e-11	3.55e-08
chr13	23850000	23890000	12764	chr13	23878126	23878627	0.42	4.97	-4.55	8.22e-11	3.62e-08
chr14	37220000	37260000	13289	chr14	37245503	37246004	0.72	5.01	-4.28	8.78e-11	3.82e-08
chr12	93510000	93590000	12410	chr12	93509946	93510447	3.07	5.68	-2.61	9e-11	3.9e-08
chr4	173490000	173540000	5076	chr4	173502512	173503013	4.76	-0.25	5.01	9.2e-11	3.93e-08
chr12	130030000	130060000	12716	chr12	130059344	130059845	4.86	-0.54	5.4	9.96e-11	4.14e-08
chr22	19440000	19500000	17001	chr22	19497057	19497558	5.95	3.34	2.6	1.41e-10	5.58e-08
chr12	93380000	93410000	12407	chr12	93397466	93397967	3.4	5.49	-2.09	1.54e-10	6.06e-08
chr9	133780000	133800000	9872	chr9	133788801	133789302	6.04	4.02	2.03	1.6e-10	6.26e-08
chr7	26480000	26530000	7481	chr7	26527091	26527592	5.86	3.56	2.31	1.86e-10	7.08e-08
chr12	130030000	130060000	12716	chr12	130042395	130042896	4.89	1.84	3.05	2.87e-10	1.02e-07
chr2	200460000	200490000	2736	chr2	200477553	200478054	5.47	3.3	2.17	2.97e-10	1.05e-07
chr17	6830000	6870000	14852	chr17	6853782	6854283	4.37	6.18	-1.81	3.71e-10	1.25e-07
chr12	93510000	93590000	12410	chr12	93550699	93551200	4.43	6.29	-1.86	3.75e-10	1.26e-07
chr13	23850000	23890000	12764	chr13	23863022	23863523	3.93	6.16	-2.23	6.92e-10	2.15e-07
chr13	23850000	23890000	12764	chr13	23859297	23859798	3.25	5.56	-2.31	7.85e-10	2.38e-07
chr2	15630000	15670000	1714	chr2	15642215	15642716	5.09	2.36	2.73	9.12e-10	2.71e-07
chr9	120940000	120980000	9744	chr9	120951916	120952417	5.17	2.62	2.56	1.02e-09	2.96e-07
chr7	98150000	98180000	7981	chr7	98170131	98170632	4.09	5.95	-1.86	1.08e-09	3.09e-07
chr1	150810000	150830000	897	chr1	150825987	150826958	3.91	5.8	-1.89	1.38e-09	3.84e-07
chr5	14690000	14740000	5207	chr5	14699633	14700134	1.76	5.11	-3.35	2.24e-09	5.8e-07
chr4	173490000	173540000	5076	chr4	173501205	173501706	5	2.18	2.83	2.43e-09	6.18e-07
chr12	92980000	93020000	12405	chr12	93008773	93009274	3.71	6.14	-2.43	2.45e-09	6.21e-07
chr19	2590000	2620000	15907	chr19	2591338	2591839	3.65	5.55	-1.9	2.65e-09	6.6e-07
chr6	138410000	138440000	7085	chr6	138423971	138424940	5.92	3.77	2.15	2.95e-09	7.21e-07
chr18	61550000	61650000	15807	chr18	61549714	61550215	6.21	4.67	1.54	3.05e-09	7.38e-07
chr5	14690000	14740000	5207	chr5	14715164	14715665	4.23	6.1	-1.87	3.48e-09	8.3e-07
chr20	21560000	21620000	16393	chr20	21583604	21584105	4.62	0.71	3.91	3.5e-09	8.33e-07
chr2	26590000	26610000	1784	chr2	26598568	26599069	6.21	4.41	1.8	3.72e-09	8.78e-07
chr12	93510000	93590000	12410	chr12	93537761	93538262	3.27	5.41	-2.14	4.49e-09	1.03e-06
chr7	107860000	107900000	8060	chr7	107864585	107865086	3.02	5.29	-2.28	5.02e-09	1.12e-06
chr12	93510000	93590000	12410	chr12	93549142	93549643	4.05	5.88	-1.83	5.83e-09	1.29e-06
chr13	23850000	23890000	12764	chr13	23886197	23886698	1.34	5.12	-3.77	5.9e-09	1.29e-06
chr14	37420000	37440000	13291	chr14	37431810	37432311	4.62	6.25	-1.63	7.09e-09	1.52e-06
chr7	26480000	26530000	7481	chr7	26503678	26504179	4.95	1.82	3.14	7.53e-09	1.59e-06
chr12	124420000	124460000	12695	chr12	124453427	124453928	7.1	5.43	1.66	8.81e-09	1.83e-06
chr7	116950000	116990000	8102	chr7	116951810	116952311	3.23	5.84	-2.61	8.87e-09	1.84e-06
chr16	69280000	69300000	14662	chr16	69281812	69282313	3.69	5.48	-1.79	9.25e-09	1.91e-06
chr10	71690000	71710000	10427	chr10	71692587	71693088	5.41	3.48	1.93	9.72e-09	1.98e-06
chr2	9330000	9370000	1682	chr2	9338733	9339234	6.58	5.02	1.56	1.01e-08	2.05e-06
chr18	77640000	77680000	15882	chr18	77676930	77677431	5.82	1.49	4.33	1.07e-08	2.16e-06
chr22	45850000	45880000	17245	chr22	45864514	45865015	5.56	3.83	1.73	1.22e-08	2.4e-06
chr13	23850000	23890000	12764	chr13	23857221	23857722	0.63	4.72	-4.09	1.24e-08	2.42e-06
chr11	69250000	69300000	11366	chr11	69297755	69298256	6.98	5.64	1.34	1.25e-08	2.44e-06
chr1	211940000	211970000	1354	chr1	211942055	211942556	5.81	3.33	2.48	1.57e-08	2.97e-06
chr12	93510000	93590000	12410	chr12	93547884	93548385	2.85	5.35	-2.5	1.62e-08	3.04e-06
chr8	52100000	52130000	8645	chr8	52118592	52119093	2.78	5.36	-2.58	2.36e-08	4.16e-06
chr14	37420000	37440000	13291	chr14	37429768	37430269	4.01	5.99	-1.98	2.49e-08	4.34e-06
chr7	104220000	104280000	8027	chr7	104228395	104228896	2.24	4.92	-2.69	2.6e-08	4.48e-06
chr18	77640000	77680000	15882	chr18	77677442	77677943	5.11	1.81	3.29	2.65e-08	4.55e-06
chr8	52100000	52130000	8645	chr8	52111821	52112322	2.09	5	-2.91	2.74e-08	4.68e-06
chr12	64880000	64900000	12255	chr12	64882684	64883185	4.64	6.19	-1.55	3.13e-08	5.24e-06
chr2	174330000	174360000	2595	chr2	174336339	174336840	6.68	4.79	1.89	3.33e-08	5.53e-06
chr14	37560000	37590000	13292	chr14	37569990	37570491	5.56	6.83	-1.28	4.29e-08	6.85e-06
chr10	92060000	92100000	10571	chr10	92096583	92097084	3.02	5.56	-2.54	4.54e-08	7.17e-06
chr1	239390000	239420000	1575	chr1	239392256	239392757	4.45	0.43	4.02	5.19e-08	8.03e-06
chr5	174720000	174740000	6116	chr5	174720939	174721440	5.47	3.48	1.99	6.1e-08	9.25e-06
chr13	112860000	112880000	13152	chr13	112873320	112873821	5.4	2.95	2.45	6.23e-08	9.4e-06
chr6	132220000	132250000	7022	chr6	132247000	132247501	5.36	3.44	1.92	6.57e-08	9.88e-06
chr9	35250000	35280000	9320	chr9	35269233	35269734	4.6	6.11	-1.51	6.72e-08	1.01e-05
chr18	51110000	51130000	15749	chr18	51115732	51116233	1.98	4.9	-2.92	7.12e-08	1.06e-05
chr7	155580000	155610000	8309	chr7	155590580	155591535	5.76	3.5	2.26	8.09e-08	1.18e-05
chr13	36260000	36300000	12853	chr13	36259665	36260166	5.31	3.55	1.76	8.11e-08	1.18e-05
chr11	118380000	118400000	11657	chr11	118395898	118396399	4.33	5.86	-1.52	8.45e-08	1.23e-05
chr21	38490000	38530000	16910	chr21	38493524	38494025	5.76	3.38	2.38	8.9e-08	1.29e-05
chr14	37420000	37440000	13291	chr14	37438105	37438606	5.03	6.45	-1.43	9.03e-08	1.3e-05
chr6	105380000	105430000	6841	chr6	105388057	105388558	4.87	2.63	2.25	9.33e-08	1.34e-05
chr1	179840000	179880000	1167	chr1	179840255	179840756	5.32	3.44	1.88	9.83e-08	1.4e-05
chr13	23850000	23890000	12764	chr13	23869315	23869816	1.72	5.07	-3.35	1.07e-07	1.5e-05
chr1	162380000	162410000	1022	chr1	162381769	162382270	4.29	6	-1.72	1.15e-07	1.59e-05
chr18	32260000	32300000	15662	chr18	32277906	32278407	5.17	3.29	1.88	1.23e-07	1.67e-05
chr6	26110000	26150000	6416	chr6	26118508	26119009	3.03	5.46	-2.43	1.25e-07	1.7e-05
chr2	230150000	230200000	2970	chr2	230170161	230170662	5.99	4.32	1.67	1.3e-07	1.75e-05
chr6	39150000	39180000	6517	chr6	39169609	39170110	5.73	4.29	1.45	1.37e-07	1.84e-05
chr5	174300000	174320000	6113	chr5	174319492	174319993	4.3	0.58	3.72	1.37e-07	1.84e-05
chr7	103560000	103590000	8024	chr7	103571756	103572257	1.87	4.76	-2.88	1.41e-07	1.88e-05
chr5	6760000	6790000	5174	chr5	6773315	6773816	4.74	0.32	4.43	1.43e-07	1.91e-05
chr9	72030000	72080000	9378	chr9	72042954	72043455	5.33	3.16	2.17	1.46e-07	1.94e-05
chr22	45960000	46020000	17246	chr22	45996669	45997170	6.96	5.7	1.26	1.5e-07	1.98e-05
chr12	92980000	93020000	12405	chr12	93011211	93011712	3.97	5.95	-1.98	1.51e-07	2e-05
chr18	77640000	77680000	15882	chr18	77675429	77675930	4.29	-0.25	4.54	1.53e-07	2.01e-05
chr2	230150000	230200000	2970	chr2	230172069	230172570	4.91	2.39	2.52	1.65e-07	2.15e-05
chr2	237580000	237610000	3039	chr2	237603613	237604114	6.41	4.86	1.56	1.66e-07	2.15e-05
chr12	93510000	93590000	12410	chr12	93524396	93524897	5.33	6.89	-1.56	1.75e-07	2.25e-05
chr15	90470000	90490000	14194	chr15	90487198	90487699	3.5	5.32	-1.82	1.84e-07	2.34e-05
chr3	120170000	120200000	3786	chr3	120177231	120178202	5.85	4.28	1.57	1.92e-07	2.43e-05
chr15	89870000	89910000	14187	chr15	89875127	89875628	4.12	5.96	-1.84	2.06e-07	2.58e-05
chr3	54830000	54880000	3455	chr3	54843448	54843949	4.91	1.99	2.92	2.06e-07	2.58e-05
chr13	42090000	42120000	12908	chr13	42114181	42114682	4.9	2.57	2.34	2.11e-07	2.62e-05
chr22	37280000	37330000	17165	chr22	37307215	37307716	6.88	5.66	1.22	2.12e-07	2.63e-05
chr17	78260000	78300000	15429	chr17	78263113	78263614	6.79	5.23	1.55	2.16e-07	2.67e-05
chr22	19610000	19640000	17002	chr22	19617554	19618055	4.9	2.82	2.08	2.18e-07	2.68e-05
chr13	23850000	23890000	12764	chr13	23866395	23866896	3.07	5.49	-2.41	2.22e-07	2.72e-05
chr1	19900000	19960000	178	chr1	19921438	19922728	6.17	4.26	1.91	2.37e-07	2.87e-05
chr7	7400000	7430000	7357	chr7	7407975	7408476	2.71	5.23	-2.52	2.54e-07	3.04e-05
chr12	120950000	120990000	12665	chr12	120978478	120978979	4.27	6.33	-2.06	2.57e-07	3.06e-05
chr12	63050000	63090000	12242	chr12	63064502	63065003	5.07	3.08	1.99	2.67e-07	3.17e-05
chr12	93510000	93590000	12410	chr12	93553358	93553859	5.39	6.87	-1.47	2.94e-07	3.43e-05
chr10	128000000	128050000	10816	chr10	128047437	128047938	6.51	5.12	1.39	2.94e-07	3.43e-05
chr7	26480000	26530000	7481	chr7	26511749	26512250	5.01	2.6	2.41	3.06e-07	3.55e-05
chr7	26480000	26530000	7481	chr7	26512685	26513186	5.07	2.45	2.62	3.17e-07	3.66e-05
chr6	1570000	1630000	6164	chr6	1622024	1622525	4.87	2.39	2.48	3.19e-07	3.68e-05
chr7	26480000	26530000	7481	chr7	26525255	26525756	6.2	4.78	1.42	3.27e-07	3.74e-05
chr21	38490000	38530000	16910	chr21	38489781	38490282	5.87	4.09	1.77	3.28e-07	3.74e-05
chr7	83640000	83670000	7883	chr7	83644793	83645294	3.11	5.12	-2.01	3.34e-07	3.78e-05
chr2	118030000	118060000	2326	chr2	118049955	118050456	5.15	2.93	2.22	3.35e-07	3.8e-05
chr12	56750000	56780000	12215	chr12	56749623	56750124	3.88	5.64	-1.76	3.49e-07	3.92e-05
chrX	23770000	23800000	17385	chrX	23773130	23773631	5.42	3.69	1.73	3.62e-07	4.03e-05
chr8	52100000	52130000	8645	chr8	52127679	52128180	3.28	5.32	-2.05	3.7e-07	4.11e-05
chr2	205650000	205690000	2777	chr2	205685579	205686080	6.55	5.29	1.26	3.73e-07	4.13e-05
chr5	55320000	55350000	5363	chr5	55342745	55343246	1.65	4.72	-3.07	3.74e-07	4.13e-05
chr13	23850000	23890000	12764	chr13	23864281	23864782	1.91	5.02	-3.12	3.78e-07	4.17e-05
chr17	680000	710000	14797	chr17	705525	706026	5.13	2.85	2.28	3.89e-07	4.27e-05
chr20	47760000	47800000	16627	chr20	47774026	47774527	6	4.5	1.49	4.08e-07	4.44e-05
chr22	37280000	37330000	17165	chr22	37309599	37310100	6.01	4.34	1.67	4.45e-07	4.74e-05
chr22	23270000	23290000	17025	chr22	23279202	23279703	7.23	6.22	1	4.48e-07	4.77e-05
chr8	42160000	42190000	8607	chr8	42187359	42187860	5.7	3.74	1.96	4.55e-07	4.82e-05
chr22	37280000	37330000	17165	chr22	37289227	37289728	4.56	1.46	3.1	4.63e-07	4.89e-05
chr7	155790000	155830000	8311	chr7	155825213	155825714	5.44	2.98	2.46	4.87e-07	5.09e-05
chr10	17410000	17440000	10050	chr10	17439297	17439798	4.3	5.77	-1.47	4.99e-07	5.19e-05
chr2	9330000	9370000	1682	chr2	9340101	9340602	5.86	4.29	1.57	5.14e-07	5.33e-05
chr1	235060000	235100000	1540	chr1	235069853	235070354	6.67	5.08	1.6	5.32e-07	5.48e-05
chr10	76020000	76080000	10467	chr10	76052361	76052862	6.01	4.69	1.32	5.86e-07	5.91e-05
chr2	20090000	20130000	1748	chr2	20105116	20105617	5.96	4.55	1.41	5.91e-07	5.95e-05
chr10	30390000	30420000	10142	chr10	30417387	30417888	5.48	3.72	1.76	6.05e-07	6.06e-05
chr22	40010000	40060000	17190	chr22	40028443	40028944	4.72	6.39	-1.68	6.06e-07	6.07e-05
chr15	89870000	89910000	14187	chr15	89870524	89871025	3.98	5.75	-1.77	6.42e-07	6.33e-05
chr5	14260000	14310000	5202	chr5	14260862	14261363	4.45	5.95	-1.5	6.49e-07	6.37e-05
chr11	126410000	126510000	11743	chr11	126465453	126465954	5.88	3.79	2.09	6.73e-07	6.54e-05
chr7	26480000	26530000	7481	chr7	26514540	26515041	5.44	3.7	1.74	6.84e-07	6.63e-05
chr18	76340000	76360000	15872	chr18	76350541	76351042	5.86	3.99	1.87	7.02e-07	6.72e-05
chr8	57560000	57590000	8683	chr8	57564566	57565067	2.69	5.17	-2.48	7.22e-07	6.88e-05
chr2	175350000	175380000	2605	chr2	175373673	175374174	5.2	3.33	1.87	7.3e-07	6.95e-05
chr22	38560000	38620000	17178	chr22	38612159	38612660	1.77	4.89	-3.12	7.35e-07	6.97e-05
chr2	209200000	209230000	2797	chr2	209208228	209208729	3.16	5.41	-2.25	7.45e-07	7.04e-05
chr17	33280000	33300000	15046	chr17	33292359	33292860	5.92	3.78	2.14	7.8e-07	7.3e-05
chr3	193770000	193810000	4286	chr3	193790315	193790816	6.24	4.79	1.45	7.9e-07	7.36e-05
chr20	21690000	21740000	16396	chr20	21703132	21703633	4.91	2.18	2.73	7.97e-07	7.41e-05
chr7	107860000	107900000	8060	chr7	107868862	107869856	4.22	5.92	-1.71	8.04e-07	7.46e-05
chr12	93100000	93170000	12406	chr12	93160865	93161366	4.39	5.87	-1.48	8.2e-07	7.58e-05
chr14	61290000	61320000	13405	chr14	61308499	61309000	4.64	2.01	2.63	8.36e-07	7.71e-05
chr12	3970000	4050000	11843	chr12	4000076	4000577	5.64	3.41	2.23	8.36e-07	7.71e-05
chr8	52100000	52130000	8645	chr8	52120415	52120916	3.8	5.72	-1.92	9.06e-07	8.19e-05
chr6	3120000	3160000	6185	chr6	3129261	3129762	1.78	4.94	-3.16	9.88e-07	8.77e-05
chr2	226620000	226670000	2935	chr2	226630822	226631323	6.98	5.88	1.1	1.04e-06	9.19e-05
chr14	37420000	37440000	13291	chr14	37420503	37421004	5.51	6.86	-1.36	1.04e-06	9.2e-05
chr1	178270000	178320000	1152	chr1	178304211	178304712	4.93	6.16	-1.23	1.09e-06	9.5e-05
chr6	146850000	146870000	7149	chr6	146857761	146858262	6.67	5.37	1.3	1.18e-06	0.000101
chr20	59380000	59500000	16737	chr20	59429310	59429811	5.72	4.4	1.32	1.19e-06	0.000102
chr7	2860000	2900000	7330	chr7	2870057	2870558	5.98	4.67	1.31	1.29e-06	0.000109
chr13	23850000	23890000	12764	chr13	23883675	23884176	0.82	4.4	-3.58	1.32e-06	0.000111
chr7	17680000	17740000	7419	chr7	17726177	17726678	5.26	3.4	1.86	1.41e-06	0.000117
chr13	23700000	23720000	12762	chr13	23711544	23712045	1.5	4.63	-3.13	1.44e-06	0.000119
chr14	25020000	25060000	13197	chr14	25052920	25053421	3.99	5.71	-1.72	1.46e-06	0.00012
chr13	112600000	112650000	13151	chr13	112638073	112638574	4.86	2.53	2.32	1.54e-06	0.000126
chr21	29080000	29110000	16843	chr21	29104367	29104868	5.06	3.11	1.95	1.55e-06	0.000126
chr9	113570000	113600000	9684	chr9	113589257	113589758	6.64	5.42	1.22	1.57e-06	0.000127
chr12	93380000	93410000	12407	chr12	93396280	93396781	4.54	5.87	-1.33	1.59e-06	0.000128
chr8	27580000	27620000	8516	chr8	27603035	27603536	3.98	5.43	-1.45	1.6e-06	0.000129
chr8	134660000	134710000	9118	chr8	134681040	134681541	5.97	4.45	1.52	1.63e-06	0.000131
chr9	107460000	107510000	9631	chr9	107508701	107509202	5.42	6.66	-1.24	1.69e-06	0.000135
chr1	47920000	47950000	440	chr1	47924577	47925078	5.21	3.4	1.81	1.72e-06	0.000137
chr5	14690000	14740000	5207	chr5	14717675	14718176	5.69	6.92	-1.24	1.73e-06	0.000137
chr14	25020000	25060000	13197	chr14	25055205	25055706	3.53	5.36	-1.83	1.8e-06	0.000142
chr7	107860000	107900000	8060	chr7	107871390	107871891	3.16	5.21	-2.05	1.82e-06	0.000143
chr7	26480000	26530000	7481	chr7	26523083	26523584	5.29	3.73	1.56	1.86e-06	0.000145
chrX	23770000	23800000	17385	chrX	23773942	23774443	4.75	2.59	2.16	1.89e-06	0.000147
chr8	52100000	52130000	8645	chr8	52116863	52117364	4	5.74	-1.74	1.89e-06	0.000147
chr22	50020000	50040000	17287	chr22	50028135	50028636	6.74	5.35	1.39	1.9e-06	0.000148
chr10	11970000	11990000	10000	chr10	11986627	11987128	2.83	4.97	-2.14	1.91e-06	0.000148
chr20	10530000	10570000	16324	chr20	10566744	10567245	5.8	4.35	1.45	1.96e-06	0.000151
chr5	174720000	174740000	6116	chr5	174724500	174725001	7.21	5.91	1.3	1.97e-06	0.000151
chr1	211120000	211150000	1346	chr1	211145049	211145916	5.66	3.92	1.74	2.05e-06	0.000156
chr12	93510000	93590000	12410	chr12	93517387	93517888	3.54	5.48	-1.93	2.15e-06	0.000162
chr5	14690000	14740000	5207	chr5	14711596	14712097	3.29	5.05	-1.76	2.27e-06	0.000169
chr5	55380000	55420000	5364	chr5	55384652	55385153	3.59	5.39	-1.8	2.29e-06	0.00017
chr17	41520000	41570000	15129	chr17	41548665	41549166	7.1	6.11	1	2.35e-06	0.000174
chr21	38490000	38530000	16910	chr21	38497961	38498462	5.04	2.64	2.4	2.41e-06	0.000177
chr2	102220000	102270000	2250	chr2	102245601	102246102	5.53	3.78	1.76	2.41e-06	0.000178
chr1	178270000	178320000	1152	chr1	178301481	178301982	2.3	4.79	-2.49	2.54e-06	0.000185
chr3	193770000	193810000	4286	chr3	193797858	193798359	4.82	2.96	1.87	2.55e-06	0.000185
chr21	31850000	31890000	16862	chr21	31874905	31875406	5.81	4.34	1.48	2.6e-06	0.000188
chr1	116480000	116520000	842	chr1	116497881	116498382	5.92	4.49	1.43	2.65e-06	0.000191
chr1	113120000	113160000	817	chr1	113154657	113155158	2.12	4.81	-2.7	2.66e-06	0.000191
chr1	235510000	235540000	1546	chr1	235523727	235524228	2.74	5.33	-2.59	2.67e-06	0.000191
chr18	12650000	12680000	15592	chr18	12679310	12679811	5.86	4.39	1.47	2.7e-06	0.000193
chr11	86590000	86620000	11500	chr11	86596885	86597386	5.47	3.5	1.97	2.74e-06	0.000194
chr7	1410000	1450000	7318	chr7	1418282	1418783	5.04	3.2	1.84	2.91e-06	0.000204
chr12	124340000	124380000	12693	chr12	124343920	124344421	5.14	3.23	1.92	2.97e-06	0.000208
chr7	107860000	107900000	8060	chr7	107867459	107867960	3.22	5.46	-2.24	3.07e-06	0.000213
chr10	86890000	86920000	10531	chr10	86902520	86903021	3.84	5.45	-1.6	3.11e-06	0.000216
chr1	19900000	19960000	178	chr1	19925238	19925739	4.61	2.02	2.59	3.13e-06	0.000217
chr6	31840000	31880000	6455	chr6	31851993	31852494	5.05	3.33	1.72	3.15e-06	0.000218
chr8	27420000	27480000	8515	chr8	27477905	27478406	3.76	5.35	-1.6	3.16e-06	0.000218
chr15	72700000	72730000	14064	chr15	72728679	72729180	2.4	5.08	-2.69	3.2e-06	0.000221
chr3	138900000	138960000	3933	chr3	138946432	138946933	7.13	5.55	1.58	3.32e-06	0.000226
chr12	85010000	85050000	12367	chr12	85031424	85031925	4.22	5.86	-1.64	3.33e-06	0.000227
chr20	61860000	61910000	16754	chr20	61902101	61902602	6.1	4.54	1.56	3.34e-06	0.000227
chr9	134430000	134460000	9876	chr9	134456666	134457167	7.85	6.89	0.96	3.34e-06	0.000227
chr8	52100000	52130000	8645	chr8	52114421	52114922	3.41	5.31	-1.9	3.35e-06	0.000227
chr4	105140000	105150000	4796	chr4	105143102	105143603	3.85	5.33	-1.48	3.36e-06	0.000228
chr2	99330000	99360000	2222	chr2	99349618	99350119	1.24	4.42	-3.18	3.36e-06	0.000228
chr14	37560000	37590000	13292	chr14	37560897	37561398	3.64	5.28	-1.64	3.37e-06	0.000228
chr1	24650000	24700000	222	chr1	24655795	24656296	3.97	5.44	-1.47	3.59e-06	0.000241
chr12	14820000	14860000	11938	chr12	14824868	14825369	3.85	5.4	-1.55	3.68e-06	0.000246
chr6	20280000	20310000	6371	chr6	20289924	20290425	-0.1	4.32	-4.42	3.7e-06	0.000247
chr14	89900000	89930000	13619	chr14	89902788	89903289	3.16	5.07	-1.91	3.77e-06	0.00025
chr1	178270000	178320000	1152	chr1	178300117	178300618	3.78	5.27	-1.49	3.91e-06	0.000257
chr15	79830000	79870000	14119	chr15	79849123	79849624	3.24	5.29	-2.06	3.92e-06	0.000257
chr10	92060000	92100000	10571	chr10	92092327	92092828	2.5	4.97	-2.47	3.95e-06	0.000259
chr10	30390000	30420000	10142	chr10	30418279	30418780	5.61	4.15	1.47	3.95e-06	0.000259
chr7	26480000	26530000	7481	chr7	26525942	26526443	6.75	5.5	1.25	4.2e-06	0.000272
chr1	207070000	207110000	1316	chr1	207077213	207077714	3.8	5.43	-1.63	4.21e-06	0.000272
chr20	50570000	50600000	16659	chr20	50583900	50584401	4.09	5.46	-1.37	4.24e-06	0.000273
chr1	12380000	12420000	112	chr1	12383840	12384341	5.3	3.53	1.77	4.3e-06	0.000275
chr10	29120000	29140000	10132	chr10	29124756	29125257	4.3	5.71	-1.41	4.31e-06	0.000276
chr8	18670000	18690000	8434	chr8	18670085	18670586	3.65	5.41	-1.76	4.69e-06	0.000295
chr3	57050000	57090000	3475	chr3	57057018	57057519	5.11	3.48	1.62	4.71e-06	0.000295
chr9	89530000	89630000	9485	chr9	89557463	89557964	4.64	1.2	3.44	4.72e-06	0.000296
chr3	42520000	42550000	3340	chr3	42520109	42520610	5.65	4.29	1.36	4.85e-06	0.000303
chr13	23850000	23890000	12764	chr13	23852269	23852770	1.63	4.79	-3.16	4.95e-06	0.000307
chr7	154900000	154930000	8305	chr7	154911520	154912021	5.25	3.07	2.18	5.31e-06	0.000325
chr9	112060000	112120000	9673	chr9	112078043	112078544	5.78	4.6	1.18	5.31e-06	0.000325
chr9	93950000	93980000	9526	chr9	93955430	93955931	6.4	4.88	1.52	5.35e-06	0.000327
chr22	43240000	43270000	17225	chr22	43257849	43258350	4.99	2.73	2.26	5.44e-06	0.000331
