chr	start	end	strand	gene_id	gene_name
chr1	15658369	15660369	+	ENSG00000215695.1	RSC1A1
chr1	15734758	15736758	+	ENSG00000162461.8	SLC25A34
chr1	15739551	15741551	-	ENSG00000224459.1	SLC25A34-AS1
chr1	15740999	15742999	+	ENSG00000162460.7	TMEM82
chr1	15791296	15793296	+	ENSG00000224321.1	RPL12P14
chr1	15806669	15808669	-	ENSG00000233954.6	UQCRHL
chr1	15968132	15970132	+	ENSG00000234607.2	AL355994.4
chr1	15986682	15988682	+	ENSG00000231353.1	AL355994.1
chr1	15988640	15990640	-	ENSG00000275503.1	AL355994.5
chr1	15988371	15990371	+	ENSG00000224966.4	TBC1D3P6
chr1	16002736	16004736	+	ENSG00000183888.4	SRARP
chr1	16005660	16007660	-	ENSG00000233078.1	AL355994.3
chr1	16013528	16015528	-	ENSG00000173641.17	HSPB7
chr1	16017375	16019375	+	ENSG00000186510.12	CLCNKA
chr1	16034678	16036678	-	ENSG00000232456.1	AL355994.2
chr1	16042236	16044236	+	ENSG00000184908.17	CLCNKB
chr1	16057269	16059269	-	ENSG00000185519.9	FAM131C
chr1	16196354	16198354	+	ENSG00000234166.1	ARHGEF19-AS1
chr1	16197354	16199354	-	ENSG00000142632.17	ARHGEF19
chr1	16215409	16217409	-	ENSG00000237276.8	ANO7L1
chr1	16228174	16230174	-	ENSG00000288398.1	AL109627.1
chr1	16231192	16233192	-	ENSG00000132881.12	CPLANE2
chr1	16351075	16353075	+	ENSG00000055070.17	SZRD1
chr1	16368650	16370650	-	ENSG00000226457.1	RPL22P3
chr1	17247598	17249598	+	ENSG00000142619.4	PADI3
chr1	17405260	17407260	+	ENSG00000227751.1	RCC2-AS1
chr1	17406260	17408260	-	ENSG00000179051.14	RCC2
chr1	18106298	18108298	+	ENSG00000117154.12	IGSF21
chr1	18107889	18109889	+	ENSG00000280222.1	AL365209.1
chr1	18593914	18595914	+	ENSG00000225478.2	AL031737.1
chr1	18839099	18841099	-	ENSG00000179002.5	TAS1R2
chr1	18896571	18898571	-	ENSG00000221662.1	MIR1290
chr1	18903780	18905780	-	ENSG00000169991.11	IFFO2
chr1	19250305	19252305	+	ENSG00000053372.5	MRTO4
chr1	19260021	19262021	-	ENSG00000286064.1	AL035413.2
chr1	19265482	19267482	-	ENSG00000211454.14	AKR7L
chr1	19282073	19284073	-	ENSG00000162482.5	AKR7A3
chr1	19338275	19340275	-	ENSG00000077549.18	CAPZB
chr1	19482903	19484903	+	ENSG00000173436.15	MICOS10
chr1	19663375	19665375	+	ENSG00000158748.4	HTR6
chr1	19681713	19683713	-	ENSG00000162542.13	TMCO4
chr1	19919509	19921509	-	ENSG00000188784.4	PLA2G2E
chr1	19969469	19971469	+	ENSG00000242688.3	RN7SL304P
chr1	19974931	19976931	-	ENSG00000188257.11	PLA2G2A
chr1	20152671	20154671	+	ENSG00000227066.2	Z98257.1
chr1	20160753	20162753	-	ENSG00000187980.6	PLA2G2C
chr1	20474722	20476722	+	ENSG00000284641.1	AL139254.2
chr1	20478279	20480279	-	ENSG00000284743.1	AL139254.3
chr1	20481891	20483891	-	ENSG00000162545.6	CAMK2N1
chr1	20498948	20500948	-	ENSG00000090432.7	MUL1
chr1	20524489	20526489	+	ENSG00000215520.3	RPS4XP4
chr1	20631958	20633958	+	ENSG00000158828.8	PINK1
chr1	20632179	20634179	+	ENSG00000284005.1	MIR6084
chr1	20642157	20644157	-	ENSG00000117242.7	PINK1-AS
chr1	20692234	20694234	-	ENSG00000235432.1	AL663074.2
chr1	20719231	20721231	-	ENSG00000189410.12	SH2D5
chr1	20839741	20841741	+	ENSG00000251914.1	RNU7-200P
chr1	20987814	20989814	-	ENSG00000221808.1	MIR1256
chr1	21003050	21005050	-	ENSG00000233072.1	RPS15AP6
chr1	21175554	21177554	+	ENSG00000287192.1	AL031005.2
chr1	21264582	21266582	+	ENSG00000236936.1	AL031005.1
chr1	22116813	22118813	-	ENSG00000162552.15	WNT4
chr1	22141350	22143350	+	ENSG00000285873.1	AL445253.1
chr1	22427338	22429338	+	ENSG00000184677.18	ZBTB40
chr1	22632758	22634758	-	ENSG00000276835.2	MIR6127
chr1	22635128	22637128	+	ENSG00000173372.17	C1QA
chr1	22642133	22644133	+	ENSG00000159189.12	C1QC
chr1	22651262	22653262	+	ENSG00000173369.16	C1QB
chr1	22709339	22711339	+	ENSG00000133216.16	EPHB2
chr1	23191395	23193395	-	ENSG00000179546.4	HTR1D
chr1	23548639	23550639	-	ENSG00000235052.1	AL021154.1
chr1	24198740	24200740	+	ENSG00000230023.2	LINC02800
chr1	24624911	24626911	-	ENSG00000239106.1	AL445686.2
chr1	24630216	24632216	+	ENSG00000133226.17	SRRM1
chr1	24918845	24920845	-	ENSG00000278034.1	MIR6731
chr1	25206639	25208639	+	ENSG00000231953.2	AL031432.1
chr1	25221776	25223776	-	ENSG00000117614.10	SYF2
chr1	25542106	25544106	+	ENSG00000157978.12	LDLRAP1
chr1	25579978	25581978	+	ENSG00000225643.1	AL606491.1
chr1	25615968	25617968	+	ENSG00000117643.14	MAN1C1
chr1	25798676	25800676	+	ENSG00000162430.17	SELENON
chr1	25809970	25811970	+	ENSG00000255054.3	AL020996.2
chr1	26036752	26038752	-	ENSG00000158014.15	SLC30A2
chr1	26157579	26159579	+	ENSG00000197245.6	FAM110D
chr1	26592743	26594743	-	ENSG00000243905.3	RN7SL679P
chr1	26593440	26595440	-	ENSG00000252802.1	AL627313.2
chr1	26601869	26603869	-	ENSG00000252429.2	RNU7-29P
chr1	26691632	26693632	-	ENSG00000260063.1	AL512408.1
chr1	26691736	26693736	+	ENSG00000117713.20	ARID1A
chr1	26785972	26787972	+	ENSG00000060642.10	PIGV
chr1	26889988	26891988	-	ENSG00000198746.13	GPATCH3
chr1	27098309	27100309	-	ENSG00000090020.11	SLC9A1
chr1	27309740	27311740	+	ENSG00000243659.1	FO393419.3
chr1	27368612	27370612	-	ENSG00000142748.12	FCN3
chr1	27378676	27380676	-	ENSG00000174950.11	CD164L2
chr1	27387968	27389968	+	ENSG00000231207.1	FO393419.1
chr1	27391122	27393122	+	ENSG00000181773.7	GPR3
chr1	27403730	27405730	-	ENSG00000158195.11	WASF2
chr1	27611564	27613564	-	ENSG00000000938.13	FGR
chr1	27647919	27649919	+	ENSG00000235912.1	AL031729.1
chr1	27659828	27661828	-	ENSG00000233975.1	LINC02574
chr1	27665564	27667564	-	ENSG00000126709.15	IFI6
chr1	27667968	27669968	+	ENSG00000225886.3	AL445490.1
chr1	27675103	27677103	-	ENSG00000206767.1	RNU6-949P
chr1	27969844	27971844	-	ENSG00000158161.16	EYA3
chr1	27989658	27991658	-	ENSG00000238231.2	AL512288.2
chr1	28031384	28033384	-	ENSG00000240750.3	RN7SL559P
chr1	28095242	28097242	-	ENSG00000228589.3	SPCS2P4
chr1	28198956	28200956	-	ENSG00000126698.11	DNAJC8
chr1	28368082	28370082	+	ENSG00000204138.13	PHACTR4
chr1	28588823	28590823	-	ENSG00000120656.11	TAF12
chr1	28590700	28592700	+	ENSG00000188060.7	RAB42
chr1	28641728	28643728	+	ENSG00000229388.1	LINC01715
chr1	28647100	28649100	+	ENSG00000270103.3	AL360012.1
chr1	28647100	28649100	+	ENSG00000274978.1	RNU11
chr1	28735121	28737121	+	ENSG00000198492.16	YTHDF2
chr1	28869983	28871983	-	ENSG00000233427.1	AL009181.2
chr1	28881226	28883226	-	ENSG00000199756.1	AL009181.1
chr1	28885591	28887591	+	ENSG00000159023.21	EPB41
chr1	29039699	29041699	+	ENSG00000277958.1	AL138785.3
chr1	29192157	29194157	-	ENSG00000116353.16	MECR
chr1	29222433	29224433	+	ENSG00000237934.1	AL590729.1
chr1	29235016	29237016	+	ENSG00000060656.20	PTPRU
chr1	30710777	30712777	-	ENSG00000162510.6	MATN1
chr1	30717004	30719004	+	ENSG00000186056.10	MATN1-AS1
chr1	30809878	30811878	-	ENSG00000229607.1	AL137027.1
chr1	30917969	30919969	-	ENSG00000266210.2	RN7SL371P
chr1	31179245	31181245	-	ENSG00000084628.10	NKAIN1
chr1	31332567	31334567	-	ENSG00000229044.1	AL451070.1
chr1	31408065	31410065	+	ENSG00000168528.12	SERINC2
chr1	31651763	31653763	-	ENSG00000084636.18	COL16A1
chr1	31758160	31760160	-	ENSG00000266580.1	MIR4254
chr1	31787630	31789630	+	ENSG00000254545.1	AL354919.2
chr1	31789922	31791922	-	ENSG00000134668.12	SPOCD1
chr1	31971689	31973689	-	ENSG00000284702.1	AL136115.3
chr1	32213972	32215972	-	ENSG00000160055.19	TMEM234
chr1	32220428	32222428	+	ENSG00000084623.11	EIF3I
chr1	32348694	32350694	-	ENSG00000233775.1	AL109945.1
chr1	32360770	32362770	-	ENSG00000225828.1	FAM229A
chr1	32364603	32366603	-	ENSG00000160058.18	BSDC1
chr1	32401609	32403609	-	ENSG00000224333.1	GAPDHP20
chr1	32420479	32422479	+	ENSG00000270850.1	AL356986.1
chr1	32422714	32424714	-	ENSG00000229259.1	LRRC37A12P
chr1	32774737	32776737	-	ENSG00000134684.10	YARS1
chr1	32861768	32863768	-	ENSG00000160097.18	FNDC5
chr1	32923954	32925954	+	ENSG00000287691.1	AL031602.2
chr1	32935945	32937945	-	ENSG00000116514.16	RNF19B
chr1	33079604	33081604	+	ENSG00000142920.17	AZIN2
chr1	33306266	33308266	-	ENSG00000184389.9	A3GALT2
chr1	33305848	33307848	+	ENSG00000225313.5	AL513327.1
chr1	33464749	33466749	+	ENSG00000234512.1	TLR12P
chr1	34111449	34113449	+	ENSG00000201148.1	RNA5SP42
chr1	34753547	34755547	+	ENSG00000189280.3	GJB5
chr1	34758240	34760240	+	ENSG00000189433.7	GJB4
chr1	35432992	35434992	-	ENSG00000142687.18	KIAA0319L
chr1	35555973	35557973	+	ENSG00000020129.16	NCDN
chr1	35569313	35571313	-	ENSG00000239636.1	AC004865.2
chr1	35571814	35573814	+	ENSG00000116819.8	TFAP2E
chr1	35713377	35715377	-	ENSG00000142686.8	C1orf216
chr1	35719718	35721718	-	ENSG00000092853.14	CLSPN
chr1	35737889	35739889	+	ENSG00000232335.1	AL354864.1
chr1	36094739	36096739	-	ENSG00000171812.13	COL8A2
chr1	36154079	36156079	+	ENSG00000116871.15	MAP7D1
chr1	36190415	36192415	+	ENSG00000264592.2	RN7SL131P
chr1	36339124	36341124	-	ENSG00000196182.10	STK40
chr1	36402221	36404221	-	ENSG00000222821.1	RNU4-27P
chr1	36415327	36417327	-	ENSG00000116885.18	OSCP1
chr1	36417950	36419950	-	ENSG00000201448.1	SNORA63C
chr1	36702453	36704453	+	ENSG00000284705.1	AL596257.1
chr1	37473080	37475080	+	ENSG00000163874.11	ZC3H12A
chr1	37478730	37480730	+	ENSG00000283724.1	MIR6732
chr1	37533949	37535949	-	ENSG00000163877.11	SNIP1
chr1	37594626	37596626	+	ENSG00000284748.1	AL513220.1
chr1	37681070	37683070	-	ENSG00000116922.14	C1orf109
chr1	37792302	37794302	+	ENSG00000185090.14	MANEAL
chr1	37799220	37801220	-	ENSG00000233728.1	AL929472.3
chr1	37859197	37861197	+	ENSG00000230955.1	AL929472.2
chr1	37860197	37862197	-	ENSG00000204084.13	INPP5B
chr1	37882737	37884737	+	ENSG00000252448.1	AL929472.5
chr1	37883523	37885523	+	ENSG00000222282.1	RNU6-584P
chr1	37989962	37991962	+	ENSG00000212541.1	RNU6-510P
chr1	37996270	37998270	-	ENSG00000183386.10	FHL3
chr1	38043329	38045329	-	ENSG00000185668.8	POU3F1
chr1	38045814	38047814	+	ENSG00000224592.5	MIR3659HG
chr1	38837698	38839698	-	ENSG00000116954.8	RRAGC
chr1	38838833	38840833	-	ENSG00000273637.1	AL139260.2
chr1	38858412	38860412	+	ENSG00000228436.3	AL139260.1
chr1	38861993	38863993	-	ENSG00000214114.9	MYCBP
chr1	38864001	38866001	-	ENSG00000274944.4	AL139260.3
chr1	38873569	38875569	-	ENSG00000131233.10	GJA9
chr1	39079816	39081816	+	ENSG00000127603.28	MACF1
chr1	39249338	39251338	-	ENSG00000226438.1	AL442071.1
chr1	39723066	39725066	-	ENSG00000252413.1	RNU7-121P
chr1	39961180	39963180	+	ENSG00000228477.1	AL663070.2
chr1	40131264	40133264	+	ENSG00000226745.2	AL512599.1
chr1	40159887	40161887	+	ENSG00000117000.9	RLF
chr1	40332578	40334578	-	ENSG00000227311.3	AL031985.2
chr1	40941751	40943751	-	ENSG00000233118.2	UBE2V1P8
chr1	41264050	41266050	-	ENSG00000213987.4	AC093151.1
chr1	41584806	41586806	-	ENSG00000284895.1	AC119676.1
chr1	42034643	42036643	+	ENSG00000287587.1	AL158216.1
chr1	42039097	42041097	+	ENSG00000227538.1	HNRNPFP1
chr1	42139135	42141135	+	ENSG00000228776.2	AC114492.1
chr1	42151910	42153910	+	ENSG00000044012.4	GUCA2B
chr1	42162190	42164190	-	ENSG00000197273.4	GUCA2A
chr1	42176039	42178039	-	ENSG00000198815.9	FOXJ3
chr1	42461721	42463721	+	ENSG00000186409.17	CCDC30
chr1	42569470	42571470	+	ENSG00000236180.2	AL445669.2
chr1	42732593	42734593	-	ENSG00000164007.11	CLDN19
chr1	42745835	42747835	-	ENSG00000117385.16	P3H1
chr1	42765749	42767749	+	ENSG00000164008.16	C1orf50
chr1	42765792	42767792	+	ENSG00000283580.3	AC098484.3
chr1	42775313	42777313	-	ENSG00000228452.1	AC098484.1
chr1	42901732	42903732	+	ENSG00000225099.1	ATP6V1E1P1
chr1	42924875	42926875	-	ENSG00000117394.23	SLC2A1
chr1	43362898	43364898	-	ENSG00000066322.15	ELOVL1
chr1	43364148	43366148	-	ENSG00000283836.1	MIR6734
chr1	43388382	43390382	+	ENSG00000198198.17	SZT2
chr1	43523687	43525687	+	ENSG00000142949.17	PTPRF
chr1	43931820	43933820	+	ENSG00000117407.17	ARTN
chr1	43937418	43939418	-	ENSG00000237950.3	AL357079.1
chr1	43943870	43945870	-	ENSG00000288573.1	AL357079.3
chr1	43945450	43947450	+	ENSG00000117408.11	IPO13
chr1	44028937	44030937	+	ENSG00000230615.7	AL139220.2
chr1	44730555	44732555	-	ENSG00000200169.1	RNU5D-1
chr1	44738318	44740318	+	ENSG00000142945.13	KIF2C
chr1	45002040	45004040	-	ENSG00000126107.15	HECTD3
chr1	45009450	45011450	+	ENSG00000126088.14	UROD
chr1	45015899	45017899	-	ENSG00000162415.7	ZSWIM5
chr1	45302410	45304410	+	ENSG00000281912.1	LINC01144
chr1	45493366	45495366	-	ENSG00000280670.3	CCDC163
chr1	45498800	45500800	+	ENSG00000132763.15	MMACHC
chr1	46039640	46041640	-	ENSG00000117461.15	PIK3R3
chr1	46043161	46045161	-	ENSG00000278139.1	AL358075.4
chr1	46045318	46047318	+	ENSG00000226957.1	AL358075.1
chr1	46173573	46175573	+	ENSG00000117472.10	TSPAN1
chr1	46174986	46176986	-	ENSG00000250719.1	P3R3URF
chr1	46188182	46190182	-	ENSG00000085998.14	POMGNT1
chr1	47177750	47179750	+	ENSG00000224805.2	LINC00853
chr1	47183082	47185082	-	ENSG00000162366.8	PDZK1IP1
chr1	47414785	47416785	+	ENSG00000186790.6	FOXE3
chr1	47431633	47433633	-	ENSG00000237424.1	FOXD2-AS1
chr1	47434517	47436517	+	ENSG00000186564.5	FOXD2
chr1	48049159	48051159	+	ENSG00000226133.6	LINC02794
chr1	48078287	48080287	-	ENSG00000231413.1	AL356289.1
chr1	48095592	48097592	-	ENSG00000242267.6	SKINT1L
chr1	48100568	48102568	+	ENSG00000279096.2	AL356289.2
chr1	48221185	48223185	+	ENSG00000117834.12	SLC5A9
chr1	48227388	48229388	-	ENSG00000272491.1	AL109659.2
chr1	48342709	48344709	+	ENSG00000206700.1	RNU6-723P
chr1	50398325	50400325	-	ENSG00000229316.1	HMGB1P45
chr1	50580904	50582904	+	ENSG00000207194.1	RNU6-1026P
chr1	51194595	51196595	-	ENSG00000203356.2	LINC01562
chr1	51907456	51909456	-	ENSG00000169213.7	RAB3B
chr1	51994240	51996240	+	ENSG00000264613.2	RN7SL290P
chr1	52140594	52142594	+	ENSG00000157077.14	ZFYVE9
chr1	52148604	52150604	+	ENSG00000241745.3	RN7SL788P
chr1	52683949	52685949	-	ENSG00000162377.6	COA7
chr1	52707622	52709622	+	ENSG00000233664.1	NDUFS5P3
chr1	52712899	52714899	+	ENSG00000239640.3	RN7SL62P
chr1	52724953	52726953	+	ENSG00000162378.13	ZYG11B
chr1	52895410	52897410	-	ENSG00000121310.17	ECHDC2
chr1	52918922	52920922	+	ENSG00000230953.2	AC099677.1
chr1	52924749	52926749	-	ENSG00000231866.2	AC099677.2
chr1	52925776	52927776	+	ENSG00000116171.18	SCP2
chr1	52927174	52929174	+	ENSG00000264834.1	AC099677.4
chr1	53179421	53181421	+	ENSG00000277397.1	AL606760.4
chr1	53195292	53197292	+	ENSG00000157184.7	CPT2
chr1	53688249	53690249	-	ENSG00000239007.1	RNU7-95P
chr1	54006798	54008798	-	ENSG00000203985.11	LDLRAD1
chr1	54088356	54090356	+	ENSG00000225183.1	AL353898.1
chr1	54099468	54101468	-	ENSG00000279049.1	AL353898.2
chr1	54132186	54134186	-	ENSG00000256407.2	AL357673.1
chr1	54132468	54134468	-	ENSG00000157211.11	CDCP2
chr1	54136246	54138246	+	ENSG00000280425.2	AL357673.2
chr1	54414756	54416756	+	ENSG00000232245.1	AL035415.1
chr1	54512917	54514917	+	ENSG00000287582.1	AC099796.2
chr1	54515912	54517912	-	ENSG00000235741.1	LINC02784
chr1	54779212	54781212	-	ENSG00000006555.11	TTC22
chr1	54791385	54793385	+	ENSG00000237453.1	AC096536.1
chr1	54804563	54806563	+	ENSG00000162398.11	LEXM
chr1	55365966	55367966	+	ENSG00000231900.3	GOT2P1
chr1	55372210	55374210	-	ENSG00000232198.2	MTCO2P34
chr1	55376026	55378026	-	ENSG00000199831.1	RN7SKP291
chr1	55866754	55868754	+	ENSG00000233079.3	LINC01755
chr1	56585112	56587112	-	ENSG00000224980.1	RPL23AP85
chr1	56718289	56720289	-	ENSG00000187889.13	FYB2
chr1	56823179	56825179	-	ENSG00000229913.1	AL360295.1
chr1	58047389	58049389	-	ENSG00000229887.4	HNRNPA1P6
chr1	58055633	58057633	-	ENSG00000223416.3	RPS26P15
chr1	58058639	58060639	+	ENSG00000235038.1	AL445193.2
chr1	58544668	58546668	+	ENSG00000286918.1	AL035411.3
chr1	58780291	58782291	-	ENSG00000177606.7	JUN
chr1	58783628	58785628	+	ENSG00000234807.7	LINC01135
chr1	59053897	59055897	-	ENSG00000241042.1	AL592431.2
chr1	59055499	59057499	-	ENSG00000235215.2	AL592431.1
chr1	59288803	59290803	-	ENSG00000270457.1	AC093424.1
chr1	59295138	59297138	+	ENSG00000172456.17	FGGY
chr1	59732727	59734727	-	ENSG00000266150.1	MIR4711
chr1	59754247	59756247	-	ENSG00000226883.1	AL035416.1
chr1	59974257	59976257	-	ENSG00000265535.2	RN7SL475P
chr1	61479587	61481587	+	ENSG00000284808.1	AC099791.3
chr1	61652694	61654694	+	ENSG00000223920.2	AC099791.1
chr1	61850999	61852999	+	ENSG00000212360.1	RNU6-1177P
chr1	63772517	63774517	+	ENSG00000185483.12	ROR1
chr1	63788221	63790221	-	ENSG00000177452.7	AL161742.1
chr1	64468629	64470629	+	ENSG00000158966.16	CACHD1
chr1	65246719	65248719	+	ENSG00000116675.16	DNAJC6
chr1	65419087	65421087	+	ENSG00000213625.9	LEPROT
chr1	65419152	65421152	+	ENSG00000116678.19	LEPR
chr1	66998850	67000850	-	ENSG00000116704.8	SLC35D1
chr1	67520799	67522799	+	ENSG00000235200.3	LINC01702
chr1	67539627	67541627	+	ENSG00000207504.1	RNU6-1031P
chr1	67559573	67561573	+	ENSG00000238139.2	AL590559.1
chr1	67683701	67685701	+	ENSG00000116717.13	GADD45A
chr1	67772093	67774093	-	ENSG00000238778.1	RNU7-80P
chr1	68097973	68099973	-	ENSG00000116729.14	WLS
chr1	70218089	70220089	-	ENSG00000228988.1	AL353771.1
chr1	70429396	70431396	+	ENSG00000278636.1	AL354872.3
chr1	71047355	71049355	+	ENSG00000235079.1	ZRANB2-AS1
chr1	71062791	71064791	-	ENSG00000132485.14	ZRANB2
chr1	71067131	71069131	-	ENSG00000207721.1	MIR186
chr1	77127614	77129614	+	ENSG00000226084.5	AC113935.1
chr1	78618422	78620422	+	ENSG00000137959.16	IFI44L
chr1	81556621	81558621	-	ENSG00000242598.1	MED28P8
chr1	84605599	84607599	+	ENSG00000285374.1	AL359762.2
chr1	84925083	84927083	-	ENSG00000153898.13	MCOLN2
chr1	85249453	85251453	-	ENSG00000162642.14	C1orf52
chr1	85317981	85319981	-	ENSG00000153904.20	DDAH1
chr1	85578000	85580000	-	ENSG00000272691.1	AC092807.3
chr1	85579261	85581261	+	ENSG00000142871.17	CCN1
chr1	86632773	86634773	+	ENSG00000153923.10	CLCA3P
chr1	87128265	87130265	+	ENSG00000267272.5	LINC01140
chr1	87327380	87329380	+	ENSG00000143013.13	LMO4
chr1	88978956	88980956	-	ENSG00000213516.10	RBMXL1
chr1	89006179	89008179	-	ENSG00000117226.12	GBP3
chr1	89103785	89105785	-	ENSG00000234518.2	PTGES3P1
chr1	89105632	89107632	-	ENSG00000162645.13	GBP2
chr1	89362558	89364558	+	ENSG00000183347.14	GBP6
chr1	89628225	89630225	+	ENSG00000230735.1	AC093423.2
chr1	90711039	90713039	-	ENSG00000143032.8	BARHL2
chr1	90718076	90720076	+	ENSG00000287076.1	AC092805.1
chr1	92969104	92971104	-	ENSG00000252121.1	RNU6-970P
chr1	92974327	92976327	-	ENSG00000239710.3	RN7SL692P
chr1	92976765	92978765	+	ENSG00000287797.1	AC093577.2
chr1	93178419	93180419	+	ENSG00000122483.17	CCDC18
chr1	93446631	93448631	+	ENSG00000137942.16	FNBP1L
chr1	93845332	93847332	+	ENSG00000211575.3	MIR760
chr1	93845674	93847674	+	ENSG00000260464.1	AL049796.1
chr1	94528673	94530673	-	ENSG00000117525.14	F3
chr1	94818842	94820842	+	ENSG00000143036.17	SLC44A3
chr1	95232710	95234710	+	ENSG00000122481.17	RWDD3
chr1	98044742	98046742	-	ENSG00000284247.1	MIR2682
chr1	98045570	98047570	-	ENSG00000284202.1	MIR137
chr1	98051577	98053577	-	ENSG00000285922.1	AC104453.1
chr1	99790162	99792162	+	ENSG00000202254.1	AL451051.1
chr1	100131650	100133650	+	ENSG00000122435.10	TRMT13
chr1	100147949	100149949	-	ENSG00000122477.12	LRRC39
chr1	100461899	100463899	-	ENSG00000228086.1	AL589990.1
chr1	100871872	100873872	-	ENSG00000162694.14	EXTL2
chr1	101254774	101256774	+	ENSG00000228399.1	AL109741.2
chr1	101270375	101272375	-	ENSG00000173810.9	PPIAP7
chr1	108647790	108649790	-	ENSG00000162639.16	HENMT1
chr1	109248039	109250039	+	ENSG00000143126.8	CELSR2
chr1	109279056	109281056	-	ENSG00000134222.16	PSRC1
chr1	109398542	109400542	-	ENSG00000143106.13	PSMA5
chr1	109538372	109540372	+	ENSG00000156097.12	GPR61
