chr_x	start_x	end_x	chr_y	start_y	end_y	anchor_ID_x	anchor_ID_y	loopID	Benign	Malignant	Consistent_in_benign_or_tumour	loop_type
chr1	6030000	6060000	chr1	6220000	6260000	43	44	43_44	2	3	TRUE	nonT2E-specific
chr4	158710000	158750000	chr4	158840000	158880000	5024	5025	5024_5025	3	3	TRUE	nonT2E-specific
chr1	56820000	56850000	chr1	58030000	58070000	525	530	525_530	3	4	TRUE	nonT2E-specific
chr5	134910000	134930000	chr5	135320000	135350000	5819	5822	5819_5822	0	3	TRUE	nonT2E-specific
chr5	141670000	141710000	chr5	142130000	142180000	5892	5898	5892_5898	0	3	TRUE	nonT2E-specific
chr5	146170000	146200000	chr5	146420000	146450000	5927	5930	5927_5930	1	3	TRUE	nonT2E-specific
chr6	5130000	5160000	chr6	6510000	6570000	6210	6225	6210_6225	2	3	TRUE	nonT2E-specific
chr1	76140000	76170000	chr1	77110000	77140000	636	639	636_639	2	3	TRUE	nonT2E-specific
chr6	20080000	20110000	chr6	20500000	20530000	6370	6373	6370_6373	3	4	TRUE	nonT2E-specific
chr6	31670000	31690000	chr6	31840000	31880000	6454	6455	6454_6455	3	3	TRUE	nonT2E-specific
chr6	40300000	40350000	chr6	40580000	40590000	6525	6527	6525_6527	1	3	TRUE	nonT2E-specific
chr6	151650000	151690000	chr6	152100000	152150000	7190	7193	7190_7193	1	3	TRUE	nonT2E-specific
chr7	47550000	47600000	chr7	47790000	47840000	7649	7652	7649_7652	2	3	TRUE	nonT2E-specific
chr7	107860000	107900000	chr7	108130000	108150000	8060	8061	8060_8061	2	3	TRUE	nonT2E-specific
chr8	6560000	6600000	chr8	6770000	6800000	8364	8366	8364_8366	0	3	TRUE	nonT2E-specific
chr8	22400000	22440000	chr8	22890000	22930000	8474	8478	8474_8478	4	3	TRUE	nonT2E-specific
chr8	23680000	23760000	chr8	24180000	24230000	8487	8489	8487_8489	4	3	TRUE	nonT2E-specific
chr8	28480000	28490000	chr8	28590000	28630000	8524	8525	8524_8525	0	3	TRUE	nonT2E-specific
chr8	127710000	127770000	chr8	129670000	129690000	9074	9086	9074_9086	1	3	TRUE	nonT2E-specific
chr8	135430000	135480000	chr8	136700000	136730000	9123	9128	9123_9128	2	3	TRUE	nonT2E-specific
chr1	154540000	154580000	chr1	155060000	155070000	939	943	939_943	0	3	TRUE	nonT2E-specific
chr10	4810000	4850000	chr10	5090000	5100000	9930	9931	9930_9931	3	4	TRUE	nonT2E-specific
chr10	25070000	25120000	chr10	25210000	25240000	10109	10110	10109_10110	2	3	TRUE	T2E-specific
chr10	29990000	30010000	chr10	30340000	30360000	10139	10141	10139_10141	0	3	TRUE	T2E-specific
chr10	35610000	35660000	chr10	36860000	36910000	10194	10203	10194_10203	2	3	TRUE	T2E-specific
chr10	49590000	49610000	chr10	49750000	49780000	10277	10278	10277_10278	0	3	TRUE	T2E-specific
chr10	120940000	120970000	chr10	121710000	121750000	10765	10775	10765_10775	0	3	TRUE	T2E-specific
chr11	46870000	46910000	chr11	47250000	47290000	11223	11228	11223_11228	0	3	TRUE	T2E-specific
chr11	117790000	117850000	chr11	117930000	117970000	11651	11652	11651_11652	4	5	TRUE	T2E-specific
chr1	179840000	179880000	chr1	180150000	180210000	1167	1169	1167_1169	1	3	TRUE	T2E-specific
chr11	121630000	121680000	chr11	122100000	122110000	11697	11701	11697_11701	3	3	TRUE	T2E-specific
chr11	122610000	122640000	chr11	122770000	122790000	11708	11709	11708_11709	4	5	TRUE	T2E-specific
chr11	124950000	124970000	chr11	125340000	125360000	11729	11732	11729_11732	0	3	TRUE	T2E-specific
chr12	3630000	3670000	chr12	3770000	3800000	11836	11838	11836_11838	0	3	TRUE	T2E-specific
chr12	29500000	29570000	chr12	29740000	29760000	12022	12023	12022_12023	1	3	TRUE	T2E-specific
chr12	42560000	42600000	chr12	42910000	42930000	12086	12088	12086_12088	0	3	TRUE	T2E-specific
chr12	57970000	58010000	chr12	58280000	58310000	12223	12225	12223_12225	0	3	TRUE	T2E-specific
chr12	120730000	120760000	chr12	120950000	120990000	12664	12665	12664_12665	4	3	TRUE	T2E-specific
chr12	130030000	130060000	chr12	130170000	130190000	12716	12717	12716_12717	0	4	TRUE	T2E-specific
chr12	131100000	131120000	chr12	131820000	131860000	12723	12726	12723_12726	1	3	TRUE	T2E-specific
chr13	23700000	23720000	chr13	23850000	23890000	12762	12764	12762_12764	0	3	TRUE	T2E-specific
chr13	23910000	23940000	chr13	24210000	24250000	12765	12767	12765_12767	3	3	TRUE	T2E-specific
chr14	73500000	73520000	chr14	73620000	73640000	13527	13528	13527_13528	2	3	TRUE	T2E-specific
chr15	32650000	32680000	chr15	32820000	32850000	13781	13782	13781_13782	0	3	TRUE	T2E-specific
chr15	59480000	59540000	chr15	59620000	59640000	13941	13942	13941_13942	1	3	TRUE	T2E-specific
chr15	63470000	63500000	chr15	63580000	63610000	13974	13976	13974_13976	2	3	TRUE	T2E-specific
chr15	72700000	72730000	chr15	73240000	73280000	14064	14067	14064_14067	2	4	TRUE	T2E-specific
chr16	47110000	47150000	chr16	48130000	48180000	14532	14536	14532_14536	4	3	TRUE	T2E-specific
chr17	36590000	36650000	chr17	36740000	36770000	15085	15088	15085_15088	0	3	TRUE	T2E-specific
chr17	42200000	42220000	chr17	42500000	42530000	15134	15137	15134_15137	0	3	TRUE	T2E-specific
chr17	65210000	65300000	chr17	65530000	65580000	15309	15312	15309_15312	3	3	TRUE	T2E-specific
chr17	68390000	68490000	chr17	68750000	68790000	15335	15337	15335_15337	2	4	TRUE	T2E-specific
chr18	23930000	23960000	chr18	24100000	24120000	15624	15625	15624_15625	2	3	TRUE	T2E-specific
chr20	17610000	17680000	chr20	17970000	18010000	16362	16365	16362_16365	0	3	TRUE	T2E-specific
chr20	43910000	43950000	chr20	44070000	44100000	16580	16583	16580_16583	0	3	TRUE	T2E-specific
chr20	44180000	44230000	chr20	44360000	44400000	16585	16587	16585_16587	0	4	TRUE	T2E-specific
chr20	44180000	44230000	chr20	44450000	44500000	16585	16588	16585_16588	1	3	TRUE	T2E-specific
chr20	44180000	44230000	chr20	44600000	44630000	16585	16589	16585_16589	0	3	TRUE	T2E-specific
chr20	48640000	48670000	chr20	48780000	48800000	16635	16637	16635_16637	0	3	TRUE	T2E-specific
chr20	59940000	59960000	chr20	60040000	60090000	16740	16741	16740_16741	0	3	TRUE	T2E-specific
chr2	30170000	30230000	chr2	31320000	31350000	1813	1824	1813_1824	0	4	TRUE	T2E-specific
chr2	64300000	64350000	chr2	64550000	64630000	2025	2028	2025_2028	1	3	TRUE	T2E-specific
chr2	169100000	169140000	chr2	169390000	169420000	2553	2554	2553_2554	0	3	TRUE	T2E-specific
chr2	178110000	178140000	chr2	178280000	178310000	2626	2627	2626_2627	0	3	TRUE	T2E-specific
chr2	196770000	196800000	chr2	197350000	197410000	2714	2721	2714_2721	2	3	TRUE	T2E-specific
chr2	219000000	219060000	chr2	219140000	219180000	2865	2866	2865_2866	3	3	TRUE	T2E-specific
chr2	222030000	222060000	chr2	222290000	222330000	2890	2891	2890_2891	0	3	TRUE	T2E-specific
chr2	236540000	236580000	chr2	237020000	237070000	3028	3033	3028_3033	1	4	TRUE	T2E-specific
chr2	241710000	241740000	chr2	241860000	241880000	3078	3079	3078_3079	3	4	TRUE	T2E-specific
chr3	39700000	39740000	chr3	39970000	40000000	3307	3310	3307_3310	2	4	TRUE	T2E-specific
chr3	126670000	126690000	chr3	127440000	127470000	3828	3834	3828_3834	1	3	TRUE	T2E-specific
chr3	132240000	132260000	chr3	132320000	132340000	3882	3883	3882_3883	2	3	TRUE	T2E-specific
chr3	160690000	160720000	chr3	161400000	161440000	4095	4100	4095_4100	3	3	TRUE	T2E-specific
chr4	7440000	7480000	chr4	7700000	7730000	4359	4360	4359_4360	1	4	TRUE	T2E-specific
chr4	184730000	184760000	chr4	184970000	185000000	5120	5121	5120_5121	2	5	TRUE	T2E-specific
chr5	73980000	73990000	chr5	74620000	74660000	5525	5535	5525_5535	0	3	TRUE	T2E-specific
chr5	76400000	76420000	chr5	76540000	76560000	5549	5550	5549_5550	1	3	TRUE	T2E-specific
chr5	131250000	131280000	chr5	131390000	131420000	5784	5786	5784_5786	1	3	TRUE	T2E-specific
chr5	138620000	138660000	chr5	139230000	139280000	5858	5865	5858_5865	1	3	TRUE	T2E-specific
chr6	3340000	3380000	chr6	3710000	3760000	6187	6195	6187_6195	2	3	TRUE	T2E-specific
chr6	3400000	3420000	chr6	3710000	3760000	6188	6195	6188_6195	1	3	TRUE	T2E-specific
chr6	6060000	6080000	chr6	6510000	6570000	6221	6225	6221_6225	1	3	TRUE	T2E-specific
chr6	14180000	14230000	chr6	14790000	14810000	6298	6304	6298_6304	0	3	TRUE	T2E-specific
chr1	87280000	87340000	chr1	88040000	88060000	683	687	683_687	0	3	TRUE	T2E-specific
chr6	122370000	122380000	chr6	122520000	122550000	6954	6955	6954_6955	0	3	TRUE	T2E-specific
chr7	11400000	11440000	chr7	11830000	11860000	7372	7374	7372_7374	0	3	TRUE	T2E-specific
chr7	25820000	25910000	chr7	26260000	26310000	7475	7479	7475_7479	2	3	TRUE	T2E-specific
chr7	29740000	29760000	chr7	29910000	29930000	7511	7512	7511_7512	0	3	TRUE	T2E-specific
chr7	39880000	39900000	chr7	40040000	40060000	7581	7582	7581_7582	3	3	TRUE	T2E-specific
chr7	46770000	46790000	chr7	47070000	47120000	7640	7642	7640_7642	0	3	TRUE	T2E-specific
chr7	100450000	100480000	chr7	100840000	100880000	8002	8006	8002_8006	2	3	TRUE	T2E-specific
chr7	152440000	152460000	chr7	152680000	152720000	8299	8300	8299_8300	1	3	TRUE	T2E-specific
chr8	22680000	22720000	chr8	22890000	22930000	8477	8478	8477_8478	1	3	TRUE	T2E-specific
chr8	85290000	85320000	chr8	86020000	86060000	8822	8825	8822_8825	1	4	TRUE	T2E-specific
chr8	103070000	103100000	chr8	103360000	103390000	8932	8933	8932_8933	1	4	TRUE	T2E-specific
chr8	119260000	119270000	chr8	119420000	119440000	9011	9012	9011_9012	1	3	TRUE	T2E-specific
chr9	86410000	86510000	chr9	86920000	86970000	9459	9463	9459_9463	5	3	TRUE	T2E-specific
chr9	90200000	90230000	chr9	90750000	90770000	9494	9497	9494_9497	0	3	TRUE	T2E-specific
chr9	99240000	99290000	chr9	99990000	100040000	9575	9582	9575_9582	0	3	TRUE	T2E-specific
chr9	115570000	115630000	chr9	116110000	116170000	9708	9711	9708_9711	0	3	TRUE	T2E-specific
chr9	124760000	124780000	chr9	125350000	125380000	9781	9790	9781_9790	0	3	TRUE	T2E-specific
chr10	12230000	12280000	chr10	12650000	12770000	10002	10006	10002_10006	6	12	TRUE	shared
chr10	12230000	12280000	chr10	13050000	13100000	10002	10011	10002_10011	3	7	TRUE	shared
chr10	12650000	12770000	chr10	13050000	13100000	10006	10011	10006_10011	4	8	TRUE	shared
chr10	13630000	13670000	chr10	13760000	13810000	10018	10019	10018_10019	5	7	TRUE	shared
chr10	13630000	13670000	chr10	14070000	14110000	10018	10023	10018_10023	1	3	TRUE	shared
chr10	13760000	13810000	chr10	14070000	14110000	10019	10023	10019_10023	4	7	TRUE	shared
chr10	13760000	13810000	chr10	14450000	14530000	10019	10025	10019_10025	2	5	TRUE	shared
chr10	14450000	14530000	chr10	14810000	14840000	10025	10028	10025_10028	5	10	TRUE	shared
chr10	14450000	14530000	chr10	14950000	14980000	10025	10029	10025_10029	1	3	TRUE	shared
chr10	15200000	15240000	chr10	15370000	15400000	10031	10032	10031_10032	3	5	TRUE	shared
chr10	16830000	16860000	chr10	17220000	17270000	10044	10047	10044_10047	5	12	TRUE	shared
chr1	160410000	160450000	chr1	160600000	160620000	1004	1006	1004_1006	2	6	TRUE	shared
chr10	17600000	17630000	chr10	17730000	17750000	10052	10053	10052_10053	5	7	TRUE	shared
chr10	17600000	17630000	chr10	18210000	18240000	10052	10058	10052_10058	0	4	TRUE	shared
chr10	17840000	17860000	chr10	18210000	18240000	10054	10058	10054_10058	1	5	TRUE	shared
chr10	20850000	20890000	chr10	21240000	21290000	10074	10076	10074_10076	4	5	TRUE	shared
chr10	21480000	21540000	chr10	21950000	21970000	10077	10080	10077_10080	3	5	TRUE	shared
chr1	160720000	160740000	chr1	160950000	160980000	1007	1010	1007_1010	1	4	TRUE	shared
chr10	21980000	22020000	chr10	22310000	22340000	10081	10086	10081_10086	5	5	TRUE	shared
chr10	21980000	22020000	chr10	22970000	23000000	10081	10093	10081_10093	5	8	TRUE	shared
chr1	160820000	160850000	chr1	160950000	160980000	1008	1010	1008_1010	0	7	TRUE	shared
chr10	22560000	22590000	chr10	22970000	23000000	10091	10093	10091_10093	3	4	TRUE	shared
chr10	24600000	24650000	chr10	25070000	25120000	10106	10109	10106_10109	4	10	TRUE	shared
chr10	26700000	26730000	chr10	26860000	26880000	10116	10117	10116_10117	5	10	TRUE	shared
chr10	27540000	27580000	chr10	28150000	28260000	10121	10124	10121_10124	2	5	TRUE	shared
chr10	27740000	27770000	chr10	28150000	28260000	10123	10124	10123_10124	4	5	TRUE	shared
chr10	28640000	28680000	chr10	28980000	29010000	10129	10131	10129_10131	2	5	TRUE	shared
chr10	28640000	28680000	chr10	29120000	29140000	10129	10132	10129_10132	4	11	TRUE	shared
chr10	28640000	28680000	chr10	29290000	29320000	10129	10134	10129_10134	5	10	TRUE	shared
chr10	30390000	30420000	chr10	30550000	30590000	10142	10144	10142_10144	4	10	TRUE	shared
chr10	30720000	30780000	chr10	31480000	31500000	10147	10154	10147_10154	2	3	TRUE	shared
chr10	30720000	30780000	chr10	31780000	31810000	10147	10156	10147_10156	4	9	TRUE	shared
chr1	161190000	161230000	chr1	161360000	161390000	1014	1015	1014_1015	5	12	TRUE	shared
chr10	33180000	33220000	chr10	34620000	34650000	10167	10182	10167_10182	4	7	TRUE	shared
chr10	33320000	33360000	chr10	34620000	34650000	10169	10182	10169_10182	5	8	TRUE	shared
chr1	161780000	161820000	chr1	162020000	162080000	1016	1019	1016_1019	5	12	TRUE	shared
chr10	34660000	34700000	chr10	34950000	34980000	10183	10185	10183_10185	5	10	TRUE	shared
chr10	35110000	35120000	chr10	35210000	35230000	10187	10188	10187_10188	4	5	TRUE	shared
chr10	35610000	35660000	chr10	36710000	36730000	10194	10200	10194_10200	0	4	TRUE	shared
chr10	35610000	35660000	chr10	36760000	36790000	10194	10202	10194_10202	3	5	TRUE	shared
chr1	162020000	162080000	chr1	162250000	162290000	1019	1020	1019_1020	5	11	TRUE	shared
chr1	162020000	162080000	chr1	162380000	162410000	1019	1022	1019_1022	5	12	TRUE	shared
chr1	11220000	11260000	chr1	11610000	11660000	101	104	101_104	5	10	TRUE	shared
chr10	42740000	42780000	chr10	43070000	43120000	10213	10217	10213_10217	0	6	TRUE	shared
chr10	42850000	42860000	chr10	43070000	43120000	10215	10217	10215_10217	1	3	TRUE	shared
chr10	42940000	42970000	chr10	43070000	43120000	10216	10217	10216_10217	1	5	TRUE	shared
chr10	43270000	43310000	chr10	43450000	43470000	10219	10220	10219_10220	5	12	TRUE	shared
chr10	43650000	43720000	chr10	44260000	44420000	10221	10234	10221_10234	9	24	TRUE	shared
chr10	43650000	43720000	chr10	44560000	44590000	10221	10236	10221_10236	0	3	TRUE	shared
chr10	43650000	43720000	chr10	44650000	44690000	10221	10238	10221_10238	2	3	TRUE	shared
chr10	43650000	43720000	chr10	44700000	44740000	10221	10239	10221_10239	0	4	TRUE	shared
chr10	43650000	43720000	chr10	44830000	44880000	10221	10241	10221_10241	5	12	TRUE	shared
chr10	43650000	43720000	chr10	44940000	44980000	10221	10243	10221_10243	0	6	TRUE	shared
chr10	44260000	44420000	chr10	44830000	44880000	10234	10241	10234_10241	8	13	TRUE	shared
chr10	45000000	45050000	chr10	45230000	45270000	10244	10247	10244_10247	2	4	TRUE	shared
chr10	45230000	45270000	chr10	45430000	45470000	10247	10249	10247_10249	1	5	TRUE	shared
chr10	45230000	45270000	chr10	45620000	45650000	10247	10251	10247_10251	2	4	TRUE	shared
chr10	45430000	45470000	chr10	45580000	45610000	10249	10250	10249_10250	1	6	TRUE	shared
chr10	47120000	47180000	chr10	47300000	47340000	10255	10256	10255_10256	1	8	TRUE	shared
chr10	48350000	48380000	chr10	48500000	48560000	10261	10263	10261_10263	1	4	TRUE	shared
chr10	48350000	48380000	chr10	48640000	48690000	10261	10264	10261_10264	5	7	TRUE	shared
chr10	48640000	48690000	chr10	49150000	49200000	10264	10273	10264_10273	4	6	TRUE	shared
chr10	48640000	48690000	chr10	49360000	49420000	10264	10275	10264_10275	0	4	TRUE	shared
chr10	48960000	49000000	chr10	49150000	49200000	10272	10273	10272_10273	5	7	TRUE	shared
chr10	48960000	49000000	chr10	49500000	49530000	10272	10276	10272_10276	1	3	TRUE	shared
chr10	49360000	49420000	chr10	49500000	49530000	10275	10276	10275_10276	4	11	TRUE	shared
chr1	162840000	162880000	chr1	163060000	163090000	1027	1028	1027_1028	2	11	TRUE	shared
chr1	162840000	162880000	chr1	163160000	163190000	1027	1029	1027_1029	5	9	TRUE	shared
chr10	50400000	50430000	chr10	50610000	50630000	10282	10284	10282_10284	1	4	TRUE	shared
chr10	50990000	51090000	chr10	51390000	51440000	10286	10293	10286_10293	4	8	TRUE	shared
chr10	50990000	51090000	chr10	51960000	52050000	10286	10306	10286_10306	4	7	TRUE	shared
chr10	50990000	51090000	chr10	52170000	52210000	10286	10309	10286_10309	1	4	TRUE	shared
chr1	163160000	163190000	chr1	163290000	163320000	1029	1030	1029_1030	0	3	TRUE	shared
chr1	11310000	11340000	chr1	11610000	11660000	102	104	102_104	0	9	TRUE	shared
chr10	52300000	52330000	chr10	52470000	52510000	10312	10314	10312_10314	4	9	TRUE	shared
chr10	59230000	59260000	chr10	59570000	59640000	10355	10359	10355_10359	4	8	TRUE	shared
chr10	59570000	59640000	chr10	59800000	59820000	10359	10360	10359_10360	4	3	TRUE	shared
chr10	59570000	59640000	chr10	60020000	60050000	10359	10363	10359_10363	4	3	TRUE	shared
chr10	61890000	61930000	chr10	62230000	62250000	10376	10379	10376_10379	2	5	TRUE	shared
chr1	164160000	164180000	chr1	164770000	164800000	1037	1045	1037_1045	0	3	TRUE	shared
chr10	63160000	63210000	chr10	63710000	63740000	10387	10392	10387_10392	2	4	TRUE	shared
chr10	69410000	69430000	chr10	69500000	69520000	10411	10412	10411_10412	5	5	TRUE	shared
chr10	69410000	69430000	chr10	69630000	69650000	10411	10413	10411_10413	2	3	TRUE	shared
chr10	69500000	69520000	chr10	69630000	69650000	10412	10413	10412_10413	3	5	TRUE	shared
chr10	70910000	70940000	chr10	71190000	71210000	10420	10421	10420_10421	5	7	TRUE	shared
chr10	70910000	70940000	chr10	71260000	71290000	10420	10422	10420_10422	4	12	TRUE	shared
chr10	71300000	71330000	chr10	71690000	71710000	10423	10427	10423_10427	3	5	TRUE	shared
chr10	72360000	72390000	chr10	72830000	72870000	10436	10441	10436_10441	5	9	TRUE	shared
chr10	74140000	74160000	chr10	75200000	75250000	10451	10460	10451_10460	0	3	TRUE	shared
chr10	74240000	74280000	chr10	75010000	75040000	10453	10457	10453_10457	4	9	TRUE	shared
chr10	74240000	74280000	chr10	75080000	75120000	10453	10459	10453_10459	5	11	TRUE	shared
chr10	74240000	74280000	chr10	75200000	75250000	10453	10460	10453_10460	3	4	TRUE	shared
chr1	164770000	164800000	chr1	165060000	165110000	1045	1049	1045_1049	0	3	TRUE	shared
chr10	75370000	75420000	chr10	75900000	75930000	10462	10466	10462_10466	2	4	TRUE	shared
chr10	75370000	75420000	chr10	76020000	76080000	10462	10467	10462_10467	4	5	TRUE	shared
chr10	75370000	75420000	chr10	76280000	76320000	10462	10468	10462_10468	3	6	TRUE	shared
chr10	75370000	75420000	chr10	76530000	76570000	10462	10469	10462_10469	3	3	TRUE	shared
chr10	77150000	77190000	chr10	77700000	77760000	10472	10479	10472_10479	3	4	TRUE	shared
chr10	78040000	78080000	chr10	79180000	79220000	10483	10493	10483_10493	5	10	TRUE	shared
chr10	78290000	78310000	chr10	79180000	79220000	10485	10493	10485_10493	1	3	TRUE	shared
chr10	86390000	86410000	chr10	86580000	86600000	10528	10529	10528_10529	5	8	TRUE	shared
chr10	86680000	86720000	chr10	86890000	86920000	10530	10531	10530_10531	4	11	TRUE	shared
chr10	87840000	87870000	chr10	88370000	88410000	10535	10542	10535_10542	3	8	TRUE	shared
chr10	87840000	87870000	chr10	88540000	88560000	10535	10544	10535_10544	5	9	TRUE	shared
chr10	88920000	88950000	chr10	89200000	89230000	10546	10548	10546_10548	5	3	TRUE	shared
chr10	89020000	89040000	chr10	89200000	89230000	10547	10548	10547_10548	5	11	TRUE	shared
chr10	89250000	89280000	chr10	89380000	89410000	10549	10550	10549_10550	4	4	TRUE	shared
chr10	89250000	89280000	chr10	89550000	89580000	10549	10552	10549_10552	3	7	TRUE	shared
chr1	165390000	165410000	chr1	165570000	165630000	1054	1055	1054_1055	5	12	TRUE	shared
chr1	165390000	165410000	chr1	165900000	165940000	1054	1057	1054_1057	0	3	TRUE	shared
chr1	165570000	165630000	chr1	165900000	165940000	1055	1057	1055_1057	4	8	TRUE	shared
chr1	165700000	165750000	chr1	165900000	165940000	1056	1057	1056_1057	5	10	TRUE	shared
chr10	92060000	92100000	chr10	92420000	92450000	10571	10574	10571_10574	5	8	TRUE	shared
chr10	93360000	93390000	chr10	93480000	93510000	10578	10579	10578_10579	5	9	TRUE	shared
chr1	165900000	165940000	chr1	166450000	166500000	1057	1060	1057_1060	4	9	TRUE	shared
chr10	93910000	93930000	chr10	94300000	94350000	10583	10585	10583_10585	5	9	TRUE	shared
chr10	95350000	95380000	chr10	95590000	95620000	10589	10591	10589_10591	2	3	TRUE	shared
chr10	95410000	95450000	chr10	95590000	95620000	10590	10591	10590_10591	5	7	TRUE	shared
chr10	95690000	95710000	chr10	95840000	95870000	10592	10593	10592_10593	2	4	TRUE	shared
chr10	96370000	96410000	chr10	96500000	96540000	10597	10598	10597_10598	2	6	TRUE	shared
chr10	98440000	98480000	chr10	99230000	99270000	10617	10623	10617_10623	5	9	TRUE	shared
chr1	166890000	166920000	chr1	167050000	167080000	1061	1062	1061_1062	5	11	TRUE	shared
chr10	99840000	99870000	chr10	100030000	100060000	10627	10628	10627_10628	5	7	TRUE	shared
chr1	167050000	167080000	chr1	167200000	167270000	1062	1063	1062_1063	2	4	TRUE	shared
chr1	167050000	167080000	chr1	167420000	167450000	1062	1066	1062_1066	5	9	TRUE	shared
chr1	167050000	167080000	chr1	167520000	167550000	1062	1068	1062_1068	4	5	TRUE	shared
chr10	100320000	100340000	chr10	100420000	100460000	10631	10632	10631_10632	5	7	TRUE	shared
chr10	101190000	101220000	chr10	101560000	101580000	10638	10641	10638_10641	5	8	TRUE	shared
chr10	101190000	101220000	chr10	101750000	101790000	10638	10643	10638_10643	3	3	TRUE	shared
chr1	167200000	167270000	chr1	167420000	167450000	1063	1066	1063_1066	4	7	TRUE	shared
chr10	102700000	102740000	chr10	102890000	102930000	10650	10652	10650_10652	3	4	TRUE	shared
chr10	102700000	102740000	chr10	103060000	103100000	10650	10653	10650_10653	2	3	TRUE	shared
chr10	102820000	102840000	chr10	103060000	103100000	10651	10653	10651_10653	2	3	TRUE	shared
chr10	102890000	102930000	chr10	103240000	103260000	10652	10654	10652_10654	3	3	TRUE	shared
chr10	103700000	103730000	chr10	103850000	103910000	10658	10659	10658_10659	5	10	TRUE	shared
chr10	103850000	103910000	chr10	104100000	104130000	10659	10660	10659_10660	3	5	TRUE	shared
chr10	110110000	110150000	chr10	110270000	110290000	10670	10671	10670_10671	5	10	TRUE	shared
chr10	110300000	110340000	chr10	110520000	110570000	10672	10673	10672_10673	5	11	TRUE	shared
chr10	110740000	110760000	chr10	110890000	110900000	10676	10679	10676_10679	1	3	TRUE	shared
chr10	112160000	112190000	chr10	112300000	112330000	10687	10688	10687_10688	0	3	TRUE	shared
chr10	112160000	112190000	chr10	112420000	112450000	10687	10689	10687_10689	2	4	TRUE	shared
