chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR	peak_ID
chr12	93547884	93548385	501	*	4.47	2.85	5.35	-2.5	1.62e-08	3.04e-06	583
chr8	52271512	52272013	501	*	3.48	0.52	4.54	-4.02	1.69e-08	3.15e-06	587
chr11	3209549	3210050	501	*	3.97	4.72	1.15	3.57	2.28e-08	4.06e-06	615
chr8	52118592	52119093	501	*	4.46	2.78	5.36	-2.58	2.36e-08	4.16e-06	620
chr10	42822970	42823471	501	*	3.82	-0.21	4.94	-5.15	2.43e-08	4.25e-06	624
chr14	37429768	37430269	501	*	5.22	4.01	5.99	-1.98	2.49e-08	4.34e-06	627
chr7	44101282	44101783	501	*	5.06	5.6	3.83	1.77	2.57e-08	4.45e-06	631
chr7	104228395	104228896	501	*	4.01	2.24	4.92	-2.69	2.6e-08	4.48e-06	634
chr18	77677442	77677943	501	*	4.37	5.11	1.81	3.29	2.65e-08	4.55e-06	637
chr17	63578512	63579013	501	*	4.32	3.01	5.12	-2.11	3.28e-08	5.45e-06	657
chr2	174336339	174336840	501	*	6.12	6.68	4.79	1.89	3.33e-08	5.53e-06	659
chr10	42827225	42827726	501	*	4.25	1.89	5.25	-3.36	3.93e-08	6.35e-06	676
chr14	37569990	37570491	501	*	6.26	5.56	6.83	-1.28	4.29e-08	6.85e-06	685
chr10	92096583	92097084	501	*	4.67	3.02	5.56	-2.54	4.54e-08	7.17e-06	691
chr1	239392256	239392757	501	*	3.68	4.45	0.43	4.02	5.19e-08	8.03e-06	706
chr22	35839824	35840325	501	*	6.37	5.68	6.93	-1.24	5.2e-08	8.03e-06	707
chr1	15577918	15578419	501	*	5.08	5.61	3.87	1.74	5.56e-08	8.52e-06	713
chr1	155176883	155177384	501	*	6.04	6.54	4.99	1.55	5.57e-08	8.52e-06	714
chr5	174720939	174721440	501	*	4.89	5.47	3.48	1.99	6.1e-08	9.25e-06	721
chr13	112873320	112873821	501	*	4.75	5.4	2.95	2.45	6.23e-08	9.4e-06	724
chr6	132247000	132247501	501	*	4.79	5.36	3.44	1.92	6.57e-08	9.88e-06	727
chr22	47292741	47293242	501	*	5.66	6.13	4.68	1.46	7.93e-08	1.16e-05	746
chr13	36259665	36260166	501	*	4.77	5.31	3.55	1.76	8.11e-08	1.18e-05	749
chr11	118395898	118396399	501	*	5.21	4.33	5.86	-1.52	8.45e-08	1.23e-05	753
chr21	38493524	38494025	501	*	5.12	5.76	3.38	2.38	8.9e-08	1.29e-05	756
chr14	37438105	37438606	501	*	5.83	5.03	6.45	-1.43	9.03e-08	1.3e-05	758
chr6	105388057	105388558	501	*	4.25	4.87	2.63	2.25	9.33e-08	1.34e-05	761
chr13	23869315	23869816	501	*	4.06	1.72	5.07	-3.35	1.07e-07	1.5e-05	781
chr6	7058232	7058733	501	*	5.7	4.82	6.34	-1.52	1.12e-07	1.55e-05	787
chr1	162381769	162382270	501	*	5.3	4.29	6	-1.72	1.15e-07	1.59e-05	792
chr18	32277906	32278407	501	*	4.61	5.17	3.29	1.88	1.23e-07	1.67e-05	802
chr6	26118508	26119009	501	*	4.59	3.03	5.46	-2.43	1.25e-07	1.7e-05	805
chr2	230170161	230170662	501	*	5.46	5.99	4.32	1.67	1.3e-07	1.75e-05	807
chr6	39169609	39170110	501	*	5.26	5.73	4.29	1.45	1.37e-07	1.84e-05	813
chr5	174319492	174319993	501	*	3.53	4.3	0.58	3.72	1.37e-07	1.84e-05	814
chr5	6773315	6773816	501	*	3.95	4.74	0.32	4.43	1.43e-07	1.91e-05	820
chr9	72042954	72043455	501	*	4.71	5.33	3.16	2.17	1.46e-07	1.94e-05	821
chr22	45996669	45997170	501	*	6.53	6.96	5.7	1.26	1.5e-07	1.98e-05	827
chr12	93011211	93011712	501	*	5.18	3.97	5.95	-1.98	1.51e-07	2e-05	828
chr18	77675429	77675930	501	*	3.49	4.29	-0.25	4.54	1.53e-07	2.01e-05	832
chr2	230172069	230172570	501	*	4.25	4.91	2.39	2.52	1.65e-07	2.15e-05	841
chr2	237603613	237604114	501	*	5.91	6.41	4.86	1.56	1.66e-07	2.15e-05	842
chr12	93524396	93524897	501	*	6.23	5.33	6.89	-1.56	1.75e-07	2.25e-05	850
chr3	54843448	54843949	501	*	4.2	4.91	1.99	2.92	2.06e-07	2.58e-05	873
chr13	42114181	42114682	501	*	4.27	4.9	2.57	2.34	2.11e-07	2.62e-05	877
chr22	37307215	37307716	501	*	6.45	6.88	5.66	1.22	2.12e-07	2.63e-05	878
chr17	78263113	78263614	501	*	6.29	6.79	5.23	1.55	2.16e-07	2.67e-05	885
chr22	19617554	19618055	501	*	4.3	4.9	2.82	2.08	2.18e-07	2.68e-05	888
chr13	23866395	23866896	501	*	4.62	3.07	5.49	-2.41	2.22e-07	2.72e-05	890
chr7	7407975	7408476	501	*	4.35	2.71	5.23	-2.52	2.54e-07	3.04e-05	914
chr12	63064502	63065003	501	*	4.48	5.07	3.08	1.99	2.67e-07	3.17e-05	919
chr8	57540177	57540678	501	*	4.23	2.35	5.16	-2.81	2.67e-07	3.17e-05	920
chr7	19959535	19960036	501	*	3.67	4.42	0.93	3.49	2.79e-07	3.28e-05	928
chr12	93553358	93553859	501	*	6.23	5.39	6.87	-1.47	2.94e-07	3.43e-05	936
chr10	128047437	128047938	501	*	6.05	6.51	5.12	1.39	2.94e-07	3.43e-05	937
chr7	26511749	26512250	501	*	4.37	5.01	2.6	2.41	3.06e-07	3.55e-05	943
chr7	26512685	26513186	501	*	4.39	5.07	2.45	2.62	3.17e-07	3.66e-05	947
chr6	1622024	1622525	501	*	4.22	4.87	2.39	2.48	3.19e-07	3.68e-05	948
chr7	26525255	26525756	501	*	5.73	6.2	4.78	1.42	3.27e-07	3.74e-05	955
chr21	38489781	38490282	501	*	5.32	5.87	4.09	1.77	3.28e-07	3.74e-05	956
chr7	64517286	64517787	501	*	4.09	2.33	5	-2.67	3.3e-07	3.76e-05	960
chr7	83644793	83645294	501	*	4.34	3.11	5.12	-2.01	3.34e-07	3.78e-05	963
chr2	118049955	118050456	501	*	4.53	5.15	2.93	2.22	3.35e-07	3.8e-05	964
chr4	3111057	3111558	501	*	4.22	4.84	2.6	2.24	3.36e-07	3.8e-05	965
chr12	56749623	56750124	501	*	4.92	3.88	5.64	-1.76	3.49e-07	3.92e-05	974
chr8	52127679	52128180	501	*	4.54	3.28	5.32	-2.05	3.7e-07	4.11e-05	984
chr2	205685579	205686080	501	*	6.12	6.55	5.29	1.26	3.73e-07	4.13e-05	985
chr13	23864281	23864782	501	*	4.05	1.91	5.02	-3.12	3.78e-07	4.17e-05	990
chr17	705525	706026	501	*	4.5	5.13	2.85	2.28	3.89e-07	4.27e-05	996
chr20	47774026	47774527	501	*	5.51	6	4.5	1.49	4.08e-07	4.44e-05	1003
chr7	7589641	7590142	501	*	4.74	3.69	5.46	-1.77	4.12e-07	4.46e-05	1006
chr3	193995015	193995516	501	*	4.98	5.49	3.89	1.59	4.22e-07	4.56e-05	1010
chr4	79832219	79832720	501	*	5.08	3.73	5.9	-2.17	4.22e-07	4.56e-05	1011
chr22	37309599	37310100	501	*	5.49	6.01	4.34	1.67	4.45e-07	4.74e-05	1025
chr22	23279202	23279703	501	*	6.87	7.23	6.22	1	4.48e-07	4.77e-05	1026
chr8	42187359	42187860	501	*	5.12	5.7	3.74	1.96	4.55e-07	4.82e-05	1032
chr22	37289227	37289728	501	*	3.84	4.56	1.46	3.1	4.63e-07	4.89e-05	1035
chr4	79829976	79830477	501	*	5.21	3.89	6.02	-2.13	4.66e-07	4.91e-05	1037
chr3	53495202	53495703	501	*	7.39	7.82	6.56	1.27	4.77e-07	5.01e-05	1041
chr7	155825213	155825714	501	*	4.79	5.44	2.98	2.46	4.87e-07	5.09e-05	1046
chr7	30057402	30057903	501	*	4.41	3.15	5.19	-2.04	5.08e-07	5.27e-05	1052
chr2	9340101	9340602	501	*	5.36	5.86	4.29	1.57	5.14e-07	5.33e-05	1054
chr1	235069853	235070354	501	*	6.16	6.67	5.08	1.6	5.32e-07	5.48e-05	1062
chr10	76052361	76052862	501	*	5.56	6.01	4.69	1.32	5.86e-07	5.91e-05	1084
chr10	30417387	30417888	501	*	4.94	5.48	3.72	1.76	6.05e-07	6.06e-05	1090
chr22	40028443	40028944	501	*	5.7	4.72	6.39	-1.68	6.06e-07	6.07e-05	1092
chr11	58900901	58901402	501	*	4.64	3.44	5.41	-1.97	6.22e-07	6.17e-05	1101
chr15	89870524	89871025	501	*	5.03	3.98	5.75	-1.77	6.42e-07	6.33e-05	1109
chr10	3887422	3887923	501	*	6.87	7.26	6.16	1.11	6.43e-07	6.33e-05	1110
chr5	14260862	14261363	501	*	5.31	4.45	5.95	-1.5	6.49e-07	6.37e-05	1113
chr11	126465453	126465954	501	*	5.28	5.88	3.79	2.09	6.73e-07	6.54e-05	1124
chr5	150210661	150211162	501	*	5.19	5.74	3.96	1.77	6.82e-07	6.62e-05	1126
chr7	26514540	26515041	501	*	4.91	5.44	3.7	1.74	6.84e-07	6.63e-05	1127
chr6	7059981	7060482	501	*	5.44	4.64	6.05	-1.41	6.85e-07	6.63e-05	1129
chr18	76350541	76351042	501	*	5.3	5.86	3.99	1.87	7.02e-07	6.72e-05	1142
chr8	57564566	57565067	501	*	4.29	2.69	5.17	-2.48	7.22e-07	6.88e-05	1147
chr2	175373673	175374174	501	*	4.63	5.2	3.33	1.87	7.3e-07	6.95e-05	1149
chr22	38612159	38612660	501	*	3.91	1.77	4.89	-3.12	7.35e-07	6.97e-05	1153
chr2	209208228	209208729	501	*	4.58	3.16	5.41	-2.25	7.45e-07	7.04e-05	1157
chr17	33292359	33292860	501	*	5.31	5.92	3.78	2.14	7.8e-07	7.3e-05	1168
chr3	193790315	193790816	501	*	5.76	6.24	4.79	1.45	7.9e-07	7.36e-05	1172
chr10	30535874	30536375	501	*	4.48	5.06	3.1	1.96	7.94e-07	7.39e-05	1174
chr20	21703132	21703633	501	*	4.23	4.91	2.18	2.73	7.97e-07	7.41e-05	1176
chr7	107868862	107869856	994	*	5.22	4.22	5.92	-1.71	8.04e-07	7.46e-05	1177
chr12	93160865	93161366	501	*	5.23	4.39	5.87	-1.48	8.2e-07	7.58e-05	1182
chr14	61308499	61309000	501	*	3.96	4.64	2.01	2.63	8.36e-07	7.71e-05	1185
chr12	4000076	4000577	501	*	5.02	5.64	3.41	2.23	8.36e-07	7.71e-05	1186
chr8	52120415	52120916	501	*	4.97	3.8	5.72	-1.92	9.06e-07	8.19e-05	1208
chr5	3187591	3188092	501	*	3.9	4.64	1.25	3.39	9.23e-07	8.3e-05	1215
chr8	52276949	52277450	501	*	3.97	1.69	4.96	-3.27	9.52e-07	8.51e-05	1222
chr18	335234	335735	501	*	5.71	6.18	4.78	1.39	9.85e-07	8.75e-05	1230
chr6	3129261	3129762	501	*	3.96	1.78	4.94	-3.16	9.88e-07	8.77e-05	1231
chr2	226630822	226631323	501	*	6.59	6.98	5.88	1.1	1.04e-06	9.19e-05	1238
chr14	37420503	37421004	501	*	6.27	5.51	6.86	-1.36	1.04e-06	9.2e-05	1240
chr12	112022337	112022838	501	*	4.06	2.72	4.88	-2.15	1.05e-06	9.23e-05	1243
chr1	178304211	178304712	501	*	5.61	4.93	6.16	-1.23	1.09e-06	9.5e-05	1250
chr18	2754993	2755494	501	*	3.92	2.48	4.76	-2.28	1.13e-06	9.74e-05	1263
chr17	66690587	66691088	501	*	4.49	5.02	3.36	1.66	1.13e-06	9.78e-05	1264
chr6	146857761	146858262	501	*	6.23	6.67	5.37	1.3	1.18e-06	0.000101	1271
chr20	59429310	59429811	501	*	5.28	5.72	4.4	1.32	1.19e-06	0.000102	1272
chr3	71315374	71315875	501	*	4.96	4.08	5.61	-1.54	1.22e-06	0.000105	1276
chr7	2870057	2870558	501	*	5.54	5.98	4.67	1.31	1.29e-06	0.000109	1291
chr13	23883675	23884176	501	*	3.37	0.82	4.4	-3.58	1.32e-06	0.000111	1298
chr7	17726177	17726678	501	*	4.7	5.26	3.4	1.86	1.41e-06	0.000117	1312
chr13	23711544	23712045	501	*	3.65	1.5	4.63	-3.13	1.44e-06	0.000119	1320
chr14	25052920	25053421	501	*	5	3.99	5.71	-1.72	1.46e-06	0.00012	1324
chr8	57541975	57542476	501	*	4.54	2.97	5.41	-2.43	1.48e-06	0.000122	1330
chr10	29728638	29729139	501	*	6.06	6.5	5.2	1.31	1.5e-06	0.000123	1332
chr4	98932897	98933398	501	*	5.63	6.06	4.81	1.25	1.51e-06	0.000123	1333
chr16	54077456	54077957	501	*	5.57	6.04	4.61	1.43	1.51e-06	0.000124	1334
chr13	112638073	112638574	501	*	4.22	4.86	2.53	2.32	1.54e-06	0.000126	1342
chr21	29104367	29104868	501	*	4.48	5.06	3.11	1.95	1.55e-06	0.000126	1344
chr9	113589257	113589758	501	*	6.22	6.64	5.42	1.22	1.57e-06	0.000127	1347
chr12	93396280	93396781	501	*	5.28	4.54	5.87	-1.33	1.59e-06	0.000128	1352
chr8	27603035	27603536	501	*	4.8	3.98	5.43	-1.45	1.6e-06	0.000129	1353
chr8	134681040	134681541	501	*	5.48	5.97	4.45	1.52	1.63e-06	0.000131	1360
chr8	100289951	100290452	501	*	4.43	5.03	2.93	2.1	1.67e-06	0.000134	1364
chr9	131625925	131626426	501	*	5.2	5.78	3.82	1.96	1.69e-06	0.000135	1366
chr9	107508701	107509202	501	*	6.11	5.42	6.66	-1.24	1.69e-06	0.000135	1367
chr5	14717675	14718176	501	*	6.37	5.69	6.92	-1.24	1.73e-06	0.000137	1373
chr14	25055205	25055706	501	*	4.62	3.53	5.36	-1.83	1.8e-06	0.000142	1385
chr7	107871390	107871891	501	*	4.42	3.16	5.21	-2.05	1.82e-06	0.000143	1391
chr7	26523083	26523584	501	*	4.78	5.29	3.73	1.56	1.86e-06	0.000145	1399
chr8	52116863	52117364	501	*	5.03	4	5.74	-1.74	1.89e-06	0.000147	1407
chr22	50028135	50028636	501	*	6.28	6.74	5.35	1.39	1.9e-06	0.000148	1408
chr20	10566744	10567245	501	*	5.32	5.8	4.35	1.45	1.96e-06	0.000151	1418
chr1	211145049	211145916	867	*	5.12	5.66	3.92	1.74	2.05e-06	0.000156	1435
chr12	93517387	93517888	501	*	4.72	3.54	5.48	-1.93	2.15e-06	0.000162	1449
chr5	14711596	14712097	501	*	4.33	3.29	5.05	-1.76	2.27e-06	0.000169	1465
chr18	1511652	1512153	501	*	4.71	5.36	2.93	2.43	2.31e-06	0.000172	1472
chr12	6735951	6736452	501	*	5.08	4.32	5.67	-1.35	2.4e-06	0.000177	1481
chr21	38497961	38498462	501	*	4.4	5.04	2.64	2.4	2.41e-06	0.000177	1482
chr2	102245601	102246102	501	*	4.99	5.53	3.78	1.76	2.41e-06	0.000178	1483
chr1	220680940	220681441	501	*	4.88	4.02	5.53	-1.51	2.45e-06	0.00018	1490
chr1	178301481	178301982	501	*	3.91	2.3	4.79	-2.49	2.54e-06	0.000185	1500
chr3	193797858	193798359	501	*	4.26	4.82	2.96	1.87	2.55e-06	0.000185	1502
chr11	77036792	77037293	501	*	5.27	5.73	4.37	1.36	2.57e-06	0.000186	1506
chr21	31874905	31875406	501	*	5.33	5.81	4.34	1.48	2.6e-06	0.000188	1511
chr17	72351758	72352259	501	*	5.1	5.63	3.96	1.67	2.65e-06	0.00019	1520
chr1	116497881	116498382	501	*	5.45	5.92	4.49	1.43	2.65e-06	0.000191	1522
chr1	113154657	113155158	501	*	3.9	2.12	4.81	-2.7	2.66e-06	0.000191	1525
chr4	15722977	15723478	501	*	4.67	3.54	5.41	-1.87	2.67e-06	0.000191	1526
chr1	235523727	235524228	501	*	4.43	2.74	5.33	-2.59	2.67e-06	0.000191	1527
chr18	2758671	2759172	501	*	3.92	1.96	4.87	-2.91	2.69e-06	0.000192	1531
chr18	8344609	8345110	501	*	4.91	3.88	5.62	-1.75	2.7e-06	0.000192	1532
chr18	12679310	12679811	501	*	5.37	5.86	4.39	1.47	2.7e-06	0.000193	1534
chr11	86596885	86597386	501	*	4.89	5.47	3.5	1.97	2.74e-06	0.000194	1538
chr7	1418282	1418783	501	*	4.48	5.04	3.2	1.84	2.91e-06	0.000204	1557
chr12	124343920	124344421	501	*	4.57	5.14	3.23	1.92	2.97e-06	0.000208	1563
chr7	107867459	107867960	501	*	4.63	3.22	5.46	-2.24	3.07e-06	0.000213	1570
chr10	86902520	86903021	501	*	4.78	3.84	5.45	-1.6	3.11e-06	0.000216	1572
chr1	19925238	19925739	501	*	3.94	4.61	2.02	2.59	3.13e-06	0.000217	1573
chr6	31851993	31852494	501	*	4.52	5.05	3.33	1.72	3.15e-06	0.000218	1577
chr8	27477905	27478406	501	*	4.68	3.76	5.35	-1.6	3.16e-06	0.000218	1579
chr15	72728679	72729180	501	*	4.17	2.4	5.08	-2.69	3.2e-06	0.000221	1585
chr12	85031424	85031925	501	*	5.18	4.22	5.86	-1.64	3.33e-06	0.000227	1606
chr20	61902101	61902602	501	*	5.6	6.1	4.54	1.56	3.34e-06	0.000227	1607
chr9	134456666	134457167	501	*	7.5	7.85	6.89	0.96	3.34e-06	0.000227	1608
chr1	32345595	32346096	501	*	4.86	5.34	3.9	1.43	3.35e-06	0.000227	1609
chr8	52114421	52114922	501	*	4.56	3.41	5.31	-1.9	3.35e-06	0.000227	1610
chr4	105143102	105143603	501	*	4.69	3.85	5.33	-1.48	3.36e-06	0.000228	1611
chr2	99349618	99350119	501	*	3.44	1.24	4.42	-3.18	3.36e-06	0.000228	1612
chr14	37560897	37561398	501	*	4.59	3.64	5.28	-1.64	3.37e-06	0.000228	1613
chr1	24655795	24656296	501	*	4.8	3.97	5.44	-1.47	3.59e-06	0.000241	1627
chr6	20289924	20290425	501	*	3.23	-0.1	4.32	-4.42	3.7e-06	0.000247	1638
chr4	26867701	26868202	501	*	5.16	4.45	5.73	-1.27	3.76e-06	0.00025	1644
chr14	89902788	89903289	501	*	4.32	3.16	5.07	-1.91	3.77e-06	0.00025	1645
chr1	178300117	178300618	501	*	4.63	3.78	5.27	-1.49	3.91e-06	0.000257	1660
chr15	79849123	79849624	501	*	4.5	3.24	5.29	-2.06	3.92e-06	0.000257	1662
chr10	92092327	92092828	501	*	4.09	2.5	4.97	-2.47	3.95e-06	0.000259	1667
chr10	30418279	30418780	501	*	5.13	5.61	4.15	1.47	3.95e-06	0.000259	1668
chr2	100824776	100825277	501	*	4.4	3.01	5.22	-2.22	4.02e-06	0.000263	1671
chr6	169957336	169957837	501	*	4.16	4.77	2.56	2.21	4.11e-06	0.000267	1682
