gene_id	loops_gained	loops_shared	loops_lost	gene_name	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	chr	start	end	strand	Mean_log2FC	Loop_Changes
ENSG00000005194.15	0	1	0	CIAPIN1	10	36.3853253828915	0.543380808030513	0.710667197976876	chr16	57428187	57447420	-	-0.0199935845049123	Same loop(s)
ENSG00000005243.10	0	1	0	COPZ2	5	14.5300547662419	0.0769521933732312	0.214461369299061	chr17	48026167	48038030	-	0.334330414541112	Same loop(s)
ENSG00000005302.19	0	1	0	MSL3	19	53.6493716724652	0.383392707087859	0.581432787517599	chrX	11758159	11775772	+	0.291137345718778	Same loop(s)
ENSG00000005379.17	0	1	0	TSPOAP1	9	40.423807417832	0.354798393990107	0.555879106798686	chr17	58301228	58328795	-	-0.0537195404690252	Same loop(s)
ENSG00000005486.17	1	0	0	RHBDD2	6	23.8512166055386	0.417607558043821	0.613218941441253	chr7	75842602	75888926	+	0.175645441699407	Gained loop(s)
ENSG00000005981.13	1	2	0	ASB4	1	5.29077008339568	0.843219323537235	0.911187798422091	chr7	95478444	95540233	+	0.0381938946344358	Gained loop(s)
ENSG00000006007.12	0	1	0	GDE1	5	27.8265391128513	9.02420590392515e-06	0.000237079473922206	chr16	19501693	19522123	-	0.479708035007389	Same loop(s)
ENSG00000006015.17	0	2	0	REX1BD	7	28.8509854918931	0.421285906546111	0.616535963563213	chr19	18588685	18592336	+	-0.156044431220925	Same loop(s)
ENSG00000006016.11	0	2	0	CRLF1	2	5.07034095562359	0.0918836722178872	0.240519386255634	chr19	18572220	18607741	-	1.17693543872302	Same loop(s)
ENSG00000006042.12	0	2	0	TMEM98	9	40.4984266722352	0.000224552180254712	0.00329759347502525	chr17	32927910	32945106	+	-0.17052573172588	Same loop(s)
ENSG00000006062.17	0	1	0	MAP3K14	5	20.8313392710364	0.311715709813237	0.513466649587858	chr17	45263119	45317029	-	-0.372523083944802	Same loop(s)
ENSG00000006116.3	1	0	0	CACNG3	1	1.66531847130228	0.558199673939415	0.722315182179398	chr16	24255553	24362801	+	0.395907674522375	Gained loop(s)
ENSG00000006282.21	0	2	0	SPATA20	13	48.6681438388971	0.0170331791792283	0.0790881717061124	chr17	50543058	50555852	+	-0.328762407945898	Same loop(s)
ENSG00000006283.18	0	2	0	CACNA1G	6	12.867149753614	0.200361940064253	0.394110343211824	chr17	50560715	50627474	+	0.406380402038734	Same loop(s)
ENSG00000006432.15	0	1	0	MAP3K9	6	24.1873035144201	0.0668149632452774	0.196002592164519	chr14	70722526	70809534	-	-0.0500613743693775	Same loop(s)
ENSG00000006453.14	0	2	0	BAIAP2L1	5	24.6106706282328	0.015883617284073	0.0755196262307203	chr7	98291650	98401090	-	-0.385833451355328	Same loop(s)
ENSG00000006459.11	0	0	1	KDM7A	3	18.6261291375649	0.282592575833645	0.486661482374011	chr7	140084746	140176983	-	0.136267037197029	Lost loop(s)
ENSG00000006530.18	1	3	1	AGK	19	72.5433649267171	0.272578959734342	0.475868912733785	chr7	141551278	141655244	+	0.268872357827659	Opposing loop changes
ENSG00000006555.11	1	1	1	TTC22	3	12.8558586082686	0.000857504456514142	0.00904430856668919	chr1	54779712	54801323	-	-0.658808110077663	Opposing loop changes
ENSG00000006606.8	1	0	0											Gained loop(s)
ENSG00000006611.16	1	1	0											Gained loop(s)
ENSG00000006695.12	0	1	0	COX10	3	13.5666853321269	0.0349032113923153	0.128720409410225	chr17	14069490	14231736	+	-0.263505631966366	Same loop(s)
ENSG00000006740.17	1	0	0	ARHGAP44	8	30.3553698320631	0.0738530086988566	0.208934854252114	chr17	12789498	12991643	+	-0.610739367737264	Gained loop(s)
ENSG00000006744.19	2	2	0	ELAC2	17	65.7316394818441	0.0184311021635652	0.0831036500320749	chr17	12991612	13018065	-	0.067758658899281	Gained loop(s)
ENSG00000006788.14	0	1	0											Same loop(s)
ENSG00000006837.12	0	2	0	CDKL3	8	20.4149617261787	0.0867428149378939	0.231825757377335	chr5	134286350	134371047	-	0.371207212129342	Same loop(s)
ENSG00000007062.11	1	0	1	PROM1	4	9.39441652709804	0.521856546930854	0.694878125041094	chr4	15963076	16084378	-	0.19458770129756	Opposing loop changes
ENSG00000007171.18	1	0	0	NOS2	1	1.23658072503188	0.0744297242498973	0.209898050813518	chr17	27756766	27800529	-	-1.7857540350962	Gained loop(s)
ENSG00000007237.18	0	2	0	AC005747.1	8	24.7720058812198	0.585682822569194	0.741992270865088	chr17	9910609	10198551	-	0.441782867715819	Same loop(s)
ENSG00000007402.11	0	1	0	CACNA2D2	4	18.1149052571383	0.585570270686858	0.741992270865088	chr3	50362799	50504244	-	0.407789808283397	Same loop(s)
ENSG00000007923.16	0	1	0	DNAJC11	9	37.1923478890178	0.549414031406102	0.71569297175011	chr1	6634168	6701924	-	0.0832948166130062	Same loop(s)
ENSG00000007944.15	0	1	0	MYLIP	2	13.9567819102739	0.63636940435957	0.778351492393782	chr6	16129086	16148248	+	0.119538600061333	Same loop(s)
ENSG00000008018.9	0	1	0	PSMB1	2	14.2992358833122	0.00219641863807027	0.0183466661109921	chr6	170535120	170553307	-	0.353580883365823	Same loop(s)
ENSG00000008083.14	0	3	1	JARID2	3	15.0652517087599	0.880357063859121	0.931492403518128	chr6	15246069	15522042	+	-0.228008850871713	Lost loop(s)
ENSG00000008086.13	0	2	1	CDKL5	10	37.8800493317208	0.107497919486986	0.266071617112579	chrX	18425583	18653629	+	-0.602437645657359	Lost loop(s)
ENSG00000008118.10	1	1	0	CAMK1G	5	10.7162952866966	0.128021362508826	0.296652298770836	chr1	209583714	209613939	+	0.293959182970769	Gained loop(s)
ENSG00000008196.13	3	2	2											Opposing loop changes
ENSG00000008256.16	0	1	0	CYTH3	8	23.9730191971087	0.00603623947744183	0.0381714685759612	chr7	6161776	6272644	-	0.0485098146373675	Same loop(s)
ENSG00000008283.16	0	5	0	CYB561	13	47.534552848553	0.0398432491804011	0.140320026753175	chr17	63432304	63446354	-	-0.0758115132164943	Same loop(s)
ENSG00000008294.21	0	0	1	SPAG9	17	74.6074803118075	0.052657575128939	0.167766090215198	chr17	50962174	51120868	-	0.158119892065709	Lost loop(s)
ENSG00000008394.13	0	1	1	MGST1	17	58.5433249243945	1.55187867267463e-07	7.71832583615731e-06	chr12	16347142	16609259	+	-0.880339686819385	Lost loop(s)
ENSG00000008438.5	0	1	0											Same loop(s)
ENSG00000008513.16	0	3	0	ST3GAL1	12	40.85274329433	0.658081961442851	0.794543827188953	chr8	133454848	133571940	-	0.456782859304398	Same loop(s)
ENSG00000008735.14	0	1	0	MAPK8IP2	2	8.09408735732588	0.0907672952113096	0.238683916615129	chr22	50600793	50613981	+	-1.21900781465696	Same loop(s)
ENSG00000008838.20	0	1	0	MED24	21	65.1020421645037	0.152900624910462	0.332582808049791	chr17	40019097	40061215	-	-0.236802791557373	Same loop(s)
ENSG00000009950.16	0	2	0	MLXIPL	1	3.05281644162441	0.270995201907347	0.474375086555706	chr7	73593194	73624543	-	-0.407364736943214	Same loop(s)
ENSG00000009954.11	0	1	0	BAZ1B	3	21.6389919436991	0.0488586337903804	0.159804360118269	chr7	73440406	73522293	-	0.0675913872507327	Same loop(s)
ENSG00000010165.20	1	2	0	EEF1AKNMT	6	25.0059431319884	0.77617165964766	0.870249025381355	chr1	171781660	171814023	+	-0.261821300478362	Gained loop(s)
ENSG00000010278.14	0	2	0	CD9	15	70.4368809052786	2.4180571233158e-08	1.49567545988388e-06	chr12	6199715	6238271	+	-0.31061147607274	Same loop(s)
ENSG00000010310.9	1	0	0	GIPR	4	11.8750539276743	0.714575455037557	0.832010915087687	chr19	45668221	45683722	+	0.00927773561311073	Gained loop(s)
ENSG00000011052.21	0	1	0	NME1-NME2	1	5.48471149201458	0.802752236115893	0.886857224208383	chr17	51153590	51171744	+	0.111367594335739	Same loop(s)
ENSG00000011114.15	0	1	0	BTBD7	4	18.0201224387901	0.0984493631237136	0.251475594826987	chr14	93237550	93333092	-	-0.51303026779729	Same loop(s)
ENSG00000011243.18	1	0	0	AKAP8L	16	63.2117689511923	0.10497943822373	0.261992862553757	chr19	15380050	15419141	-	-0.146559152839797	Gained loop(s)
ENSG00000011638.10	1	3	0	TMEM159	7	25.2053557462528	0.0327928097988004	0.123572057128852	chr16	21158377	21180616	+	-0.65371553955985	Gained loop(s)
ENSG00000012232.9	0	1	0	EXTL3	7	19.9817803746627	0.539279038810585	0.708336005146945	chr8	28600469	28755599	+	-0.173156830433806	Same loop(s)
ENSG00000012822.16	0	1	0	CALCOCO1	18	68.5687758211299	0.00010728896190204	0.00182127840684602	chr12	53708517	53727745	-	-0.323426494797185	Same loop(s)
ENSG00000013297.11	1	1	0	CLDN11	4	14.2630112713271	0.493051279912957	0.672700679345273	chr3	170418865	170454733	+	0.407657137223839	Gained loop(s)
ENSG00000013306.16	0	1	0	SLC25A39	12	47.5121224167486	0.134067689674695	0.305729729576736	chr17	44319625	44324870	-	-0.197459649314363	Same loop(s)
ENSG00000013364.19	0	1	0	MVP	11	39.8659901869204	0.150662009297121	0.329070077061575	chr16	29820394	29848039	+	0.205472475417783	Same loop(s)
ENSG00000013375.16	0	1	0	PGM3	20	89.2402266566813	0.0198903173853161	0.0873457972620511	chr6	83161150	83193936	-	-0.134977927638884	Same loop(s)
ENSG00000013561.18	0	1	0	RNF14	12	41.5182988250448	0.000878671136408137	0.00920885041942812	chr5	141958328	141990292	+	0.00473466059511967	Same loop(s)
ENSG00000014914.21	0	2	0	MTMR11	8	20.7084484997181	0.226818419420024	0.426440175353617	chr1	149928651	149936879	-	0.242955728995183	Same loop(s)
ENSG00000016082.15	1	1	0	ISL1	3	11.2225408500841	0.0459081979590129	0.15338831406955	chr5	51383448	51394730	+	-0.05260640472981	Gained loop(s)
ENSG00000018280.17	0	1	0	SLC11A1	6	18.6221051872005	0.269549181935931	0.472993274409263	chr2	218382029	218396894	+	-0.112918801302544	Same loop(s)
ENSG00000018408.14	1	2	1	WWTR1	9	35.525674790986	0.349356217791063	0.551266074102943	chr3	149517235	149736714	-	-0.0833833932631377	Opposing loop changes
ENSG00000019485.13	0	2	2	PRDM11	5	21.190736481166	0.180636627528348	0.369864186221359	chr11	45095806	45235110	+	0.22643113573937	Lost loop(s)
ENSG00000019549.13	0	6	0	SNAI2	2	9.90591203949239	0.0860518745222895	0.230463697225289	chr8	48917598	48921740	-	0.328799393752004	Same loop(s)
ENSG00000020129.16	1	2	0	NCDN	6	28.1888760532855	0.227683942353131	0.427331386570372	chr1	35557473	35567274	+	-0.168263588862012	Gained loop(s)
ENSG00000020181.18	0	1	0	ADGRA2	1	4.71599978738385	0.0580378972580934	0.178957049977393	chr8	37784191	37844896	+	0.5871684667878	Same loop(s)
ENSG00000020219.9	0	1	0											Same loop(s)
ENSG00000020256.20	1	3	0	ZFP64	11	39.8497605355048	0.634346193041978	0.776972721468762	chr20	52051663	52204308	-	-0.24802927794023	Gained loop(s)
ENSG00000020426.11	0	1	0	MNAT1	8	39.2527828262079	0.00527667353088721	0.0348438719036221	chr14	60734742	60969965	+	0.387659381102692	Same loop(s)
ENSG00000020577.14	0	2	0	SAMD4A	10	38.9073608048702	0.0582074793322247	0.179282490854525	chr14	54566117	54793315	+	0.162408471639388	Same loop(s)
ENSG00000020922.12	0	1	0	MRE11	7	33.3039454834209	0.692075533296658	0.816296839985485	chr11	94415578	94493908	-	0.0922145157596316	Same loop(s)
ENSG00000021300.14	0	1	0	PLEKHB1	5	13.7060592326156	0.0181091579296085	0.0821637885079221	chr11	73646178	73662819	+	-1.24721707768606	Same loop(s)
ENSG00000022976.15	1	0	0	ZNF839	10	40.6902130972207	0.0931064894883392	0.242135050839003	chr14	102317377	102342702	+	-0.158678295134935	Gained loop(s)
ENSG00000023041.11	1	1	0	ZDHHC6	5	24.3095686276383	0.467002512468151	0.653402369985861	chr10	112424428	112446917	-	0.105313081838266	Gained loop(s)
ENSG00000023445.15	0	2	0	BIRC3	4	16.1148367593994	0.424493827033706	0.619421899455081	chr11	102317450	102339403	+	0.0379201443815205	Same loop(s)
ENSG00000023892.11	0	1	0	DEF6	2	10.6027276528529	0.0236600610233259	0.0989641670793768	chr6	35297818	35321771	+	-0.402228094501553	Same loop(s)
ENSG00000024422.12	0	3	0	EHD2	5	17.507804527436	0.600209659460532	0.752044830365616	chr19	47713422	47743134	+	0.0276916415191311	Same loop(s)
ENSG00000024526.17	1	0	0	DEPDC1	4	13.380696629202	0.968667676831121	0.982337782055676	chr1	68474152	68497221	-	0.113533615179201	Gained loop(s)
ENSG00000025423.11	1	1	0	HSD17B6	6	19.1082828347824	0.759012675726275	0.859291153185391	chr12	56752161	56787790	+	-0.197998290441948	Gained loop(s)
ENSG00000025770.19	0	1	0	NCAPH2	6	28.4671080704692	0.215177901239019	0.412785087606033	chr22	50508224	50524780	+	-0.0543920750253292	Same loop(s)
ENSG00000026025.16	1	2	0	VIM	7	35.9124946302392	0.573851630212076	0.734566179543539	chr10	17228241	17237593	+	0.206118851685733	Gained loop(s)
ENSG00000026559.14	0	2	0	KCNG1	6	16.675067948953	0.501071040310395	0.678673311198599	chr20	51003656	51023107	-	0.315359725027263	Same loop(s)
ENSG00000026652.15	0	1	0	AGPAT4	4	14.0574879267164	0.664381044531034	0.798400977338063	chr6	161129967	161274061	-	0.166442109118041	Same loop(s)
ENSG00000026751.17	0	1	0	SLAMF7	5	14.635149547297	0.139803922421305	0.313840297191551	chr1	160739057	160754821	+	-0.271663148861216	Same loop(s)
ENSG00000027847.14	0	1	0	B4GALT7	7	24.3620584307167	0.0176160937554817	0.0808083005267882	chr5	177600132	177610330	+	-0.00944000156988568	Same loop(s)
ENSG00000029639.11	1	1	0	TFB1M	8	31.0166432331475	0.852278288115413	0.915611268522803	chr6	155256134	155314493	-	-0.0140048158526567	Gained loop(s)
ENSG00000030304.14	2	3	0	MUSK	1	1.67239548588367	0.731401238232026	0.84301997156797	chr9	110668779	110806558	+	0.261007326874276	Gained loop(s)
ENSG00000030582.18	0	1	0	GRN	9	28.8913604374075	0.287425180179898	0.491600680066178	chr17	44345246	44353106	+	-0.504519782932122	Same loop(s)
ENSG00000033170.17	0	3	0	FUT8	12	45.9476967434052	0.0465012890304138	0.154577244113685	chr14	65410592	65744121	+	-0.115428305786212	Same loop(s)
ENSG00000033327.13	0	1	0	GAB2	6	20.069231599331	0.958675741992479	0.976918620144153	chr11	78215293	78418348	-	0.0316845127878706	Same loop(s)
ENSG00000033800.13	0	1	0	PIAS1	8	40.5799905324015	0.0716406593558945	0.20457043698229	chr15	68054179	68198603	+	0.0110681660791435	Same loop(s)
ENSG00000034677.13	0	1	0	RNF19A	13	51.227746838895	0.047897528085244	0.158003333938204	chr8	100257060	100336218	-	0.126986539232617	Same loop(s)
ENSG00000035141.8	1	2	0	FAM136A	4	17.5862560889436	0.143853193741406	0.319481254956201	chr2	70295975	70302090	-	-0.166593551115674	Gained loop(s)
ENSG00000035499.13	0	1	0	DEPDC1B	2	6.57787376835575	0.204467258454413	0.399252450924071	chr5	60596912	60700190	-	-0.0409795941438255	Same loop(s)
ENSG00000035664.11	0	1	0	DAPK2	10	33.6281491358949	0.592448845580687	0.746856184180594	chr15	63907036	64072033	-	-0.00481504587303374	Same loop(s)
ENSG00000035862.12	0	1	0	TIMP2	4	26.5867914027172	0.122898654550425	0.289593381777288	chr17	78852977	78925387	-	0.17577522910992	Same loop(s)
ENSG00000036054.13	0	2	0	TBC1D23	9	40.3213523035818	0.00493212997450405	0.0332082027150038	chr3	100260992	100325251	+	0.180180164869737	Same loop(s)
ENSG00000037474.15	0	1	0	NSUN2	9	41.9416298341213	0.128613670410681	0.297712316656462	chr5	6599239	6633291	-	0.205738038562133	Same loop(s)
ENSG00000037965.6	0	2	0											Same loop(s)
ENSG00000038210.14	0	0	1	PI4K2B	2	13.2788964884469	0.0178285717669456	0.0813708411735535	chr4	25160663	25279204	+	0.140159262515443	Lost loop(s)
ENSG00000038382.20	1	1	0	TRIO	24	112.937177926064	5.81392172826844e-06	0.000164933111902373	chr5	14143342	14532128	+	-0.387915447025399	Gained loop(s)
ENSG00000039523.20	0	2	1	RIPOR1	17	55.8864683024	0.945177082340333	0.969584296947188	chr16	67518418	67546788	+	-0.222021047299328	Lost loop(s)
ENSG00000040275.17	0	2	0	SPDL1	6	17.7189373187364	0.144048710671993	0.31968740514176	chr5	169583636	169604778	+	0.300424037698039	Same loop(s)
ENSG00000041515.16	1	0	0	MYO16	3	6.97488165446124	0.39803827488361	0.595114066417053	chr13	108596152	109208005	+	0.348256127507346	Gained loop(s)
ENSG00000041982.16	0	3	0	TNC	13	55.2184245700334	1.50812813704991e-07	7.5390978431656e-06	chr9	115019575	115118257	-	0.414169706082073	Same loop(s)
ENSG00000042062.13	0	2	0	RIPOR3	3	5.68761449290602	0.962309400902468	0.979293983966244	chr20	50586108	50691542	-	0.152447396887246	Same loop(s)
ENSG00000042753.11	0	1	0	AP2S1	8	30.6789528559474	0.474502711898671	0.659928134820793	chr19	46838136	46850992	-	0.0240208214345835	Same loop(s)
ENSG00000042813.8	0	1	0											Same loop(s)
ENSG00000042832.12	0	2	0	TG	5	10.9885491669553	0.124110588387362	0.291334032351192	chr8	132866958	133134903	+	0.300956359289412	Same loop(s)
ENSG00000043039.7	0	3	0	BARX2	1	3.52971017677813	0.58032193976944	0.738770944679855	chr11	129375848	129452279	+	0.185242954121123	Same loop(s)
ENSG00000043355.12	1	0	0	ZIC2	1	3.66212862101306	0.0503792116646484	0.163031799867089	chr13	99981784	99986765	+	2.00499268895067	Gained loop(s)
ENSG00000043462.12	0	2	0	LCP2	10	39.2384570297887	0.614421533170457	0.762545472386268	chr5	170246233	170297818	-	0.0986569302916324	Same loop(s)
ENSG00000044012.4	0	2	1											Lost loop(s)
ENSG00000044090.9	1	0	0	CUL7	2	10.3734991112493	0.255103947501028	0.45726940485758	chr6	43037617	43053945	-	0.137183514039266	Gained loop(s)
ENSG00000044115.21	1	1	2	CTNNA1	25	107.725573990235	0.151555050856305	0.33024470725054	chr5	138610967	138935034	+	-0.209930620192389	Opposing loop changes
ENSG00000044446.12	1	1	0	PHKA2	6	24.2809055489868	0.143545087436143	0.319014471748363	chrX	18892298	18984114	-	-0.263080316964438	Gained loop(s)
ENSG00000044524.11	1	0	0	EPHA3	3	18.9976638989769	0.456783844567728	0.645244889184666	chr3	89107621	89482134	+	-0.0385782978774224	Gained loop(s)
ENSG00000047188.16	0	2	0	YTHDC2	7	37.4196994550268	0.0232754561532127	0.0978370034345583	chr5	113513694	113595285	+	0.246916849016685	Same loop(s)
ENSG00000047249.18	0	1	0	ATP6V1H	15	57.9162413059473	0.491679089285052	0.671724294343023	chr8	53715543	53843558	-	0.0738953612812994	Same loop(s)
ENSG00000047648.23	0	3	0	ARHGAP6	7	41.2928582532123	0.0133176210749929	0.06671097425213	chrX	11117651	11665920	-	-0.24645479488135	Same loop(s)
ENSG00000047662.5	1	0	0											Gained loop(s)
ENSG00000047932.14	1	1	0	GOPC	3	14.7255160266561	0.00789545666371348	0.0459983892545287	chr6	117560269	117602542	-	0.546059087083659	Gained loop(s)
ENSG00000048342.16	2	1	1	CC2D2A	15	60.9015658915	0.346391779370863	0.548579948110751	chr4	15469865	15601557	+	0.311678923806808	Opposing loop changes
ENSG00000048392.12	2	4	0	RRM2B	6	16.1245560331836	0.0358468532239559	0.131112012184776	chr8	102204502	102238961	-	0.127516982224175	Gained loop(s)
ENSG00000048828.17	0	0	1	FAM120A	4	27.4139475121943	0.00109861141750333	0.0109446782703976	chr9	93451685	93566112	+	-0.164975367642286	Lost loop(s)
ENSG00000049167.14	0	1	0	ERCC8	12	43.1642802374539	0.158765425083376	0.340501641266415	chr5	60873831	60945073	-	0.284112559091825	Same loop(s)
ENSG00000049540.17	0	1	0	ELN	23	66.9265757653449	0.00320852075650152	0.0242220218577704	chr7	74027789	74069907	+	0.351904384403905	Same loop(s)
ENSG00000049618.23	1	0	0	ARID1B	29	150.778016376435	0.0833840092560491	0.225748756166309	chr6	156776020	157210779	+	0.00415136325625272	Gained loop(s)
ENSG00000049759.18	1	0	0	NEDD4L	35	194.305037602677	3.72224276704868e-16	9.57302067430704e-14	chr18	58044226	58401540	+	-0.585117615128652	Gained loop(s)
ENSG00000049860.14	4	2	1	HEXB	12	47.1824811417589	2.22092547482955e-06	7.56275423885337e-05	chr5	74640023	74722647	+	0.623028368270728	Opposing loop changes
ENSG00000049883.15	0	2	0	PTCD2	11	32.0238096666419	0.0355639806882029	0.130443529092065	chr5	72320367	72368395	+	0.462486804070968	Same loop(s)
ENSG00000050393.11	0	1	0	MCUR1	3	16.9003794831916	0.373043350127901	0.572241824015064	chr6	13786557	13814568	-	0.215727819671037	Same loop(s)
ENSG00000050426.16	1	1	0	LETMD1	19	71.5472333787493	0.0501131419075686	0.162502304694099	chr12	51047962	51060424	+	-0.0510987927450141	Gained loop(s)
ENSG00000050820.17	0	1	0	BCAR1	12	34.1639330346031	0.983568244128029	0.991053276880368	chr16	75228181	75268053	-	0.0738187702441135	Same loop(s)
ENSG00000052126.14	1	0	0	PLEKHA5	16	74.8428255747769	0.00109258669517439	0.0109124678302905	chr12	19129752	19376400	+	-0.294405686845024	Gained loop(s)
ENSG00000052344.16	1	2	0	PRSS8	4	16.9011822284662	0.142888218175378	0.318205891814507	chr16	31131433	31135727	-	-0.0361238964512185	Gained loop(s)
ENSG00000052802.13	0	2	0	MSMO1	5	20.7604784716929	0.704480763410266	0.825795157751264	chr4	165327667	165343164	+	0.069178895548748	Same loop(s)
ENSG00000052850.8	1	2	0	ALX4	1	2.89480628620019	0.898290544993519	0.941598487287141	chr11	44260440	44310139	-	0.161176034632233	Gained loop(s)
ENSG00000053372.5	0	1	0	MRTO4	3	11.748293915314	0.123917039645758	0.291045717005046	chr1	19251805	19260128	+	-0.178052183956637	Same loop(s)
ENSG00000053438.11	1	3	0	NNAT	1	2.38404666501142	0.296460906870119	0.50067569911305	chr20	37521206	37523690	+	-0.845422847241071	Gained loop(s)
ENSG00000053524.12	0	1	0	MCF2L2	5	22.8954731021487	0.104319278478299	0.260922637230971	chr3	183178043	183428778	-	0.278908409764474	Same loop(s)
ENSG00000053900.10	0	0	1	ANAPC4	11	48.2945041200388	0.552449347259804	0.718345858271696	chr4	25377213	25418498	+	-0.114457346101624	Lost loop(s)
ENSG00000054179.12	0	1	0	ENTPD2	3	12.9396712119549	0.0228541210987731	0.0966864486341491	chr9	137048107	137054061	-	-0.511700212214576	Same loop(s)
ENSG00000054267.22	0	1	1	ARID4B	13	68.0248095852352	0.00510535969541228	0.034139363874967	chr1	235131634	235328219	-	0.118834279269455	Lost loop(s)
ENSG00000054356.14	0	1	1											Lost loop(s)
ENSG00000054598.9	4	6	1	FOXC1	1	2.02433330382911	0.003453373580779	0.0254908006079707	chr6	1609915	1613897	+	3.7198508505789	Opposing loop changes
ENSG00000054654.17	0	5	0	SYNE2	25	101.600641210083	0.00332668883655479	0.0248465647685517	chr14	63761899	64226433	+	-0.335955300912399	Same loop(s)
ENSG00000054793.14	1	3	0	ATP9A	2	8.91527996966072	0.311091378996211	0.512943881704559	chr20	51596514	51768390	-	-0.147285141297488	Gained loop(s)
ENSG00000054796.13	1	3	0											Gained loop(s)
ENSG00000054965.10	0	1	0	FAM168A	5	23.2977610546818	0.178752872065458	0.367315352963777	chr11	73400487	73598189	-	-0.142487957092031	Same loop(s)
ENSG00000055070.17	0	0	1	SZRD1	9	41.0084278899768	0.00414281329506266	0.0291698230062301	chr1	16352575	16398145	+	0.0344503779782432	Lost loop(s)
ENSG00000055147.19	2	2	0	FAM114A2	12	44.1766615633957	0.0385768837798696	0.137269938168821	chr5	153990148	154038936	-	0.13447054498414	Gained loop(s)
ENSG00000055813.6	0	2	0	CCDC85A	1	4.9964844505475	0.116408893527925	0.280337337556789	chr2	56183990	56386172	+	0.308815879559449	Same loop(s)
ENSG00000056586.16	0	0	1	RC3H2	9	44.272804886943	0.0868885625887681	0.232011454147549	chr9	122844556	122905359	-	-0.0445945997938882	Lost loop(s)
ENSG00000057019.16	1	2	0	DCBLD2	9	35.0296350285012	0.00384067996126078	0.027524858521945	chr3	98795941	98901695	-	0.224159253203611	Gained loop(s)
ENSG00000058091.17	0	2	0	CDK14	13	47.8554814574701	0.294182172002238	0.498403808091856	chr7	90466424	91210590	+	0.300301118181769	Same loop(s)
ENSG00000058404.20	0	2	0	CAMK2B	9	27.1226517530521	0.000156273951916471	0.00246531934153296	chr7	44217150	44334577	-	-0.847510596319505	Same loop(s)
ENSG00000058600.16	0	4	0	POLR3E	18	61.0846544917285	0.000262039440975342	0.00371685262213645	chr16	22297375	22335101	+	0.0992182834579312	Same loop(s)
ENSG00000058729.11	1	2	0	RIOK2	7	30.8583613839976	0.0098420145166038	0.0540826583473539	chr5	97160867	97183247	-	0.273517174586702	Gained loop(s)
ENSG00000059377.17	0	2	0	TBXAS1	21	57.9667583205227	0.0446536893929017	0.150954342983551	chr7	139777051	140020325	+	0.1940451595561	Same loop(s)
ENSG00000059378.13	0	0	1	PARP12	10	43.3822182516555	0.426227346988882	0.620700322175882	chr7	140023749	140062951	-	-0.0919510138422659	Lost loop(s)
ENSG00000059573.9	0	1	1	ALDH18A1	5	26.4903860329081	3.99428444650213e-05	0.000819226482595285	chr10	95605941	95656711	-	0.351098852324807	Lost loop(s)
