chr_x	start_x	end_x	chr_y	start_y	end_y	anchor_ID_x	anchor_ID_y	loop_ID	fdr	detection_scale	Benign	Malignant	Consistent_in_benign_or_tumour
chr10	75370000	75420000	chr10	75770000	75780000	10462	10465	10462_10465	0.194604163926528	2.59920766833995	1	0	FALSE
chr10	77820000	77860000	chr10	77920000	77930000	10480	10481	10480_10481	0.112322902245245	2.59920766833995	1	0	FALSE
chr10	78040000	78080000	chr10	78890000	78900000	10483	10488	10483_10488	0.15027951158326	3.2	1	0	FALSE
chr10	78960000	78980000	chr10	79180000	79220000	10489	10493	10489_10493	0.194604163926528	3.2	2	0	FALSE
chr10	87920000	87930000	chr10	88370000	88410000	10537	10542	10537_10542	0.186362024004982	2.59920766833995	1	0	FALSE
chr10	91990000	92000000	chr10	92420000	92450000	10570	10574	10570_10574	0.154000518690841	2.59920766833995	1	0	FALSE
chr10	92060000	92100000	chr10	92280000	92290000	10571	10572	10571_10572	0.149726174931691	4.22242531447326	2	0	FALSE
chr10	95220000	95250000	chr10	95590000	95620000	10588	10591	10588_10591	0.172355977718431	3.67583473599051	1	0	FALSE
chr1	165950000	165970000	chr1	166420000	166430000	1058	1059	1058_1059	0.176358514561014	4.22242531447326	1	0	FALSE
chr1	165950000	165970000	chr1	166450000	166500000	1058	1060	1058_1060	0.1715350320916	3.67583473599051	1	0	FALSE
chr10	96370000	96410000	chr10	97200000	97230000	10597	10607	10597_10607	0.0437708922795945	2.59920766833995	2	0	FALSE
chr10	96800000	96810000	chr10	97020000	97040000	10602	10605	10602_10605	0.197892058567941	3.67583473599051	1	0	FALSE
chr10	97780000	97800000	chr10	98030000	98050000	10610	10613	10610_10613	0.175503705818924	2.59920766833995	1	0	FALSE
chr10	112460000	112500000	chr10	113490000	113500000	10690	10697	10690_10697	0.155671716080276	2.59920766833995	1	0	FALSE
chr10	112530000	112590000	chr10	113110000	113150000	10692	10695	10692_10695	0.147833088818683	3.2	3	0	TRUE
chr10	112940000	112960000	chr10	113110000	113150000	10694	10695	10694_10695	0.14595919115627	2.59920766833995	1	0	FALSE
chr10	113680000	113710000	chr10	113860000	113870000	10700	10703	10700_10703	0.174947707161612	2.59920766833995	1	0	FALSE
chr10	114520000	114530000	chr10	115100000	115140000	10709	10713	10709_10713	0.193359591545845	3.2	1	0	FALSE
chr10	115340000	115360000	chr10	116380000	116400000	10715	10722	10715_10722	0.0798417457581091	2.59920766833995	3	0	TRUE
chr10	116640000	116650000	chr10	116770000	116820000	10725	10727	10725_10727	0.174947707161612	3.2	1	0	FALSE
chr10	118560000	118590000	chr10	119030000	119050000	10741	10746	10741_10746	0.164110911901934	2.59920766833995	2	0	FALSE
chr10	119710000	119720000	chr10	119850000	119880000	10754	10756	10754_10756	0.081757113983024	3.2	1	0	FALSE
chr10	119730000	119760000	chr10	119850000	119880000	10755	10756	10755_10756	0.14522166994023	2.59920766833995	2	0	FALSE
chr10	119940000	119950000	chr10	120340000	120350000	10757	10759	10757_10759	0.129362275700038	2.59920766833995	1	0	FALSE
chr10	120940000	120970000	chr10	121150000	121160000	10765	10767	10765_10767	0.144133242168636	2.59920766833995	1	0	FALSE
chr10	120940000	120970000	chr10	121390000	121400000	10765	10770	10765_10770	0.0601591453047998	2.59920766833995	1	0	FALSE
chr10	120940000	120970000	chr10	121440000	121450000	10765	10771	10765_10771	0.174947707161612	2.59920766833995	1	0	FALSE
chr10	121290000	121300000	chr10	121590000	121620000	10769	10774	10769_10774	0.179869240801244	3.67583473599051	1	0	FALSE
chr10	123540000	123610000	chr10	124260000	124280000	10785	10790	10785_10790	0.12547911970779	3.2	1	0	FALSE
chr10	123990000	124030000	chr10	124220000	124240000	10787	10789	10787_10789	0.109646926580879	3.2	2	0	FALSE
chr1	168570000	168620000	chr1	169180000	169190000	1078	1085	1078_1085	0.198135318702234	3.2	1	0	FALSE
chr10	125020000	125070000	chr10	125140000	125160000	10799	10800	10799_10800	0.187986971742959	2.59920766833995	1	0	FALSE
chr10	127710000	127730000	chr10	128000000	128050000	10813	10816	10813_10816	0.155758071315392	2.59920766833995	1	0	FALSE
chr10	130650000	130660000	chr10	131770000	131810000	10839	10845	10839_10845	0.118892472798395	2.59920766833995	1	0	FALSE
chr11	3060000	3070000	chr11	3210000	3220000	10880	10882	10880_10882	0.188242583257583	3.2	1	0	FALSE
chr11	5460000	5480000	chr11	5720000	5730000	10895	10897	10895_10897	0.0519543763388279	2.59920766833995	1	0	FALSE
chr11	5550000	5560000	chr11	5810000	5840000	10896	10899	10896_10899	0.194602922606594	2.59920766833995	1	0	FALSE
chr11	10770000	10800000	chr11	10920000	10960000	10945	10947	10945_10947	0.0785600065187199	2.59920766833995	2	0	FALSE
chr11	11240000	11250000	chr11	11750000	11820000	10950	10958	10950_10958	0.0785600065187199	3.67583473599051	2	0	FALSE
chr11	12250000	12350000	chr11	12490000	12540000	10963	10966	10963_10966	0.173120923080134	2.59920766833995	1	0	FALSE
chr11	15250000	15260000	chr11	16590000	16650000	10992	11006	10992_11006	0.188427096935382	2.59920766833995	1	0	FALSE
chr11	16080000	16090000	chr11	16590000	16650000	11004	11006	11004_11006	0.129930415285863	2.59920766833995	1	0	FALSE
chr11	18130000	18150000	chr11	18760000	18770000	11019	11025	11019_11025	0.155809904456621	2.59920766833995	1	0	FALSE
chr1	170960000	170980000	chr1	171300000	171330000	1103	1106	1103_1106	0.10942560917944	2.59920766833995	2	0	FALSE
chr11	25970000	26000000	chr11	26270000	26280000	11052	11055	11052_11055	0.0937352769205183	2.59920766833995	1	0	FALSE
chr11	33840000	33860000	chr11	34350000	34370000	11104	11107	11104_11107	0.165332784241692	2.59920766833995	2	0	FALSE
chr1	171970000	172060000	chr1	172700000	172770000	1110	1116	1110_1116	0.121424429411913	3.2	2	0	FALSE
chr11	34540000	34550000	chr11	35380000	35430000	11110	11116	11110_11116	0.0873750216445983	3.67583473599051	1	0	FALSE
chr11	35810000	35830000	chr11	36120000	36150000	11119	11121	11119_11121	0.0448893686812577	3.2	3	0	TRUE
chr11	38330000	38350000	chr11	38650000	38660000	11131	11135	11131_11135	0.194871040473635	2.59920766833995	1	0	FALSE
chr11	43850000	43860000	chr11	44020000	44060000	11182	11184	11182_11184	0.128212598890468	2.59920766833995	1	0	FALSE
chr11	44510000	44570000	chr11	45090000	45120000	11189	11198	11189_11198	0.0748942068916081	3.67583473599051	1	0	FALSE
chr1	172850000	172860000	chr1	173060000	173070000	1118	1119	1118_1119	0.117026925763555	2.59920766833995	1	0	FALSE
chr11	44610000	44650000	chr11	45090000	45120000	11190	11198	11190_11198	0.174396463668264	2.59920766833995	1	0	FALSE
chr11	47190000	47210000	chr11	47300000	47370000	11227	11229	11227_11229	0.1448474033722	2.59920766833995	2	0	FALSE
chr11	57320000	57360000	chr11	57480000	57500000	11249	11251	11249_11251	0.137329879324513	2.59920766833995	2	0	FALSE
chr11	58640000	58680000	chr11	58870000	58890000	11264	11265	11264_11265	0.193614722497905	2.59920766833995	1	0	FALSE
chr11	58640000	58680000	chr11	58900000	58910000	11264	11266	11264_11266	0.0881970211898015	2.59920766833995	2	0	FALSE
chr11	58870000	58890000	chr11	59100000	59120000	11265	11268	11265_11268	0.187740280618933	3.2	1	0	FALSE
chr11	60930000	60940000	chr11	61150000	61170000	11283	11287	11283_11287	0.16268029759352	3.67583473599051	1	0	FALSE
chr11	60950000	60960000	chr11	61120000	61140000	11284	11286	11284_11286	0.193614722497905	4.22242531447326	1	0	FALSE
chr11	68940000	68950000	chr11	69630000	69710000	11361	11368	11361_11368	0.187639588767643	2.59920766833995	1	0	FALSE
chr11	69190000	69210000	chr11	69600000	69610000	11365	11367	11365_11367	0.193614722497905	2.59920766833995	1	0	FALSE
chr11	70450000	70490000	chr11	71500000	71510000	11372	11383	11372_11383	0.187740280618933	2.59920766833995	1	0	FALSE
chr1	176540000	176570000	chr1	176810000	176830000	1137	1140	1137_1140	0.135497048437814	3.2	1	0	FALSE
chr11	71600000	71610000	chr11	71740000	71750000	11384	11385	11384_11385	0.0574652940996207	2.59920766833995	1	0	FALSE
chr11	71990000	72030000	chr11	72160000	72170000	11387	11389	11387_11389	0.189928485629572	4.22242531447326	1	0	FALSE
chr11	71990000	72030000	chr11	72210000	72220000	11387	11390	11387_11390	0.127350367672062	2.59920766833995	1	0	FALSE
chr11	71990000	72030000	chr11	72410000	72440000	11387	11391	11387_11391	0.187639588767643	2.59920766833995	1	0	FALSE
chr11	72160000	72170000	chr11	72410000	72440000	11389	11391	11389_11391	0.188828683719103	4.52548339959391	1	0	FALSE
chr11	81630000	81670000	chr11	82550000	82560000	11465	11472	11465_11472	0.179468812548709	2.59920766833995	1	0	FALSE
chr11	82850000	82930000	chr11	83710000	83730000	11475	11481	11475_11481	0.187301730889379	2.59920766833995	1	0	FALSE
chr11	83070000	83090000	chr11	83780000	83850000	11476	11482	11476_11482	0.064582132106142	2.59920766833995	1	0	FALSE
chr11	83780000	83850000	chr11	84540000	84550000	11482	11485	11482_11485	0.187301730889379	2.59920766833995	1	0	FALSE
chr11	85840000	85870000	chr11	86800000	86840000	11494	11502	11494_11502	0.16869914516363	2.59920766833995	1	0	FALSE
chr11	86630000	86640000	chr11	86800000	86840000	11501	11502	11501_11502	0.17850583097352	3.2	1	0	FALSE
chr11	87030000	87040000	chr11	87270000	87300000	11506	11507	11506_11507	0.193361535658724	2.59920766833995	1	0	FALSE
chr11	90280000	90290000	chr11	90440000	90450000	11511	11512	11511_11512	0.0732494016863882	2.59920766833995	1	0	FALSE
chr11	92200000	92220000	chr11	92880000	92900000	11516	11517	11516_11517	0.104039392231471	2.59920766833995	2	0	FALSE
chr11	96480000	96490000	chr11	97130000	97150000	11545	11546	11545_11546	0.132785085195669	3.2	1	0	FALSE
chr1	178640000	178650000	chr1	178980000	179020000	1154	1158	1154_1158	0.179743682448925	2.59920766833995	1	0	FALSE
chr11	110180000	110210000	chr11	110420000	110480000	11585	11588	11585_11588	0.135513702727318	2.59920766833995	3	0	TRUE
chr11	113530000	113540000	chr11	113720000	113750000	11613	11614	11613_11614	0.062485635019058	2.59920766833995	1	0	FALSE
chr11	115310000	115360000	chr11	116140000	116150000	11629	11639	11629_11639	0.0717618483055124	3.2	1	0	FALSE
chr11	119710000	119720000	chr11	120090000	120140000	11671	11675	11671_11675	0.0918728607722837	3.2	1	0	FALSE
chr11	121220000	121230000	chr11	121520000	121600000	11692	11696	11692_11696	0.162198464452094	2.59920766833995	1	0	FALSE
chr11	122060000	122080000	chr11	122480000	122520000	11700	11706	11700_11706	0.197292025163578	3.2	1	0	FALSE
chr1	180220000	180230000	chr1	180470000	180490000	1170	1172	1170_1172	0.164312749488289	2.59920766833995	1	0	FALSE
chr11	124050000	124080000	chr11	124340000	124350000	11720	11721	11720_11721	0.0626836698579678	3.2	1	0	FALSE
chr11	124950000	124970000	chr11	125560000	125630000	11729	11734	11729_11734	0.0564672247569597	2.59920766833995	1	0	FALSE
chr11	128280000	128310000	chr11	128520000	128530000	11755	11756	11755_11756	0.155391332995355	2.59920766833995	1	0	FALSE
chr12	540000	590000	chr12	910000	920000	11807	11811	11807_11811	0.0459510932147453	2.59920766833995	1	0	FALSE
chr12	800000	840000	chr12	1560000	1600000	11810	11817	11810_11817	0.172675818683526	2.59920766833995	1	0	FALSE
chr12	3920000	3930000	chr12	4260000	4290000	11842	11845	11842_11845	0.193907898311527	6.4	1	0	FALSE
chr12	10280000	10290000	chr12	10530000	10580000	11893	11894	11893_11894	0.116273449821312	5.19841533667991	1	0	FALSE
chr1	182950000	182970000	chr1	183300000	183310000	1191	1194	1191_1194	0.126070714968108	3.2	1	0	FALSE
chr12	14210000	14260000	chr12	14480000	14490000	11926	11929	11926_11929	0.185178876574753	2.59920766833995	1	0	FALSE
chr12	16160000	16170000	chr12	16340000	16370000	11947	11949	11947_11949	0.0591006974724606	2.59920766833995	1	0	FALSE
chr12	19740000	19770000	chr12	20570000	20580000	11970	11976	11970_11976	0.0866623274071022	3.67583473599051	1	0	FALSE
chr1	183940000	183950000	chr1	184660000	184710000	1198	1206	1198_1206	0.179387406149684	2.59920766833995	1	0	FALSE
chr12	29300000	29340000	chr12	30780000	30800000	12021	12032	12021_12032	0.159387686557141	2.59920766833995	1	0	FALSE
chr12	29500000	29570000	chr12	29970000	29990000	12022	12025	12022_12025	0.130094624332235	2.59920766833995	1	0	FALSE
chr12	31390000	31420000	chr12	32300000	32330000	12036	12047	12036_12047	0.143762568430827	2.59920766833995	1	0	FALSE
chr12	39760000	39790000	chr12	40110000	40130000	12068	12070	12068_12070	0.128028440314075	3.67583473599051	2	0	FALSE
chr12	40900000	40980000	chr12	41190000	41200000	12073	12074	12073_12074	0.193962130730722	2.59920766833995	1	0	FALSE
chr12	41190000	41200000	chr12	42010000	42040000	12074	12080	12074_12080	0.156002949577304	2.59920766833995	1	0	FALSE
chr12	42380000	42390000	chr12	43260000	43330000	12083	12090	12083_12090	0.0975973367193537	2.59920766833995	1	0	FALSE
chr12	47030000	47050000	chr12	47300000	47310000	12119	12123	12119_12123	0.0811132270674594	3.2	1	0	FALSE
chr12	47890000	47900000	chr12	48170000	48180000	12127	12130	12127_12130	0.156002949577304	2.59920766833995	1	0	FALSE
chr12	49750000	49760000	chr12	50050000	50070000	12142	12146	12142_12146	0.166548355303068	2.59920766833995	1	0	FALSE
chr12	62830000	62840000	chr12	63050000	63090000	12241	12242	12241_12242	0.152262954184043	2.59920766833995	1	0	FALSE
chr1	193170000	193180000	chr1	194280000	194300000	1227	1230	1227_1230	0.0566441440500971	2.59920766833995	1	0	FALSE
chr12	69860000	69920000	chr12	70400000	70410000	12288	12292	12288_12292	0.197981332704455	2.59920766833995	1	0	FALSE
chr12	75500000	75510000	chr12	76440000	76480000	12311	12317	12311_12317	0.165261106322682	2.59920766833995	1	0	FALSE
chr12	76070000	76080000	chr12	76340000	76370000	12314	12316	12314_12316	0.0982903522113288	2.59920766833995	1	0	FALSE
chr12	76130000	76140000	chr12	76440000	76480000	12315	12317	12315_12317	0.183019133325344	2.59920766833995	1	0	FALSE
chr1	196140000	196160000	chr1	196680000	196690000	1231	1234	1231_1234	0.0984261711639731	3.2	1	0	FALSE
chr1	196330000	196340000	chr1	196650000	196670000	1232	1233	1232_1233	0.155318346489939	2.59920766833995	1	0	FALSE
chr12	80410000	80420000	chr12	80750000	80770000	12347	12349	12347_12349	0.0456459830328454	2.59920766833995	3	0	TRUE
chr12	82510000	82520000	chr12	84380000	84400000	12360	12365	12360_12365	0.133471505510886	2.59920766833995	1	0	FALSE
chr12	89540000	89570000	chr12	90840000	90850000	12381	12383	12381_12383	0.133471505510886	2.59920766833995	1	0	FALSE
chr12	92800000	92820000	chr12	93420000	93430000	12403	12408	12403_12408	0.182845460044834	3.67583473599051	1	0	FALSE
chr12	93810000	93820000	chr12	94070000	94110000	12414	12418	12414_12418	0.094039142393995	3.2	2	0	FALSE
chr12	94130000	94150000	chr12	94450000	94460000	12419	12421	12419_12421	0.107106391715929	2.59920766833995	1	0	FALSE
chr12	94130000	94150000	chr12	94740000	94770000	12419	12424	12419_12424	0.18661330923508	3.2	1	0	FALSE
chr12	94130000	94150000	chr12	94940000	94950000	12419	12427	12419_12427	0.137997480655785	3.2	1	0	FALSE
chr1	198480000	198490000	chr1	198680000	198700000	1246	1247	1246_1247	0.18939374766789	3.2	1	0	FALSE
chr12	101560000	101580000	chr12	101740000	101770000	12480	12483	12480_12483	0.06215052526428	2.59920766833995	2	0	FALSE
chr12	101910000	101950000	chr12	102810000	102820000	12485	12495	12485_12495	0.0953593000916652	2.59920766833995	1	0	FALSE
chr12	102140000	102170000	chr12	102470000	102500000	12488	12492	12488_12492	0.156970419645426	2.59920766833995	2	0	FALSE
chr12	105410000	105440000	chr12	106070000	106080000	12518	12524	12518_12524	0.169382119296517	3.2	1	0	FALSE
chr1	200040000	200060000	chr1	200480000	200520000	1252	1255	1252_1255	0.195080604835735	3.2	1	0	FALSE
chr12	106940000	106950000	chr12	107090000	107110000	12531	12533	12531_12533	0.198496267939754	3.2	1	0	FALSE
chr12	108580000	108590000	chr12	108790000	108820000	12547	12549	12547_12549	0.133439894288728	2.59920766833995	1	0	FALSE
chr1	200570000	200580000	chr1	200800000	200850000	1257	1260	1257_1260	0.146270341531749	3.67583473599051	1	0	FALSE
chr12	114630000	114700000	chr12	115840000	115850000	12601	12613	12601_12613	0.157737389283773	2.59920766833995	1	0	FALSE
chr12	115310000	115340000	chr12	115730000	115740000	12607	12611	12607_12611	0.0972818332934394	2.59920766833995	1	0	FALSE
chr12	115980000	116020000	chr12	116640000	116650000	12615	12621	12615_12621	0.058241831278517	6.4	1	0	FALSE
chr12	117500000	117510000	chr12	117820000	117860000	12632	12635	12632_12635	0.115656071535643	2.59920766833995	1	0	FALSE
chr12	118970000	118980000	chr12	119600000	119610000	12648	12654	12648_12654	0.185535634670646	2.59920766833995	1	0	FALSE
chr12	119090000	119130000	chr12	119530000	119560000	12650	12653	12650_12653	0.0976631268891476	2.59920766833995	2	0	FALSE
chr12	122940000	123030000	chr12	123590000	123620000	12682	12688	12682_12688	0.0961532363828792	3.2	3	0	TRUE
chr12	124340000	124380000	chr12	124550000	124590000	12693	12698	12693_12698	0.089244322408765	3.67583473599051	1	0	FALSE
chr12	131100000	131120000	chr12	131990000	132010000	12723	12727	12723_12727	0.0894347861493424	3.67583473599051	1	0	FALSE
chr12	132390000	132420000	chr12	132630000	132640000	12730	12733	12730_12733	0.177048891923793	2.59920766833995	1	0	FALSE
chr12	132930000	132940000	chr12	133200000	133210000	12734	12735	12734_12735	0.0876296589662263	2.59920766833995	1	0	FALSE
chr1	202740000	202760000	chr1	202990000	203010000	1275	1277	1275_1277	0.13815507653565	3.67583473599051	2	0	FALSE
chr13	28290000	28300000	chr13	28620000	28650000	12786	12788	12786_12788	0.1421417076873	2.59920766833995	1	0	FALSE
chr13	30170000	30180000	chr13	31020000	31050000	12803	12812	12803_12812	0.150285124846733	3.2	1	0	FALSE
chr13	36260000	36300000	chr13	36720000	36760000	12853	12857	12853_12857	0.153484430989921	2.59920766833995	2	0	FALSE
chr13	37860000	37870000	chr13	38530000	38550000	12864	12867	12864_12867	0.158362347292577	2.59920766833995	1	0	FALSE
chr13	39300000	39310000	chr13	39590000	39650000	12875	12877	12875_12877	0.160275496245439	3.67583473599051	1	0	FALSE
chr13	39700000	39710000	chr13	40660000	40720000	12878	12891	12878_12891	0.192152575260577	5.57152360509519	1	0	FALSE
chr13	40200000	40210000	chr13	40660000	40720000	12885	12891	12885_12891	0.11013784857828	3.67583473599051	2	0	FALSE
chr13	41410000	41430000	chr13	41640000	41690000	12898	12900	12898_12900	0.184940967660478	3.67583473599051	2	0	FALSE
chr13	41740000	41750000	chr13	42090000	42120000	12901	12908	12901_12908	0.196409200496952	2.59920766833995	1	0	FALSE
chr13	41890000	41900000	chr13	42090000	42120000	12905	12908	12905_12908	0.160275496245439	2.59920766833995	1	0	FALSE
chr13	41910000	41920000	chr13	42090000	42120000	12906	12908	12906_12908	0.0833106792387098	2.59920766833995	2	0	FALSE
chr13	42600000	42630000	chr13	43770000	43840000	12912	12921	12912_12921	0.0667203131044244	3.67583473599051	2	0	FALSE
chr13	44180000	44190000	chr13	44410000	44510000	12927	12930	12927_12930	0.199504923753161	5.19841533667991	1	0	FALSE
chr1	204230000	204240000	chr1	204360000	204390000	1294	1296	1294_1296	0.0857421941467658	2.59920766833995	1	0	FALSE
chr13	46830000	46850000	chr13	47770000	47790000	12953	12962	12953_12962	0.0246727037129321	2.59920766833995	2	0	FALSE
chr13	48220000	48250000	chr13	48560000	48620000	12964	12967	12964_12967	0.0753659551656109	2.59920766833995	2	0	FALSE
chr13	50070000	50130000	chr13	51060000	51080000	12976	12982	12976_12982	0.11013784857828	2.59920766833995	1	0	FALSE
chr13	50140000	50160000	chr13	50900000	50930000	12977	12981	12977_12981	0.0757627073253827	2.59920766833995	2	0	FALSE
chr13	50510000	50550000	chr13	50900000	50930000	12979	12981	12979_12981	0.1823281892462	2.59920766833995	2	0	FALSE
chr13	51820000	51830000	chr13	52110000	52150000	12990	12993	12990_12993	0.0875762713460077	2.59920766833995	2	0	FALSE
chr13	73040000	73060000	chr13	73700000	73720000	13007	13008	13007_13008	0.049290501545881	3.2	2	0	FALSE
chr13	74490000	74500000	chr13	75210000	75250000	13012	13014	13012_13014	0.149786692070358	2.59920766833995	1	0	FALSE
chr13	79580000	79590000	chr13	80340000	80350000	13033	13036	13033_13036	0.181822583983672	2.59920766833995	1	0	FALSE
chr13	94660000	94680000	chr13	95150000	95160000	13056	13060	13056_13060	0.0839549315533	2.59920766833995	1	0	FALSE
chr13	94690000	94700000	chr13	95380000	95450000	13057	13063	13057_13063	0.0546213979797384	2.59920766833995	1	0	FALSE
chr13	95510000	95520000	chr13	95820000	95840000	13065	13067	13065_13067	0.148521555485596	3.67583473599051	1	0	FALSE
chr1	205780000	205800000	chr1	205980000	205990000	1306	1308	1306_1308	0.0905130665181147	2.59920766833995	1	0	FALSE
chr13	111030000	111080000	chr13	111440000	111450000	13143	13145	13143_13145	0.173671411542722	2.59920766833995	1	0	FALSE
chr13	113970000	113980000	chr13	114210000	114230000	13160	13161	13160_13161	0.0970082324802942	4.52548339959391	1	0	FALSE
chr1	207070000	207110000	chr1	207440000	207450000	1316	1320	1316_1320	0.178101300643386	5.57152360509519	1	0	FALSE
chr14	26220000	26230000	chr14	26970000	26990000	13203	13209	13203_13209	0.107843087424125	2.59920766833995	1	0	FALSE
chr14	31550000	31560000	chr14	32230000	32270000	13233	13239	13233_13239	0.114826014478275	2.59920766833995	1	0	FALSE
chr14	34730000	34740000	chr14	35400000	35440000	13267	13276	13267_13276	0.199980689785213	3.2	1	0	FALSE
chr1	209190000	209220000	chr1	209460000	209470000	1330	1334	1330_1334	0.11356063145248	2.59920766833995	1	0	FALSE
chr1	209230000	209250000	chr1	209430000	209450000	1331	1333	1331_1333	0.127613556329492	3.2	1	0	FALSE
chr14	57480000	57500000	chr14	57940000	57950000	13370	13373	13370_13373	0.114614525246438	2.59920766833995	1	0	FALSE
chr14	58480000	58520000	chr14	58620000	58670000	13375	13376	13375_13376	0.119866570631923	2.59920766833995	2	0	FALSE
chr14	59950000	59970000	chr14	60060000	60090000	13387	13388	13387_13388	0.153401084705099	2.59920766833995	1	0	FALSE
chr14	60340000	60370000	chr14	60540000	60550000	13392	13395	13392_13395	0.190311757889634	3.2	1	0	FALSE
chr14	60340000	60370000	chr14	60560000	60570000	13392	13396	13392_13396	0.172381500590765	2.59920766833995	1	0	FALSE
chr14	61440000	61500000	chr14	61780000	61790000	13406	13412	13406_13412	0.117764843381645	6.4	1	0	FALSE
chr14	64420000	64430000	chr14	64630000	64640000	13439	13442	13439_13442	0.195216623953802	2.59920766833995	1	0	FALSE
chr14	65490000	65500000	chr14	65810000	65840000	13454	13456	13454_13456	0.15182442398682	2.59920766833995	1	0	FALSE
chr14	67830000	67850000	chr14	69070000	69120000	13479	13497	13479_13497	0.118241754062059	3.2	1	0	FALSE
chr14	67880000	67950000	chr14	68650000	68660000	13481	13494	13481_13494	0.182984378553243	2.59920766833995	1	0	FALSE
chr14	68280000	68290000	chr14	68780000	68850000	13486	13495	13486_13495	0.12268926176221	6.4	1	0	FALSE
chr14	68500000	68520000	chr14	68780000	68850000	13490	13495	13490_13495	0.139237925922553	2.59920766833995	3	0	TRUE
chr14	71290000	71340000	chr14	71540000	71550000	13515	13518	13515_13518	0.165444403017597	2.59920766833995	1	0	FALSE
chr14	76860000	76910000	chr14	77280000	77290000	13553	13557	13553_13557	0.187417989568222	3.67583473599051	1	0	FALSE
chr14	76860000	76910000	chr14	77300000	77310000	13553	13558	13553_13558	0.132380918416352	2.59920766833995	1	0	FALSE
