chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR
chr21	44028190	44028691	501	*	5.17	5.66	4.13	1.53	1.08e-05	0.000566
chr21	35042463	35042964	501	*	5.13	5.66	3.94	1.72	1.16e-05	0.000596
chr21	35226329	35226830	501	*	5.66	6.06	4.92	1.14	1.39e-05	0.000683
chr21	45308639	45309140	501	*	5.97	6.42	5.05	1.37	1.47e-05	0.000716
chr21	34959787	34960288	501	*	5.15	5.57	4.36	1.21	1.77e-05	0.000812
chr21	42199943	42200444	501	*	4.64	5.14	3.59	1.54	1.93e-05	0.00087
chr21	35738398	35738899	501	*	4.91	5.4	3.91	1.49	1.93e-05	0.00087
chr21	46176792	46177293	501	*	3.64	1.6	4.6	-3	2.46e-05	0.00104
chr21	45321970	45322471	501	*	4.69	5.2	3.61	1.6	2.81e-05	0.00115
chr21	41813209	41813710	501	*	4.38	4.93	3.12	1.81	4.05e-05	0.00152
chr21	43826568	43827069	501	*	5.64	6.06	4.86	1.2	4.11e-05	0.00153
chr21	45357686	45358187	501	*	6.41	6.77	5.77	1.01	4.11e-05	0.00153
chr21	38471073	38471574	501	*	3.89	4.52	2.2	2.32	4.26e-05	0.00158
chr21	46083752	46084253	501	*	5.96	6.32	5.35	0.97	4.3e-05	0.00159
chr21	38487870	38488371	501	*	4.94	5.41	4.02	1.38	4.31e-05	0.00159
chr21	38448493	38448994	501	*	4.26	4.8	3.09	1.71	4.67e-05	0.00168
chr21	35044673	35045174	501	*	4.45	4.94	3.43	1.51	4.89e-05	0.00174
chr21	38503510	38504011	501	*	5.18	5.6	4.38	1.22	4.91e-05	0.00174
chr21	41258758	41259259	501	*	4.07	2.83	4.85	-2.02	5.75e-05	0.00196
chr21	32406420	32406921	501	*	5.46	5.88	4.65	1.23	5.78e-05	0.00196
chr21	33844677	33845178	501	*	5.05	5.51	4.13	1.37	5.88e-05	0.00199
chr21	46080669	46081170	501	*	5.03	5.48	4.17	1.3	6.02e-05	0.00202
chr21	38457869	38458370	501	*	4.95	5.44	3.93	1.51	6.75e-05	0.00219
chr21	35038131	35038632	501	*	4.41	4.92	3.3	1.63	7.37e-05	0.00233
chr21	36745216	36745717	501	*	5.54	6.05	4.44	1.62	7.62e-05	0.00239
chr21	45348470	45348971	501	*	5.95	6.36	5.17	1.19	7.65e-05	0.0024
chr21	43291521	43292022	501	*	4.57	5.08	3.48	1.6	8.06e-05	0.0025
chr21	42040862	42041363	501	*	5.4	5.84	4.55	1.29	8.62e-05	0.00262
chr21	38323145	38323646	501	*	3.99	4.58	2.54	2.04	9.16e-05	0.00274
chr21	34824408	34824909	501	*	4.65	3.84	5.27	-1.43	9.26e-05	0.00276
chr21	33380623	33381124	501	*	5.67	6.03	5.03	1	9.48e-05	0.00281
chr21	35026456	35027293	837	*	5.34	5.76	4.57	1.19	0.000117	0.00327
chr21	40404333	40404834	501	*	5.16	4.56	5.67	-1.12	0.000153	0.00396
chr21	38499837	38500338	501	*	4.31	4.89	2.96	1.93	0.000159	0.00406
chr21	41317028	41317529	501	*	6.67	5.54	7.41	-1.87	0.000164	0.00416
chr21	45317947	45318448	501	*	6.18	6.6	5.39	1.21	0.000174	0.00435
chr21	35337130	35337631	501	*	4.23	4.77	3.02	1.75	0.000204	0.00486
chr21	38486032	38486533	501	*	3.87	4.49	2.29	2.19	0.000216	0.00505
chr21	33382907	33383408	501	*	5.59	5.97	4.92	1.05	0.000217	0.00506
chr21	38435342	38435843	501	*	4.47	4.93	3.54	1.39	0.000221	0.00513
chr21	33070966	33071467	501	*	4.66	5.16	3.6	1.56	0.000222	0.00514
chr21	45324010	45324511	501	*	5.16	5.57	4.39	1.18	0.000225	0.00519
chr21	44027421	44027922	501	*	3.94	4.49	2.72	1.77	0.000227	0.00523
chr21	35925252	35925753	501	*	4.74	5.17	3.92	1.25	0.000231	0.0053
chr21	32456096	32456597	501	*	6.5	6.83	5.93	0.9	0.000236	0.00537
chr21	45301453	45301954	501	*	6.09	6.51	5.31	1.21	0.000242	0.00546
chr21	36479040	36480017	977	*	5.38	5.81	4.57	1.24	0.000252	0.00562
chr21	38491643	38492144	501	*	4.24	4.86	2.58	2.28	0.000276	0.00599
chr21	40681035	40681536	501	*	4.88	4.15	5.46	-1.3	0.000283	0.0061
chr21	36042931	36043432	501	*	4.68	5.12	3.84	1.28	0.000284	0.00611
chr21	31141876	31142377	501	*	4.4	4.92	3.26	1.67	0.000286	0.00613
chr21	42473886	42474387	501	*	6.14	6.54	5.41	1.12	0.000291	0.00622
chr21	45404516	45405017	501	*	6.22	6.56	5.63	0.94	0.000309	0.0065
chr21	34024424	34024925	501	*	4.46	5.01	3.21	1.8	0.000319	0.00664
chr21	30341689	30342190	501	*	4.75	5.24	3.72	1.52	0.000324	0.00671
chr21	43369355	43369856	501	*	4.44	4.93	3.42	1.51	0.000369	0.00735
chr21	45378504	45379005	501	*	4.58	5.1	3.47	1.62	0.000369	0.00736
chr21	34962939	34963440	501	*	4.76	5.19	3.93	1.26	0.000386	0.00757
chr21	45405722	45406223	501	*	6.93	7.28	6.33	0.95	0.000391	0.00763
chr21	45353650	45354151	501	*	4.82	5.28	3.88	1.41	0.000418	0.00798
chr21	45568910	45569411	501	*	3.7	4.29	2.28	2.01	0.000424	0.00806
chr21	36663234	36663735	501	*	4.62	3.94	5.17	-1.23	0.000453	0.00845
chr21	34933582	34934083	501	*	4.51	4.93	3.71	1.22	0.000463	0.00857
chr21	31088304	31088805	501	*	3.49	4.18	1.4	2.78	0.000471	0.00867
chr21	32458778	32459279	501	*	5.29	5.67	4.61	1.07	0.00048	0.00878
chr21	45084198	45084699	501	*	4.65	4.03	5.18	-1.15	0.000503	0.00908
chr21	46065632	46066133	501	*	5.82	6.18	5.19	0.99	0.000548	0.00961
chr21	45364283	45364784	501	*	6.51	6.84	5.96	0.88	0.000708	0.0114
chr21	32249123	32249624	501	*	4.96	5.36	4.22	1.13	0.000747	0.0118
chr21	34999059	34999560	501	*	5.14	5.5	4.5	0.99	0.000784	0.0122
chr21	45387850	45388351	501	*	5.12	5.5	4.43	1.07	0.000834	0.0127
chr21	46489064	46489565	501	*	5.73	5.08	6.27	-1.19	0.000843	0.0128
chr21	42745570	42746071	501	*	5.19	5.62	4.38	1.24	0.000858	0.0129
chr21	31343673	31344174	501	*	5.61	6.03	4.81	1.22	0.000862	0.013
chr21	46379064	46379565	501	*	4.26	4.73	3.33	1.4	0.000863	0.013
chr21	31558155	31558656	501	*	5.8	6.18	5.14	1.04	0.000865	0.013
chr21	45983811	45984754	943	*	5.55	5.89	4.98	0.91	0.000886	0.0132
chr21	44425537	44426038	501	*	5.21	5.93	2.83	3.11	0.000888	0.0133
chr21	41219691	41220192	501	*	4.81	4.23	5.3	-1.07	0.000904	0.0134
chr21	42743610	42744111	501	*	4.3	4.75	3.41	1.35	0.000995	0.0143
chr21	46295972	46296473	501	*	4.8	5.26	3.87	1.39	0.00101	0.0145
chr21	46492330	46492831	501	*	3.8	2.34	4.64	-2.3	0.00102	0.0145
chr21	42784036	42784537	501	*	7.08	7.37	6.6	0.77	0.00103	0.0147
chr21	32075123	32075624	501	*	5.35	5.71	4.73	0.98	0.00109	0.0153
chr21	34670188	34670689	501	*	6.68	6.99	6.17	0.82	0.00116	0.0159
chr21	42039801	42040302	501	*	5.77	6.12	5.17	0.94	0.0012	0.0163
chr21	44907293	44907794	501	*	5.61	5.97	4.97	1	0.00121	0.0164
chr21	33289351	33289852	501	*	5.84	6.16	5.32	0.83	0.00125	0.0167
chr21	41484116	41484617	501	*	4.64	3.75	5.29	-1.54	0.0013	0.0172
chr21	32522125	32522626	501	*	5.42	5.77	4.81	0.96	0.00132	0.0174
chr21	32520611	32521112	501	*	5.51	5.83	4.99	0.84	0.00133	0.0175
chr21	45334579	45335080	501	*	4.16	4.69	2.98	1.7	0.00134	0.0175
chr21	31908333	31908834	501	*	5.61	5.94	5.03	0.92	0.00142	0.0183
chr21	30339207	30339708	501	*	5.14	5.56	4.33	1.23	0.00145	0.0185
chr21	39788590	39789091	501	*	5.52	4.95	6.02	-1.07	0.00148	0.0187
chr21	32405301	32405802	501	*	4.33	4.75	3.55	1.2	0.0015	0.0189
chr21	34825097	34825598	501	*	4.31	3.64	4.86	-1.22	0.00153	0.0192
chr21	45293419	45293920	501	*	6.35	6.67	5.79	0.88	0.00153	0.0192
chr21	36811654	36812155	501	*	4.52	4.92	3.78	1.15	0.00155	0.0194
chr21	43905556	43906057	501	*	5.23	4.57	5.77	-1.2	0.00164	0.02
chr21	44427645	44428146	501	*	4.1	4.59	3.06	1.53	0.00167	0.0204
chr21	43333138	43333639	501	*	7.08	7.33	6.68	0.65	0.00169	0.0204
chr21	41664808	41665309	501	*	5.48	5.88	4.77	1.11	0.00171	0.0206
chr21	32457202	32457703	501	*	6.56	6.87	6.07	0.8	0.00176	0.021
chr21	41358196	41358697	501	*	4.37	3.74	4.89	-1.15	0.00177	0.0211
chr21	32462975	32463476	501	*	4.94	5.35	4.17	1.19	0.00187	0.0219
chr21	45306479	45306980	501	*	5.74	6.13	5.02	1.12	0.00192	0.0222
chr21	36044616	36045117	501	*	6.36	6.68	5.83	0.86	0.00196	0.0225
chr21	34987158	34987659	501	*	5.05	5.39	4.45	0.93	0.00207	0.0234
chr21	35205534	35206035	501	*	5.87	6.24	5.21	1.03	0.00209	0.0235
chr21	45590260	45590761	501	*	5.69	6.04	5.11	0.93	0.00219	0.0243
chr21	34703377	34703878	501	*	4.99	5.42	4.18	1.24	0.0022	0.0244
chr21	38352223	38352724	501	*	5.07	5.41	4.49	0.92	0.00221	0.0244
chr21	42933039	42933540	501	*	5.72	5.28	6.12	-0.84	0.00224	0.0247
chr21	33070190	33070691	501	*	4.86	5.28	4.04	1.25	0.00225	0.0247
chr21	36932507	36933008	501	*	5.33	4.87	5.76	-0.89	0.00231	0.0252
chr21	34998025	34998526	501	*	4.17	4.62	3.3	1.32	0.00236	0.0256
chr21	39020736	39021237	501	*	4.83	5.21	4.14	1.07	0.00241	0.0259
chr21	33443934	33444435	501	*	4.51	4.96	3.64	1.32	0.00244	0.0261
chr21	34986567	34987068	501	*	4.88	5.28	4.15	1.13	0.00248	0.0264
chr21	32071064	32071565	501	*	4.5	4.87	3.84	1.04	0.00263	0.0273
chr21	44927714	44928215	501	*	5.9	6.24	5.33	0.91	0.00277	0.0283
chr21	46035869	46036370	501	*	5.51	5.81	5.01	0.81	0.00279	0.0284
chr21	33678370	33678871	501	*	5.08	4.6	5.52	-0.92	0.00288	0.029
chr21	32328886	32329387	501	*	4.74	5.1	4.13	0.96	0.00293	0.0293
chr21	42680006	42680507	501	*	4.68	5.09	3.91	1.18	0.00302	0.0299
chr21	42120641	42121142	501	*	5.63	5.92	5.14	0.79	0.00302	0.0299
chr21	34982676	34983177	501	*	4.58	5.01	3.75	1.25	0.00302	0.0299
chr21	42779506	42780007	501	*	4.6	4.99	3.88	1.1	0.00304	0.03
chr21	44911596	44912097	501	*	6.69	6.98	6.21	0.77	0.00308	0.0303
chr21	36301878	36302379	501	*	4.29	3.64	4.83	-1.19	0.00326	0.0314
chr21	32499188	32499689	501	*	5.61	5.92	5.08	0.85	0.00326	0.0315
chr21	41479618	41480119	501	*	5.35	4.85	5.8	-0.95	0.00335	0.0319
chr21	46056924	46057425	501	*	6.3	6.62	5.78	0.84	0.00338	0.0321
chr21	44024990	44025491	501	*	5.42	5.73	4.9	0.83	0.0034	0.0322
chr21	38734148	38734649	501	*	5.5	5.9	4.78	1.11	0.00344	0.0324
chr21	42025866	42026367	501	*	5.31	5.67	4.69	0.98	0.00347	0.0326
chr21	34967987	34968488	501	*	4.47	4.9	3.65	1.25	0.00351	0.0328
chr21	39422288	39422789	501	*	4.09	3.21	4.75	-1.54	0.00355	0.0331
chr21	43328877	43329378	501	*	4.69	5.09	3.96	1.13	0.00362	0.0335
chr21	35839002	35839503	501	*	4.82	5.18	4.17	1.01	0.00366	0.0337
chr21	41350438	41350939	501	*	5.43	4.87	5.92	-1.05	0.00367	0.0338
chr21	43340333	43340834	501	*	6.13	6.45	5.59	0.86	0.00367	0.0338
chr21	46515342	46515843	501	*	5.15	4.7	5.56	-0.87	0.00372	0.0341
chr21	38568592	38569093	501	*	4.58	5	3.8	1.21	0.0038	0.0346
chr21	45431925	45432426	501	*	5.98	6.28	5.47	0.81	0.00381	0.0347
chr21	42219483	42219984	501	*	7.75	7.99	7.38	0.61	0.00382	0.0347
chr21	45351685	45352186	501	*	5.99	6.33	5.42	0.9	0.00385	0.0349
chr21	38459085	38459586	501	*	5.66	6.03	5	1.03	0.00394	0.0355
chr21	43344466	43344967	501	*	6.63	6.88	6.25	0.63	0.00395	0.0355
chr21	40258680	40259181	501	*	4.85	4.33	5.31	-0.97	0.00396	0.0356
chr21	40792474	40792975	501	*	3.93	2.81	4.67	-1.86	0.00399	0.0357
chr21	32491056	32491557	501	*	4.27	4.72	3.39	1.33	0.00407	0.0361
chr21	46038598	46039099	501	*	4.32	4.75	3.47	1.28	0.0041	0.0363
chr21	44920418	44920919	501	*	5.2	5.58	4.52	1.06	0.00417	0.0367
chr21	45386204	45386705	501	*	5.37	5.73	4.76	0.97	0.00426	0.0373
chr21	45368468	45368969	501	*	4.06	4.57	2.94	1.63	0.00436	0.0378
chr21	40043903	40044404	501	*	4.09	4.57	3.1	1.47	0.00437	0.0379
chr21	39386059	39386560	501	*	5.42	4.98	5.82	-0.84	0.00447	0.0384
chr21	33403621	33404122	501	*	8.16	8.38	7.83	0.55	0.0046	0.039
chr21	43195809	43196310	501	*	6.17	6.42	5.79	0.63	0.00465	0.0392
chr21	41485917	41486418	501	*	5.55	5.12	5.95	-0.83	0.0048	0.04
chr21	32496434	32496935	501	*	5.44	5.78	4.85	0.94	0.00482	0.0401
chr21	35854483	35854984	501	*	4.38	4.83	3.49	1.34	0.00485	0.0403
chr21	42234842	42235343	501	*	7.29	7.52	6.93	0.59	0.00486	0.0404
chr21	42172923	42173424	501	*	4.96	5.33	4.29	1.05	0.00498	0.0409
chr21	45615693	45616194	501	*	3.94	4.48	2.74	1.75	0.00506	0.0414
chr21	32494944	32495445	501	*	6.16	6.45	5.71	0.74	0.00517	0.042
chr21	46178626	46179127	501	*	4.25	3.24	4.95	-1.71	0.00522	0.0423
chr21	37366729	37367230	501	*	8	8.21	7.7	0.51	0.00525	0.0424
chr21	45310602	45311103	501	*	4.42	4.82	3.68	1.14	0.00528	0.0426
chr21	44818121	44818622	501	*	7.76	8.02	7.36	0.65	0.00529	0.0426
chr21	31334764	31335265	501	*	4.16	4.63	3.22	1.41	0.00533	0.0428
chr21	42048301	42048802	501	*	4.72	5.05	4.16	0.89	0.0056	0.0443
chr21	37563537	37564038	501	*	7.17	7.39	6.85	0.54	0.00569	0.0448
chr21	43361858	43362359	501	*	6.45	6.78	5.9	0.88	0.00577	0.0452
chr21	34835159	34835660	501	*	4.99	5.35	4.35	1	0.00602	0.0464
chr21	33479395	33479896	501	*	7.61	7.83	7.26	0.57	0.00611	0.0468
chr21	33433878	33434379	501	*	4.92	5.3	4.25	1.05	0.00611	0.0468
chr21	34996129	34996630	501	*	4.43	4.81	3.76	1.05	0.00618	0.0472
chr21	32450683	32451184	501	*	5.89	6.19	5.4	0.8	0.00619	0.0472
chr21	42590620	42591121	501	*	4.88	5.29	4.1	1.2	0.00628	0.0477
chr21	33215964	33216465	501	*	4.61	5.04	3.77	1.26	0.00648	0.0486
chr21	41621537	41622038	501	*	4.2	4.66	3.26	1.4	0.00651	0.0488
chr21	39004565	39005066	501	*	5.5	5.84	4.9	0.95	0.00652	0.0488
chr21	44350750	44351251	501	*	4.76	5.1	4.18	0.91	0.00652	0.0488
chr21	39096953	39097454	501	*	4.88	5.25	4.19	1.06	0.00658	0.049
chr21	33375022	33375523	501	*	5.42	5.7	4.95	0.75	0.00663	0.0493
chr21	43278391	43278892	501	*	5.29	5.63	4.7	0.94	0.00672	0.0496
chr21	41665913	41666414	501	*	4.54	4.95	3.74	1.21	0.00672	0.0496
chr21	37899344	37899845	501	*	4.64	4.06	5.13	-1.07	0.00692	0.0505
chr21	38501384	38501885	501	*	4.25	4.74	3.22	1.52	0.00705	0.0511
chr21	44582737	44583238	501	*	4.75	5.14	4.02	1.12	0.0073	0.0523
chr21	36158796	36159297	501	*	4.75	4.27	5.18	-0.91	0.00738	0.0527
chr21	35338516	35339017	501	*	4.33	4.74	3.56	1.19	0.00742	0.0528
chr21	35344115	35344616	501	*	5.16	5.44	4.71	0.74	0.00765	0.0538
chr21	41469402	41469903	501	*	4.58	4.1	5.01	-0.91	0.00765	0.0538
chr21	35528754	35529255	501	*	5.72	6.06	5.12	0.94	0.0077	0.054
chr21	38351366	38351867	501	*	5.33	5.7	4.69	1.01	0.00775	0.0542
chr21	35850675	35851176	501	*	5.18	5.47	4.72	0.75	0.00793	0.0549
chr21	38660774	38661275	501	*	6.22	6.5	5.75	0.75	0.00799	0.0551
chr21	41965515	41966016	501	*	5.51	5.06	5.92	-0.87	0.00803	0.0553
chr21	39021786	39022287	501	*	4.94	5.3	4.31	0.99	0.0081	0.0556
chr21	45366620	45367121	501	*	5.23	5.57	4.65	0.91	0.00815	0.0558
chr21	38505176	38505677	501	*	5.24	5.55	4.73	0.83	0.00842	0.0569
chr21	41616305	41616806	501	*	5.73	6.04	5.21	0.83	0.00847	0.0571
chr21	41491297	41491798	501	*	5.14	4.64	5.59	-0.94	0.00853	0.0574
chr21	45434515	45435016	501	*	5.2	5.54	4.63	0.91	0.00856	0.0575
chr21	33442120	33442621	501	*	5.56	5.84	5.11	0.73	0.00858	0.0576
chr21	36753547	36754048	501	*	5.81	6.33	4.69	1.64	0.00859	0.0576
chr21	41472509	41473010	501	*	4.58	4.05	5.05	-1	0.00865	0.0579
chr21	45470819	45471320	501	*	4.92	5.26	4.33	0.93	0.00869	0.058
chr21	32493130	32493631	501	*	5.79	6.08	5.32	0.75	0.00879	0.0584
chr21	42151030	42151531	501	*	5.85	6.15	5.38	0.77	0.0088	0.0584
chr21	35395931	35396432	501	*	4.17	4.65	3.19	1.47	0.0088	0.0584
chr21	42725353	42725854	501	*	4.17	4.63	3.28	1.35	0.00889	0.0588
chr21	34823537	34824038	501	*	4.52	4.01	4.97	-0.96	0.00903	0.0593
chr21	45018315	45018816	501	*	6.27	6.57	5.78	0.79	0.00903	0.0593
chr21	46483830	46484331	501	*	4.26	3.45	4.88	-1.43	0.00924	0.0602
chr21	46179485	46179986	501	*	3.99	3.27	4.56	-1.29	0.00929	0.0603
chr21	42551145	42551646	501	*	5.78	5.37	6.16	-0.79	0.00933	0.0605
chr21	41783787	41784288	501	*	5.19	5.48	4.73	0.75	0.00937	0.0607
chr21	32075955	32076456	501	*	6.36	6.64	5.91	0.72	0.0096	0.0616
chr21	36156812	36157313	501	*	7.45	7.68	7.11	0.57	0.00968	0.0618
chr21	41283347	41283848	501	*	4.26	3.66	4.77	-1.1	0.0097	0.062
chr21	45120367	45120868	501	*	4.94	4.54	5.33	-0.79	0.00973	0.062
chr21	31337687	31338188	501	*	4.42	4.84	3.65	1.18	0.00985	0.0625
chr21	34947564	34948065	501	*	4.73	5.06	4.18	0.88	0.0099	0.0627
chr21	43719183	43719684	501	*	7.73	7.96	7.38	0.57	0.01	0.0631
chr21	41633046	41633547	501	*	4.48	4.83	3.86	0.97	0.01	0.0631
chr21	44919195	44919696	501	*	5.05	5.38	4.49	0.89	0.01	0.0632
chr21	35053325	35053826	501	*	4.76	5.08	4.22	0.85	0.0101	0.0633
chr21	30568794	30569295	501	*	4.93	5.26	4.37	0.88	0.0101	0.0633
chr21	36155866	36156367	501	*	7.64	7.83	7.35	0.48	0.0101	0.0633
chr21	36320346	36320847	501	*	7.87	8.08	7.55	0.53	0.0101	0.0635
chr21	46049772	46050273	501	*	6.32	6.57	5.93	0.64	0.0102	0.0638
chr21	46091744	46092245	501	*	5.75	6.03	5.31	0.73	0.0102	0.064
chr21	33950009	33950510	501	*	4.59	4.96	3.92	1.04	0.0103	0.0641
chr21	34545206	34545707	501	*	5.15	5.48	4.6	0.88	0.0103	0.0644
chr21	42654132	42654633	501	*	7.66	7.85	7.38	0.47	0.0104	0.0647
chr21	41488432	41488933	501	*	5.46	4.99	5.9	-0.91	0.0105	0.0649
chr21	40049131	40049632	501	*	5.43	5.77	4.83	0.94	0.0108	0.066
chr21	33703728	33704229	501	*	4.94	5.31	4.28	1.03	0.0108	0.0662
chr21	34821926	34822427	501	*	4.31	3.78	4.78	-1	0.0109	0.0664
chr21	31873284	31873785	501	*	6.81	7.25	5.94	1.31	0.0111	0.0671
chr21	43367575	43368458	883	*	5.2	5.57	4.54	1.04	0.0111	0.0671
chr21	39005419	39005920	501	*	5.55	5.93	4.86	1.06	0.0111	0.0672
chr21	45133045	45133546	501	*	4.77	5.13	4.14	0.99	0.0113	0.0679
chr21	36429726	36430227	501	*	5.28	5.55	4.85	0.7	0.0116	0.069
chr21	32411870	32412371	501	*	8.01	8.19	7.75	0.43	0.0116	0.0691
chr21	33440805	33441306	501	*	4.19	4.57	3.49	1.09	0.0117	0.0692
chr21	46036606	46037107	501	*	4.98	5.28	4.49	0.79	0.0117	0.0692
chr21	35209298	35209799	501	*	4.52	4.85	3.94	0.91	0.0117	0.0695
chr21	39387866	39388367	501	*	5.47	5.03	5.88	-0.85	0.0118	0.0697
chr21	35216823	35217324	501	*	4.19	4.56	3.54	1.03	0.0118	0.0698
chr21	34960459	34960960	501	*	4.67	4.98	4.17	0.81	0.012	0.0705
chr21	31559303	31559804	501	*	4.82	5.15	4.24	0.91	0.0122	0.0713
chr21	41574372	41574873	501	*	4.74	4.22	5.2	-0.97	0.0127	0.0733
chr21	36966005	36966506	501	*	7.37	7.62	6.96	0.66	0.0127	0.0733
chr21	45427911	45428412	501	*	4.57	4.91	4	0.91	0.0129	0.0738
chr21	44908980	44909481	501	*	4.76	5.05	4.27	0.78	0.0129	0.0739
chr21	33975886	33976387	501	*	4.72	5.05	4.16	0.89	0.013	0.0742
chr21	45410085	45410586	501	*	5.17	5.45	4.72	0.73	0.0135	0.0757
chr21	41986187	41986688	501	*	4.45	3.89	4.94	-1.05	0.0136	0.0761
chr21	38817482	38817983	501	*	4.63	4.99	3.98	1.01	0.0139	0.0769
chr21	39805419	39805920	501	*	4.93	4.39	5.4	-1.01	0.0139	0.077
chr21	42334041	42334542	501	*	4.13	3.58	4.61	-1.03	0.014	0.0774
chr21	44084752	44085253	501	*	4.86	5.21	4.26	0.95	0.0142	0.078
chr21	42476391	42476892	501	*	4.69	5.03	4.1	0.93	0.0142	0.078
chr21	34965652	34966153	501	*	4.37	4.77	3.64	1.13	0.0144	0.0787
chr21	42778195	42778696	501	*	4.01	4.43	3.23	1.2	0.0145	0.0789
chr21	41766430	41766931	501	*	7.76	7.97	7.45	0.51	0.0148	0.0797
chr21	44872951	44873452	501	*	7.53	7.76	7.17	0.58	0.0149	0.0801
chr21	32771127	32771628	501	*	7.49	7.72	7.15	0.58	0.0149	0.0801
chr21	41029457	41029958	501	*	4.28	3.46	4.9	-1.44	0.0149	0.0804
chr21	45520763	45521264	501	*	4.18	3.46	4.75	-1.29	0.0151	0.0807
chr21	32393086	32393587	501	*	7.58	7.76	7.33	0.43	0.0151	0.0807
chr21	32358511	32359012	501	*	4.63	4.95	4.08	0.87	0.0153	0.0814
chr21	30444098	30444599	501	*	4.48	3.72	5.08	-1.36	0.0154	0.0818
chr21	42228205	42228706	501	*	5.32	5.57	4.92	0.66	0.0156	0.0823
chr21	42118889	42119390	501	*	5.77	5.99	5.44	0.56	0.0156	0.0824
chr21	30442404	30442905	501	*	3.87	2.86	4.57	-1.71	0.0157	0.0828
chr21	42009617	42010118	501	*	7.67	7.87	7.37	0.49	0.0157	0.0828
chr21	36134933	36135434	501	*	7.58	7.77	7.32	0.45	0.0163	0.0844
chr21	36493686	36494187	501	*	5.85	6.15	5.36	0.8	0.0164	0.0849
