SampleID	breakpoint_ID	N
PCa56413	246	0
PCa56413	247	2
PCa56413	248	2
PCa56413	249	2
PCa56413	250	27
PCa56413	251	7
PCa56413	252	11
PCa56413	253	5
PCa56413	254	5
PCa56413	255	8
PCa56413	256	11
PCa56413	257	16
PCa56413	258	30
PCa56413	259	24
PCa56413	260	0
PCa56413	261	5
PCa56413	262	0
PCa56413	263	5
PCa56413	264	26
PCa56413	265	7
PCa56413	266	68
PCa56413	267	10
PCa56413	268	8
PCa56413	269	61
PCa56413	270	2
PCa56413	271	30
PCa56413	272	4
PCa56413	273	30
PCa56413	274	60
PCa56413	275	6
PCa56413	276	32
PCa56413	277	45
PCa56413	278	4
PCa56413	279	1
PCa56413	280	39
PCa56413	281	15
PCa56413	282	35
PCa56413	283	3
PCa56413	284	48
PCa56413	285	23
PCa56413	286	14
PCa56413	287	36
PCa56413	288	19
PCa56413	289	230
PCa56413	290	76
PCa56413	291	67
PCa56413	292	31
PCa56413	293	11
PCa56413	294	33
PCa56413	295	11
PCa56413	296	0
PCa57294	297	64
PCa57294	298	65
PCa57294	299	91
PCa57294	300	109
PCa57294	301	76
PCa57294	302	14
PCa57294	303	0
PCa57294	304	20
PCa57294	305	68
PCa58215	306	37
PCa58215	307	15
PCa58215	308	12
PCa58215	309	22
PCa58215	310	49
PCa58215	311	77
PCa58215	312	14
PCa58215	313	17
PCa58215	314	30
PCa58215	315	27
PCa58215	316	39
