chr	start	end	strand	gene_id	gene_name
chr1	8328067	8328179	+	ENSG00000252254.1	AL356072.1
chr1	8352397	8848921	-	ENSG00000142599.19	RERE
chr1	8424645	8435013	+	ENSG00000232912.6	RERE-AS1
chr1	8750430	8751087	+	ENSG00000234619.1	RPL7P11
chr1	8796571	8796673	-	ENSG00000222511.2	AL357552.1
chr1	8798475	8799506	+	ENSG00000226545.1	AL357552.2
chr1	8805860	8807051	-	ENSG00000228423.2	AL357552.3
chr1	8831007	8831375	+	ENSG00000229716.2	RPL23AP19
chr1	8861000	8879190	-	ENSG00000074800.16	ENO1
chr1	8866502	8866590	-	ENSG00000274258.1	MIR6728
chr1	8878835	8879894	+	ENSG00000230679.1	ENO1-AS1
chr1	8883427	8883533	-	ENSG00000201725.1	RNU6-304P
chr1	8907393	8907744	-	ENSG00000232208.2	AL139415.1
chr1	8909742	8909904	+	ENSG00000232663.2	AL139415.2
chr1	8945867	8975092	+	ENSG00000131686.15	CA6
chr1	9035106	9088478	-	ENSG00000142583.18	SLC2A5
chr1	9100305	9129102	-	ENSG00000180758.12	GPR157
chr1	9234775	9271337	+	ENSG00000049239.12	H6PD
chr1	9292894	9369532	+	ENSG00000171621.14	SPSB1
chr1	9539465	9585173	+	ENSG00000171612.7	SLC25A33
chr1	9576427	9576985	+	ENSG00000231181.1	AL954705.1
chr1	9588911	9614877	+	ENSG00000188807.13	TMEM201
chr1	9651731	9729114	+	ENSG00000171608.16	PIK3CD
chr1	9848276	9910336	-	ENSG00000178585.15	CTNNBIP1
chr1	9922113	9943407	-	ENSG00000162441.12	LZIC
chr1	9942923	9949974	+	ENSG00000228150.1	AL357140.2
chr1	9943428	9985501	+	ENSG00000173614.14	NMNAT1
chr1	9947318	9947636	+	ENSG00000202415.1	RN7SKP269
chr1	9950572	9960787	-	ENSG00000283611.2	TMEM274P
chr1	9967381	9967458	+	ENSG00000265521.1	MIR5697
chr1	10032832	10181239	+	ENSG00000130939.20	UBE4B
chr1	10163268	10163374	+	ENSG00000201746.1	RNU6-828P
chr1	10210805	10381603	+	ENSG00000054523.17	KIF1B
chr1	10456522	10472529	-	ENSG00000160049.12	DFFA
chr1	10472288	10630758	+	ENSG00000142655.13	PEX14
chr1	10636604	10796650	-	ENSG00000130940.15	CASZ1
chr1	10639241	10654333	+	ENSG00000272078.1	AL139423.1
chr1	10895761	10895998	+	ENSG00000225158.2	HSPE1P24
chr1	10946471	10982037	-	ENSG00000175262.14	C1orf127
chr1	11012344	11026420	+	ENSG00000120948.17	TARDBP
chr1	11012662	11030528	+	ENSG00000277726.4	AL109811.3
chr1	11026523	11047239	-	ENSG00000009724.17	MASP2
chr1	11029659	11030528	+	ENSG00000271895.2	AL109811.2
chr1	11054584	11060020	-	ENSG00000116649.10	SRM
chr1	11106535	11262551	-	ENSG00000198793.13	MTOR
chr1	11189355	11195981	+	ENSG00000171819.5	ANGPTL7
chr1	11226254	11226360	+	ENSG00000207451.1	RNU6-291P
chr1	11232963	11233112	+	ENSG00000238173.1	RPL39P6
chr1	11311734	11319093	-	ENSG00000284646.1	AL031291.1
chr1	11609468	11613358	+	ENSG00000235643.2	LINC01647
chr1	11623558	11643416	+	ENSG00000284708.1	AL031731.1
chr1	11637018	11655785	-	ENSG00000116661.11	FBXO2
chr1	11654375	11663327	+	ENSG00000132879.14	FBXO44
chr1	11664200	11674354	+	ENSG00000116663.11	FBXO6
chr1	11691710	11725857	+	ENSG00000162490.7	DRAXIN
chr1	11736084	11754802	+	ENSG00000177674.16	AGTRAP
chr1	11761787	11789585	+	ENSG00000215910.7	C1orf167
chr1	11777077	11779619	-	ENSG00000177553.6	C1orf167-AS1
chr1	12063303	12144207	+	ENSG00000120949.15	TNFRSF8
chr1	12088441	12092264	-	ENSG00000285604.1	AL357835.1
chr1	12166991	12209228	+	ENSG00000028137.19	TNFRSF1B
chr1	12220794	12221109	-	ENSG00000225196.2	RPL10P17
chr1	12221148	12221271	-	ENSG00000252969.1	AL031276.1
chr1	12230030	12512047	+	ENSG00000048707.15	VPS13D
chr1	12567910	12618210	-	ENSG00000162496.9	DHRS3
chr1	12618900	12619244	-	ENSG00000272482.1	AC254633.1
chr1	12644547	12667086	+	ENSG00000204518.2	AADACL4
chr1	13657311	13659910	-	ENSG00000237445.2	AL359771.1
chr1	13700198	13825079	+	ENSG00000116731.22	PRDM2
chr1	13892792	15118043	+	ENSG00000189337.17	KAZN
chr1	14124233	14124335	-	ENSG00000252151.1	RNU6-1265P
chr1	14774469	14777727	-	ENSG00000287756.1	AL031293.1
chr1	15111815	15153618	-	ENSG00000175147.13	TMEM51-AS1
chr1	15152532	15220478	+	ENSG00000171729.14	TMEM51
chr1	15247272	15400283	+	ENSG00000142621.19	FHAD1
chr1	15326680	15343876	-	ENSG00000233485.1	FHAD1-AS1
chr1	15334166	15335464	-	ENSG00000236045.1	AL031283.2
chr1	15409888	15430339	+	ENSG00000142634.13	EFHD2
chr1	15438442	15449242	+	ENSG00000162438.12	CTRC
chr1	15526813	15592379	+	ENSG00000116138.13	DNAJC16
chr1	15565611	15565956	-	ENSG00000272510.1	AL121992.3
chr1	15571699	15585051	-	ENSG00000116771.6	AGMAT
chr1	15586136	15603626	-	ENSG00000237301.1	AL121992.1
chr1	15604597	15605043	+	ENSG00000235084.3	CHCHD2P6
chr1	15617458	15669044	+	ENSG00000197312.12	DDI2
chr1	15659869	15661722	+	ENSG00000215695.1	RSC1A1
chr1	15684320	15734769	+	ENSG00000116786.13	PLEKHM2
chr1	15720312	15736896	-	ENSG00000237938.5	AL450998.3
chr1	15736258	15741392	+	ENSG00000162461.8	SLC25A34
chr1	15740051	15749896	-	ENSG00000224459.1	SLC25A34-AS1
chr1	15742499	15747982	+	ENSG00000162460.7	TMEM82
chr1	15756607	15786594	+	ENSG00000162458.13	FBLIM1
chr1	15792796	15793285	+	ENSG00000224321.1	RPL12P14
chr1	15807169	15809348	-	ENSG00000233954.6	UQCRHL
chr1	15941869	15976132	-	ENSG00000116809.11	ZBTB17
chr1	15969632	15970194	+	ENSG00000234607.2	AL355994.4
chr1	15988182	15988441	+	ENSG00000231353.1	AL355994.1
chr1	15989140	15989375	-	ENSG00000275503.1	AL355994.5
chr1	15989871	15994751	+	ENSG00000224966.4	TBC1D3P6
chr1	16004236	16008807	+	ENSG00000183888.4	SRARP
chr1	16006160	16006671	-	ENSG00000233078.1	AL355994.3
chr1	16014028	16019594	-	ENSG00000173641.17	HSPB7
chr1	16018875	16034050	+	ENSG00000186510.12	CLCNKA
chr1	16035178	16040029	-	ENSG00000232456.1	AL355994.2
chr1	16043736	16057308	+	ENSG00000184908.17	CLCNKB
chr1	16057769	16073651	-	ENSG00000185519.9	FAM131C
chr1	16197854	16198357	+	ENSG00000234166.1	ARHGEF19-AS1
chr1	16197854	16212652	-	ENSG00000142632.17	ARHGEF19
chr1	16215909	16228027	-	ENSG00000237276.8	ANO7L1
chr1	16228674	16231335	-	ENSG00000288398.1	AL109627.1
chr1	16231692	16237183	-	ENSG00000132881.12	CPLANE2
chr1	16241213	16241398	-	ENSG00000233929.1	MT1XP1
chr1	16246840	16352480	-	ENSG00000037637.11	FBXO42
chr1	16352575	16398145	+	ENSG00000055070.17	SZRD1
chr1	16369150	16369530	-	ENSG00000226457.1	RPL22P3
chr1	16740273	16972964	+	ENSG00000058453.17	CROCC
chr1	16974502	16980632	-	ENSG00000117122.14	MFAP2
chr1	17018722	17054032	-	ENSG00000117118.10	SDHB
chr1	17066761	17119451	-	ENSG00000117115.13	PADI2
chr1	17205128	17246007	+	ENSG00000142623.11	PADI1
chr1	17249098	17284233	+	ENSG00000142619.4	PADI3
chr1	17308195	17364004	+	ENSG00000159339.13	PADI4
chr1	17372196	17401699	+	ENSG00000276747.1	PADI6
chr1	17406760	17407382	+	ENSG00000227751.1	RCC2-AS1
chr1	17406760	17439677	-	ENSG00000179051.14	RCC2
chr1	17539698	17697874	+	ENSG00000074964.17	ARHGEF10L
chr1	17717625	17749978	+	ENSG00000236648.2	LINC02810
chr1	17755333	17827063	+	ENSG00000117148.8	ACTL8
chr1	18107798	18378483	+	ENSG00000117154.12	IGSF21
chr1	18109389	18115861	+	ENSG00000280222.1	AL365209.1
chr1	18480982	18486126	+	ENSG00000179023.8	KLHDC7A
chr1	18595414	18595636	+	ENSG00000225478.2	AL031737.1
chr1	18630846	18748866	+	ENSG00000009709.12	PAX7
chr1	18839599	18859682	-	ENSG00000179002.5	TAS1R2
chr1	18871430	18902724	-	ENSG00000159423.17	ALDH4A1
chr1	18897071	18897148	-	ENSG00000221662.1	MIR1290
chr1	18904280	18956676	-	ENSG00000169991.11	IFFO2
chr1	19072110	19075511	-	ENSG00000272084.1	AL137127.1
chr1	19074510	19210266	-	ENSG00000127481.15	UBR4
chr1	19210501	19240704	+	ENSG00000230424.1	EMC1-AS1
chr1	19215660	19251527	-	ENSG00000127463.15	EMC1
chr1	19251805	19260128	+	ENSG00000053372.5	MRTO4
chr1	19260521	19262307	-	ENSG00000286064.1	AL035413.2
chr1	19265982	19274194	-	ENSG00000211454.14	AKR7L
chr1	19282573	19288770	-	ENSG00000162482.5	AKR7A3
chr1	19312326	19329300	+	ENSG00000040487.13	SLC66A1
chr1	19338775	19485539	-	ENSG00000077549.18	CAPZB
chr1	19484403	19629821	+	ENSG00000173436.15	MICOS10
chr1	19596979	19658456	+	ENSG00000158747.14	NBL1
chr1	19597067	19656927	+	ENSG00000270136.6	MICOS10-NBL1
chr1	19664875	19680966	+	ENSG00000158748.4	HTR6
chr1	19682213	19799945	-	ENSG00000162542.13	TMCO4
chr1	19882395	19912945	+	ENSG00000169914.6	OTUD3
chr1	19920009	19923617	-	ENSG00000188784.4	PLA2G2E
chr1	19970969	19971269	+	ENSG00000242688.3	RN7SL304P
chr1	19975431	19980416	-	ENSG00000188257.11	PLA2G2A
chr1	20139326	20150386	+	ENSG00000158786.4	PLA2G2F
chr1	20154171	20160568	+	ENSG00000227066.2	Z98257.1
chr1	20161253	20177424	-	ENSG00000187980.6	PLA2G2C
chr1	20184242	20186486	-	ENSG00000225986.1	UBXN10-AS1
chr1	20186096	20196050	+	ENSG00000162543.6	UBXN10
chr1	20360579	20431234	-	ENSG00000236963.7	LINC01141
chr1	20476222	20478937	+	ENSG00000284641.1	AL139254.2
chr1	20478779	20480397	-	ENSG00000284743.1	AL139254.3
chr1	20482391	20486210	-	ENSG00000162545.6	CAMK2N1
chr1	20499448	20508151	-	ENSG00000090432.7	MUL1
chr1	20525989	20526751	+	ENSG00000215520.3	RPS4XP4
chr1	20589086	20618903	+	ENSG00000158825.6	CDA
chr1	20633458	20651511	+	ENSG00000158828.8	PINK1
chr1	20633679	20633788	+	ENSG00000284005.1	MIR6084
chr1	20642657	20652193	-	ENSG00000117242.7	PINK1-AS
chr1	20651767	20661544	-	ENSG00000244038.9	DDOST
chr1	20664014	20718017	-	ENSG00000117245.12	KIF17
chr1	20692734	20694013	-	ENSG00000235432.1	AL663074.2
chr1	20719731	20732837	-	ENSG00000189410.12	SH2D5
chr1	20740266	20787323	-	ENSG00000127483.19	HP1BP3
chr1	20806292	21176888	-	ENSG00000075151.20	EIF4G3
chr1	20841241	20841302	+	ENSG00000251914.1	RNU7-200P
chr1	20988314	20988432	-	ENSG00000221808.1	MIR1256
chr1	21003550	21003934	-	ENSG00000233072.1	RPS15AP6
chr1	21177054	21178164	+	ENSG00000287192.1	AL031005.2
chr1	21217247	21345572	-	ENSG00000117298.16	ECE1
chr1	21266082	21267251	+	ENSG00000236936.1	AL031005.1
chr1	21509397	21578410	+	ENSG00000162551.14	ALPL
chr1	21596215	21669363	-	ENSG00000076864.19	RAP1GAP
chr1	21678298	21783606	-	ENSG00000090686.16	USP48
chr1	21822244	21937310	-	ENSG00000142798.20	HSPG2
chr1	22025511	22101360	+	ENSG00000070831.17	CDC42
chr1	22117313	22143969	-	ENSG00000162552.15	WNT4
chr1	22142850	22157401	+	ENSG00000285873.1	AL445253.1
chr1	22266239	22266300	+	ENSG00000266564.1	MIR4418
chr1	22428838	22531157	+	ENSG00000184677.18	ZBTB40
chr1	22563489	22603595	+	ENSG00000070886.12	EPHA8
chr1	22633258	22633366	-	ENSG00000276835.2	MIR6127
chr1	22636628	22639678	+	ENSG00000173372.17	C1QA
chr1	22643633	22648110	+	ENSG00000159189.12	C1QC
chr1	22652762	22661637	+	ENSG00000173369.16	C1QB
chr1	22710839	22921500	+	ENSG00000133216.16	EPHB2
chr1	22953043	22965338	-	ENSG00000215906.8	LACTBL1
chr1	23020147	23088058	-	ENSG00000240553.1	AL031428.1
chr1	23084023	23177808	-	ENSG00000169641.13	LUZP1
chr1	23191895	23194729	-	ENSG00000179546.4	HTR1D
chr1	23506438	23531233	-	ENSG00000007968.7	E2F2
chr1	23549139	23550915	-	ENSG00000235052.1	AL021154.1
chr1	23581495	23640568	+	ENSG00000197880.8	MDS2
chr1	23870515	23913362	-	ENSG00000188822.8	CNR2
chr1	23901471	23902737	-	ENSG00000229106.1	BTBD6P1
chr1	24040835	24086799	+	ENSG00000225315.2	AL591178.1
chr1	24154168	24187959	-	ENSG00000185436.12	IFNLR1
chr1	24200240	24211693	+	ENSG00000230023.2	LINC02800
chr1	24356999	24416934	-	ENSG00000001460.18	STPG1
chr1	24496254	24535400	-	ENSG00000286061.1	RCAN3AS
chr1	24502351	24541040	+	ENSG00000117602.12	RCAN3
chr1	24556087	24609328	+	ENSG00000184454.7	NCMAP
chr1	24625411	24625513	-	ENSG00000239106.1	AL445686.2
chr1	24631716	24673281	+	ENSG00000133226.17	SRRM1
chr1	24704894	24717596	+	ENSG00000284699.1	AL445648.1
chr1	24745382	24844321	+	ENSG00000169504.15	CLIC4
chr1	24899511	24965121	-	ENSG00000020633.18	RUNX3
chr1	24919345	24919416	-	ENSG00000278034.1	MIR6731
chr1	25043707	25113120	-	ENSG00000233755.1	AL050344.1
chr1	25208139	25209437	+	ENSG00000231953.2	AL031432.1
chr1	25222276	25232502	-	ENSG00000117614.10	SYF2
chr1	25232586	25234775	+	ENSG00000284602.1	AL031432.4
chr1	25430858	25500209	+	ENSG00000204178.11	MACO1
chr1	25543606	25568886	+	ENSG00000157978.12	LDLRAP1
chr1	25581478	25590356	+	ENSG00000225643.1	AL606491.1
chr1	25617468	25786207	+	ENSG00000117643.14	MAN1C1
chr1	25800176	25818221	+	ENSG00000162430.17	SELENON
chr1	25811470	25823744	+	ENSG00000255054.3	AL020996.2
chr1	25818640	25832942	+	ENSG00000117640.18	MTFR1L
chr1	25831913	25832134	-	ENSG00000272478.1	AL020996.3
chr1	25831913	25859458	-	ENSG00000127423.10	AUNIP
chr1	25884181	25906991	-	ENSG00000117632.23	STMN1
chr1	25887360	25887610	+	ENSG00000229786.1	SNRPFP2
chr1	25888970	25889109	+	ENSG00000223624.1	AL033528.2
chr1	25959767	25998117	-	ENSG00000158006.14	PAFAH2
chr1	26006006	26006130	+	ENSG00000252190.1	AL592064.1
chr1	26006216	26006299	+	ENSG00000252691.1	AL592064.2
chr1	26019884	26036464	+	ENSG00000158008.10	EXTL1
chr1	26037252	26046118	-	ENSG00000158014.15	SLC30A2
chr1	26159079	26163962	+	ENSG00000197245.6	FAM110D
chr1	26164161	26168581	-	ENSG00000282872.1	C1orf232
chr1	26593243	26593546	-	ENSG00000243905.3	RN7SL679P
chr1	26593940	26594041	-	ENSG00000252802.1	AL627313.2
chr1	26602369	26602432	-	ENSG00000252429.2	RNU7-29P
chr1	26692132	26694131	-	ENSG00000260063.1	AL512408.1
chr1	26693236	26782104	+	ENSG00000117713.20	ARID1A
chr1	26787472	26798398	+	ENSG00000060642.10	PIGV
chr1	26814822	26815112	+	ENSG00000241188.3	RN7SL165P
chr1	26876132	26890283	-	ENSG00000142751.15	GPN2
chr1	26876133	26878245	+	ENSG00000226698.1	AL034380.1
chr1	26890488	26900467	-	ENSG00000198746.13	GPATCH3
chr1	27098809	27166981	-	ENSG00000090020.11	SLC9A1
chr1	27200834	27201473	-	ENSG00000214973.3	CHCHD3P3
chr1	27234632	27308636	+	ENSG00000142784.16	WDTC1
chr1	27311240	27311838	+	ENSG00000243659.1	FO393419.3
chr1	27322145	27336400	+	ENSG00000186501.14	TMEM222
chr1	27354067	27366961	-	ENSG00000142733.17	MAP3K6
chr1	27369112	27374824	-	ENSG00000142748.12	FCN3
chr1	27379176	27383333	-	ENSG00000174950.11	CD164L2
chr1	27389468	27390145	+	ENSG00000231207.1	FO393419.1
chr1	27392622	27395814	+	ENSG00000181773.7	GPR3
chr1	27404230	27490167	-	ENSG00000158195.11	WASF2
chr1	27534035	27604431	-	ENSG00000126705.15	AHDC1
chr1	27612064	27635185	-	ENSG00000000938.13	FGR
chr1	27649419	27649610	+	ENSG00000235912.1	AL031729.1
chr1	27660328	27662722	-	ENSG00000233975.1	LINC02574
chr1	27666064	27672198	-	ENSG00000126709.15	IFI6
chr1	27669468	27703063	+	ENSG00000225886.3	AL445490.1
chr1	27675603	27675709	-	ENSG00000206767.1	RNU6-949P
chr1	27830782	27851676	+	ENSG00000117751.18	PPP1R8
chr1	27959973	27968093	+	ENSG00000158156.8	XKR8
chr1	27970344	28088637	-	ENSG00000158161.16	EYA3
chr1	27990158	27990524	-	ENSG00000238231.2	AL512288.2
chr1	28031884	28032180	-	ENSG00000240750.3	RN7SL559P
chr1	28095742	28096422	-	ENSG00000228589.3	SPCS2P4
chr1	28199456	28233029	-	ENSG00000126698.11	DNAJC8
chr1	28259518	28282491	+	ENSG00000130766.5	SESN2
chr1	28369582	28500364	+	ENSG00000204138.13	PHACTR4
chr1	28505943	28539300	+	ENSG00000180198.16	RCC1
chr1	28505980	28510892	+	ENSG00000242125.3	SNHG3
chr1	28507366	28507571	+	ENSG00000274266.1	SNORA73A
chr1	28508559	28508762	+	ENSG00000200087.1	SNORA73B
chr1	28589323	28643085	-	ENSG00000120656.11	TAF12
chr1	28592200	28595443	+	ENSG00000188060.7	RAB42
chr1	28643228	28648581	+	ENSG00000229388.1	LINC01715
chr1	28648600	28648730	+	ENSG00000270103.3	AL360012.1
chr1	28648600	28648733	+	ENSG00000274978.1	RNU11
chr1	28736621	28769775	+	ENSG00000198492.16	YTHDF2
chr1	28812142	28871267	+	ENSG00000116329.11	OPRD1
chr1	28870483	28877336	-	ENSG00000233427.1	AL009181.2
chr1	28881726	28881835	-	ENSG00000199756.1	AL009181.1
chr1	28887091	29120046	+	ENSG00000159023.21	EPB41
chr1	29041199	29041480	+	ENSG00000277958.1	AL138785.3
chr1	29144494	29146994	-	ENSG00000225750.1	AL357500.1
chr1	29147743	29181900	-	ENSG00000116350.17	SRSF4
chr1	29192657	29230942	-	ENSG00000116353.16	MECR
chr1	29223933	29224816	+	ENSG00000237934.1	AL590729.1
chr1	29236516	29326813	+	ENSG00000060656.20	PTPRU
chr1	29329620	29350114	-	ENSG00000230523.1	LINC01756
chr1	29755175	29790597	+	ENSG00000284676.1	AL645944.2
chr1	30140263	30141607	+	ENSG00000233372.1	AL137076.1
chr1	30226523	30226615	+	ENSG00000231251.1	AL021921.1
chr1	30711277	30723585	-	ENSG00000162510.6	MATN1
chr1	30718504	30726827	+	ENSG00000186056.10	MATN1-AS1
chr1	30731693	30733427	+	ENSG00000287510.1	AL137857.1
chr1	30732469	30757774	-	ENSG00000162511.8	LAPTM5
chr1	30810378	30815553	-	ENSG00000229607.1	AL137027.1
chr1	30869466	30908758	-	ENSG00000162512.16	SDC3
chr1	30918469	30918735	-	ENSG00000266210.2	RN7SL371P
chr1	30931506	31065991	-	ENSG00000134644.15	PUM1
chr1	31179745	31239887	-	ENSG00000084628.10	NKAIN1
chr1	31296982	31364953	+	ENSG00000121766.15	ZCCHC17
chr1	31333067	31346799	-	ENSG00000229044.1	AL451070.1
chr1	31409565	31434680	+	ENSG00000168528.12	SERINC2
chr1	31506226	31583306	+	ENSG00000284543.1	LINC01226
chr1	31644049	31660162	+	ENSG00000235790.7	PEF1-AS1
chr1	31644694	31649371	+	ENSG00000264078.1	AC114488.2
chr1	31652263	31704319	-	ENSG00000084636.18	COL16A1
chr1	31727117	31764893	-	ENSG00000121753.12	ADGRB2
chr1	31758660	31758735	-	ENSG00000266580.1	MIR4254
chr1	31789130	31791322	+	ENSG00000254545.1	AL354919.2
chr1	31790422	31816051	-	ENSG00000134668.12	SPOCD1
chr1	31972189	31987034	-	ENSG00000284702.1	AL136115.3
chr1	32200386	32205387	+	ENSG00000160050.14	CCDC28B
chr1	32204769	32206814	-	ENSG00000224066.1	AL049795.1
chr1	32205661	32208687	+	ENSG00000160051.11	IQCC
chr1	32209094	32216196	+	ENSG00000222046.2	DCDC2B
chr1	32214472	32222359	-	ENSG00000160055.19	TMEM234
chr1	32221928	32231604	+	ENSG00000084623.11	EIF3I
chr1	32231658	32241620	-	ENSG00000220785.7	MTMR9LP
chr1	32333839	32336233	-	ENSG00000175130.7	MARCKSL1
chr1	32349194	32350663	-	ENSG00000233775.1	AL109945.1
chr1	32351521	32364312	+	ENSG00000162526.7	TSSK3
chr1	32361270	32364278	-	ENSG00000225828.1	FAM229A
chr1	32365103	32394731	-	ENSG00000160058.18	BSDC1
chr1	32402109	32403115	-	ENSG00000224333.1	GAPDHP20
chr1	32421979	32422319	+	ENSG00000270850.1	AL356986.1
chr1	32423214	32426789	-	ENSG00000229259.1	LRRC37A12P
chr1	32465057	32600792	+	ENSG00000254553.1	AL033529.1
chr1	32600172	32650903	-	ENSG00000176261.15	ZBTB8OS
chr1	32651142	32686211	+	ENSG00000162521.19	RBBP4
chr1	32679906	32703596	-	ENSG00000162520.15	SYNC
chr1	32741830	32774970	+	ENSG00000162522.11	KIAA1522
chr1	32775237	32818153	-	ENSG00000134684.10	YARS1
chr1	32816767	32858875	+	ENSG00000116497.18	S100PBP
chr1	32862268	32872482	-	ENSG00000160097.18	FNDC5
chr1	32885994	32898441	+	ENSG00000121905.10	HPCA
chr1	32894594	32901438	-	ENSG00000121900.19	TMEM54
chr1	32925454	32951638	+	ENSG00000287691.1	AL031602.2
chr1	32936445	32964685	-	ENSG00000116514.16	RNF19B
chr1	33007940	33080996	-	ENSG00000004455.17	AK2
chr1	33081104	33123492	+	ENSG00000142920.17	AZIN2
chr1	33194788	33200353	+	ENSG00000284721.1	AL662907.3
chr1	33256492	33300719	+	ENSG00000160094.15	ZNF362
chr1	33306766	33321098	-	ENSG00000184389.9	A3GALT2
chr1	33307348	33349245	+	ENSG00000225313.5	AL513327.1
chr1	33466249	33468954	+	ENSG00000234512.1	TLR12P
chr1	33472645	33496507	+	ENSG00000121903.14	ZSCAN20
chr1	33513999	34165842	-	ENSG00000121904.17	CSMD2
chr1	33838523	33840140	+	ENSG00000227000.2	HSPD1P14
chr1	34112949	34113063	+	ENSG00000201148.1	RNA5SP42
chr1	34166883	34219131	+	ENSG00000142698.15	C1orf94
chr1	34712737	34859755	-	ENSG00000163866.9	SMIM12
chr1	34755047	34758512	+	ENSG00000189280.3	GJB5
chr1	34759740	34762327	+	ENSG00000189433.7	GJB4
chr1	34761426	34788097	-	ENSG00000255811.1	AL121988.1
