gene_id	chr	start	end
ENSG00000228150.1	chr1	9942923	9949974
ENSG00000173614.14	chr1	9943428	9985501
ENSG00000202415.1	chr1	9947318	9947636
ENSG00000283611.2	chr1	9950572	9960787
ENSG00000265521.1	chr1	9967381	9967458
ENSG00000130939.20	chr1	10032832	10181239
ENSG00000201746.1	chr1	10163268	10163374
ENSG00000054523.17	chr1	10210805	10381603
ENSG00000160049.12	chr1	10456522	10472529
ENSG00000142655.13	chr1	10472288	10630758
ENSG00000130940.15	chr1	10636604	10796650
ENSG00000272078.1	chr1	10639241	10654333
ENSG00000225158.2	chr1	10895761	10895998
ENSG00000175262.14	chr1	10946471	10982037
ENSG00000120948.17	chr1	11012344	11026420
ENSG00000277726.4	chr1	11012662	11030528
ENSG00000009724.17	chr1	11026523	11047239
ENSG00000271895.2	chr1	11029659	11030528
ENSG00000116649.10	chr1	11054584	11060020
ENSG00000198793.13	chr1	11106535	11262551
ENSG00000171819.5	chr1	11189355	11195981
ENSG00000207451.1	chr1	11226254	11226360
ENSG00000238173.1	chr1	11232963	11233112
ENSG00000284646.1	chr1	11311734	11319093
ENSG00000235643.2	chr1	11609468	11613358
ENSG00000284708.1	chr1	11623558	11643416
ENSG00000116661.11	chr1	11637018	11655785
ENSG00000132879.14	chr1	11654375	11663327
ENSG00000116663.11	chr1	11664200	11674354
ENSG00000162490.7	chr1	11691710	11725857
ENSG00000177674.16	chr1	11736084	11754802
ENSG00000215910.7	chr1	11761787	11789585
ENSG00000177553.6	chr1	11777077	11779619
ENSG00000120949.15	chr1	12063303	12144207
ENSG00000285604.1	chr1	12088441	12092264
ENSG00000028137.19	chr1	12166991	12209228
ENSG00000225196.2	chr1	12220794	12221109
ENSG00000252969.1	chr1	12221148	12221271
ENSG00000048707.15	chr1	12230030	12512047
ENSG00000162496.9	chr1	12567910	12618210
ENSG00000272482.1	chr1	12618900	12619244
ENSG00000204518.2	chr1	12644547	12667086
ENSG00000237445.2	chr1	13657311	13659910
ENSG00000116731.22	chr1	13700198	13825079
ENSG00000189337.17	chr1	13892792	15118043
ENSG00000252151.1	chr1	14124233	14124335
ENSG00000287756.1	chr1	14774469	14777727
ENSG00000175147.13	chr1	15111815	15153618
ENSG00000171729.14	chr1	15152532	15220478
ENSG00000142621.19	chr1	15247272	15400283
ENSG00000233485.1	chr1	15326680	15343876
ENSG00000236045.1	chr1	15334166	15335464
ENSG00000142634.13	chr1	15409888	15430339
ENSG00000162438.12	chr1	15438442	15449242
ENSG00000116138.13	chr1	15526813	15592379
ENSG00000272510.1	chr1	15565611	15565956
ENSG00000116771.6	chr1	15571699	15585051
ENSG00000237301.1	chr1	15586136	15603626
ENSG00000235084.3	chr1	15604597	15605043
ENSG00000197312.12	chr1	15617458	15669044
ENSG00000215695.1	chr1	15659869	15661722
ENSG00000116786.13	chr1	15684320	15734769
ENSG00000237938.5	chr1	15720312	15736896
ENSG00000162461.8	chr1	15736258	15741392
ENSG00000224459.1	chr1	15740051	15749896
ENSG00000162460.7	chr1	15742499	15747982
ENSG00000162458.13	chr1	15756607	15786594
ENSG00000224321.1	chr1	15792796	15793285
ENSG00000233954.6	chr1	15807169	15809348
ENSG00000116809.11	chr1	15941869	15976132
ENSG00000234607.2	chr1	15969632	15970194
ENSG00000231353.1	chr1	15988182	15988441
ENSG00000275503.1	chr1	15989140	15989375
ENSG00000224966.4	chr1	15989871	15994751
ENSG00000183888.4	chr1	16004236	16008807
ENSG00000233078.1	chr1	16006160	16006671
ENSG00000173641.17	chr1	16014028	16019594
ENSG00000186510.12	chr1	16018875	16034050
ENSG00000232456.1	chr1	16035178	16040029
ENSG00000184908.17	chr1	16043736	16057308
ENSG00000185519.9	chr1	16057769	16073651
ENSG00000234166.1	chr1	16197854	16198357
ENSG00000142632.17	chr1	16197854	16212652
ENSG00000237276.8	chr1	16215909	16228027
ENSG00000288398.1	chr1	16228674	16231335
ENSG00000132881.12	chr1	16231692	16237183
ENSG00000233929.1	chr1	16241213	16241398
ENSG00000037637.11	chr1	16246840	16352480
ENSG00000055070.17	chr1	16352575	16398145
ENSG00000226457.1	chr1	16369150	16369530
ENSG00000058453.17	chr1	16740273	16972964
ENSG00000117122.14	chr1	16974502	16980632
ENSG00000117118.10	chr1	17018722	17054032
ENSG00000117115.13	chr1	17066761	17119451
ENSG00000142623.11	chr1	17205128	17246007
ENSG00000142619.4	chr1	17249098	17284233
ENSG00000159339.13	chr1	17308195	17364004
ENSG00000276747.1	chr1	17372196	17401699
ENSG00000227751.1	chr1	17406760	17407382
ENSG00000179051.14	chr1	17406760	17439677
ENSG00000074964.17	chr1	17539698	17697874
ENSG00000236648.2	chr1	17717625	17749978
ENSG00000117148.8	chr1	17755333	17827063
ENSG00000117154.12	chr1	18107798	18378483
ENSG00000280222.1	chr1	18109389	18115861
ENSG00000179023.8	chr1	18480982	18486126
ENSG00000225478.2	chr1	18595414	18595636
ENSG00000009709.12	chr1	18630846	18748866
ENSG00000179002.5	chr1	18839599	18859682
ENSG00000159423.17	chr1	18871430	18902724
ENSG00000221662.1	chr1	18897071	18897148
ENSG00000169991.11	chr1	18904280	18956676
ENSG00000272084.1	chr1	19072110	19075511
ENSG00000127481.15	chr1	19074510	19210266
ENSG00000230424.1	chr1	19210501	19240704
ENSG00000127463.15	chr1	19215660	19251527
ENSG00000053372.5	chr1	19251805	19260128
ENSG00000286064.1	chr1	19260521	19262307
ENSG00000211454.14	chr1	19265982	19274194
ENSG00000162482.5	chr1	19282573	19288770
ENSG00000040487.13	chr1	19312326	19329300
ENSG00000077549.18	chr1	19338775	19485539
ENSG00000173436.15	chr1	19484403	19629821
ENSG00000158747.14	chr1	19596979	19658456
ENSG00000270136.6	chr1	19597067	19656927
ENSG00000158748.4	chr1	19664875	19680966
ENSG00000162542.13	chr1	19682213	19799945
ENSG00000169914.6	chr1	19882395	19912945
ENSG00000188784.4	chr1	19920009	19923617
ENSG00000242688.3	chr1	19970969	19971269
ENSG00000188257.11	chr1	19975431	19980416
ENSG00000158786.4	chr1	20139326	20150386
ENSG00000227066.2	chr1	20154171	20160568
ENSG00000187980.6	chr1	20161253	20177424
ENSG00000225986.1	chr1	20184242	20186486
ENSG00000162543.6	chr1	20186096	20196050
ENSG00000236963.7	chr1	20360579	20431234
ENSG00000284641.1	chr1	20476222	20478937
ENSG00000284743.1	chr1	20478779	20480397
ENSG00000162545.6	chr1	20482391	20486210
ENSG00000090432.7	chr1	20499448	20508151
ENSG00000215520.3	chr1	20525989	20526751
ENSG00000158825.6	chr1	20589086	20618903
ENSG00000158828.8	chr1	20633458	20651511
ENSG00000284005.1	chr1	20633679	20633788
ENSG00000117242.7	chr1	20642657	20652193
ENSG00000244038.9	chr1	20651767	20661544
ENSG00000117245.12	chr1	20664014	20718017
ENSG00000235432.1	chr1	20692734	20694013
ENSG00000189410.12	chr1	20719731	20732837
ENSG00000127483.19	chr1	20740266	20787323
ENSG00000075151.20	chr1	20806292	21176888
ENSG00000251914.1	chr1	20841241	20841302
ENSG00000221808.1	chr1	20988314	20988432
ENSG00000233072.1	chr1	21003550	21003934
ENSG00000287192.1	chr1	21177054	21178164
ENSG00000117298.16	chr1	21217247	21345572
ENSG00000236936.1	chr1	21266082	21267251
ENSG00000162551.14	chr1	21509397	21578410
ENSG00000076864.19	chr1	21596215	21669363
ENSG00000090686.16	chr1	21678298	21783606
ENSG00000142798.20	chr1	21822244	21937310
ENSG00000070831.17	chr1	22025511	22101360
ENSG00000162552.15	chr1	22117313	22143969
ENSG00000285873.1	chr1	22142850	22157401
ENSG00000266564.1	chr1	22266239	22266300
ENSG00000184677.18	chr1	22428838	22531157
ENSG00000070886.12	chr1	22563489	22603595
ENSG00000276835.2	chr1	22633258	22633366
ENSG00000173372.17	chr1	22636628	22639678
ENSG00000159189.12	chr1	22643633	22648110
ENSG00000173369.16	chr1	22652762	22661637
ENSG00000133216.16	chr1	22710839	22921500
ENSG00000215906.8	chr1	22953043	22965338
ENSG00000240553.1	chr1	23020147	23088058
ENSG00000169641.13	chr1	23084023	23177808
ENSG00000179546.4	chr1	23191895	23194729
ENSG00000007968.7	chr1	23506438	23531233
ENSG00000235052.1	chr1	23549139	23550915
ENSG00000197880.8	chr1	23581495	23640568
ENSG00000188822.8	chr1	23870515	23913362
ENSG00000229106.1	chr1	23901471	23902737
ENSG00000225315.2	chr1	24040835	24086799
ENSG00000185436.12	chr1	24154168	24187959
ENSG00000230023.2	chr1	24200240	24211693
ENSG00000001460.18	chr1	24356999	24416934
ENSG00000286061.1	chr1	24496254	24535400
ENSG00000117602.12	chr1	24502351	24541040
ENSG00000184454.7	chr1	24556087	24609328
ENSG00000239106.1	chr1	24625411	24625513
ENSG00000133226.17	chr1	24631716	24673281
ENSG00000284699.1	chr1	24704894	24717596
ENSG00000169504.15	chr1	24745382	24844321
ENSG00000020633.18	chr1	24899511	24965121
ENSG00000278034.1	chr1	24919345	24919416
ENSG00000233755.1	chr1	25043707	25113120
ENSG00000231953.2	chr1	25208139	25209437
ENSG00000117614.10	chr1	25222276	25232502
ENSG00000284602.1	chr1	25232586	25234775
ENSG00000204178.11	chr1	25430858	25500209
ENSG00000157978.12	chr1	25543606	25568886
ENSG00000225643.1	chr1	25581478	25590356
ENSG00000117643.14	chr1	25617468	25786207
ENSG00000162430.17	chr1	25800176	25818221
ENSG00000255054.3	chr1	25811470	25823744
ENSG00000117640.18	chr1	25818640	25832942
ENSG00000272478.1	chr1	25831913	25832134
ENSG00000127423.10	chr1	25831913	25859458
ENSG00000117632.23	chr1	25884181	25906991
ENSG00000229786.1	chr1	25887360	25887610
ENSG00000223624.1	chr1	25888970	25889109
ENSG00000158006.14	chr1	25959767	25998117
ENSG00000252190.1	chr1	26006006	26006130
ENSG00000252691.1	chr1	26006216	26006299
ENSG00000158008.10	chr1	26019884	26036464
ENSG00000158014.15	chr1	26037252	26046118
ENSG00000197245.6	chr1	26159079	26163962
ENSG00000282872.1	chr1	26164161	26168581
ENSG00000243905.3	chr1	26593243	26593546
ENSG00000252802.1	chr1	26593940	26594041
ENSG00000252429.2	chr1	26602369	26602432
ENSG00000260063.1	chr1	26692132	26694131
ENSG00000117713.20	chr1	26693236	26782104
ENSG00000060642.10	chr1	26787472	26798398
ENSG00000241188.3	chr1	26814822	26815112
ENSG00000142751.15	chr1	26876132	26890283
ENSG00000226698.1	chr1	26876133	26878245
ENSG00000198746.13	chr1	26890488	26900467
ENSG00000090020.11	chr1	27098809	27166981
ENSG00000214973.3	chr1	27200834	27201473
ENSG00000142784.16	chr1	27234632	27308636
ENSG00000243659.1	chr1	27311240	27311838
ENSG00000186501.14	chr1	27322145	27336400
ENSG00000142733.17	chr1	27354067	27366961
ENSG00000142748.12	chr1	27369112	27374824
ENSG00000174950.11	chr1	27379176	27383333
ENSG00000231207.1	chr1	27389468	27390145
ENSG00000181773.7	chr1	27392622	27395814
ENSG00000158195.11	chr1	27404230	27490167
ENSG00000126705.15	chr1	27534035	27604431
ENSG00000000938.13	chr1	27612064	27635185
ENSG00000235912.1	chr1	27649419	27649610
ENSG00000233975.1	chr1	27660328	27662722
ENSG00000126709.15	chr1	27666064	27672198
ENSG00000225886.3	chr1	27669468	27703063
ENSG00000206767.1	chr1	27675603	27675709
ENSG00000117751.18	chr1	27830782	27851676
ENSG00000158156.8	chr1	27959973	27968093
ENSG00000158161.16	chr1	27970344	28088637
ENSG00000238231.2	chr1	27990158	27990524
ENSG00000240750.3	chr1	28031884	28032180
ENSG00000228589.3	chr1	28095742	28096422
ENSG00000126698.11	chr1	28199456	28233029
ENSG00000130766.5	chr1	28259518	28282491
ENSG00000204138.13	chr1	28369582	28500364
ENSG00000180198.16	chr1	28505943	28539300
ENSG00000242125.3	chr1	28505980	28510892
ENSG00000274266.1	chr1	28507366	28507571
ENSG00000200087.1	chr1	28508559	28508762
ENSG00000120656.11	chr1	28589323	28643085
ENSG00000188060.7	chr1	28592200	28595443
ENSG00000229388.1	chr1	28643228	28648581
ENSG00000270103.3	chr1	28648600	28648730
ENSG00000274978.1	chr1	28648600	28648733
ENSG00000198492.16	chr1	28736621	28769775
ENSG00000116329.11	chr1	28812142	28871267
ENSG00000233427.1	chr1	28870483	28877336
ENSG00000199756.1	chr1	28881726	28881835
ENSG00000159023.21	chr1	28887091	29120046
ENSG00000277958.1	chr1	29041199	29041480
ENSG00000225750.1	chr1	29144494	29146994
ENSG00000116350.17	chr1	29147743	29181900
ENSG00000116353.16	chr1	29192657	29230942
ENSG00000237934.1	chr1	29223933	29224816
ENSG00000060656.20	chr1	29236516	29326813
ENSG00000230523.1	chr1	29329620	29350114
ENSG00000284676.1	chr1	29755175	29790597
ENSG00000233372.1	chr1	30140263	30141607
ENSG00000231251.1	chr1	30226523	30226615
ENSG00000162510.6	chr1	30711277	30723585
ENSG00000186056.10	chr1	30718504	30726827
ENSG00000287510.1	chr1	30731693	30733427
ENSG00000162511.8	chr1	30732469	30757774
ENSG00000229607.1	chr1	30810378	30815553
ENSG00000162512.16	chr1	30869466	30908758
ENSG00000266210.2	chr1	30918469	30918735
ENSG00000134644.15	chr1	30931506	31065991
ENSG00000084628.10	chr1	31179745	31239887
ENSG00000121766.15	chr1	31296982	31364953
ENSG00000229044.1	chr1	31333067	31346799
ENSG00000168528.12	chr1	31409565	31434680
ENSG00000284543.1	chr1	31506226	31583306
ENSG00000235790.7	chr1	31644049	31660162
ENSG00000264078.1	chr1	31644694	31649371
ENSG00000084636.18	chr1	31652263	31704319
ENSG00000121753.12	chr1	31727117	31764893
ENSG00000266580.1	chr1	31758660	31758735
ENSG00000254545.1	chr1	31789130	31791322
ENSG00000134668.12	chr1	31790422	31816051
ENSG00000284702.1	chr1	31972189	31987034
ENSG00000160050.14	chr1	32200386	32205387
ENSG00000224066.1	chr1	32204769	32206814
ENSG00000160051.11	chr1	32205661	32208687
ENSG00000222046.2	chr1	32209094	32216196
ENSG00000160055.19	chr1	32214472	32222359
ENSG00000084623.11	chr1	32221928	32231604
ENSG00000220785.7	chr1	32231658	32241620
ENSG00000175130.7	chr1	32333839	32336233
ENSG00000233775.1	chr1	32349194	32350663
ENSG00000162526.7	chr1	32351521	32364312
ENSG00000225828.1	chr1	32361270	32364278
ENSG00000160058.18	chr1	32365103	32394731
ENSG00000224333.1	chr1	32402109	32403115
ENSG00000270850.1	chr1	32421979	32422319
ENSG00000229259.1	chr1	32423214	32426789
ENSG00000254553.1	chr1	32465057	32600792
ENSG00000176261.15	chr1	32600172	32650903
ENSG00000162521.19	chr1	32651142	32686211
ENSG00000162520.15	chr1	32679906	32703596
ENSG00000162522.11	chr1	32741830	32774970
ENSG00000134684.10	chr1	32775237	32818153
ENSG00000116497.18	chr1	32816767	32858875
ENSG00000160097.18	chr1	32862268	32872482
ENSG00000121905.10	chr1	32885994	32898441
ENSG00000121900.19	chr1	32894594	32901438
ENSG00000287691.1	chr1	32925454	32951638
ENSG00000116514.16	chr1	32936445	32964685
ENSG00000004455.17	chr1	33007940	33080996
ENSG00000142920.17	chr1	33081104	33123492
ENSG00000284721.1	chr1	33194788	33200353
ENSG00000160094.15	chr1	33256492	33300719
ENSG00000184389.9	chr1	33306766	33321098
ENSG00000225313.5	chr1	33307348	33349245
ENSG00000234512.1	chr1	33466249	33468954
ENSG00000121903.14	chr1	33472645	33496507
ENSG00000121904.17	chr1	33513999	34165842
ENSG00000227000.2	chr1	33838523	33840140
ENSG00000201148.1	chr1	34112949	34113063
ENSG00000142698.15	chr1	34166883	34219131
ENSG00000163866.9	chr1	34712737	34859755
ENSG00000189280.3	chr1	34755047	34758512
ENSG00000189433.7	chr1	34759740	34762327
ENSG00000255811.1	chr1	34761426	34788097
ENSG00000201868.1	chr1	35195969	35196062
ENSG00000146463.12	chr1	35268709	35422058
ENSG00000240374.3	chr1	35292196	35292498
ENSG00000201542.1	chr1	35310274	35310425
ENSG00000142687.18	chr1	35433492	35557950
ENSG00000020129.16	chr1	35557473	35567274
ENSG00000239636.1	chr1	35569813	35577729
ENSG00000116819.8	chr1	35573314	35595328
ENSG00000142686.8	chr1	35713877	35718894
ENSG00000092853.14	chr1	35720218	35769978
ENSG00000232335.1	chr1	35739389	35743576
ENSG00000092850.12	chr1	36084094	36088275
ENSG00000116863.11	chr1	36088892	36093932
ENSG00000171812.13	chr1	36095239	36125222
ENSG00000054116.12	chr1	36136570	36156053
ENSG00000116871.15	chr1	36155579	36180849
ENSG00000264592.2	chr1	36191915	36192170
ENSG00000054118.15	chr1	36224432	36305357
ENSG00000214193.11	chr1	36306368	36329340
ENSG00000142694.6	chr1	36322031	36324154
ENSG00000286379.1	chr1	36329630	36335406
ENSG00000196182.10	chr1	36339624	36385896
ENSG00000181817.6	chr1	36391238	36397908
ENSG00000222821.1	chr1	36402721	36402859
ENSG00000116885.18	chr1	36415827	36450451
ENSG00000201448.1	chr1	36418450	36418578
ENSG00000230214.1	chr1	36630335	36630857
ENSG00000284705.1	chr1	36703953	36710582
ENSG00000223944.2	chr1	37154761	37325100
ENSG00000230451.2	chr1	37330852	37330996
ENSG00000233621.2	chr1	37350934	37474411
ENSG00000163874.11	chr1	37474580	37484377
ENSG00000283724.1	chr1	37480230	37480289
ENSG00000163875.15	chr1	37492575	37514774
ENSG00000163877.11	chr1	37534449	37554293
ENSG00000232273.1	chr1	37544763	37545294
ENSG00000134697.13	chr1	37566816	37595937
ENSG00000284748.1	chr1	37596126	37607336
ENSG00000169218.14	chr1	37611350	37634892
ENSG00000116922.14	chr1	37681570	37692249
ENSG00000134690.11	chr1	37692481	37709719
ENSG00000183317.17	chr1	37713880	37765133
ENSG00000185090.14	chr1	37793802	37801137
ENSG00000233728.1	chr1	37799720	37800879
ENSG00000196449.4	chr1	37802945	37808208
ENSG00000188786.10	chr1	37809574	37859592
ENSG00000230955.1	chr1	37860697	37861580
ENSG00000204084.13	chr1	37860697	37947057
ENSG00000252448.1	chr1	37884237	37884317
ENSG00000222282.1	chr1	37885023	37885117
ENSG00000183431.12	chr1	37956975	37990075
ENSG00000212541.1	chr1	37991462	37991569
ENSG00000183386.10	chr1	37996770	38005606
ENSG00000183520.12	chr1	38009258	38024820
ENSG00000185668.8	chr1	38043829	38046793
ENSG00000224592.5	chr1	38047314	38119025
ENSG00000287987.1	chr1	38193619	38210340
ENSG00000284632.1	chr1	38754216	38815979
ENSG00000116954.8	chr1	38838198	38859772
ENSG00000273637.1	chr1	38839333	38874494
ENSG00000228436.3	chr1	38859912	38965038
ENSG00000214114.9	chr1	38862493	38873368
ENSG00000274944.4	chr1	38864501	38881617
ENSG00000131233.10	chr1	38874069	38881587
ENSG00000174574.16	chr1	38991276	39006059
ENSG00000168653.11	chr1	39026318	39034636
ENSG00000127603.28	chr1	39081316	39487177
ENSG00000206654.1	chr1	39120940	39121043
ENSG00000226438.1	chr1	39249838	39257649
ENSG00000217897.2	chr1	39304294	39304898
ENSG00000084072.17	chr1	39692182	39763914
ENSG00000225333.6	chr1	39718028	39718595
ENSG00000252413.1	chr1	39723566	39723627
ENSG00000284719.1	chr1	39799422	39809450
ENSG00000284678.1	chr1	39801414	39817460
ENSG00000116990.11	chr1	39895426	39902256
ENSG00000236546.1	chr1	39897745	39899098
ENSG00000168389.17	chr1	39955112	39969968
ENSG00000228477.1	chr1	39962680	39963404
ENSG00000131236.17	chr1	40040233	40072649
ENSG00000131238.17	chr1	40071461	40097727
ENSG00000226745.2	chr1	40132764	40133448
ENSG00000117000.9	chr1	40161387	40240921
ENSG00000207508.1	chr1	40177843	40177949
ENSG00000049089.15	chr1	40300489	40317813
ENSG00000227311.3	chr1	40333078	40333557
ENSG00000084070.12	chr1	40344850	40423326
ENSG00000213172.3	chr1	40364766	40365183
ENSG00000117010.17	chr1	40531573	40548167
ENSG00000117016.10	chr1	40620680	40665682
ENSG00000117013.17	chr1	40783787	40840452
ENSG00000179862.7	chr1	40861054	40862363
ENSG00000229528.1	chr1	40863914	40876670
ENSG00000228940.1	chr1	40938104	40939763
ENSG00000286668.1	chr1	40939294	40945524
ENSG00000233118.2	chr1	40942251	40942515
ENSG00000287400.1	chr1	41241772	41338644
ENSG00000235358.2	chr1	41242373	41284861
ENSG00000213987.4	chr1	41264550	41264862
ENSG00000127124.16	chr1	41506365	42035925
ENSG00000284895.1	chr1	41585306	41628816
ENSG00000287587.1	chr1	42036143	42051784
ENSG00000227538.1	chr1	42040597	42041729
ENSG00000228776.2	chr1	42140635	42141391
ENSG00000044012.4	chr1	42153410	42155820
ENSG00000197273.4	chr1	42162690	42164745
ENSG00000198815.9	chr1	42176539	42335877
ENSG00000227527.2	chr1	42335386	42338376
ENSG00000066185.13	chr1	42430329	42456253
ENSG00000127125.9	chr1	42456117	42473385
ENSG00000186409.17	chr1	42463221	42657190
ENSG00000230116.1	chr1	42491739	42492493
ENSG00000200254.1	chr1	42569033	42569139
ENSG00000236180.2	chr1	42570970	42571390
ENSG00000164007.11	chr1	42733093	42740254
ENSG00000117385.16	chr1	42746335	42767084
ENSG00000164008.16	chr1	42767249	42779491
ENSG00000283580.3	chr1	42767292	42794493
ENSG00000228452.1	chr1	42775813	42776790
ENSG00000225099.1	chr1	42903232	42903912
ENSG00000117394.23	chr1	42925375	42958868
ENSG00000277513.1	chr1	43104086	43104497
ENSG00000117395.12	chr1	43164175	43270936
ENSG00000243710.7	chr1	43172149	43254358
ENSG00000234694.1	chr1	43354684	43358658
ENSG00000117399.14	chr1	43358981	43363203
ENSG00000066322.15	chr1	43363398	43368074
ENSG00000283836.1	chr1	43364648	43364715
ENSG00000159479.17	chr1	43383917	43389808
ENSG00000229431.1	chr1	43385113	43389155
ENSG00000198198.17	chr1	43389882	43454247
ENSG00000142949.17	chr1	43525187	43623666
ENSG00000284989.1	chr1	43650149	43931014
ENSG00000126091.20	chr1	43705824	43931165
ENSG00000117407.17	chr1	43933320	43937240
ENSG00000237950.3	chr1	43937918	43940781
ENSG00000288573.1	chr1	43944370	43946551
ENSG00000117408.11	chr1	43946950	43968022
ENSG00000196517.12	chr1	43991500	44031467
ENSG00000230615.7	chr1	44030437	44115913
ENSG00000178028.14	chr1	44213455	44220681
ENSG00000117419.16	chr1	44221070	44355260
ENSG00000199385.1	chr1	44390722	44390823
ENSG00000187147.18	chr1	44405194	44651724
ENSG00000198520.12	chr1	44674692	44725591
ENSG00000200169.1	chr1	44731055	44731170
ENSG00000142945.13	chr1	44739818	44767767
ENSG00000117425.14	chr1	44819844	44843253
ENSG00000226499.1	chr1	44843921	44844082
ENSG00000070785.17	chr1	44850522	44986722
ENSG00000126107.15	chr1	45002540	45011324
ENSG00000126088.14	chr1	45010950	45015575
ENSG00000162415.7	chr1	45016399	45306209
ENSG00000281912.1	chr1	45303910	45305619
ENSG00000288208.1	chr1	45329262	45491155
ENSG00000070759.17	chr1	45343883	45491163
ENSG00000280670.3	chr1	45493866	45500079
ENSG00000132763.15	chr1	45500300	45513382
ENSG00000117450.14	chr1	45511036	45523047
ENSG00000117448.13	chr1	45550543	45570049
ENSG00000281133.1	chr1	45580892	45580996
ENSG00000280836.1	chr1	45581219	45581321
ENSG00000132780.17	chr1	45583846	45618904
ENSG00000086015.22	chr1	45786987	46036122
ENSG00000117461.15	chr1	46040140	46133036
