gene_id	chr	start	end
ENSG00000069424.15	chr1	3600000	6480000
ENSG00000158286.13	chr1	3600000	6480000
ENSG00000116237.16	chr1	3600000	6480000
ENSG00000225077.3	chr1	3600000	6480000
ENSG00000173673.8	chr1	5960000	6480000
ENSG00000158292.7	chr1	5960000	6480000
ENSG00000097021.19	chr1	5960000	6480000
ENSG00000069812.11	chr1	5960000	6480000
ENSG00000187017.17	chr1	5960000	7960000
ENSG00000265392.1	chr1	5960000	6480000
ENSG00000215788.10	chr1	5960000	7960000
ENSG00000171680.22	chr1	5960000	7960000
ENSG00000041988.15	chr1	6440000	7960000
ENSG00000007923.16	chr1	6440000	7960000
ENSG00000228750.7	chr1	6440000	7960000
ENSG00000284744.1	chr1	6440000	7960000
ENSG00000237436.1	chr1	6440000	7960000
ENSG00000171735.19	chr1	6440000	7960000
ENSG00000237365.1	chr1	6440000	7960000
ENSG00000207056.1	chr1	6440000	7960000
ENSG00000116288.13	chr1	6440000	8880000
ENSG00000200344.1	chr1	7920000	8880000
ENSG00000284747.1	chr1	7920000	8880000
ENSG00000284716.1	chr1	7920000	8880000
ENSG00000116285.13	chr1	7920000	8880000
ENSG00000238290.1	chr1	7920000	8880000
ENSG00000227634.3	chr1	7920000	8880000
ENSG00000200975.1	chr1	7920000	8880000
ENSG00000233645.1	chr1	7920000	8880000
ENSG00000162426.14	chr1	7920000	8880000
ENSG00000252254.1	chr1	7920000	8880000
ENSG00000142599.19	chr1	7920000	8880000
ENSG00000232912.6	chr1	7920000	8880000
ENSG00000234619.1	chr1	7920000	8880000
ENSG00000222511.2	chr1	7920000	8880000
ENSG00000226545.1	chr1	7920000	8880000
ENSG00000228423.2	chr1	7920000	8880000
ENSG00000229716.2	chr1	7920000	8880000
ENSG00000074800.16	chr1	7920000	8880000
ENSG00000274258.1	chr1	7920000	8880000
ENSG00000230679.1	chr1	7920000	8880000
ENSG00000201725.1	chr1	8880000	9600000
ENSG00000232208.2	chr1	8880000	9600000
ENSG00000232663.2	chr1	8880000	9600000
ENSG00000131686.15	chr1	8880000	9600000
ENSG00000142583.18	chr1	8880000	9600000
ENSG00000180758.12	chr1	8880000	9600000
ENSG00000049239.12	chr1	8880000	9600000
ENSG00000171621.14	chr1	8880000	9600000
ENSG00000171612.7	chr1	8880000	9600000
ENSG00000231181.1	chr1	8880000	9600000
ENSG00000188807.13	chr1	8880000	10640000
ENSG00000171608.16	chr1	9600000	10640000
ENSG00000178585.15	chr1	9600000	10640000
ENSG00000162441.12	chr1	9600000	10640000
ENSG00000228150.1	chr1	9600000	10640000
ENSG00000173614.14	chr1	9600000	10640000
ENSG00000202415.1	chr1	9600000	10640000
ENSG00000283611.2	chr1	9600000	10640000
ENSG00000265521.1	chr1	9600000	10640000
ENSG00000130939.20	chr1	9600000	10640000
ENSG00000201746.1	chr1	9600000	10640000
ENSG00000054523.17	chr1	9600000	10640000
ENSG00000160049.12	chr1	9600000	11000000
ENSG00000142655.13	chr1	9600000	11000000
ENSG00000130940.15	chr1	9600000	12840000
ENSG00000272078.1	chr1	9600000	11000000
ENSG00000225158.2	chr1	10440000	12840000
ENSG00000175262.14	chr1	10440000	12840000
ENSG00000120948.17	chr1	10680000	12840000
ENSG00000277726.4	chr1	10680000	12840000
ENSG00000009724.17	chr1	10680000	12840000
ENSG00000271895.2	chr1	10680000	12840000
ENSG00000116649.10	chr1	10680000	12840000
ENSG00000198793.13	chr1	10680000	12840000
ENSG00000171819.5	chr1	10680000	12840000
ENSG00000207451.1	chr1	10680000	12840000
ENSG00000238173.1	chr1	10680000	12840000
ENSG00000284646.1	chr1	10680000	12840000
ENSG00000235643.2	chr1	10680000	12840000
ENSG00000284708.1	chr1	10680000	12840000
ENSG00000116661.11	chr1	10680000	12840000
ENSG00000132879.14	chr1	10680000	12840000
ENSG00000116663.11	chr1	10680000	12840000
ENSG00000162490.7	chr1	10680000	12840000
ENSG00000177674.16	chr1	10680000	12840000
ENSG00000215910.7	chr1	10680000	12840000
ENSG00000177553.6	chr1	10680000	12840000
ENSG00000120949.15	chr1	10680000	12880000
ENSG00000285604.1	chr1	10680000	12880000
ENSG00000028137.19	chr1	10680000	12880000
ENSG00000225196.2	chr1	10680000	12880000
ENSG00000252969.1	chr1	10680000	12880000
ENSG00000048707.15	chr1	10680000	12880000
ENSG00000162496.9	chr1	10680000	12880000
ENSG00000272482.1	chr1	10680000	12880000
ENSG00000204518.2	chr1	10680000	12880000
ENSG00000237445.2	chr1	13360000	15120000
ENSG00000116731.22	chr1	13360000	15120000
ENSG00000189337.17	chr1	13360000	15120000
ENSG00000252151.1	chr1	13360000	15120000
ENSG00000287756.1	chr1	13360000	15120000
ENSG00000175147.13	chr1	13360000	16040000
ENSG00000171729.14	chr1	15120000	16040000
ENSG00000142621.19	chr1	15120000	16040000
ENSG00000233485.1	chr1	15120000	16040000
ENSG00000236045.1	chr1	15120000	16040000
ENSG00000142634.13	chr1	15120000	16040000
ENSG00000162438.12	chr1	15120000	16040000
ENSG00000116138.13	chr1	15120000	16520000
ENSG00000272510.1	chr1	15120000	16520000
ENSG00000116771.6	chr1	15120000	16520000
ENSG00000237301.1	chr1	15120000	16520000
ENSG00000235084.3	chr1	15120000	16520000
ENSG00000197312.12	chr1	15120000	16520000
ENSG00000215695.1	chr1	15120000	16520000
ENSG00000116786.13	chr1	15120000	16520000
ENSG00000237938.5	chr1	15120000	16520000
ENSG00000162461.8	chr1	15120000	16520000
ENSG00000224459.1	chr1	15120000	16520000
ENSG00000162460.7	chr1	15120000	16520000
ENSG00000162458.13	chr1	15120000	16520000
ENSG00000224321.1	chr1	15120000	16520000
ENSG00000233954.6	chr1	15120000	16520000
ENSG00000116809.11	chr1	15120000	16520000
ENSG00000234607.2	chr1	15120000	16520000
ENSG00000231353.1	chr1	15120000	16520000
ENSG00000275503.1	chr1	15120000	16520000
ENSG00000224966.4	chr1	15120000	16520000
ENSG00000183888.4	chr1	15120000	16520000
ENSG00000233078.1	chr1	15120000	16520000
ENSG00000173641.17	chr1	15120000	16520000
ENSG00000186510.12	chr1	15120000	16520000
ENSG00000232456.1	chr1	15120000	16520000
ENSG00000184908.17	chr1	15480000	16520000
ENSG00000185519.9	chr1	15480000	16520000
ENSG00000234166.1	chr1	15480000	16520000
ENSG00000142632.17	chr1	15480000	16520000
ENSG00000237276.8	chr1	15480000	16520000
ENSG00000288398.1	chr1	15480000	16520000
ENSG00000132881.12	chr1	15480000	16520000
ENSG00000233929.1	chr1	15480000	16520000
ENSG00000037637.11	chr1	15480000	16520000
ENSG00000055070.17	chr1	15480000	16520000
ENSG00000226457.1	chr1	15480000	16520000
ENSG00000058453.17	chr1	16480000	18880000
ENSG00000117122.14	chr1	16880000	18880000
ENSG00000117118.10	chr1	16880000	18880000
ENSG00000117115.13	chr1	16880000	18880000
ENSG00000142623.11	chr1	16880000	18880000
ENSG00000142619.4	chr1	16880000	18880000
ENSG00000159339.13	chr1	16880000	18880000
ENSG00000276747.1	chr1	16880000	18880000
ENSG00000227751.1	chr1	16880000	18880000
ENSG00000179051.14	chr1	16880000	18880000
ENSG00000074964.17	chr1	16880000	18880000
ENSG00000236648.2	chr1	16880000	18880000
ENSG00000117148.8	chr1	16880000	18880000
ENSG00000117154.12	chr1	16880000	18880000
ENSG00000280222.1	chr1	16880000	18880000
ENSG00000179023.8	chr1	16880000	18880000
ENSG00000225478.2	chr1	16880000	18880000
ENSG00000009709.12	chr1	16880000	18880000
ENSG00000179002.5	chr1	16880000	18880000
ENSG00000159423.17	chr1	16880000	19120000
ENSG00000221662.1	chr1	18880000	19120000
ENSG00000169991.11	chr1	18880000	19120000
ENSG00000272084.1	chr1	18880000	19120000
ENSG00000127481.15	chr1	18880000	19880000
ENSG00000230424.1	chr1	19080000	19880000
ENSG00000127463.15	chr1	19080000	19880000
ENSG00000053372.5	chr1	19080000	19880000
ENSG00000286064.1	chr1	19080000	19880000
ENSG00000211454.14	chr1	19080000	19880000
ENSG00000162482.5	chr1	19080000	19880000
ENSG00000040487.13	chr1	19080000	19880000
ENSG00000077549.18	chr1	19080000	19880000
ENSG00000173436.15	chr1	19080000	19880000
ENSG00000158747.14	chr1	19080000	19880000
ENSG00000270136.6	chr1	19080000	19880000
ENSG00000158748.4	chr1	19080000	20200000
ENSG00000162542.13	chr1	19080000	21400000
ENSG00000169914.6	chr1	19680000	21400000
ENSG00000188784.4	chr1	19680000	21400000
ENSG00000242688.3	chr1	19680000	21400000
ENSG00000188257.11	chr1	19680000	21400000
ENSG00000158786.4	chr1	19680000	21400000
ENSG00000227066.2	chr1	19680000	21400000
ENSG00000187980.6	chr1	19680000	21400000
ENSG00000225986.1	chr1	19680000	21400000
ENSG00000162543.6	chr1	19680000	21400000
ENSG00000236963.7	chr1	19720000	21400000
ENSG00000284641.1	chr1	19720000	21400000
ENSG00000284743.1	chr1	19720000	21400000
ENSG00000162545.6	chr1	19720000	21400000
ENSG00000090432.7	chr1	19720000	21400000
ENSG00000215520.3	chr1	19720000	21400000
ENSG00000158825.6	chr1	19720000	21400000
ENSG00000158828.8	chr1	19720000	21960000
ENSG00000284005.1	chr1	19720000	21400000
ENSG00000117242.7	chr1	19720000	21960000
ENSG00000244038.9	chr1	19720000	21960000
ENSG00000117245.12	chr1	19720000	21960000
ENSG00000235432.1	chr1	19720000	21960000
ENSG00000189410.12	chr1	19720000	21960000
ENSG00000127483.19	chr1	19720000	21960000
ENSG00000075151.20	chr1	19720000	21960000
ENSG00000251914.1	chr1	19720000	21960000
ENSG00000221808.1	chr1	19720000	21960000
ENSG00000233072.1	chr1	19720000	21960000
ENSG00000287192.1	chr1	19720000	21960000
ENSG00000117298.16	chr1	19720000	21960000
ENSG00000236936.1	chr1	19720000	21960000
ENSG00000162551.14	chr1	20640000	22960000
ENSG00000076864.19	chr1	20640000	22960000
ENSG00000090686.16	chr1	20640000	22960000
ENSG00000142798.20	chr1	20640000	22960000
ENSG00000070831.17	chr1	21440000	23000000
ENSG00000162552.15	chr1	21440000	23000000
ENSG00000285873.1	chr1	21440000	23000000
ENSG00000266564.1	chr1	21440000	23000000
ENSG00000184677.18	chr1	21440000	23000000
ENSG00000070886.12	chr1	21440000	23000000
ENSG00000276835.2	chr1	21440000	23000000
ENSG00000173372.17	chr1	21440000	23000000
ENSG00000159189.12	chr1	21440000	23000000
ENSG00000173369.16	chr1	21440000	23000000
ENSG00000133216.16	chr1	21440000	23000000
ENSG00000215906.8	chr1	21440000	23760000
ENSG00000240553.1	chr1	22960000	23760000
ENSG00000169641.13	chr1	22960000	23760000
ENSG00000179546.4	chr1	22960000	23760000
ENSG00000007968.7	chr1	22960000	23800000
ENSG00000235052.1	chr1	22960000	23800000
ENSG00000197880.8	chr1	22960000	23800000
ENSG00000188822.8	chr1	23720000	24080000
ENSG00000229106.1	chr1	23720000	24080000
ENSG00000225315.2	chr1	23760000	25360000
ENSG00000185436.12	chr1	23920000	25360000
ENSG00000230023.2	chr1	23920000	25360000
ENSG00000001460.18	chr1	23920000	25360000
ENSG00000286061.1	chr1	24040000	25360000
ENSG00000117602.12	chr1	24040000	25360000
ENSG00000184454.7	chr1	24040000	25360000
ENSG00000239106.1	chr1	24040000	25360000
ENSG00000133226.17	chr1	24040000	25360000
ENSG00000284699.1	chr1	24040000	25360000
ENSG00000169504.15	chr1	24040000	25360000
ENSG00000020633.18	chr1	24040000	25360000
ENSG00000278034.1	chr1	24040000	25360000
ENSG00000233755.1	chr1	24040000	25360000
ENSG00000231953.2	chr1	24040000	25360000
ENSG00000117614.10	chr1	24040000	25360000
ENSG00000284602.1	chr1	24040000	25360000
ENSG00000204178.11	chr1	25240000	26480000
ENSG00000157978.12	chr1	25400000	26480000
ENSG00000225643.1	chr1	25400000	26480000
ENSG00000117643.14	chr1	25400000	26480000
ENSG00000162430.17	chr1	25400000	26480000
ENSG00000255054.3	chr1	25400000	26480000
ENSG00000117640.18	chr1	25400000	26480000
ENSG00000272478.1	chr1	25400000	26480000
ENSG00000127423.10	chr1	25400000	26480000
ENSG00000117632.23	chr1	25400000	26480000
ENSG00000229786.1	chr1	25400000	26480000
ENSG00000223624.1	chr1	25400000	26480000
ENSG00000158006.14	chr1	25400000	26480000
ENSG00000252190.1	chr1	25400000	26480000
ENSG00000252691.1	chr1	25400000	26480000
ENSG00000158008.10	chr1	25400000	26480000
ENSG00000158014.15	chr1	25400000	26480000
ENSG00000197245.6	chr1	25400000	26480000
ENSG00000282872.1	chr1	25400000	26480000
ENSG00000243905.3	chr1	26440000	26920000
ENSG00000252802.1	chr1	26440000	26920000
ENSG00000252429.2	chr1	26440000	26920000
ENSG00000260063.1	chr1	26440000	26920000
ENSG00000117713.20	chr1	26440000	26920000
ENSG00000060642.10	chr1	26440000	26920000
ENSG00000241188.3	chr1	26440000	26920000
ENSG00000142751.15	chr1	26440000	26920000
ENSG00000226698.1	chr1	26440000	26920000
ENSG00000198746.13	chr1	26440000	26920000
ENSG00000090020.11	chr1	26920000	27840000
ENSG00000214973.3	chr1	26920000	27840000
ENSG00000142784.16	chr1	26920000	28240000
ENSG00000243659.1	chr1	26920000	28240000
ENSG00000186501.14	chr1	26920000	28240000
ENSG00000142733.17	chr1	26920000	28240000
ENSG00000142748.12	chr1	26920000	28240000
ENSG00000174950.11	chr1	26920000	28240000
ENSG00000231207.1	chr1	26920000	28240000
ENSG00000181773.7	chr1	26920000	28240000
ENSG00000158195.11	chr1	26920000	28240000
ENSG00000126705.15	chr1	26920000	28240000
ENSG00000000938.13	chr1	26920000	28240000
ENSG00000235912.1	chr1	26920000	28240000
ENSG00000233975.1	chr1	26920000	28240000
ENSG00000126709.15	chr1	26920000	28240000
ENSG00000225886.3	chr1	26920000	28240000
ENSG00000206767.1	chr1	26920000	28240000
ENSG00000117751.18	chr1	26920000	28240000
ENSG00000158156.8	chr1	27280000	28240000
ENSG00000158161.16	chr1	27280000	28240000
ENSG00000238231.2	chr1	27280000	28240000
ENSG00000240750.3	chr1	27280000	28240000
ENSG00000228589.3	chr1	27280000	28240000
ENSG00000126698.11	chr1	27280000	28240000
ENSG00000130766.5	chr1	28240000	29240000
ENSG00000204138.13	chr1	28240000	29240000
ENSG00000180198.16	chr1	28240000	29240000
ENSG00000242125.3	chr1	28240000	29240000
ENSG00000274266.1	chr1	28240000	29240000
ENSG00000200087.1	chr1	28240000	29240000
ENSG00000120656.11	chr1	28240000	29240000
ENSG00000188060.7	chr1	28240000	29240000
ENSG00000229388.1	chr1	28240000	29240000
ENSG00000270103.3	chr1	28240000	29240000
ENSG00000274978.1	chr1	28240000	29240000
ENSG00000198492.16	chr1	28240000	29240000
ENSG00000116329.11	chr1	28240000	29240000
ENSG00000233427.1	chr1	28240000	29240000
ENSG00000199756.1	chr1	28240000	29240000
ENSG00000159023.21	chr1	28240000	29240000
ENSG00000277958.1	chr1	28240000	29240000
ENSG00000225750.1	chr1	28240000	29240000
ENSG00000116350.17	chr1	28240000	29240000
ENSG00000116353.16	chr1	28240000	29240000
ENSG00000237934.1	chr1	28240000	29240000
ENSG00000060656.20	chr1	28240000	30720000
ENSG00000230523.1	chr1	29240000	30720000
ENSG00000284676.1	chr1	29240000	30720000
ENSG00000233372.1	chr1	29240000	30720000
ENSG00000231251.1	chr1	29240000	30720000
ENSG00000162510.6	chr1	29240000	31560000
ENSG00000186056.10	chr1	29240000	31560000
ENSG00000287510.1	chr1	30720000	31560000
ENSG00000162511.8	chr1	30720000	31560000
ENSG00000229607.1	chr1	30720000	31560000
ENSG00000162512.16	chr1	30720000	31560000
ENSG00000266210.2	chr1	30720000	31560000
ENSG00000134644.15	chr1	30720000	31640000
ENSG00000084628.10	chr1	30720000	31640000
ENSG00000121766.15	chr1	30720000	31640000
ENSG00000229044.1	chr1	30720000	31640000
ENSG00000168528.12	chr1	30720000	31640000
ENSG00000284543.1	chr1	30720000	32200000
ENSG00000235790.7	chr1	31560000	32200000
ENSG00000264078.1	chr1	31560000	32200000
ENSG00000084636.18	chr1	31560000	32200000
ENSG00000121753.12	chr1	31560000	32200000
ENSG00000266580.1	chr1	31560000	32200000
ENSG00000254545.1	chr1	31560000	32200000
ENSG00000134668.12	chr1	31560000	32200000
ENSG00000284702.1	chr1	31560000	32200000
ENSG00000160050.14	chr1	32040000	32880000
ENSG00000224066.1	chr1	32040000	32880000
ENSG00000160051.11	chr1	32040000	32880000
ENSG00000222046.2	chr1	32040000	32880000
ENSG00000160055.19	chr1	32040000	32880000
ENSG00000084623.11	chr1	32040000	32880000
ENSG00000220785.7	chr1	32040000	32880000
ENSG00000175130.7	chr1	32040000	32880000
ENSG00000233775.1	chr1	32040000	32880000
ENSG00000162526.7	chr1	32040000	32880000
ENSG00000225828.1	chr1	32040000	32880000
ENSG00000160058.18	chr1	32040000	32880000
ENSG00000224333.1	chr1	32040000	32920000
ENSG00000270850.1	chr1	32040000	32920000
ENSG00000229259.1	chr1	32040000	32920000
ENSG00000254553.1	chr1	32040000	32920000
ENSG00000176261.15	chr1	32040000	32920000
ENSG00000162521.19	chr1	32040000	32920000
ENSG00000162520.15	chr1	32040000	32920000
ENSG00000162522.11	chr1	32040000	32920000
ENSG00000134684.10	chr1	32040000	32920000
ENSG00000116497.18	chr1	32040000	32920000
ENSG00000160097.18	chr1	32040000	32920000
ENSG00000121905.10	chr1	32400000	33160000
ENSG00000121900.19	chr1	32400000	33160000
ENSG00000287691.1	chr1	32880000	33160000
ENSG00000116514.16	chr1	32880000	33160000
ENSG00000004455.17	chr1	32880000	33160000
ENSG00000142920.17	chr1	32880000	33520000
ENSG00000284721.1	chr1	33120000	33520000
ENSG00000160094.15	chr1	33120000	33520000
ENSG00000184389.9	chr1	33120000	33520000
ENSG00000225313.5	chr1	33120000	33520000
ENSG00000234512.1	chr1	33120000	33520000
ENSG00000121903.14	chr1	33120000	34840000
ENSG00000121904.17	chr1	33120000	34840000
ENSG00000227000.2	chr1	33480000	34840000
ENSG00000201148.1	chr1	33480000	34840000
ENSG00000142698.15	chr1	33480000	34840000
ENSG00000163866.9	chr1	33480000	36080000
ENSG00000189280.3	chr1	33480000	34840000
ENSG00000189433.7	chr1	33480000	36080000
ENSG00000255811.1	chr1	33480000	36080000
ENSG00000201868.1	chr1	34760000	36080000
ENSG00000146463.12	chr1	34760000	36080000
ENSG00000240374.3	chr1	34760000	36080000
ENSG00000201542.1	chr1	34760000	36080000
ENSG00000142687.18	chr1	34760000	36080000
ENSG00000020129.16	chr1	34760000	36080000
ENSG00000239636.1	chr1	34760000	36080000
ENSG00000116819.8	chr1	34760000	36080000
ENSG00000142686.8	chr1	34760000	36080000
ENSG00000092853.14	chr1	34760000	36080000
ENSG00000232335.1	chr1	34760000	36080000
ENSG00000092850.12	chr1	36080000	36480000
ENSG00000116863.11	chr1	36080000	36480000
ENSG00000171812.13	chr1	36080000	36480000
ENSG00000054116.12	chr1	36080000	36480000
ENSG00000116871.15	chr1	36080000	36480000
ENSG00000264592.2	chr1	36080000	36480000
ENSG00000054118.15	chr1	36080000	36480000
ENSG00000214193.11	chr1	36080000	36480000
ENSG00000142694.6	chr1	36080000	36480000
ENSG00000286379.1	chr1	36080000	36480000
ENSG00000196182.10	chr1	36080000	36480000
ENSG00000181817.6	chr1	36080000	36480000
ENSG00000222821.1	chr1	36080000	36480000
ENSG00000116885.18	chr1	36080000	36480000
ENSG00000201448.1	chr1	36080000	36480000
ENSG00000230214.1	chr1	36480000	37440000
ENSG00000284705.1	chr1	36480000	37440000
ENSG00000223944.2	chr1	36480000	37440000
ENSG00000230451.2	chr1	36480000	37440000
ENSG00000233621.2	chr1	36480000	38000000
ENSG00000163874.11	chr1	37440000	38000000
ENSG00000283724.1	chr1	37440000	38000000
ENSG00000163875.15	chr1	37440000	38000000
ENSG00000163877.11	chr1	37440000	38000000
ENSG00000232273.1	chr1	37440000	38000000
ENSG00000134697.13	chr1	37440000	38000000
ENSG00000284748.1	chr1	37440000	38000000
ENSG00000169218.14	chr1	37440000	38000000
ENSG00000116922.14	chr1	37440000	38000000
ENSG00000134690.11	chr1	37440000	38000000
ENSG00000183317.17	chr1	37440000	38000000
ENSG00000185090.14	chr1	37440000	38840000
ENSG00000233728.1	chr1	37440000	38840000
ENSG00000196449.4	chr1	37440000	38840000
ENSG00000188786.10	chr1	37440000	39480000
ENSG00000230955.1	chr1	37440000	39480000
ENSG00000204084.13	chr1	37440000	39480000
ENSG00000252448.1	chr1	37440000	39480000
ENSG00000222282.1	chr1	37440000	39480000
ENSG00000183431.12	chr1	37440000	39480000
ENSG00000212541.1	chr1	37440000	39480000
ENSG00000183386.10	chr1	37440000	39480000
ENSG00000183520.12	chr1	37800000	39480000
ENSG00000185668.8	chr1	37800000	39480000
ENSG00000224592.5	chr1	37800000	39480000
ENSG00000287987.1	chr1	37800000	39480000
ENSG00000284632.1	chr1	37800000	39480000
ENSG00000116954.8	chr1	37800000	39760000
ENSG00000273637.1	chr1	37800000	39760000
ENSG00000228436.3	chr1	37840000	39760000
ENSG00000214114.9	chr1	37840000	39760000
ENSG00000274944.4	chr1	37840000	39760000
ENSG00000131233.10	chr1	37840000	39760000
ENSG00000174574.16	chr1	37840000	39760000
ENSG00000168653.11	chr1	37840000	39760000
ENSG00000127603.28	chr1	37840000	39760000
ENSG00000206654.1	chr1	37840000	39760000
ENSG00000226438.1	chr1	37840000	39760000
ENSG00000217897.2	chr1	37840000	39760000
ENSG00000084072.17	chr1	38840000	40040000
ENSG00000225333.6	chr1	38840000	39800000
ENSG00000252413.1	chr1	38840000	39800000
ENSG00000284719.1	chr1	39600000	41480000
ENSG00000284678.1	chr1	39760000	41480000
ENSG00000116990.11	chr1	39760000	41480000
ENSG00000236546.1	chr1	39760000	41480000
ENSG00000168389.17	chr1	39760000	41480000
ENSG00000228477.1	chr1	39760000	41480000
ENSG00000131236.17	chr1	39800000	41480000
ENSG00000131238.17	chr1	39800000	41480000
ENSG00000226745.2	chr1	39800000	41480000
ENSG00000117000.9	chr1	39800000	41480000
ENSG00000207508.1	chr1	39800000	41480000
ENSG00000049089.15	chr1	39800000	41480000
ENSG00000227311.3	chr1	39800000	41480000
ENSG00000084070.12	chr1	39800000	41480000
ENSG00000213172.3	chr1	39800000	41480000
ENSG00000117010.17	chr1	39800000	41480000
ENSG00000117016.10	chr1	39800000	41480000
ENSG00000117013.17	chr1	39800000	41480000
ENSG00000179862.7	chr1	39800000	41480000
ENSG00000229528.1	chr1	39800000	41480000
ENSG00000228940.1	chr1	39800000	41480000
ENSG00000286668.1	chr1	39800000	41480000
ENSG00000233118.2	chr1	39800000	41480000
ENSG00000287400.1	chr1	39800000	41520000
ENSG00000235358.2	chr1	39800000	41520000
ENSG00000213987.4	chr1	39800000	41520000
ENSG00000127124.16	chr1	41240000	42880000
ENSG00000284895.1	chr1	41480000	42880000
ENSG00000287587.1	chr1	41480000	42880000
ENSG00000227538.1	chr1	41480000	42880000
ENSG00000228776.2	chr1	41480000	42880000
ENSG00000044012.4	chr1	41480000	42880000
ENSG00000197273.4	chr1	41480000	42880000
ENSG00000198815.9	chr1	41480000	42880000
ENSG00000227527.2	chr1	41480000	42880000
ENSG00000066185.13	chr1	41480000	42880000
ENSG00000127125.9	chr1	41480000	42880000
ENSG00000186409.17	chr1	41480000	42880000
ENSG00000230116.1	chr1	41480000	42880000
ENSG00000200254.1	chr1	41480000	42880000
ENSG00000236180.2	chr1	41480000	42880000
ENSG00000164007.11	chr1	41480000	42880000
ENSG00000117385.16	chr1	41480000	43160000
ENSG00000164008.16	chr1	41480000	43160000
ENSG00000283580.3	chr1	41480000	43160000
ENSG00000228452.1	chr1	41480000	43160000
ENSG00000225099.1	chr1	42760000	43160000
ENSG00000117394.23	chr1	42760000	43160000
ENSG00000277513.1	chr1	42760000	43160000
ENSG00000117395.12	chr1	43160000	44080000
ENSG00000243710.7	chr1	43160000	44080000
ENSG00000234694.1	chr1	43160000	44080000
ENSG00000117399.14	chr1	43160000	44080000
ENSG00000066322.15	chr1	43160000	44080000
ENSG00000283836.1	chr1	43160000	44080000
ENSG00000159479.17	chr1	43160000	44080000
ENSG00000229431.1	chr1	43160000	44080000
ENSG00000198198.17	chr1	43160000	44080000
ENSG00000142949.17	chr1	43160000	44080000
ENSG00000284989.1	chr1	43160000	44080000
ENSG00000126091.20	chr1	43160000	44080000
ENSG00000117407.17	chr1	43160000	44080000
ENSG00000237950.3	chr1	43160000	44080000
ENSG00000288573.1	chr1	43160000	44080000
ENSG00000117408.11	chr1	43160000	44080000
ENSG00000196517.12	chr1	43160000	44080000
ENSG00000230615.7	chr1	43160000	44720000
ENSG00000178028.14	chr1	44040000	44720000
ENSG00000117419.16	chr1	44040000	44720000
ENSG00000199385.1	chr1	44040000	44720000
ENSG00000187147.18	chr1	44040000	44720000
ENSG00000198520.12	chr1	44040000	45560000
ENSG00000200169.1	chr1	44680000	45560000
ENSG00000142945.13	chr1	44680000	45560000
ENSG00000117425.14	chr1	44680000	45560000
ENSG00000226499.1	chr1	44680000	45560000
ENSG00000070785.17	chr1	44680000	45560000
ENSG00000126107.15	chr1	44680000	45560000
ENSG00000126088.14	chr1	44680000	45560000
ENSG00000162415.7	chr1	44680000	45560000
ENSG00000281912.1	chr1	44680000	45560000
ENSG00000288208.1	chr1	44720000	45600000
ENSG00000070759.17	chr1	44720000	45600000
ENSG00000280670.3	chr1	44720000	45600000
ENSG00000132763.15	chr1	44720000	45600000
ENSG00000117450.14	chr1	44720000	46880000
ENSG00000117448.13	chr1	44720000	46880000
ENSG00000281133.1	chr1	45320000	46880000
ENSG00000280836.1	chr1	45320000	46880000
ENSG00000132780.17	chr1	45320000	46880000
ENSG00000086015.22	chr1	45520000	46880000
ENSG00000117461.15	chr1	45520000	46880000
ENSG00000278139.1	chr1	45520000	46880000
