chr	start	end	binNum	observed	expected	log2CopyRatio	p
chr15	22220000	101991189	7966	8033.12	7966	-0.0365234332722425	0.61429
chr16	10000	32150000	3210	2990.93	3210	-0.150607532899882	0.105167
chr16	32150000	34020000	179	41.8122	179	-2.14659210880997	6.96098e-207
chr16	34020000	36460000	232	263.225	232	0.133543329850744	0.0031012
chr16	36460000	38260000	180	69.3826	180	-1.42397947837487	3.81693e-11
chr16	46460000	90338345	4378	3651.48	4378	-0.310419007318331	1.41936e-05
chr17	60000	23200000	2302	2257.83	2302	-0.0765793503236157	0.762672
chr17	23200000	25380000	218	42.1928	218	-2.41788777982609	3.03701e-246
chr17	25380000	25390000	1	31.1057	1	4.91047868620322	2.06829e-05
chr17	25390000	25920000	53	9.21675	53	-2.57229071649989	8.37175e-137
chr17	25920000	25930000	1	169.301	1	7.35481830292155	1.42143e-05
chr17	25930000	26600000	67	18.3104	67	-1.92012616874862	1.9743e-145
chr17	26600000	26610000	1	73.7583	1	6.15610511784618	1.88675e-06
chr17	26610000	83257441	5657	5830.26	5657	-0.00510533069851488	0.298727
chr18	10000	15820000	1577	1637.82	1577	0.00596576876883606	0.255203
chr18	15820000	20920000	506	101.498	506	-2.36631446615095	4.00872e-81
chr18	20920000	80373285	5932	6148.45	5932	0.00307577931085108	0.259606
chr19	60000	24440000	2438	2435.4	2438	-0.0501677615367819	0.842734
chr19	24440000	27200000	272	3.00204	272	-6.55014800982227	0
chr19	27240000	58617616	3138	3233.34	3138	-0.00544851255398255	0.330045
chr2	10000	94160000	9283	10075.4	9283	0.0695457107929969	0.0254135
chr2	94160000	94500000	15	123.771	15	2.99601053798975	3.63721e-91
chr2	94500000	242193529	14766	15926	14766	0.0604765176439311	0.0486859
chr20	60000	26640000	2654	2760.97	2654	0.00837845989070865	0.278605
chr20	26640000	28490000	185	28.671	185	-2.73848952186971	1.27906e-162
chr20	28490000	64444167	3568	3799.58	3568	0.0420959572606454	0.0900504
chr21	5010000	7870000	226	23.1698	226	-3.3346336566935	7.66181e-247
chr21	7910000	8050000	14	29.9803	14	1.04995961109298	6.08161e-05
chr21	8090000	9720000	124	33.5797	124	-1.93330725521955	2.24759e-177
chr21	9720000	10820000	97	161.171	97	0.68390714468731	1.03179e-29
chr21	10860000	12920000	206	0	206	-33.2679093304661	0
chr21	12960000	46709983	3371	3285.95	3371	-0.0854944807917151	0.610245
chr22	10510000	12910000	180	134.911	180	-0.464617304394749	6.61624e-05
chr22	12950000	15280000	224	0.325028	224	-9.47734729259723	0
chr22	15280000	50818468	3535	3548.51	3535	-0.043125224500962	0.795351
chr3	10000	91560000	9151	9785.6	9151	0.0481025239832463	0.0524343
chr3	91560000	93470000	191	30.6149	191	-2.68989514313639	7.21158e-282
chr3	93470000	93480000	1	504.629	1	8.93045092562236	3.9104e-05
chr3	93480000	198295559	10473	11514.1	10473	0.0880985030474121	0.0115651
chr4	10000	190214555	18985	19620.7	18985	-0.00111186747079138	0.316497
chr5	10000	47310000	4722	4892.81	4722	0.00263683739678149	0.302461
chr5	47310000	49590000	228	0	228	-33.2679093304661	0
chr5	49590000	49670000	8	64.4216	8	2.96084420581558	1.02599e-38
chr5	49670000	69540000	1983	2079.81	1983	0.0201386786821455	0.193236
chr5	69540000	71230000	169	9.08242	169	-4.26643106207616	0
chr5	71230000	181538259	11026	11646.1	11026	0.0303090237364074	0.10457
chr6	60000	58450000	5839	6131.4	5839	0.0218668336061707	0.15565
chr6	58450000	60230000	130	25.7474	130	-2.3846413442429	3.9613e-243
chr6	60230000	170805979	11045	11117.2	11045	-0.0392283263593169	0.762303
chr7	10000	58120000	5811	6084.24	5811	0.017662226869898	0.18744
chr7	58160000	60910000	271	33.8379	271	-3.05020929017133	5.04602e-176
chr7	60910000	159345973	9824	9979.71	9824	-0.0259410492053037	0.573573
chr8	60000	43940000	4380	3279.92	4380	-0.465898624495962	2.0593e-12
chr8	43940000	45880000	190	49.9173	190	-1.97701599277786	6.38286e-186
chr8	45920000	145138636	9913	10273.1	9913	0.00284957646326938	0.282631
chr9	10000	39150000	3914	3940.17	3914	-0.0390142608119298	0.73388
chr9	39150000	40870000	172	30.5122	172	-2.54357883528691	8.60754e-233
chr9	40870000	43270000	240	240.229	240	-0.0472524662520348	0.823255
chr9	43270000	62750000	416	89.8342	416	-2.25987521870757	8.24577e-225
chr9	62790000	65750000	251	187.152	251	-0.47210527989306	5.07555e-12
chr9	65750000	68330000	210	35.4501	210	-2.61515610639595	3.94053e-36
chr9	68330000	138394717	7002	7401.13	7002	0.031350114132346	0.120065
chrX	10000	2780000	247	452.183	247	0.82376733109063	6.55534e-50
chrX	2780000	58540000	5537	2886.49	5537	-0.988416675924403	1.71491e-54
chrX	58540000	62420000	384	24.7824	384	-4.00234687614513	2.73724e-92
chrX	62460000	155700000	9300	4698.95	9300	-1.03352068095603	7.44667e-60
chrX	155700000	156040895	35	67.3048	35	0.894726094117237	2.73708e-15
