SampleID	chr	Bin	Count
PCa56413	chr5	90	2
PCa56413	chr5	91	1
PCa56413	chr5	177	1
PCa56413	chr6	12	1
PCa56413	chr6	13	1
PCa56413	chr6	66	1
PCa56413	chr6	92	1
PCa56413	chr6	93	1
PCa56413	chr6	109	1
PCa56413	chr6	119	1
PCa56413	chr6	136	1
PCa56413	chr7	105	1
PCa56413	chr8	18	1
PCa56413	chr8	38	1
PCa56413	chr8	41	1
PCa56413	chr10	26	1
PCa56413	chr10	28	1
PCa56413	chr10	68	2
PCa56413	chr10	83	1
PCa56413	chr10	84	2
PCa56413	chr10	85	1
PCa56413	chr10	86	2
PCa56413	chr10	87	1
PCa56413	chr10	88	2
PCa56413	chr10	89	1
PCa56413	chr10	90	1
PCa56413	chr10	91	2
PCa56413	chr10	92	1
PCa56413	chr10	100	1
PCa56413	chr10	102	1
PCa56413	chr10	103	1
PCa56413	chr12	10	1
PCa56413	chr12	27	1
PCa56413	chr12	44	1
PCa56413	chr12	45	1
PCa56413	chr12	46	1
PCa56413	chr12	47	1
PCa56413	chr12	48	1
PCa56413	chr12	49	1
PCa56413	chr12	58	1
PCa56413	chr12	59	1
PCa56413	chr12	60	1
PCa56413	chr12	61	2
PCa56413	chr12	62	2
PCa56413	chr12	68	1
PCa56413	chr12	69	1
PCa56413	chr12	103	1
PCa56413	chr12	104	2
PCa56413	chr12	105	2
PCa56413	chr12	106	1
PCa56413	chr12	121	1
PCa56413	chr12	122	1
PCa56413	chr14	21	1
PCa56413	chr14	22	1
PCa56413	chr14	23	1
PCa56413	chr14	24	1
PCa56413	chr14	30	1
PCa56413	chr14	31	1
PCa56413	chr14	54	1
PCa56413	chr14	56	1
PCa56413	chr14	57	1
PCa56413	chr14	88	1
PCa56413	chr14	89	1
PCa56413	chr14	90	1
PCa56413	chr14	99	1
PCa56413	chr14	100	1
PCa56413	chr14	101	1
PCa56413	chr14	102	1
PCa56413	chr14	103	2
PCa56413	chr14	106	1
PCa56413	chr15	25	1
PCa56413	chr15	26	1
PCa56413	chr15	27	1
PCa56413	chr15	28	1
PCa56413	chr15	29	1
PCa56413	chr17	22	1
PCa56413	chr17	23	1
PCa56413	chr17	24	1
PCa56413	chr17	25	1
PCa56413	chr17	26	1
PCa56413	chr17	27	1
PCa56413	chr17	28	1
PCa56413	chr21	31	1
PCa56413	chr21	32	1
PCa56413	chr21	33	1
PCa56413	chr21	38	1
PCa56413	chr21	41	1
PCa56413	chrX	53	1
PCa56413	chrX	57	1
PCa56413	chrX	58	1
PCa56413	chrX	67	1
PCa56413	chrX	68	1
PCa56413	chrX	144	1
PCa57054	chr1	117	1
PCa57054	chr1	118	1
PCa57054	chr2	98	1
PCa57054	chr2	99	1
PCa57054	chr2	100	1
PCa57054	chr3	50	1
PCa57054	chr3	51	1
PCa57054	chr3	52	1
PCa57054	chr3	53	1
PCa57054	chr3	73	1
PCa57054	chr3	74	1
PCa57054	chr3	75	1
PCa57054	chr3	121	1
PCa57054	chr3	128	1
PCa57054	chr4	95	1
PCa57054	chr4	96	1
PCa57054	chr4	97	1
PCa57054	chr4	98	1
PCa57054	chr4	172	1
PCa57054	chr4	173	1
PCa57054	chr5	34	1
PCa57054	chr5	35	1
PCa57054	chr5	56	1
PCa57054	chr5	57	1
PCa57054	chr5	58	1
PCa57054	chr5	74	1
PCa57054	chr5	75	1
PCa57054	chr6	148	1
PCa57054	chr6	149	1
PCa57054	chr7	44	1
PCa57054	chr8	16	1
PCa57054	chr8	17	1
PCa57054	chr8	22	1
PCa57054	chr8	73	1
PCa57054	chr8	74	1
PCa57054	chr8	77	1
PCa57054	chr8	78	1
PCa57054	chr9	33	1
PCa57054	chr9	34	1
PCa57054	chr9	35	1
PCa57054	chr9	36	1
PCa57054	chr9	37	1
PCa57054	chr9	38	1
PCa57054	chr9	39	1
PCa57054	chr10	24	1
PCa57054	chr10	60	1
PCa57054	chr10	61	1
PCa57054	chr10	62	1
PCa57054	chr10	81	1
PCa57054	chr10	87	1
PCa57054	chr10	88	1
PCa57054	chr10	89	2
PCa57054	chr10	90	1
PCa57054	chr10	91	2
PCa57054	chr10	92	1
PCa57054	chr10	106	1
PCa57054	chr10	107	1
PCa57054	chr12	118	1
PCa57054	chr12	125	1
PCa57054	chr12	126	1
PCa57054	chr12	127	1
PCa57054	chr12	128	1
PCa57054	chr12	129	1
PCa57054	chr12	130	1
PCa57054	chr12	131	1
PCa57054	chr12	132	1
PCa57054	chr12	133	1
PCa57054	chr13	21	1
PCa57054	chr13	24	1
PCa57054	chr13	29	1
PCa57054	chr13	94	1
PCa57054	chr13	95	1
PCa57054	chr13	96	1
PCa57054	chr13	97	1
PCa57054	chr13	98	1
PCa57054	chr13	99	1
PCa57054	chr13	100	1
PCa57054	chr13	101	1
PCa57054	chr14	86	1
PCa57054	chr14	87	1
PCa57054	chr16	23	1
PCa57054	chr16	24	1
PCa57054	chr16	74	1
PCa57054	chr21	10	1
PCa57054	chr21	11	1
PCa57054	chr21	12	1
PCa57054	chr21	13	1
PCa57054	chr21	14	1
PCa57054	chr21	15	2
PCa57054	chr21	16	2
PCa57054	chr21	17	1
PCa57054	chr21	18	1
PCa57054	chr21	19	1
PCa57054	chr21	20	1
PCa57054	chr21	21	1
PCa57054	chr21	22	1
PCa57054	chr21	23	1
PCa57054	chr21	24	1
PCa57054	chr21	25	1
PCa57054	chr21	26	1
PCa57054	chr21	27	1
PCa57054	chr21	28	1
PCa57054	chr21	41	1
PCa57054	chr21	42	1
PCa57054	chr22	29	1
PCa57054	chr22	30	1
PCa57054	chr22	40	1
PCa57054	chr22	41	1
PCa57054	chrX	11	1
PCa57054	chrX	13	1
PCa57054	chrX	14	1
PCa57054	chrX	15	2
PCa57054	chrX	16	1
PCa57054	chrX	93	1
PCa57054	chrX	94	1
PCa57054	chrY	19	1
PCa57054	chrY	20	1
PCa57054	chrY	21	1
PCa57294	chr12	110	1
PCa57294	chr12	111	1
PCa57294	chr12	113	1
PCa57294	chr12	114	1
PCa57294	chr12	124	1
PCa57294	chr12	125	1
PCa57294	chr16	13	1
PCa57294	chr16	14	1
PCa57294	chr16	15	2
PCa57294	chr16	16	1
PCa57294	chr16	17	1
PCa57294	chr16	18	1
PCa57294	chr16	27	1
PCa57294	chr16	28	1
PCa57294	chr22	42	1
PCa57294	chr22	43	1
PCa58215	chr3	77	1
PCa58215	chr3	78	1
PCa58215	chr3	79	1
PCa58215	chr4	26	1
PCa58215	chr4	27	1
PCa58215	chr7	106	1
PCa58215	chr7	107	1
PCa58215	chr7	108	1
PCa58215	chr7	113	1
PCa58215	chr7	114	1
PCa58215	chr7	115	1
PCa58215	chr7	116	1
PCa58215	chr7	138	1
PCa58215	chr7	139	1
PCa58215	chr12	106	1
PCa58215	chr12	108	1
PCa58215	chr12	128	1
PCa58215	chr12	129	1
PCa58215	chr12	130	2
PCa58215	chr13	30	1
PCa58215	chr13	73	1
PCa58215	chr13	74	1
PCa58215	chr13	75	1
