test_ID	SV_type	altered_TAD	altered_Exprs
235	DEL	FALSE	FALSE
236	DEL	FALSE	FALSE
238	DUP	FALSE	FALSE
239	DEL	FALSE	FALSE
240	DEL	FALSE	FALSE
241	BND	FALSE	FALSE
242	BND	FALSE	FALSE
243	BND	FALSE	FALSE
244	BND	FALSE	FALSE
245	BND	FALSE	FALSE
246	BND	FALSE	FALSE
247	BND,UNKNOWN	FALSE	FALSE
248	BND	FALSE	FALSE
250	BND,UNKNOWN	FALSE	FALSE
252	BND	FALSE	FALSE
253	BND	FALSE	FALSE
256	UNKNOWN	FALSE	FALSE
258	BND,UNKNOWN	FALSE	FALSE
259	BND	FALSE	FALSE
260	BND	FALSE	FALSE
261	BND	FALSE	FALSE
262	BND	FALSE	FALSE
263	BND	FALSE	FALSE
264	BND	FALSE	FALSE
265	BND	FALSE	FALSE
267	BND	FALSE	TRUE
268	BND	FALSE	FALSE
269	BND	FALSE	FALSE
270	BND	FALSE	FALSE
272	BND	FALSE	FALSE
273	UNKNOWN	FALSE	FALSE
274	UNKNOWN	FALSE	FALSE
275	UNKNOWN	FALSE	FALSE
277	UNKNOWN	FALSE	FALSE
278	UNKNOWN	FALSE	FALSE
279	BND	FALSE	FALSE
284	BND,DUP	FALSE	FALSE
286	BND	FALSE	FALSE
287	BND,UNKNOWN	FALSE	FALSE
289	UNKNOWN	FALSE	FALSE
290	UNKNOWN	FALSE	FALSE
293	BND	FALSE	FALSE
294	BND,UNKNOWN	FALSE	FALSE
295	BND	FALSE	FALSE
297	BND	FALSE	FALSE
298	BND	FALSE	TRUE
299	BND	FALSE	FALSE
301	BND	TRUE	FALSE
302	BND	FALSE	FALSE
303	BND	FALSE	FALSE
305	BND	TRUE	FALSE
306	BND	FALSE	FALSE
307	BND	FALSE	FALSE
308	BND	FALSE	FALSE
309	BND	FALSE	FALSE
310	BND	FALSE	FALSE
311	BND	FALSE	TRUE
312	BND	FALSE	TRUE
313	UNKNOWN	FALSE	FALSE
315	DEL	FALSE	FALSE
316	DEL	FALSE	FALSE
