name	chr	start	end	strand	Ensembl_ID	22Rv1	DU145	LNCaP	MDA PCa 2b	NCI-H660	PC3	VCaP	start_tad	end_tad	Fraction
ABCA9	chr17	68974487	69060949	-	ENSG00000154258.17	0.275631082111	0.13238662276	-0.0229210859918	0.0991464981574	-0.0565692939825	0.0371340117986	0.107410927571	68760000	69320000	0.462591071428571
ABCB1	chr7	87503016	87713323	-	ENSG00000085563.15	-0.257656419079	0.0768889425205	-0.0217151557359	0.183611416789	0.240889094207	0.125239250196	0.134395652899	87480000	87800000	0.270865625
ABCB10	chr1	229516581	229558707	-	ENSG00000135776.5	-0.156057262425	-0.0557895351098	-0.287605131895	0.185886822792	-0.5798920024	-0.241084224821	-0.0160353643205	229240000	229640000	0.2032325
ABCB4	chr7	87401696	87480435	-	ENSG00000005471.17	-0.0107185166205	-0.113108596734	-0.320141312735	0.0203642068698	-0.0864592060348	0.169178244678	-0.160510413304	87280000	88200000	0.782135869565217
ABCB6	chr2	219209771	219218994	-	ENSG00000115657.14	-0.176586331849	0.0172029919713	0.0281675943384	-0.164883341677	0.012600571608	0.0976312829433	-0.162519151178	219160000	219400000	0.754191666666667
ABCB7	chrX	75051047	75156732	-	ENSG00000131269.19	-0.931197595116	-0.855963225447	-1.14947671051	-0.69717472906	-0.282117819729	-0.629215920226	-0.674915399394	74600000	76120000	0.633728947368421
ABCB8	chr7	151028421	151047782	+	ENSG00000197150.12	-0.140074646408	0.140097113337	-0.149303329833	-0.0739122162377	-0.00817129382004	0.0879347515111	-0.0147822946608	150760000	151120000	0.745613888888889
ABCB9	chr12	122920950	122981649	-	ENSG00000150967.18	-0.480011332923	0.0200503612073	-0.104186785472	-0.178815859685	0.0600770518512	-0.263023379291	-0.0212057468022	122760000	123000000	0.0764625
ABCC1	chr16	15949576	16143074	+	ENSG00000103222.19	-0.25105338518	0.170576215292	0.269879361464	-0.102540570898	0.155778072912	-0.0383902496606	-0.145378268014	15880000	16200000	0.217425
ABCC10	chr6	43427365	43450427	+	ENSG00000124574.15	-0.230645696637	0.0528187304247	0.129209173802	0.151984740646	0.31063351922	0.198619972512	-0.137156203257	43360000	43600000	0.2806875
ABCC11	chr16	48166909	48247568	-	ENSG00000121270.15	-0.161708693735	0.0751166355541	0.00143446817495	-0.0579056633772	-0.0616838149464	0.0359633670025	0.17468174584	48160000	48360000	0.56216
ABCC12	chr16	48081005	48156018	-	ENSG00000140798.16	-0.320871126669	-0.0631643640837	0.167289998942	-0.0616314033192	0.10264962284	0.0777946529782	-0.297199653017	47680000	48160000	0.00829583333333333
ABCC2	chr10	99782639	99852594	+	ENSG00000023839.12	-0.00121389126203	-0.0683315168361	0.000597689827329	0.0419265800777	-0.332452643238	-0.303654876182	-0.0356684130084	99760000	100280000	0.0435365384615385
ABCC3	chr17	50634776	50692253	+	ENSG00000108846.16	-0.285671163103	-0.0579958117585	0.176232049361	0.383863165143	-0.0428545941156	-0.101741143423	0.0951114490251	50480000	50720000	0.6449
ABCC4	chr13	95019834	95301475	-	ENSG00000125257.16	-0.121030537097	-0.0985742404355	-0.0821813148517	-0.154507520178	0.0314377159126	-0.0838443410421	0.108099712603	95000000	95480000	0.371927083333333
ABCC5	chr3	183919933	184017939	-	ENSG00000114770.17	-0.257332870196	-0.196229818199	-0.14665213362	0.0229856265209	0.100190084818	0.11236347209	0.199329270909	183880000	184360000	0.712627083333333
ABCC8	chr11	17392497	17476879	-	ENSG00000006071.14	-0.0424908254638	0.0780243930091	-0.0848604566451	-0.0633920207854	-0.086958655832	-0.115131091963	-0.108673996833	17360000	17560000	0.415605
ABCC9	chr12	21797400	21942529	-	ENSG00000069431.11	0.185216754347	0.00887341358534	0.165237908538	0.07355105993	0.366898561401	-0.0784047985313	0.223132294893	21720000	22040000	0.304596875
ABCD1	chrX	153724855	153744755	+	ENSG00000101986.12	0.095581981314	-0.723517235695	0.0213947097466	0.161410737581	0.196678149228	0.314966150852	0.150043614793	153720000	153960000	0.0202291666666667
ABCD2	chr12	39550032	39619803	-	ENSG00000173208.4	0.206187277487	-0.257974853906	-0.144143932079	-0.076566224487	0.0253256860514	0.186885373466	0.0643065911109	39320000	39760000	0.318629545454546
ABCD4	chr14	74285268	74303055	-	ENSG00000119688.21	-0.113977587344	-0.0158230311466	0.023130662216	-0.112745385721	0.0385328272702	0.064671723764	-0.0838920984529	74080000	74320000	0.0706041666666667
ABCE1	chr4	145098287	145129524	+	ENSG00000164163.11		-1.10080959454	-1.97827176626	-1.19554854641		-1.29882473608		145040000	145200000	0.36429375
ABCF1	chr6	30571392	30597179	+	ENSG00000204574.13		-0.316603361725	-0.337259158036	-0.273335776019		-0.116950298785		30440000	30880000	0.298618181818182
ABCF2	chr7	151207836	151227166	-	ENSG00000285292.1	-0.138522715234	-0.0634144496775	-0.0946484556764	0.0106244844167	0.0387026693095	0.126152803247	-0.197014693392	151120000	151320000	0.46417
ABCF2	chr7	151211483	151227205	-	ENSG00000033050.9	-0.138522715234	-0.0634144496775	-0.0946484556764	0.0106244844167	0.0387026693095	0.126152803247	-0.197014693392	151120000	151320000	0.463975
ABCF3	chr3	184186022	184194012	+	ENSG00000161204.11		-0.0744326442536	-0.097463864386	0.18343771485		-0.0492909238189		183880000	184360000	0.637545833333333
ABCG1	chr21	42199688	42297244	+	ENSG00000160179.18		0.0877602898922	0.117326453541	0.0510825446046		-0.0205048352923		42120000	42560000	0.181109090909091
ABCG2	chr4	88090149	88231628	-	ENSG00000118777.12	0.084783618648	0.0740959028497	-0.191975216756	-0.0368094535276	-0.273994860126	-0.123932552926	0.0593144593613	87840000	88240000	0.02093
ABCG4	chr11	119149051	119162653	+	ENSG00000172350.10	-0.118106205298	0.00764670908583	0.188277962501	-0.168521011809	0.141924929496	0.424120909624	-0.0525793559427	119040000	119360000	0.340784375
ABCG5	chr2	43812471	43838865	-	ENSG00000138075.14	-0.229802623991	-0.00778866178505	-0.0661776727554	-0.216247899056	-0.403552535859	-0.035533559089	-0.0320428521345	43600000	43840000	0.00472916666666667
ABCG8	chr2	43831941	43882988	+	ENSG00000143921.9	-0.0328028321613	-0.0434068198619	-0.0719866456466	-0.0954347943059	-0.309976497209	-0.0405001389582	-0.112887895323	43600000	44000000	0.5798525
ABHD1	chr2	27123788	27130812	+	ENSG00000143994.14								27080000	27360000	0.156385714285714
ABHD10	chr3	111979009	111993368	+	ENSG00000144827.9	-0.0215333246371	-0.0271985658502	0.109537773989	0.164679196939	-0.208228045556	-0.248824616433	0.0683808798276	111720000	112120000	0.6475225
ABHD11	chr7	73736093	73738867	-	ENSG00000106077.18	0.0628480463257	-0.0522926742738	0.269687944652	0.182147645981	-0.26563435744	0.602972181972	0.150736468937	73560000	73760000	0.105665
ABHD12	chr20	25294741	25390835	-	ENSG00000100997.20	-0.35711704661	0.131788929833	-0.239622391879	-0.398711366475	0.0202634588045	-0.723960732229	-0.0281045967906	25200000	25400000	0.045825
ABHD13	chr13	108218391	108234243	+	ENSG00000139826.6	0.0804772197278	-0.117727459493	-0.16199256901	0.0346238136844	0.0351084869032	-0.0413157874416	-0.00521273134555	108200000	108520000	0.057471875
ABHD14A	chr3	51971425	51981199	+	ENSG00000248487.9	-0.00897742622164	0.349132362911	0.0365794387791	0.0306427055218	-0.245012465032	-0.0314029889721	-0.0718912629612	51920000	52200000	0.183660714285714
ABHD14A-ACY1	chr3	51974705	51989183	+	ENSG00000114786.16	0.230863662287	0.0372067742	0.0769798881739	0.0152427700972	0.139161713632	0.064766480304	0.0833478977867	51920000	52200000	0.195375
ABHD14B	chr3	51968509	51983409	-	ENSG00000114779.19	-0.123418618512	0.102220562315	0.0899495594966	0.10730000247	0.119622438899	-0.0212653941616	0.119682273732	51920000	52200000	0.773539285714286
ABHD15	chr17	29560546	29567037	-	ENSG00000168792.5		-0.0790314719454	0.132303166958	-0.111965106763		-0.00248198602878		29320000	29600000	0.117725
ABHD16A	chr6	31686954	31703356	-	ENSG00000204427.12	-0.236852230176	0.0568855105805	-0.0375732254561	-0.279933823418	-0.217591878518	0.147265491851	-0.310353175252	31280000	32000000	0.412005555555556
ABHD16B	chr20	63861497	63862988	+	ENSG00000183260.7	0.100548835178	0.073435781011	0.0245678098729	0.103645038851	-0.0355055388692	-0.0102280974281	-0.199959753662	63480000	64040000	0.681244642857143
ABHD17A	chr19	1876809	1885547	-	ENSG00000129968.15	0.0396655195406	-0.0452577712665	0.0660142338812	0.0057457201071	-0.307880407736	0.026718932697	-0.0534153951062	1840000	2120000	0.837332142857143
ABHD17B	chr9	71862451	71910931	-	ENSG00000107362.13	0.175114224164	0.234888861284	0.0401529077796	0.219372564677	0.384133566346	-0.0242925868531	0.377040362659	71600000	72040000	0.293338636363636
ABHD17C	chr15	80679683	80755621	+	ENSG00000136379.12								80440000	80800000	0.665786111111111
ABHD18	chr4	127965305	128039927	+	ENSG00000164074.15								127800000	128160000	0.459180555555556
ABHD2	chr15	89087458	89202355	+	ENSG00000140526.18	-0.069292067734	-0.141901729785	-0.0933836186541	-0.0331752356595	-0.222011143067	-0.29883112758	0.193684323714	89040000	89240000	0.23729
ABHD3	chr18	21650900	21704780	-	ENSG00000158201.10	0.080457549475	-0.220304433992	-0.0150704071909	0.0696258135263	-0.0670058516593	0.032222134981	-0.00614910135184	21480000	21880000	0.43805
ABHD4	chr14	22598236	22613215	+	ENSG00000100439.10	-0.336113557816	-0.0691624680388	-0.26427723839	-0.0730067496417	0.0115753371832	0.0654916499871	0.0169824097208	22560000	22920000	0.106211111111111
ABHD5	chr3	43690107	43734371	+	ENSG00000011198.10	-0.160493679018	0.00783464077674	0.112018808817	-0.0514010679162	-0.0014401046789	-0.0177800078516	-0.0725665445855	43520000	43760000	0.708779166666667
ABHD6	chr3	58237531	58295693	+	ENSG00000163686.15		-0.0383952302626	0.20997406796	-0.0459926721964		0.230268279526		58160000	58320000	0.48456875
ABHD8	chr19	17292130	17310236	-	ENSG00000127220.6	0.185832798727	0.026283975804	0.114412883315	-0.0773922746026	-0.0134672229729	0.0715721345834	0.0876108700475	17040000	17320000	0.0348714285714286
ABI1	chr10	26746592	26861087	-	ENSG00000136754.17		0.0114943134466	0.0136357171688	0.123778669346		0.17875918827		26680000	26880000	0.094565
ABI2	chr2	203328238	203447728	+	ENSG00000138443.16		-0.00817982987406	-0.0768473956016	-0.0285218239396		-0.110885177603		202560000	203480000	0.835041304347826
ABI3	chr17	49210410	49223225	+	ENSG00000108798.9		-0.392854388579	-0.329014466173	-0.216255643052		-0.0160449326493		48640000	49400000	0.750539473684211
ABI3BP	chr3	100749155	100993515	-	ENSG00000154175.17								100280000	101200000	0.224440217391304
ABITRAM	chr9	108934399	108950744	+	ENSG00000119328.12								108880000	109400000	0.104613461538462
ABL1	chr9	130713015	130887675	+	ENSG00000097007.19	-0.0207905940557	-0.0327689116128	-0.164627500085	-0.130353966946	-0.263641766852	0.0289032878875	0.149843400851	130680000	131080000	0.0825375
ABL2	chr1	179099329	179229684	-	ENSG00000143322.21	-0.433968484207	0.040575347797	0.132438613415	-0.075692786524	-0.433354171899	0.185550490345	0.240702668732	179040000	179240000	0.05158
ABLIM1	chr10	114431112	114768061	-	ENSG00000099204.20	-0.13611034052	0.107701904802	0.0903078212424	0.0687636655001	0.00575671695765	-0.0112528545136	-0.262931431678	114280000	114840000	0.1284625
ABLIM2	chr4	7965309	8158832	-	ENSG00000163995.20		-0.0470376058042	0.217268594696	-0.0582335015252		0.0359931293858		7720000	8200000	0.0857666666666667
ABLIM3	chr5	149141482	149260542	+	ENSG00000173210.19	0.126007260163	-0.222860730618	0.0297976960159	0.168967577704	-0.526999596423	-0.0822250783258	-0.024868208576	149120000	149280000	0.1342625
ABO	chr9	133250400	133276024	-	ENSG00000175164.15	0.0845748078073	0.0554445454784	0.000632672902801	0.129302444894	-0.238415128194	-0.0910650553353	-0.00248423424848	133160000	133320000	0.27485
ABR	chr17	1003517	1229738	-	ENSG00000159842.15	-0.259081381244	0.225537979009	-0.0748114154575	-0.299398856201	-0.134209468503	0.0839643941885	0.175689342411	1000000	1560000	0.589753571428572
ABRA	chr8	106759482	106770244	-	ENSG00000174429.4	-0.154949946102	-0.094994758879	0.107079035253	-0.0515026346535	-0.233857557405	0.243291322618	-0.111435133767	106560000	107040000	0.561991666666667
ABRACL	chr6	139028744	139043302	+	ENSG00000146386.8								138800000	139360000	0.408471428571429
ABRAXAS1	chr4	83459516	83523348	-	ENSG00000163322.14		0.102972900697	-0.136328763844	-0.227666116678		0.0680660740224		83320000	84560000	0.836009677419355
ABRAXAS2	chr10	124801818	124836667	+	ENSG00000165660.8		-0.0807559035592	-0.0581348364135	-0.0569191558728		-0.0628875068909		124800000	124920000	0.01515
ABT1	chr6	26596952	26600739	+	ENSG00000146109.5	0.0773092323497	-0.0553662372306	-0.274941003366	-0.0688241032836	-0.364745014782	-0.0773565223257	-0.169189656181	26280000	26680000	0.79238
ABTB1	chr3	127672934	127680926	+	ENSG00000114626.18		-0.19319406622	-0.150324576613	-0.0517818394496		-0.0967775391277		127560000	127840000	0.403335714285714
ABTB2	chr11	34150986	34358010	-	ENSG00000166016.6		-0.0233155167978	0.00183289465514	-0.0537279375672		0.0754722820773		33760000	34360000	0.00331666666666667
AC000093.1	chr22	19717219	19724772	+	ENSG00000284874.1								18960000	20280000	0.573650757575758
AC000120.3	chr7	92112158	92179511	-	ENSG00000285772.1								91840000	92600000	0.553275
AC000120.4	chr7	92131773	92245924	-	ENSG00000285953.1								91840000	92600000	0.465889473684211
AC001226.2	chr13	76992077	77129589	+	ENSG00000283208.2								76960000	77480000	0.0616865384615385
AC002094.3	chr17	28364287	28368012	-	ENSG00000273171.1								27920000	28400000	0.0666416666666667
AC002310.4	chr16	30525922	30534852	-	ENSG00000261459.1								30320000	30680000	0.403188888888889
AC002316.1	chr17	2755704	3037741	+	ENSG00000132359.15								2720000	3040000	0.111575
AC002985.1	chr19	18907012	18934397	-	ENSG00000268193.5								18600000	19040000	0.240006818181818
AC002996.1	chr12	111753889	111791418	+	ENSG00000257767.3								111680000	111840000	0.46180625
AC003002.1	chr19	57363565	57398584	+	ENSG00000268133.1								57120000	57920000	0.30445625
AC003002.2	chr19	57394182	57438457	+	ENSG00000268533.1								57120000	57920000	0.3427275
AC003002.3	chr19	57389883	57419994	+	ENSG00000269533.5								57120000	57920000	0.33735375
AC003005.1	chr19	57487717	57517559	+	ENSG00000268107.6								57120000	57920000	0.45964625
AC003006.1	chr19	57682044	57753575	+	ENSG00000269026.2								57120000	57920000	0.702555
AC003688.2	chr17	7246828	7262089	-	ENSG00000262302.1								7200000	7720000	0.880598076923077
AC004076.1	chr19	57437969	57477536	-	ENSG00000268163.1								57120000	57920000	0.55308
AC004080.3	chr7	27163534	27180013	-	ENSG00000257184.3								26840000	27200000	0.0555194444444445
AC004151.1	chr19	1065922	1086628	+	ENSG00000180448.10								1000000	1280000	0.235435714285714
AC004223.3	chr17	35011348	35121493	-	ENSG00000267618.5								34400000	35160000	0.0506671052631579
AC004593.2	chr7	29122339	29514667	+	ENSG00000285162.1								29120000	29680000	0.00417678571428572
AC004687.2	chr17	58345205	58417595	-	ENSG00000285897.1								58120000	58520000	0.2560125
AC004691.2	chr7	30852272	30923812	+	ENSG00000250424.4								30760000	31000000	0.384466666666667
AC004706.3	chr17	6628618	6640456	-	ENSG00000282936.2								5480000	7040000	0.256117948717949
AC004805.1	chr17	65538101	65641033	-	ENSG00000266076.1								65240000	66200000	0.582257291666667
AC004832.3	chr22	30409254	30428990	+	ENSG00000249590.7								30280000	30440000	0.8078375
AC004922.1	chr7	99325878	99394653	+	ENSG00000284292.1								99320000	99640000	0.01836875
AC004997.1	chr22	30285237	30299482	-	ENSG00000248751.6								30280000	30440000	0.8782375
AC005020.2	chr7	99558694	99607810	+	ENSG00000272647.3								99320000	99640000	0.74591875
AC005041.1	chr2	74393835	74421662	-	ENSG00000159239.13								74200000	74440000	0.0764083333333333
AC005154.5	chr7	30497076	30550761	-	ENSG00000281039.1								30120000	30600000	0.10258125
AC005258.1	chr19	2269524	2341172	+	ENSG00000273734.1								2120000	2440000	0.4672625
AC005261.1	chr19	57351306	57359898	+	ENSG00000131845.14								57120000	57920000	0.2891325
AC005324.3	chr17	15571490	15651653	-	ENSG00000251537.4								15520000	15880000	0.634297222222222
AC005324.4	chr17	15699691	15744778	+	ENSG00000255104.8								15520000	15880000	0.499141666666667
AC005520.3	chr14	73851970	73932278	+	ENSG00000258653.3								73640000	74080000	0.48175
AC005551.1	chr19	3482803	3483446	-	ENSG00000284638.1								3480000	3960000	0.992820833333333
AC005697.1	chr17	27798805	27893365	-	ENSG00000266202.1								27760000	27920000	0.16646875
AC005726.1	chr17	28455751	28614185	-	ENSG00000258472.9								28400000	28640000	0.1075625
AC005747.1	chr17	9910608	10198551	-	ENSG00000007237.18								9760000	10280000	0.156632692307692
AC005832.4	chr12	4604943	4662643	+	ENSG00000272921.1								4560000	4800000	0.1872625
AC005833.1	chr12	4649100	4774184	+	ENSG00000255639.3								4560000	4800000	0.37125
AC005837.2	chr17	76732977	76738522	+	ENSG00000267168.1								76720000	77080000	0.0360472222222222
AC005943.1	chr19	1578338	1605445	-	ENSG00000267059.2								1520000	1840000	0.732984375
AC006030.1	chr2	74211603	74363377	-	ENSG00000264324.1								74200000	74440000	0.3192625
AC006059.2	chr3	42705755	42804518	-	ENSG00000280571.2								42480000	42920000	0.262459090909091
AC006064.6	chr12	6556885	6607367	-	ENSG00000285238.2								6480000	6880000	0.6815825
AC006254.1	chr3	52813281	52835729	-	ENSG00000243696.5								52720000	53080000	0.678530555555556
AC006486.1	chr19	42234582	42255132	-	ENSG00000268643.1								41840000	42400000	0.258692857142857
AC006538.2	chr19	2717768	2740048	-	ENSG00000267001.1								2640000	2960000	0.68735
AC006978.2	chr7	30362399	30412502	+	ENSG00000281593.1								30120000	30600000	0.504997916666667
AC007040.2	chr2	70939317	70995336	-	ENSG00000258881.6								70800000	71000000	0.02332
AC007192.1	chr19	18153157	18178117	+	ENSG00000268173.3								18000000	18440000	0.348084090909091
AC007244.1	chrY	19076945	19077416	-	ENSG00000286265.1								18880000	19400000	0.620353846153846
AC007326.4	chr22	18906237	18947732	+	ENSG00000283809.1								18160000	18960000	0.93279625
AC007375.2	chr14	77098310	77225462	+	ENSG00000259164.1								76800000	77320000	0.573673076923077
AC007731.5	chr22	20429240	20446620	-	ENSG00000277971.1								20360000	20680000	0.7293125
AC007846.2	chr17	5772925	6080792	+	ENSG00000285471.1								5480000	6240000	0.385427631578947
AC007998.2	chr18	35443870	35497940	-	ENSG00000267140.1								35400000	35720000	0.6939375
AC008012.1	chr12	4273761	4405490	+	ENSG00000285901.1								3880000	4800000	0.428001086956522
AC008073.3	chr2	24124365	24190436	+	ENSG00000276087.2								23760000	24400000	0.5693203125
AC008162.2	chrX	120877495	120878924	-	ENSG00000278646.1								120480000	120880000	0.00269
AC008397.1	chr19	18249949	18255419	-	ENSG00000284797.1								18000000	18440000	0.419502272727273
AC008397.2	chr19	18207960	18255419	-	ENSG00000285188.1								18000000	18440000	0.419502272727273
AC008403.1	chr19	48465836	48472431	+	ENSG00000268465.1								48320000	48480000	0.911475
AC008481.3	chr19	11466239	11505698	-	ENSG00000267477.1								11280000	11600000	0.29469375
AC008537.1	chr19	40801296	40898282	+	ENSG00000268797.1								40640000	41280000	0.252025
AC008575.1	chr5	112827212	112867582	+	ENSG00000258864.1								112760000	113000000	0.28005
AC008581.2	chr5	77030901	77152155	+	ENSG00000285000.1								77000000	77520000	0.059425
AC008676.3	chr5	157341595	157460100	-	ENSG00000285868.1								157160000	157480000	0.0621875
AC008687.1	chr19	49022952	49036895	-	ENSG00000267335.2								49000000	49240000	0.846270833333333
AC008687.4	chr19	49017495	49020523	-	ENSG00000268655.2								49000000	49240000	0.9144875
AC008687.8	chr19	49055792	49065076	-	ENSG00000283663.1								49000000	49240000	0.72885
AC008750.8	chr19	51350372	51368099	-	ENSG00000269403.1								51320000	51680000	0.866391666666667
AC008758.1	chr19	12461558	12551474	-	ENSG00000196826.7								12160000	12680000	0.247165384615385
AC008758.5	chr19	12391948	12441082	-	ENSG00000268870.1								12160000	12680000	0.459457692307692
AC008758.6	chr19	12433102	12484816	-	ENSG00000269755.1								12160000	12680000	0.375353846153846
AC008763.2	chr19	7629795	7643048	+	ENSG00000268400.5								7520000	7840000	0.343109375
AC008763.3	chr19	7678500	7682854	+	ENSG00000269711.1								7520000	7840000	0.4953125
AC008764.1	chr19	16479066	16628204	-	ENSG00000141979.4								16200000	16680000	0.107908333333333
AC008764.4	chr19	16577641	16660115	-	ENSG00000268790.5								16200000	16680000	0.0414270833333333
AC008770.1	chr19	12017887	12052967	-	ENSG00000257355.1								11600000	12160000	0.191130357142857
