test_ID	Significant	LargeFold	N	Total	Frac
31	TRUE	TRUE	0	21	0
32	FALSE		6	6	1
32	TRUE	FALSE	0	6	0
32	TRUE	TRUE	0	6	0
33	FALSE		4	4	1
33	TRUE	FALSE	0	4	0
33	TRUE	TRUE	0	4	0
34	FALSE		3	3	1
34	TRUE	FALSE	0	3	0
34	TRUE	TRUE	0	3	0
36	FALSE		5	5	1
36	TRUE	FALSE	0	5	0
36	TRUE	TRUE	0	5	0
37	FALSE		2	2	1
37	TRUE	FALSE	0	2	0
37	TRUE	TRUE	0	2	0
39	FALSE		0	0	
39	TRUE	FALSE	0	0	
39	TRUE	TRUE	0	0	
40	FALSE		0	0	
40	TRUE	FALSE	0	0	
40	TRUE	TRUE	0	0	
41	FALSE		0	0	
41	TRUE	FALSE	0	0	
41	TRUE	TRUE	0	0	
42	FALSE		0	1	0
42	TRUE	FALSE	0	1	0
42	TRUE	TRUE	1	1	1
43	FALSE		3	4	0.75
43	TRUE	FALSE	0	4	0
43	TRUE	TRUE	1	4	0.25
44	FALSE		3	3	1
44	TRUE	FALSE	0	3	0
44	TRUE	TRUE	0	3	0
45	FALSE		1	3	0.333333333333333
45	TRUE	FALSE	2	3	0.666666666666667
45	TRUE	TRUE	0	3	0
46	FALSE		1	2	0.5
46	TRUE	FALSE	0	2	0
46	TRUE	TRUE	1	2	0.5
47	FALSE		1	1	1
47	TRUE	FALSE	0	1	0
47	TRUE	TRUE	0	1	0
48	FALSE		7	7	1
48	TRUE	FALSE	0	7	0
48	TRUE	TRUE	0	7	0
49	FALSE		4	4	1
49	TRUE	FALSE	0	4	0
49	TRUE	TRUE	0	4	0
50	FALSE		1	1	1
50	TRUE	FALSE	0	1	0
50	TRUE	TRUE	0	1	0
89	FALSE		1	1	1
89	TRUE	FALSE	0	1	0
89	TRUE	TRUE	0	1	0
53	FALSE		4	4	1
53	TRUE	FALSE	0	4	0
53	TRUE	TRUE	0	4	0
315	FALSE		6	6	1
315	TRUE	FALSE	0	6	0
315	TRUE	TRUE	0	6	0
54	FALSE		1	1	1
54	TRUE	FALSE	0	1	0
54	TRUE	TRUE	0	1	0
55	FALSE		4	4	1
55	TRUE	FALSE	0	4	0
55	TRUE	TRUE	0	4	0
56	FALSE		0	0	
56	TRUE	FALSE	0	0	
56	TRUE	TRUE	0	0	
58	FALSE		0	0	
58	TRUE	FALSE	0	0	
58	TRUE	TRUE	0	0	
59	FALSE		5	5	1
59	TRUE	FALSE	0	5	0
59	TRUE	TRUE	0	5	0
60	FALSE		4	4	1
60	TRUE	FALSE	0	4	0
60	TRUE	TRUE	0	4	0
61	FALSE		8	8	1
61	TRUE	FALSE	0	8	0
61	TRUE	TRUE	0	8	0
62	FALSE		4	4	1
62	TRUE	FALSE	0	4	0
62	TRUE	TRUE	0	4	0
63	FALSE		3	3	1
63	TRUE	FALSE	0	3	0
63	TRUE	TRUE	0	3	0
289	FALSE		6	6	1
289	TRUE	FALSE	0	6	0
289	TRUE	TRUE	0	6	0
65	FALSE		1	1	1
65	TRUE	FALSE	0	1	0
65	TRUE	TRUE	0	1	0
66	FALSE		3	3	1
66	TRUE	FALSE	0	3	0
66	TRUE	TRUE	0	3	0
67	FALSE		10	10	1
67	TRUE	FALSE	0	10	0
67	TRUE	TRUE	0	10	0
129	FALSE		13	13	1
129	TRUE	FALSE	0	13	0
129	TRUE	TRUE	0	13	0
68	FALSE		6	6	1
68	TRUE	FALSE	0	6	0
68	TRUE	TRUE	0	6	0
69	FALSE		7	7	1
69	TRUE	FALSE	0	7	0
69	TRUE	TRUE	0	7	0
71	FALSE		14	14	1
71	TRUE	FALSE	0	14	0
71	TRUE	TRUE	0	14	0
72	FALSE		3	3	1
72	TRUE	FALSE	0	3	0
72	TRUE	TRUE	0	3	0
232	FALSE		4	4	1
232	TRUE	FALSE	0	4	0
232	TRUE	TRUE	0	4	0
74	FALSE		8	8	1
74	TRUE	FALSE	0	8	0
74	TRUE	TRUE	0	8	0
77	FALSE		1	1	1
77	TRUE	FALSE	0	1	0
77	TRUE	TRUE	0	1	0
78	FALSE		2	2	1
78	TRUE	FALSE	0	2	0
78	TRUE	TRUE	0	2	0
79	FALSE		0	0	
79	TRUE	FALSE	0	0	
79	TRUE	TRUE	0	0	
80	FALSE		0	0	
80	TRUE	FALSE	0	0	
80	TRUE	TRUE	0	0	
81	FALSE		1	1	1
81	TRUE	FALSE	0	1	0
81	TRUE	TRUE	0	1	0
82	FALSE		6	6	1
82	TRUE	FALSE	0	6	0
82	TRUE	TRUE	0	6	0
210	FALSE		6	7	0.857142857142857
210	TRUE	FALSE	0	7	0
210	TRUE	TRUE	1	7	0.142857142857143
84	FALSE		0	0	
84	TRUE	FALSE	0	0	
84	TRUE	TRUE	0	0	
116	FALSE		3	3	1
116	TRUE	FALSE	0	3	0
116	TRUE	TRUE	0	3	0
85	FALSE		5	5	1
85	TRUE	FALSE	0	5	0
85	TRUE	TRUE	0	5	0
87	FALSE		1	1	1
87	TRUE	FALSE	0	1	0
87	TRUE	TRUE	0	1	0
88	FALSE		1	1	1
88	TRUE	FALSE	0	1	0
88	TRUE	TRUE	0	1	0
90	FALSE		16	16	1
90	TRUE	FALSE	0	16	0
90	TRUE	TRUE	0	16	0
91	FALSE		1	1	1
91	TRUE	FALSE	0	1	0
91	TRUE	TRUE	0	1	0
92	FALSE		3	3	1
92	TRUE	FALSE	0	3	0
92	TRUE	TRUE	0	3	0
93	FALSE		0	0	
93	TRUE	FALSE	0	0	
93	TRUE	TRUE	0	0	
94	FALSE		0	0	
94	TRUE	FALSE	0	0	
94	TRUE	TRUE	0	0	
95	FALSE		3	3	1
95	TRUE	FALSE	0	3	0
95	TRUE	TRUE	0	3	0
96	FALSE		4	4	1
96	TRUE	FALSE	0	4	0
96	TRUE	TRUE	0	4	0
97	FALSE		30	30	1
97	TRUE	FALSE	0	30	0
97	TRUE	TRUE	0	30	0
98	FALSE		9	9	1
98	TRUE	FALSE	0	9	0
98	TRUE	TRUE	0	9	0
99	FALSE		1	1	1
99	TRUE	FALSE	0	1	0
99	TRUE	TRUE	0	1	0
100	FALSE		6	6	1
100	TRUE	FALSE	0	6	0
100	TRUE	TRUE	0	6	0
140	FALSE		6	6	1
140	TRUE	FALSE	0	6	0
140	TRUE	TRUE	0	6	0
240	FALSE		6	6	1
240	TRUE	FALSE	0	6	0
240	TRUE	TRUE	0	6	0
101	FALSE		4	4	1
101	TRUE	FALSE	0	4	0
101	TRUE	TRUE	0	4	0
102	FALSE		4	4	1
102	TRUE	FALSE	0	4	0
102	TRUE	TRUE	0	4	0
103	FALSE		1	1	1
103	TRUE	FALSE	0	1	0
103	TRUE	TRUE	0	1	0
104	FALSE		0	0	
104	TRUE	FALSE	0	0	
104	TRUE	TRUE	0	0	
105	FALSE		15	15	1
105	TRUE	FALSE	0	15	0
105	TRUE	TRUE	0	15	0
106	FALSE		4	4	1
106	TRUE	FALSE	0	4	0
106	TRUE	TRUE	0	4	0
298	FALSE		9	10	0.9
298	TRUE	FALSE	0	10	0
298	TRUE	TRUE	1	10	0.1
108	FALSE		5	5	1
108	TRUE	FALSE	0	5	0
108	TRUE	TRUE	0	5	0
109	FALSE		8	8	1
109	TRUE	FALSE	0	8	0
109	TRUE	TRUE	0	8	0
113	FALSE		2	2	1
113	TRUE	FALSE	0	2	0
113	TRUE	TRUE	0	2	0
114	FALSE		3	3	1
114	TRUE	FALSE	0	3	0
114	TRUE	TRUE	0	3	0
115	FALSE		1	1	1
115	TRUE	FALSE	0	1	0
115	TRUE	TRUE	0	1	0
147	FALSE		0	0	
147	TRUE	FALSE	0	0	
147	TRUE	TRUE	0	0	
117	FALSE		7	7	1
117	TRUE	FALSE	0	7	0
117	TRUE	TRUE	0	7	0
119	FALSE		11	11	1
119	TRUE	FALSE	0	11	0
119	TRUE	TRUE	0	11	0
120	FALSE		19	19	1
120	TRUE	FALSE	0	19	0
120	TRUE	TRUE	0	19	0
121	FALSE		7	7	1
121	TRUE	FALSE	0	7	0
121	TRUE	TRUE	0	7	0
124	FALSE		19	19	1
124	TRUE	FALSE	0	19	0
124	TRUE	TRUE	0	19	0
125	FALSE		12	12	1
125	TRUE	FALSE	0	12	0
125	TRUE	TRUE	0	12	0
126	FALSE		6	6	1
126	TRUE	FALSE	0	6	0
126	TRUE	TRUE	0	6	0
127	FALSE		5	5	1
127	TRUE	FALSE	0	5	0
127	TRUE	TRUE	0	5	0
130	FALSE		2	2	1
130	TRUE	FALSE	0	2	0
130	TRUE	TRUE	0	2	0
131	FALSE		3	3	1
131	TRUE	FALSE	0	3	0
131	TRUE	TRUE	0	3	0
132	FALSE		0	0	
132	TRUE	FALSE	0	0	
132	TRUE	TRUE	0	0	
133	FALSE		1	1	1
133	TRUE	FALSE	0	1	0
133	TRUE	TRUE	0	1	0
134	FALSE		3	3	1
134	TRUE	FALSE	0	3	0
134	TRUE	TRUE	0	3	0
135	FALSE		4	4	1
135	TRUE	FALSE	0	4	0
135	TRUE	TRUE	0	4	0
136	FALSE		9	9	1
136	TRUE	FALSE	0	9	0
136	TRUE	TRUE	0	9	0
137	FALSE		5	5	1
137	TRUE	FALSE	0	5	0
137	TRUE	TRUE	0	5	0
138	FALSE		10	10	1
138	TRUE	FALSE	0	10	0
138	TRUE	TRUE	0	10	0
141	FALSE		3	3	1
141	TRUE	FALSE	0	3	0
141	TRUE	TRUE	0	3	0
142	FALSE		3	3	1
142	TRUE	FALSE	0	3	0
142	TRUE	TRUE	0	3	0
144	FALSE		4	4	1
144	TRUE	FALSE	0	4	0
144	TRUE	TRUE	0	4	0
297	FALSE		18	18	1
297	TRUE	FALSE	0	18	0
297	TRUE	TRUE	0	18	0
145	FALSE		3	3	1
145	TRUE	FALSE	0	3	0
145	TRUE	TRUE	0	3	0
149	FALSE		6	6	1
149	TRUE	FALSE	0	6	0
149	TRUE	TRUE	0	6	0
151	FALSE		5	5	1
151	TRUE	FALSE	0	5	0
151	TRUE	TRUE	0	5	0
152	FALSE		20	20	1
152	TRUE	FALSE	0	20	0
152	TRUE	TRUE	0	20	0
153	FALSE		15	15	1
153	TRUE	FALSE	0	15	0
153	TRUE	TRUE	0	15	0
154	FALSE		11	11	1
154	TRUE	FALSE	0	11	0
154	TRUE	TRUE	0	11	0
155	FALSE		5	5	1
155	TRUE	FALSE	0	5	0
155	TRUE	TRUE	0	5	0
156	FALSE		2	2	1
156	TRUE	FALSE	0	2	0
156	TRUE	TRUE	0	2	0
157	FALSE		16	17	0.941176470588235
157	TRUE	FALSE	0	17	0
157	TRUE	TRUE	1	17	0.0588235294117647
159	FALSE		9	9	1
159	TRUE	FALSE	0	9	0
159	TRUE	TRUE	0	9	0
160	FALSE		0	0	
160	TRUE	FALSE	0	0	
160	TRUE	TRUE	0	0	
161	FALSE		1	1	1
161	TRUE	FALSE	0	1	0
161	TRUE	TRUE	0	1	0
164	FALSE		6	6	1
164	TRUE	FALSE	0	6	0
164	TRUE	TRUE	0	6	0
205	FALSE		1	1	1
205	TRUE	FALSE	0	1	0
205	TRUE	TRUE	0	1	0
165	FALSE		13	13	1
165	TRUE	FALSE	0	13	0
165	TRUE	TRUE	0	13	0
166	FALSE		3	3	1
166	TRUE	FALSE	0	3	0
166	TRUE	TRUE	0	3	0
199	FALSE		2	2	1
199	TRUE	FALSE	0	2	0
199	TRUE	TRUE	0	2	0
167	FALSE		16	16	1
167	TRUE	FALSE	0	16	0
167	TRUE	TRUE	0	16	0
301	FALSE		8	8	1
301	TRUE	FALSE	0	8	0
301	TRUE	TRUE	0	8	0
168	FALSE		2	2	1
168	TRUE	FALSE	0	2	0
168	TRUE	TRUE	0	2	0
169	FALSE		1	1	1
169	TRUE	FALSE	0	1	0
169	TRUE	TRUE	0	1	0
170	FALSE		1	1	1
170	TRUE	FALSE	0	1	0
170	TRUE	TRUE	0	1	0
247	FALSE		1	1	1
247	TRUE	FALSE	0	1	0
247	TRUE	TRUE	0	1	0
171	FALSE		7	7	1
171	TRUE	FALSE	0	7	0
171	TRUE	TRUE	0	7	0
172	FALSE		18	19	0.947368421052632
172	TRUE	FALSE	1	19	0.0526315789473684
172	TRUE	TRUE	0	19	0
173	FALSE		11	15	0.733333333333333
173	TRUE	FALSE	2	15	0.133333333333333
173	TRUE	TRUE	2	15	0.133333333333333
176	FALSE		18	24	0.75
176	TRUE	FALSE	5	24	0.208333333333333
176	TRUE	TRUE	1	24	0.0416666666666667
177	FALSE		4	4	1
177	TRUE	FALSE	0	4	0
177	TRUE	TRUE	0	4	0
178	FALSE		14	17	0.823529411764706
178	TRUE	FALSE	2	17	0.117647058823529
178	TRUE	TRUE	1	17	0.0588235294117647
179	FALSE		22	22	1
179	TRUE	FALSE	0	22	0
179	TRUE	TRUE	0	22	0
180	FALSE		2	2	1
180	TRUE	FALSE	0	2	0
180	TRUE	TRUE	0	2	0
181	FALSE		7	7	1
181	TRUE	FALSE	0	7	0
181	TRUE	TRUE	0	7	0
183	FALSE		17	17	1
183	TRUE	FALSE	0	17	0
183	TRUE	TRUE	0	17	0
185	FALSE		3	3	1
185	TRUE	FALSE	0	3	0
185	TRUE	TRUE	0	3	0
186	FALSE		1	1	1
186	TRUE	FALSE	0	1	0
186	TRUE	TRUE	0	1	0
187	FALSE		1	1	1
187	TRUE	FALSE	0	1	0
187	TRUE	TRUE	0	1	0
188	FALSE		1	1	1
188	TRUE	FALSE	0	1	0
188	TRUE	TRUE	0	1	0
211	FALSE		3	3	1
211	TRUE	FALSE	0	3	0
211	TRUE	TRUE	0	3	0
190	FALSE		12	12	1
190	TRUE	FALSE	0	12	0
190	TRUE	TRUE	0	12	0
191	FALSE		1	1	1
191	TRUE	FALSE	0	1	0
191	TRUE	TRUE	0	1	0
192	FALSE		5	5	1
192	TRUE	FALSE	0	5	0
192	TRUE	TRUE	0	5	0
194	FALSE		2	2	1
194	TRUE	FALSE	0	2	0
194	TRUE	TRUE	0	2	0
196	FALSE		3	3	1
196	TRUE	FALSE	0	3	0
196	TRUE	TRUE	0	3	0
197	FALSE		5	7	0.714285714285714
197	TRUE	FALSE	0	7	0
197	TRUE	TRUE	2	7	0.285714285714286
312	FALSE		11	13	0.846153846153846
312	TRUE	FALSE	1	13	0.0769230769230769
312	TRUE	TRUE	1	13	0.0769230769230769
198	FALSE		4	4	1
198	TRUE	FALSE	0	4	0
198	TRUE	TRUE	0	4	0
200	FALSE		12	12	1
200	TRUE	FALSE	0	12	0
200	TRUE	TRUE	0	12	0
201	FALSE		4	6	0.666666666666667
201	TRUE	FALSE	1	6	0.166666666666667
201	TRUE	TRUE	1	6	0.166666666666667
202	FALSE		17	17	1
202	TRUE	FALSE	0	17	0
202	TRUE	TRUE	0	17	0
203	FALSE		17	17	1
203	TRUE	FALSE	0	17	0
203	TRUE	TRUE	0	17	0
204	FALSE		2	2	1
204	TRUE	FALSE	0	2	0
204	TRUE	TRUE	0	2	0
206	FALSE		4	4	1
206	TRUE	FALSE	0	4	0
206	TRUE	TRUE	0	4	0
207	FALSE		2	2	1
207	TRUE	FALSE	0	2	0
207	TRUE	TRUE	0	2	0
208	FALSE		9	9	1
208	TRUE	FALSE	0	9	0
208	TRUE	TRUE	0	9	0
209	FALSE		8	8	1
209	TRUE	FALSE	0	8	0
209	TRUE	TRUE	0	8	0
212	FALSE		2	2	1
212	TRUE	FALSE	0	2	0
212	TRUE	TRUE	0	2	0
213	FALSE		6	6	1
213	TRUE	FALSE	0	6	0
213	TRUE	TRUE	0	6	0
214	FALSE		0	0	
214	TRUE	FALSE	0	0	
214	TRUE	TRUE	0	0	
215	FALSE		3	3	1
215	TRUE	FALSE	0	3	0
215	TRUE	TRUE	0	3	0
216	FALSE		3	3	1
216	TRUE	FALSE	0	3	0
216	TRUE	TRUE	0	3	0
217	FALSE		5	5	1
217	TRUE	FALSE	0	5	0
217	TRUE	TRUE	0	5	0
218	FALSE		1	1	1
218	TRUE	FALSE	0	1	0
218	TRUE	TRUE	0	1	0
219	FALSE		2	2	1
219	TRUE	FALSE	0	2	0
219	TRUE	TRUE	0	2	0
220	FALSE		2	2	1
220	TRUE	FALSE	0	2	0
220	TRUE	TRUE	0	2	0
222	FALSE		4	4	1
222	TRUE	FALSE	0	4	0
222	TRUE	TRUE	0	4	0
223	FALSE		0	0	
223	TRUE	FALSE	0	0	
223	TRUE	TRUE	0	0	
224	FALSE		0	0	
224	TRUE	FALSE	0	0	
224	TRUE	TRUE	0	0	
225	FALSE		1	1	1
225	TRUE	FALSE	0	1	0
225	TRUE	TRUE	0	1	0
227	FALSE		4	4	1
227	TRUE	FALSE	0	4	0
227	TRUE	TRUE	0	4	0
228	FALSE		5	5	1
228	TRUE	FALSE	0	5	0
228	TRUE	TRUE	0	5	0
229	FALSE		6	6	1
229	TRUE	FALSE	0	6	0
229	TRUE	TRUE	0	6	0
230	FALSE		17	17	1
230	TRUE	FALSE	0	17	0
230	TRUE	TRUE	0	17	0
231	FALSE		4	4	1
231	TRUE	FALSE	0	4	0
231	TRUE	TRUE	0	4	0
233	FALSE		2	2	1
233	TRUE	FALSE	0	2	0
233	TRUE	TRUE	0	2	0
234	FALSE		6	6	1
234	TRUE	FALSE	0	6	0
234	TRUE	TRUE	0	6	0
235	FALSE		2	2	1
235	TRUE	FALSE	0	2	0
235	TRUE	TRUE	0	2	0
236	FALSE		5	5	1
236	TRUE	FALSE	0	5	0
236	TRUE	TRUE	0	5	0
238	FALSE		3	3	1
238	TRUE	FALSE	0	3	0
238	TRUE	TRUE	0	3	0
239	FALSE		2	2	1
239	TRUE	FALSE	0	2	0
239	TRUE	TRUE	0	2	0
241	FALSE		12	12	1
241	TRUE	FALSE	0	12	0
241	TRUE	TRUE	0	12	0
242	FALSE		9	9	1
242	TRUE	FALSE	0	9	0
242	TRUE	TRUE	0	9	0
243	FALSE		5	5	1
243	TRUE	FALSE	0	5	0
243	TRUE	TRUE	0	5	0
244	FALSE		2	2	1
244	TRUE	FALSE	0	2	0
244	TRUE	TRUE	0	2	0
245	FALSE		8	8	1
245	TRUE	FALSE	0	8	0
245	TRUE	TRUE	0	8	0
246	FALSE		15	15	1
246	TRUE	FALSE	0	15	0
246	TRUE	TRUE	0	15	0
248	FALSE		1	1	1
248	TRUE	FALSE	0	1	0
248	TRUE	TRUE	0	1	0
250	FALSE		4	4	1
250	TRUE	FALSE	0	4	0
250	TRUE	TRUE	0	4	0
252	FALSE		1	1	1
252	TRUE	FALSE	0	1	0
252	TRUE	TRUE	0	1	0
253	FALSE		1	1	1
253	TRUE	FALSE	0	1	0
253	TRUE	TRUE	0	1	0
313	FALSE		4	4	1
313	TRUE	FALSE	0	4	0
313	TRUE	TRUE	0	4	0
256	FALSE		9	9	1
256	TRUE	FALSE	0	9	0
256	TRUE	TRUE	0	9	0
258	FALSE		9	9	1
258	TRUE	FALSE	0	9	0
258	TRUE	TRUE	0	9	0
259	FALSE		9	9	1
259	TRUE	FALSE	0	9	0
259	TRUE	TRUE	0	9	0
260	FALSE		7	7	1
260	TRUE	FALSE	0	7	0
260	TRUE	TRUE	0	7	0
261	FALSE		12	12	1
261	TRUE	FALSE	0	12	0
261	TRUE	TRUE	0	12	0
262	FALSE		51	51	1
262	TRUE	FALSE	0	51	0
262	TRUE	TRUE	0	51	0
263	FALSE		11	11	1
263	TRUE	FALSE	0	11	0
263	TRUE	TRUE	0	11	0
264	FALSE		1	1	1
264	TRUE	FALSE	0	1	0
264	TRUE	TRUE	0	1	0
265	FALSE		4	4	1
265	TRUE	FALSE	0	4	0
265	TRUE	TRUE	0	4	0
267	FALSE		9	10	0.9
267	TRUE	FALSE	0	10	0
267	TRUE	TRUE	1	10	0.1
268	FALSE		5	5	1
268	TRUE	FALSE	0	5	0
268	TRUE	TRUE	0	5	0
269	FALSE		8	8	1
269	TRUE	FALSE	0	8	0
269	TRUE	TRUE	0	8	0
270	FALSE		9	9	1
270	TRUE	FALSE	0	9	0
270	TRUE	TRUE	0	9	0
272	FALSE		12	12	1
272	TRUE	FALSE	0	12	0
272	TRUE	TRUE	0	12	0
273	FALSE		8	8	1
273	TRUE	FALSE	0	8	0
273	TRUE	TRUE	0	8	0
274	FALSE		5	5	1
274	TRUE	FALSE	0	5	0
274	TRUE	TRUE	0	5	0
275	FALSE		6	6	1
275	TRUE	FALSE	0	6	0
275	TRUE	TRUE	0	6	0
277	FALSE		29	29	1
277	TRUE	FALSE	0	29	0
277	TRUE	TRUE	0	29	0
278	FALSE		4	4	1
278	TRUE	FALSE	0	4	0
278	TRUE	TRUE	0	4	0
279	FALSE		18	18	1
279	TRUE	FALSE	0	18	0
279	TRUE	TRUE	0	18	0
284	FALSE		0	0	
284	TRUE	FALSE	0	0	
284	TRUE	TRUE	0	0	
286	FALSE		11	11	1
286	TRUE	FALSE	0	11	0
286	TRUE	TRUE	0	11	0
290	FALSE		12	12	1
290	TRUE	FALSE	0	12	0
290	TRUE	TRUE	0	12	0
293	FALSE		10	10	1
293	TRUE	FALSE	0	10	0
293	TRUE	TRUE	0	10	0
294	FALSE		6	6	1
294	TRUE	FALSE	0	6	0
294	TRUE	TRUE	0	6	0
295	FALSE		4	4	1
295	TRUE	FALSE	0	4	0
295	TRUE	TRUE	0	4	0
299	FALSE		10	10	1
299	TRUE	FALSE	0	10	0
299	TRUE	TRUE	0	10	0
302	FALSE		11	11	1
302	TRUE	FALSE	0	11	0
302	TRUE	TRUE	0	11	0
303	FALSE		6	6	1
303	TRUE	FALSE	0	6	0
303	TRUE	TRUE	0	6	0
305	FALSE		5	5	1
305	TRUE	FALSE	0	5	0
305	TRUE	TRUE	0	5	0
306	FALSE		3	3	1
306	TRUE	FALSE	0	3	0
306	TRUE	TRUE	0	3	0
307	FALSE		2	2	1
307	TRUE	FALSE	0	2	0
307	TRUE	TRUE	0	2	0
308	FALSE		8	8	1
308	TRUE	FALSE	0	8	0
308	TRUE	TRUE	0	8	0
309	FALSE		3	3	1
309	TRUE	FALSE	0	3	0
309	TRUE	TRUE	0	3	0
310	FALSE		10	10	1
310	TRUE	FALSE	0	10	0
310	TRUE	TRUE	0	10	0
311	FALSE		3	4	0.75
311	TRUE	FALSE	0	4	0
311	TRUE	TRUE	1	4	0.25
316	FALSE		2	2	1
316	TRUE	FALSE	0	2	0
316	TRUE	TRUE	0	2	0
