chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR	peak_ID
chr10	5293665	5294166	501	*	6.01	6.56	4.78	1.78	6.67e-10	2.07e-07	351
chr13	23863022	23863523	501	*	5.33	3.93	6.16	-2.23	6.92e-10	2.15e-07	352
chr13	23859297	23859798	501	*	4.71	3.25	5.56	-2.31	7.85e-10	2.38e-07	360
chr2	15642215	15642716	501	*	4.41	5.09	2.36	2.73	9.12e-10	2.71e-07	368
chr9	120951916	120952417	501	*	4.51	5.17	2.62	2.56	1.02e-09	2.96e-07	377
chr7	98170131	98170632	501	*	5.21	4.09	5.95	-1.86	1.08e-09	3.09e-07	381
chr1	150825987	150826958	971	*	5.05	3.91	5.8	-1.89	1.38e-09	3.84e-07	392
chr10	49610376	49610877	501	*	4.64	5.36	2.19	3.17	1.79e-09	4.82e-07	406
chr17	57842035	57842536	501	*	4.5	2.86	5.39	-2.52	1.85e-09	4.9e-07	412
chr5	14699633	14700134	501	*	4.11	1.76	5.11	-3.35	2.24e-09	5.8e-07	422
chr3	62644372	62644873	501	*	4.83	5.45	3.19	2.26	2.3e-09	5.93e-07	423
chr2	30740482	30740983	501	*	3.83	4.61	0.68	3.92	2.3e-09	5.94e-07	424
chr1	155940646	155941147	501	*	5.42	5.98	4.12	1.86	2.33e-09	5.97e-07	426
chr4	173501205	173501706	501	*	4.31	5	2.18	2.83	2.43e-09	6.18e-07	430
chr12	93008773	93009274	501	*	5.27	3.71	6.14	-2.43	2.45e-09	6.21e-07	431
chr19	2591338	2591839	501	*	4.79	3.65	5.55	-1.9	2.65e-09	6.6e-07	439
chr1	19755061	19755562	501	*	6.51	5.4	7.25	-1.85	2.76e-09	6.85e-07	441
chr10	42846025	42846526	501	*	3.53	-0.24	4.64	-4.88	2.77e-09	6.85e-07	442
chr6	42207890	42208391	501	*	3.44	0.29	4.52	-4.23	2.9e-09	7.12e-07	445
chr6	138423971	138424940	969	*	5.31	5.92	3.77	2.15	2.95e-09	7.21e-07	446
chr18	61549714	61550215	501	*	5.72	6.21	4.67	1.54	3.05e-09	7.38e-07	451
chr1	8239787	8240288	501	*	5.71	6.2	4.71	1.5	3.1e-09	7.47e-07	453
chr5	14715164	14715665	501	*	5.36	4.23	6.1	-1.87	3.48e-09	8.3e-07	458
chr20	21583604	21584105	501	*	3.85	4.62	0.71	3.91	3.5e-09	8.33e-07	459
chr2	26598568	26599069	501	*	5.66	6.21	4.41	1.8	3.72e-09	8.78e-07	463
chr17	77286090	77286591	501	*	7.59	7.93	7.01	0.93	3.77e-09	8.88e-07	464
chr10	30534631	30535132	501	*	4.74	5.36	3.13	2.22	4.08e-09	9.52e-07	468
chr16	13766719	13767220	501	*	3.61	-0.69	4.73	-5.42	4.41e-09	1.02e-06	474
chr12	93537761	93538262	501	*	4.6	3.27	5.41	-2.14	4.49e-09	1.03e-06	476
chr8	1780475	1780976	501	*	5.24	3.71	6.1	-2.39	4.76e-09	1.08e-06	482
chr5	6418337	6419335	998	*	5.71	6.27	4.37	1.9	4.9e-09	1.1e-06	485
chr7	107864585	107865086	501	*	4.45	3.02	5.29	-2.28	5.02e-09	1.12e-06	488
chr19	38864565	38865066	501	*	5.63	6.17	4.47	1.7	5.15e-09	1.15e-06	489
chr16	11152511	11153012	501	*	5.16	5.79	3.5	2.29	5.75e-09	1.27e-06	491
chr12	93549142	93549643	501	*	5.14	4.05	5.88	-1.83	5.83e-09	1.29e-06	495
chr13	23886197	23886698	501	*	4.07	1.34	5.12	-3.77	5.9e-09	1.29e-06	498
chr18	57581294	57581795	501	*	5.06	4.06	5.76	-1.7	5.91e-09	1.29e-06	499
chr15	73573321	73573822	501	*	4.82	5.42	3.3	2.12	6.27e-09	1.36e-06	503
chr8	57538642	57539143	501	*	4.01	1.72	5	-3.29	6.95e-09	1.49e-06	509
chr14	37431810	37432311	501	*	5.57	4.62	6.25	-1.63	7.09e-09	1.52e-06	510
chr7	154840036	154840537	501	*	3.74	4.56	-0.54	5.09	7.18e-09	1.53e-06	513
chr10	128318417	128318918	501	*	4.06	4.76	1.86	2.9	7.43e-09	1.58e-06	515
chr7	26503678	26504179	501	*	4.23	4.95	1.82	3.14	7.53e-09	1.59e-06	517
chr12	38905764	38906265	501	*	7.19	7.65	6.27	1.38	8.01e-09	1.67e-06	523
chr12	124453427	124453928	501	*	6.57	7.1	5.43	1.66	8.81e-09	1.83e-06	526
chr7	116951810	116952311	501	*	4.94	3.23	5.84	-2.61	8.87e-09	1.84e-06	527
chr18	69400335	69400836	501	*	5.79	6.31	4.63	1.68	9.07e-09	1.88e-06	528
chr16	69281812	69282313	501	*	4.76	3.69	5.48	-1.79	9.25e-09	1.91e-06	530
chr7	154839433	154839934	501	*	3.81	4.58	0.78	3.79	9.33e-09	1.91e-06	533
chr1	24649120	24649621	501	*	4.36	2.8	5.22	-2.42	9.47e-09	1.94e-06	534
chr10	71692587	71693088	501	*	4.84	5.41	3.48	1.93	9.72e-09	1.98e-06	535
chr18	57575417	57576396	979	*	5.37	4.4	6.06	-1.66	9.99e-09	2.03e-06	537
chr2	9338733	9339234	501	*	6.08	6.58	5.02	1.56	1.01e-08	2.05e-06	538
chr5	14686660	14687161	501	*	5.33	4.39	6.01	-1.62	1.04e-08	2.1e-06	540
chr11	77034314	77034815	501	*	5.29	5.83	4.09	1.74	1.06e-08	2.13e-06	543
chr18	77676930	77677431	501	*	5.03	5.82	1.49	4.33	1.07e-08	2.16e-06	544
chr17	64538721	64539222	501	*	5.39	4.45	6.07	-1.62	1.13e-08	2.24e-06	550
chr10	30537353	30537854	501	*	5.24	5.78	4.03	1.75	1.19e-08	2.35e-06	554
chr22	45864514	45865015	501	*	5.02	5.56	3.83	1.73	1.22e-08	2.4e-06	555
chr13	23857221	23857722	501	*	3.65	0.63	4.72	-4.09	1.24e-08	2.42e-06	557
chr11	69297755	69298256	501	*	6.53	6.98	5.64	1.34	1.25e-08	2.44e-06	558
chr4	79833746	79834247	501	*	5.01	3.78	5.79	-2.01	1.25e-08	2.44e-06	559
chr8	41713035	41713536	501	*	5.31	5.87	4.04	1.83	1.36e-08	2.62e-06	566
chr19	46737694	46738195	501	*	5.58	6.12	4.34	1.78	1.39e-08	2.68e-06	568
chr3	11225484	11225985	501	*	5.28	5.85	3.92	1.93	1.48e-08	2.83e-06	571
chr1	211942055	211942556	501	*	5.15	5.81	3.33	2.48	1.57e-08	2.97e-06	578
chr2	239161587	239162088	501	*	4.73	5.43	2.56	2.88	1.61e-08	3.02e-06	582
chr12	93547884	93548385	501	*	4.47	2.85	5.35	-2.5	1.62e-08	3.04e-06	583
chr8	52271512	52272013	501	*	3.48	0.52	4.54	-4.02	1.69e-08	3.15e-06	587
chr10	35782473	35782974	501	*	4.84	5.43	3.43	2	1.92e-08	3.51e-06	596
chr12	129549847	129550348	501	*	4.81	3.72	5.55	-1.83	2.09e-08	3.76e-06	606
chr11	3209549	3210050	501	*	3.97	4.72	1.15	3.57	2.28e-08	4.06e-06	615
chr8	52118592	52119093	501	*	4.46	2.78	5.36	-2.58	2.36e-08	4.16e-06	620
chr10	42822970	42823471	501	*	3.82	-0.21	4.94	-5.15	2.43e-08	4.25e-06	624
chr14	37429768	37430269	501	*	5.22	4.01	5.99	-1.98	2.49e-08	4.34e-06	627
chr7	44101282	44101783	501	*	5.06	5.6	3.83	1.77	2.57e-08	4.45e-06	631
chr7	104228395	104228896	501	*	4.01	2.24	4.92	-2.69	2.6e-08	4.48e-06	634
chr18	77677442	77677943	501	*	4.37	5.11	1.81	3.29	2.65e-08	4.55e-06	637
chr8	52111821	52112322	501	*	4.06	2.09	5	-2.91	2.74e-08	4.68e-06	640
chr13	23848314	23848815	501	*	5.57	4.29	6.36	-2.07	2.89e-08	4.93e-06	642
chr12	64882684	64883185	501	*	5.53	4.64	6.19	-1.55	3.13e-08	5.24e-06	651
chr17	63578512	63579013	501	*	4.32	3.01	5.12	-2.11	3.28e-08	5.45e-06	657
chr10	35778613	35779114	501	*	4.92	5.7	1.58	4.12	3.31e-08	5.5e-06	658
chr2	174336339	174336840	501	*	6.12	6.68	4.79	1.89	3.33e-08	5.53e-06	659
chr7	154841247	154841748	501	*	5.24	5.86	3.62	2.24	3.76e-08	6.12e-06	671
chr10	42827225	42827726	501	*	4.25	1.89	5.25	-3.36	3.93e-08	6.35e-06	676
chr21	44533659	44534160	501	*	4.34	5.06	1.89	3.18	4.22e-08	6.76e-06	682
chr11	119617527	119618028	501	*	4.8	5.42	3.2	2.22	4.23e-08	6.76e-06	683
chr14	37569990	37570491	501	*	6.26	5.56	6.83	-1.28	4.29e-08	6.85e-06	685
chr5	173314260	173314761	501	*	5.07	5.63	3.77	1.86	4.44e-08	7.04e-06	689
chr10	92096583	92097084	501	*	4.67	3.02	5.56	-2.54	4.54e-08	7.17e-06	691
chr7	12605050	12605551	501	*	4.59	3.25	5.4	-2.15	4.55e-08	7.18e-06	692
chr14	73806734	73807629	895	*	4.92	5.53	3.32	2.21	4.93e-08	7.71e-06	699
chr6	41654377	41654878	501	*	5.46	6	4.24	1.76	5.08e-08	7.91e-06	701
chr18	69401159	69401660	501	*	6.33	6.88	5.11	1.77	5.12e-08	7.94e-06	704
chr1	239392256	239392757	501	*	3.68	4.45	0.43	4.02	5.19e-08	8.03e-06	706
chr22	35839824	35840325	501	*	6.37	5.68	6.93	-1.24	5.2e-08	8.03e-06	707
chr1	15577918	15578419	501	*	5.08	5.61	3.87	1.74	5.56e-08	8.52e-06	713
chr1	155176883	155177384	501	*	6.04	6.54	4.99	1.55	5.57e-08	8.52e-06	714
chr10	61464195	61464696	501	*	5.68	6.21	4.5	1.71	5.72e-08	8.72e-06	716
chr4	71544831	71545332	501	*	3.92	1.78	4.89	-3.11	5.75e-08	8.76e-06	717
chr5	174720939	174721440	501	*	4.89	5.47	3.48	1.99	6.1e-08	9.25e-06	721
chr8	28308228	28308729	501	*	4.69	3.56	5.44	-1.88	6.14e-08	9.28e-06	722
chr13	112873320	112873821	501	*	4.75	5.4	2.95	2.45	6.23e-08	9.4e-06	724
chr6	132247000	132247501	501	*	4.79	5.36	3.44	1.92	6.57e-08	9.88e-06	727
chr1	113217877	113218378	501	*	4.41	3.2	5.18	-1.99	6.71e-08	1.01e-05	729
chr9	35269233	35269734	501	*	5.46	4.6	6.11	-1.51	6.72e-08	1.01e-05	730
chr18	51115732	51116233	501	*	3.95	1.98	4.9	-2.92	7.12e-08	1.06e-05	736
chr12	93374664	93375165	501	*	4.66	3.58	5.38	-1.8	7.51e-08	1.11e-05	742
chr22	47292741	47293242	501	*	5.66	6.13	4.68	1.46	7.93e-08	1.16e-05	746
chr7	155590580	155591535	955	*	5.13	5.76	3.5	2.26	8.09e-08	1.18e-05	747
chr13	36259665	36260166	501	*	4.77	5.31	3.55	1.76	8.11e-08	1.18e-05	749
chr11	118395898	118396399	501	*	5.21	4.33	5.86	-1.52	8.45e-08	1.23e-05	753
chr21	38493524	38494025	501	*	5.12	5.76	3.38	2.38	8.9e-08	1.29e-05	756
chr14	37438105	37438606	501	*	5.83	5.03	6.45	-1.43	9.03e-08	1.3e-05	758
chr6	105388057	105388558	501	*	4.25	4.87	2.63	2.25	9.33e-08	1.34e-05	761
chr2	241854538	241855039	501	*	6.3	6.77	5.33	1.44	9.49e-08	1.36e-05	763
chr14	73805890	73806391	501	*	4.01	4.72	1.73	3	9.56e-08	1.36e-05	766
chr1	179840255	179840756	501	*	4.76	5.32	3.44	1.88	9.83e-08	1.4e-05	769
chr11	3208630	3209131	501	*	4.87	5.64	1.72	3.92	9.88e-08	1.4e-05	771
chr14	26394935	26395436	501	*	4.36	5	2.61	2.39	1e-07	1.42e-05	773
chr13	23869315	23869816	501	*	4.06	1.72	5.07	-3.35	1.07e-07	1.5e-05	781
chr1	2402495	2402996	501	*	4.33	5.04	2.03	3.01	1.11e-07	1.54e-05	785
chr6	7058232	7058733	501	*	5.7	4.82	6.34	-1.52	1.12e-07	1.55e-05	787
chr1	162381769	162382270	501	*	5.3	4.29	6	-1.72	1.15e-07	1.59e-05	792
chr13	95145861	95146362	501	*	4.88	5.44	3.54	1.91	1.16e-07	1.59e-05	794
chr3	193928777	193929278	501	*	5.66	6.2	4.49	1.7	1.21e-07	1.66e-05	799
chr7	105319448	105319949	501	*	3.8	1.56	4.79	-3.24	1.23e-07	1.67e-05	801
chr18	32277906	32278407	501	*	4.61	5.17	3.29	1.88	1.23e-07	1.67e-05	802
chr6	26118508	26119009	501	*	4.59	3.03	5.46	-2.43	1.25e-07	1.7e-05	805
chr2	230170161	230170662	501	*	5.46	5.99	4.32	1.67	1.3e-07	1.75e-05	807
chr6	140083712	140084213	501	*	3.71	1.13	4.74	-3.61	1.32e-07	1.78e-05	809
chr5	14688134	14688635	501	*	4.39	3.14	5.17	-2.04	1.36e-07	1.84e-05	812
chr6	39169609	39170110	501	*	5.26	5.73	4.29	1.45	1.37e-07	1.84e-05	813
chr5	174319492	174319993	501	*	3.53	4.3	0.58	3.72	1.37e-07	1.84e-05	814
chr2	26806144	26806645	501	*	4.6	5.19	3.18	2.01	1.38e-07	1.85e-05	815
chr7	103571756	103572257	501	*	3.81	1.87	4.76	-2.88	1.41e-07	1.88e-05	817
chr5	6773315	6773816	501	*	3.95	4.74	0.32	4.43	1.43e-07	1.91e-05	820
chr9	72042954	72043455	501	*	4.71	5.33	3.16	2.17	1.46e-07	1.94e-05	821
chr22	45996669	45997170	501	*	6.53	6.96	5.7	1.26	1.5e-07	1.98e-05	827
chr12	93011211	93011712	501	*	5.18	3.97	5.95	-1.98	1.51e-07	2e-05	828
chr18	77675429	77675930	501	*	3.49	4.29	-0.25	4.54	1.53e-07	2.01e-05	832
chr4	71549796	71550297	501	*	4.55	3.22	5.36	-2.14	1.56e-07	2.04e-05	834
chr2	96961441	96961942	501	*	4.46	5.04	3.09	1.95	1.58e-07	2.07e-05	837
chr2	230172069	230172570	501	*	4.25	4.91	2.39	2.52	1.65e-07	2.15e-05	841
chr2	237603613	237604114	501	*	5.91	6.41	4.86	1.56	1.66e-07	2.15e-05	842
chr12	93524396	93524897	501	*	6.23	5.33	6.89	-1.56	1.75e-07	2.25e-05	850
chr15	90487198	90487699	501	*	4.59	3.5	5.32	-1.82	1.84e-07	2.34e-05	859
chr3	120177231	120178202	971	*	5.35	5.85	4.28	1.57	1.92e-07	2.43e-05	861
chr7	51174746	51175247	501	*	3.87	1.75	4.84	-3.09	1.98e-07	2.49e-05	867
chr19	11268707	11269208	501	*	5.84	6.31	4.88	1.43	2e-07	2.52e-05	868
chr15	89875127	89875628	501	*	5.22	4.12	5.96	-1.84	2.06e-07	2.58e-05	872
chr3	54843448	54843949	501	*	4.2	4.91	1.99	2.92	2.06e-07	2.58e-05	873
chr22	27583712	27584213	501	*	5.38	5.89	4.3	1.59	2.1e-07	2.62e-05	876
chr13	42114181	42114682	501	*	4.27	4.9	2.57	2.34	2.11e-07	2.62e-05	877
chr22	37307215	37307716	501	*	6.45	6.88	5.66	1.22	2.12e-07	2.63e-05	878
chr17	78263113	78263614	501	*	6.29	6.79	5.23	1.55	2.16e-07	2.67e-05	885
chr22	19617554	19618055	501	*	4.3	4.9	2.82	2.08	2.18e-07	2.68e-05	888
chr1	164598513	164599014	501	*	5.2	4.36	5.84	-1.48	2.19e-07	2.69e-05	889
chr13	23866395	23866896	501	*	4.62	3.07	5.49	-2.41	2.22e-07	2.72e-05	890
chr1	225908413	225908914	501	*	4.5	5.09	3.05	2.04	2.23e-07	2.73e-05	891
chr14	92891673	92892174	501	*	5.29	5.81	4.17	1.64	2.24e-07	2.74e-05	892
chr9	133979418	133979919	501	*	6.29	6.78	5.27	1.51	2.29e-07	2.8e-05	896
chr1	19921438	19922728	1290	*	5.6	6.17	4.26	1.91	2.37e-07	2.87e-05	903
chr7	7407975	7408476	501	*	4.35	2.71	5.23	-2.52	2.54e-07	3.04e-05	914
chr12	120978478	120978979	501	*	5.54	4.27	6.33	-2.06	2.57e-07	3.06e-05	916
chr1	224087010	224087511	501	*	3.98	4.69	1.72	2.96	2.66e-07	3.16e-05	918
chr12	63064502	63065003	501	*	4.48	5.07	3.08	1.99	2.67e-07	3.17e-05	919
chr8	57540177	57540678	501	*	4.23	2.35	5.16	-2.81	2.67e-07	3.17e-05	920
chr7	19959535	19960036	501	*	3.67	4.42	0.93	3.49	2.79e-07	3.28e-05	928
chr3	13121922	13122423	501	*	4.76	5.36	3.25	2.1	2.84e-07	3.34e-05	929
chr12	93553358	93553859	501	*	6.23	5.39	6.87	-1.47	2.94e-07	3.43e-05	936
chr10	128047437	128047938	501	*	6.05	6.51	5.12	1.39	2.94e-07	3.43e-05	937
chr7	26511749	26512250	501	*	4.37	5.01	2.6	2.41	3.06e-07	3.55e-05	943
chr7	26512685	26513186	501	*	4.39	5.07	2.45	2.62	3.17e-07	3.66e-05	947
chr6	1622024	1622525	501	*	4.22	4.87	2.39	2.48	3.19e-07	3.68e-05	948
chr14	37440542	37441043	501	*	4.53	3.41	5.27	-1.86	3.25e-07	3.73e-05	951
chr15	86395395	86395896	501	*	3.84	1.48	4.85	-3.36	3.26e-07	3.74e-05	952
chr7	26525255	26525756	501	*	5.73	6.2	4.78	1.42	3.27e-07	3.74e-05	955
chr21	38489781	38490282	501	*	5.32	5.87	4.09	1.77	3.28e-07	3.74e-05	956
chr7	64517286	64517787	501	*	4.09	2.33	5	-2.67	3.3e-07	3.76e-05	960
chr7	83644793	83645294	501	*	4.34	3.11	5.12	-2.01	3.34e-07	3.78e-05	963
chr2	118049955	118050456	501	*	4.53	5.15	2.93	2.22	3.35e-07	3.8e-05	964
chr4	3111057	3111558	501	*	4.22	4.84	2.6	2.24	3.36e-07	3.8e-05	965
chr3	113614011	113614512	501	*	4.62	5.18	3.31	1.87	3.37e-07	3.81e-05	967
chr14	51267970	51268471	501	*	4.3	2.64	5.18	-2.54	3.4e-07	3.84e-05	968
chr12	56749623	56750124	501	*	4.92	3.88	5.64	-1.76	3.49e-07	3.92e-05	974
chrX	23773130	23773631	501	*	4.88	5.42	3.69	1.73	3.62e-07	4.03e-05	981
chr8	52127679	52128180	501	*	4.54	3.28	5.32	-2.05	3.7e-07	4.11e-05	984
chr2	205685579	205686080	501	*	6.12	6.55	5.29	1.26	3.73e-07	4.13e-05	985
chr5	55342745	55343246	501	*	3.75	1.65	4.72	-3.07	3.74e-07	4.13e-05	988
chr7	51172152	51172653	501	*	4.86	3.71	5.62	-1.91	3.74e-07	4.13e-05	989
