target_id	gene_name	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	chr	start	end	strand
ENSG00000142856.16	ITGB3BP	12	40.1462190829119	1.24097641526184e-147	9.50736851260399e-145	chr1	63440770	63593721	-
ENSG00000165119.21	HNRNPK	11	71.154051919881	3.04567205237813e-147	2.24360603150763e-144	chr9	83968083	83980616	-
ENSG00000157106.16	SMG1	16	88.1550485353705	4.46617018485656e-146	3.1681687981688e-143	chr16	18804853	18926454	-
ENSG00000108654.15	DDX5	27	114.246051248597	7.40276333441565e-144	5.0637545051451e-141	chr17	64498254	64508199	-
ENSG00000111642.15	CHD4	30	98.6952777315813	1.97880521667724e-143	1.30689849362135e-140	chr12	6570082	6614524	-
ENSG00000080503.24	SMARCA2	46	154.107904900051	5.85838559333409e-140	3.74018864230426e-137	chr9	1980290	2193624	+
ENSG00000177565.17	TBL1XR1	25	99.2891556187322	9.57800934637767e-140	5.91766493584424e-137	chr3	177019340	177228000	-
ENSG00000138760.10	SCARB2	19	89.785061597299	1.15467291899277e-137	6.91107825545891e-135	chr4	76158737	76234536	-
ENSG00000076043.10	REXO2	13	50.4678296964897	1.2627434106504e-136	7.32888622551126e-134	chr11	114439386	114450279	+
ENSG00000263001.6	GTF2I	22	111.433938575903	3.7453338487177e-136	2.10983468248501e-133	chr7	74650231	74760692	+
ENSG00000115677.17	HDLBP	38	146.991245687086	8.90509297273025e-136	4.87312130590579e-133	chr2	241227264	241317061	-
ENSG00000111596.13	CNOT2	29	95.8740574168727	2.08279269118193e-134	1.10810356706132e-131	chr12	70242994	70355257	+
ENSG00000163660.11	CCNL1	25	97.2696299123931	1.44980833365857e-133	7.50491324717909e-131	chr3	157146508	157160760	-
ENSG00000104529.17	EEF1D	32	107.125647261772	5.54577195497289e-133	2.79521500667357e-130	chr8	143579697	143599541	-
ENSG00000131503.21	ANKHD1	19	85.5070175254377	4.01760334353827e-132	1.97305530355868e-129	chr5	140401814	140539856	+
ENSG00000003756.17	RBM5	24	90.7403928857112	1.24769785813186e-130	5.97428926919988e-128	chr3	50088919	50119021	+
ENSG00000184110.14	EIF3C	13	59.5900786140452	1.42024060869244e-130	6.63460204348449e-128	chr16	28688558	28735730	+
ENSG00000198242.14	RPL23A	9	47.3644573852892	5.35161536573998e-130	2.4404640261909e-127	chr17	28719985	28724359	+
ENSG00000085224.22	ATRX	22	91.5425625755638	1.2595273249775e-129	5.6101690361149e-127	chrX	77504878	77786233	-
ENSG00000169246.16	NPIPB3	6	35.2379640960692	4.92605547578213e-129	2.14428955744671e-126	chr16	21402237	21448567	-
ENSG00000063046.17	EIF4B	13	68.6418117466597	1.36248881791795e-128	5.79905518435167e-126	chr12	53006158	53042209	+
ENSG00000153187.20	HNRNPU	27	124.38761518461	1.52006494670857e-127	6.32908780963245e-125	chr1	244840638	244864560	-
ENSG00000132294.15	EFR3A	7	35.5871214127636	9.02951949316759e-126	3.6796252521838e-123	chr8	131904093	132013642	+
ENSG00000138101.18	DTNB	22	62.1873328087475	1.38627942904043e-124	5.53154373008571e-122	chr2	25377198	25673647	-
ENSG00000100888.14	CHD8	20	80.6823148796373	1.82431573997337e-123	7.13084068728774e-121	chr14	21385194	21456126	-
ENSG00000108848.16	LUC7L3	19	71.2972672226776	1.44663951761321e-122	5.54149733616918e-120	chr17	50719565	50756219	+
ENSG00000173575.22	CHD2	22	110.254547406832	3.93737148065974e-122	1.47867599939365e-119	chr15	92900189	93027996	+
ENSG00000169554.21	ZEB2	32	104.441702812542	4.29180904400738e-121	1.58078881961295e-118	chr2	144364364	144521057	-
ENSG00000196873.15	CBWD3	14	53.415504249749	4.692271110284e-121	1.69568053915603e-118	chr9	68232003	68300015	+
ENSG00000174373.16	RALGAPA1	17	80.4897972334239	1.40055965367857e-120	4.96757760127884e-118	chr14	35538352	35809304	-
ENSG00000116754.13	SRSF11	15	79.4469896539654	7.44777017534761e-120	2.59358440306241e-117	chr1	70205682	70253052	+
ENSG00000187109.14	NAP1L1	23	110.626789066875	9.66588681180176e-120	3.30590589475784e-117	chr12	76036585	76084958	-
ENSG00000152767.17	FARP1	29	97.9929996844619	1.44802174390349e-119	4.86560709841818e-117	chr13	98142562	98455176	+
ENSG00000105221.18	AKT2	29	100.289001768293	7.71340529672404e-119	2.54715261462337e-116	chr19	40230317	40285536	-
ENSG00000221978.12	CCNL2	18	63.016511175095	1.92766346064056e-118	6.25771834943197e-116	chr1	1385711	1399335	-
ENSG00000269713.7	NBPF9	4	28.5604286226158	9.97665068282421e-118	3.18471317546887e-115	chr1	149054027	149103561	-
ENSG00000107863.18	ARHGAP21	15	59.528865654382	4.4189232473362e-117	1.38746945829886e-114	chr10	24583609	24723887	-
ENSG00000197321.14	SVIL	13	56.302124978151	4.90861763538685e-117	1.51636699307362e-114	chr10	29457338	29736781	-
ENSG00000044115.21	CTNNA1	26	90.1287502683476	8.83337697147177e-117	2.6854868116603e-114	chr5	138610967	138935034	+
ENSG00000197102.12	DYNC1H1	34	155.642400388627	7.17940690260794e-116	2.14854969383828e-113	chr14	101964573	102056443	+
ENSG00000115053.16	NCL	10	49.598533153751	3.43556648603168e-115	1.012329306261e-112	chr2	231453531	231483641	-
ENSG00000026508.19	CD44	26	103.7333910382	5.86531683255674e-115	1.70209717112059e-112	chr11	35138870	35232402	+
ENSG00000058272.19	PPP1R12A	23	101.343404726564	6.78593506941263e-115	1.93986588633523e-112	chr12	79773563	79935460	-
ENSG00000010244.18	ZNF207	15	63.8865944000905	1.98782930583692e-114	5.59895510216097e-112	chr17	32350117	32381886	+
ENSG00000150995.19	ITPR1	38	124.388563162123	6.35470576663469e-114	1.76393738475876e-111	chr3	4493345	4847840	+
ENSG00000092199.17	HNRNPC	24	121.104421779721	6.71983524752534e-114	1.83864292136933e-111	chr14	21209136	21269494	-
ENSG00000113742.14	CPEB4	10	39.9464909517238	1.67571966896257e-113	4.52043081966761e-111	chr5	173888349	173961980	+
ENSG00000145495.16	MARCHF6	13	57.237891051103	2.84962565963661e-113	7.58040003597499e-111	chr5	10353695	10440388	+
ENSG00000146963.18	LUC7L2	10	51.1710915757722	1.09398029292184e-112	2.8702745959359e-110	chr7	139340359	139423457	+
ENSG00000115648.14	MLPH	21	104.744938015289	7.48827960816953e-112	1.93814890993609e-109	chr2	237485428	237555322	+
ENSG00000038382.20	TRIO	23	92.4829926567845	1.04974751612397e-111	2.68077522350965e-109	chr5	14143342	14532128	+
ENSG00000136448.12	NMT1	11	35.8000707942994	2.93658396582961e-110	7.40057798651771e-108	chr17	45051610	45109016	+
ENSG00000169045.17	HNRNPH1	28	127.190867568791	5.69295931613513e-109	1.41606817898618e-106	chr5	179614178	179634784	-
ENSG00000095637.22	SORBS1	19	82.753371898352	1.22449834734066e-108	3.00677139059176e-106	chr10	95311771	95561414	-
ENSG00000007202.15	KIAA0100	12	44.8887507169602	4.08390227635162e-108	9.90113674670411e-106	chr17	28614446	28645454	-
ENSG00000153113.23	CAST	40	159.536716596465	4.90108065949809e-108	1.17337997339209e-105	chr5	96525267	96779595	+
ENSG00000147162.14	OGT	10	40.7130394225636	5.82177929261256e-108	1.37659924433837e-105	chrX	71533104	71575892	+
ENSG00000197563.11	PIGN	27	92.2722516822563	5.62242387460913e-107	1.3132473715901e-104	chr18	61905255	62187118	-
ENSG00000115084.14	SLC35F5	12	55.7779426527241	1.03114040901162e-106	2.37944966913247e-104	chr2	113705011	113756693	-
ENSG00000164199.18	ADGRV1	28	99.3022574107651	3.14791402588333e-106	7.17761873068373e-104	chr5	90529344	91164437	+
ENSG00000117139.18	KDM5B	29	113.293757517791	9.70529795607494e-106	2.18688907944357e-103	chr1	202724495	202808487	-
ENSG00000117262.19	GPR89A	12	44.3315308948623	6.94219810546013e-105	1.546092096673e-102	chr1	145607988	145670650	+
ENSG00000156113.23	KCNMA1	32	87.6559127508894	1.09292352655899e-104	2.40606486254992e-102	chr10	76869601	77638369	-
ENSG00000135390.20	ATP5MC2	6	25.366524284061	2.26897719712551e-104	4.9383773018801e-102	chr12	53632726	53677408	-
ENSG00000164733.21	CTSB	21	84.6430214492171	1.59855180529305e-103	3.44011940750311e-101	chr8	11842524	11869448	-
ENSG00000168781.22	PPIP5K1	19	66.1660135387781	2.17484215227723e-103	4.62830574917398e-101	chr15	43533462	43590253	-
ENSG00000156931.15	VPS8	25	77.0839409408728	8.6013312514437e-103	1.81034392811979e-100	chr3	184812143	185052614	+
ENSG00000135404.11	CD63	14	56.8069823047932	2.15693740680779e-102	4.49041545136843e-100	chr12	55725323	55729707	-
ENSG00000197256.10	KANK2	11	46.0809677748819	8.86135059450506e-102	1.82496180576941e-99	chr19	11164267	11197791	-
ENSG00000049759.18	NEDD4L	34	167.087630306097	1.49909856335995e-101	3.05449306213118e-99	chr18	58044226	58401540	+
ENSG00000049618.23	ARID1B	31	138.051145907603	2.49249541198437e-101	5.02513311849859e-99	chr6	156776020	157210779	+
ENSG00000123066.8	MED13L	29	132.283650996942	7.83131235956205e-100	1.56242839190304e-97	chr12	115953872	116277719	-
ENSG00000151883.18	PARP8	17	69.7893076810118	1.82257045862637e-99	3.59873113340936e-97	chr5	50665899	50846519	+
ENSG00000134250.20	NOTCH2	9	44.0905648547266	3.85365017639509e-99	7.53152671719339e-97	chr1	119911553	120100779	-
ENSG00000197694.17	SPTAN1	25	84.6130616846692	4.13356880166321e-99	7.99699426851066e-97	chr9	128552558	128633662	+
ENSG00000100129.18	EIF3L	13	59.5103609694346	5.11431258477164e-99	9.79544289361312e-97	chr22	37848868	37889407	+
ENSG00000117620.15	SLC35A3	18	75.4963056684949	5.18383919264016e-99	9.83030416402347e-97	chr1	99969351	100035634	+
ENSG00000162086.15	ZNF75A	8	36.2545619876267	6.53650619836793e-99	1.22738924722883e-96	chr16	3305406	3318852	+
ENSG00000140400.17	MAN2C1	32	85.1473428572453	1.86106686794694e-98	3.46068094386288e-96	chr15	75355207	75368612	-
ENSG00000215301.10	DDX3X	30	106.50982252827	4.2318081497597e-98	7.79344437426419e-96	chrX	41333284	41364472	+
ENSG00000169180.11	XPO6	18	59.2717311640599	5.66361617149252e-98	1.03309752888187e-95	chr16	28097979	28211920	-
ENSG00000167522.16	ANKRD11	29	94.4458901221143	1.53863240450653e-97	2.78013457014278e-95	chr16	89267630	89490561	-
ENSG00000184640.18	SEPTIN9	35	106.369211668296	1.76978542073743e-97	3.16791590312001e-95	chr17	77280569	77500596	+
ENSG00000145703.16	IQGAP2	16	59.128549470231	2.322797790399e-97	4.11930982217703e-95	chr5	76403285	76708132	+
ENSG00000151150.22	ANK3	27	111.149597409493	3.5245243403138e-97	6.19313896238809e-95	chr10	60026298	60733490	-
ENSG00000127603.28	MACF1	27	135.406739073022	9.3751602328999e-97	1.63238585400665e-94	chr1	39081316	39487177	+
ENSG00000104763.19	ASAH1	38	122.162912225168	1.05057536186417e-96	1.81276305457518e-94	chr8	18055992	18084998	-
ENSG00000075292.19	ZNF638	24	104.658907307545	5.45033723859278e-96	9.3205633152471e-94	chr2	71276561	71435069	+
ENSG00000035681.9	NSMAF	17	54.404154775178	9.35640413703961e-96	1.58586910120991e-93	chr8	58583508	58659853	-
ENSG00000054267.22	ARID4B	13	61.9343813065723	9.82474283394226e-96	1.63628956085649e-93	chr1	235131634	235328219	-
ENSG00000119487.17	MAPKAP1	19	58.749021174396	9.75109153953665e-96	1.63628956085649e-93	chr9	125437393	125707234	-
ENSG00000135164.18	DMTF1	25	89.8684411622121	1.99801677545509e-95	3.29896683623201e-93	chr7	87152361	87196337	+
ENSG00000067225.18	PKM	21	71.5437333136451	2.17625511490823e-95	3.53235713693536e-93	chr15	72199029	72231822	-
ENSG00000182985.17	CADM1	18	64.6256181127008	2.16757597755881e-95	3.53235713693536e-93	chr11	115169218	115504957	-
ENSG00000117335.19	CD46	16	81.9369064244621	3.09941135155787e-95	4.98848954759563e-93	chr1	207752057	207795513	+
ENSG00000168003.16	SLC3A2	17	56.0148180358325	4.24659255436589e-95	6.77791559948083e-93	chr11	62856102	62888875	+
ENSG00000065809.13	FAM107B	22	63.7292128405906	6.91117288600961e-95	1.09396441558465e-92	chr10	14518557	14774897	-
ENSG00000137497.17	NUMA1	30	117.12312524449	7.73011424787626e-95	1.21356457532438e-92	chr11	72002864	72080693	-
ENSG00000087460.25	GNAS	21	89.9702286312021	2.05162543917443e-94	3.19469772654536e-92	chr20	58839718	58911192	+
ENSG00000257103.8	LSM14A	8	26.5229168772196	2.33683804174548e-94	3.60947250109284e-92	chr19	34172504	34229515	+
ENSG00000204628.12	RACK1	28	116.34083595138	6.92385464729525e-94	1.06090070447717e-91	chr5	181236897	181248096	-
ENSG00000140262.17	TCF12	25	92.2520202820109	8.52080152420983e-94	1.29522945708882e-91	chr15	56918623	57299281	+
ENSG00000181090.21	EHMT1	37	113.623279830941	7.04005753114759e-92	1.06171828263047e-89	chr9	137618992	137870016	+
ENSG00000166377.20	ATP9B	21	72.2049762858073	2.39720244389707e-91	3.58700143812192e-89	chr18	79069285	79378287	+
ENSG00000156194.18	PPEF2	2	8.83167175447856	5.9448413465883e-91	8.826476458233e-89	chr4	75859864	75902571	-
ENSG00000135486.17	HNRNPA1	13	80.0606937055795	1.38789872059966e-90	2.04480186120348e-88	chr12	54280193	54287088	+
ENSG00000110911.16	SLC11A2	24	80.4554747888165	3.04881055817103e-90	4.45754722295037e-88	chr12	50979401	51028566	-
ENSG00000285437.1	POLR2J3	9	40.6013172996378	5.15052163090287e-90	7.47332884823354e-88	chr7	102562133	102572583	-
ENSG00000165699.15	TSC1	26	85.225465234384	4.59309919865113e-89	6.61440819186204e-87	chr9	132891348	132946874	-
ENSG00000101901.12	ALG13	25	73.5354582018759	7.17215178469257e-89	1.02513599352401e-86	chrX	111665811	111760649	+
ENSG00000061987.16	MON2	14	71.0239043292607	2.00465152474908e-88	2.84408078914956e-86	chr12	62466817	62600476	+
ENSG00000171681.12	ATF7IP	17	68.8995027650713	2.68581904681435e-88	3.782462662032e-86	chr12	14365632	14502935	+
ENSG00000134759.14	ELP2	22	91.2020217175358	3.13469003095556e-88	4.38238818707239e-86	chr18	36129444	36180557	+
ENSG00000028203.18	VEZT	24	83.265138795401	4.33769821088705e-88	6.020285060371e-86	chr12	95217746	95302799	+
ENSG00000015568.13	RGPD5	11	55.7145828582225	4.57705347333683e-88	6.3067845449511e-86	chr2	109792758	109857705	+
ENSG00000183426.17	NPIPA1	5	31.0189761184685	7.20239395712353e-88	9.85338939005621e-86	chr16	14922802	14952060	+
ENSG00000237296.9	SMG1P1	7	42.272323071984	7.5005057427712e-88	1.01884529426452e-85	chr16	22437008	22492220	+
ENSG00000137501.17	SYTL2	19	71.566689536096	2.06898001712662e-87	2.79064607521311e-85	chr11	85694224	85811159	-
ENSG00000211456.13	SACM1L	11	38.7537076414403	3.040416611195e-87	4.07224471008516e-85	chr3	45689056	45745409	+
ENSG00000075539.15	FRYL	18	78.3652711264827	7.21616891325624e-87	9.59800577747199e-85	chr4	48497357	48780322	-
ENSG00000127616.18	SMARCA4	32	105.319614873017	9.74832546865612e-87	1.28765294966325e-84	chr19	10960825	11079426	+
ENSG00000173064.13	HECTD4	14	59.4801968669175	1.30868552914989e-86	1.71679821505534e-84	chr12	112160188	112382439	-
ENSG00000131018.24	SYNE1	25	94.1090856070714	5.94054418188626e-86	7.74008453848079e-84	chr6	152121684	152637801	-
ENSG00000005339.15	CREBBP	15	51.5991023985372	6.87147942374396e-86	8.89253009479514e-84	chr16	3725054	3880713	-
ENSG00000077380.15	DYNC1I2	16	59.0980938226775	6.93779369877783e-86	8.91809145722763e-84	chr2	171687409	171748420	+
ENSG00000151914.20	DST	34	140.772072087673	7.52939295641333e-86	9.61403088627896e-84	chr6	56457987	56954649	-
ENSG00000050426.16	LETMD1	18	52.2994693116946	8.5728232433794e-86	1.08738598397646e-83	chr12	51047962	51060424	+
ENSG00000082438.17	COBLL1	19	82.3266187566624	1.14077177553627e-85	1.43744748795041e-83	chr2	164653624	164843679	-
ENSG00000141556.21	TBCD	20	61.9428678023574	3.47606443947817e-85	4.35144197446571e-83	chr17	82752065	82945914	+
ENSG00000120733.14	KDM3B	9	34.7611498742	8.53042528197937e-85	1.06093010016721e-82	chr5	138352685	138437028	+
ENSG00000164808.17	SPIDR	24	81.3455314118048	9.4969648508059e-85	1.17351850185474e-82	chr8	47260878	47736306	+
ENSG00000138434.17	ITPRID2	12	52.4884917579226	1.55041063590969e-84	1.90352659676784e-82	chr2	181891730	181930738	+
ENSG00000158987.21	RAPGEF6	11	42.6039548827942	1.59521977651241e-84	1.94606652098994e-82	chr5	131423921	131635236	-
ENSG00000129116.19	PALLD	15	59.2914927154615	1.7476319694258e-84	2.11850601964635e-82	chr4	168497052	168928457	+
ENSG00000126883.17	NUP214	21	66.5535112888525	1.80294500508694e-84	2.17181167814026e-82	chr9	131125586	131234663	+
ENSG00000162521.19	RBBP4	15	61.6512891287855	1.95867596779958e-84	2.34465755070409e-82	chr1	32651142	32686211	+
ENSG00000027075.15	PRKCH	20	62.5482952623395	2.04556075077114e-84	2.43345497264098e-82	chr14	61187559	61550976	+
ENSG00000028310.18	BRD9	18	53.5772949787439	4.57152554632783e-84	5.40484128326031e-82	chr5	850291	892801	-
ENSG00000175203.15	DCTN2	16	48.3342426812205	5.08131373242596e-84	5.9706995041199e-82	chr12	57530102	57547331	-
ENSG00000141376.22	BCAS3	25	78.7643176546293	7.82847832601326e-84	9.14261252305683e-82	chr17	60677453	61392838	+
ENSG00000282458.1	WASH5P	6	28.5593515936798	9.43470715849454e-84	1.09516937094937e-81	chr19	60951	71626	-
ENSG00000122566.21	HNRNPA2B1	9	53.4438962900454	1.43918690569606e-83	1.6605269159516e-81	chr7	26173057	26201529	-
ENSG00000120885.22	CLU	14	56.9070307020984	1.77893797648045e-83	2.04023946488204e-81	chr8	27596917	27614700	-
ENSG00000129422.14	MTUS1	26	99.1336116255976	2.60998209134244e-83	2.97553494020725e-81	chr8	17643795	17800917	-
ENSG00000117616.18	RSRP1	17	72.8718117886803	2.63456872963559e-83	2.9857925963734e-81	chr1	25242249	25338213	-
ENSG00000196712.18	NF1	19	72.8319008728043	2.88278450462553e-83	3.2478806833584e-81	chr17	31094927	31382116	+
ENSG00000175115.12	PACS1	14	47.2989002563647	3.51918643568359e-83	3.94169460834197e-81	chr11	66070272	66244744	+
ENSG00000170142.12	UBE2E1	9	25.2808019032637	3.7486718296423e-83	4.17432043913599e-81	chr3	23805955	23891640	+
ENSG00000143190.23	POU2F1	15	51.5547028799665	1.437596135339e-82	1.59157680810103e-80	chr1	167220876	167427345	+
ENSG00000115524.16	SF3B1	13	59.8500672969246	1.95666557643146e-82	2.1537940106547e-80	chr2	197388515	197435091	-
ENSG00000103197.18	TSC2	36	94.1039460548468	2.45011243884636e-82	2.68154305949853e-80	chr16	2047967	2089491	+
ENSG00000174444.15	RPL4	15	81.8480516699439	2.9176540567773e-82	3.17510387212817e-80	chr15	66498015	66524532	-
ENSG00000169762.17	TAPT1	16	43.3702505688151	5.81210304410129e-82	6.28922088156339e-80	chr4	16160505	16227410	-
ENSG00000131238.17	PPT1	14	56.1655109589454	6.29215223333467e-82	6.7704265014078e-80	chr1	40071461	40097727	-
ENSG00000113448.19	PDE4D	26	114.45350202039	1.08312929384996e-81	1.15894834441946e-79	chr5	58969038	60522120	-
ENSG00000100650.16	SRSF5	16	84.8993343351199	1.22186828003527e-81	1.30013573152864e-79	chr14	69726900	69772005	+
ENSG00000157800.18	SLC37A3	20	51.0888759846786	1.28444565066141e-81	1.3591705827137e-79	chr7	140293693	140404433	-
ENSG00000111799.21	COL12A1	11	48.3668667349824	2.99216115468448e-81	3.14883860415779e-79	chr6	75084326	75206053	-
ENSG00000140416.22	TPM1	26	126.753988244332	3.47652475384029e-81	3.63857260165591e-79	chr15	63042632	63071915	+
ENSG00000144366.16	GULP1	15	66.2817752562971	4.7518220450209e-81	4.94628519718942e-79	chr2	188291669	188595931	+
ENSG00000106443.16	PHF14	12	52.0560325767278	6.87763618207951e-81	7.12039815110101e-79	chr7	10973336	11169630	+
ENSG00000204842.18	ATXN2	21	78.994395105211	1.9337993987842e-80	1.99129354219967e-78	chr12	111443485	111599676	-
ENSG00000033867.16	SLC4A7	11	47.3519605850394	2.87546453738519e-80	2.94512151254217e-78	chr3	27372721	27484420	-
ENSG00000079134.12	THOC1	18	60.1912931817555	3.30737348876207e-80	3.36947470373723e-78	chr18	214520	268050	-
ENSG00000161526.15	SAP30BP	19	53.8023066313284	4.52324547426428e-80	4.58379473907851e-78	chr17	75667251	75708062	+
ENSG00000108107.14	RPL28	9	50.1944455384024	5.01437558088059e-80	5.0547545000319e-78	chr19	55385345	55403250	+
ENSG00000167986.14	DDB1	21	68.7860649882854	6.33452033830555e-80	6.35209780311865e-78	chr11	61299451	61342596	-
ENSG00000159140.21	SON	14	75.4117619634994	1.21970235681701e-79	1.21671662708938e-77	chr21	33543038	33577481	+
ENSG00000113282.13	CLINT1	9	40.6971191019287	1.4319591463336e-79	1.42105251449365e-77	chr5	157785743	157859175	-
ENSG00000092621.12	PHGDH	22	60.0616200332121	2.72640545818465e-79	2.69169297632013e-77	chr1	119648411	119744226	+
ENSG00000123200.16	ZC3H13	5	27.6245304865113	2.9870434052516e-79	2.93388935080943e-77	chr13	45954465	46052759	-
ENSG00000175866.15	BAIAP2	27	101.913057996994	3.06876835640879e-79	2.99878164950498e-77	chr17	81035122	81117432	+
ENSG00000182670.13	TTC3	23	121.093537225517	3.58874856666431e-79	3.48910158869652e-77	chr21	37073226	37203112	+
ENSG00000131778.19	CHD1L	16	46.9539512191118	3.79707318655158e-79	3.67299710818295e-77	chr1	147242654	147295765	+
ENSG00000130935.10	NOL11	10	32.836551587396	3.88072310494211e-79	3.7350497300983e-77	chr17	67717931	67744531	+
ENSG00000123505.18	AMD1	7	49.091116224326	5.23280712685864e-79	5.01119774503617e-77	chr6	110874770	110898879	+
ENSG00000047849.21	MAP4	13	55.4432322134594	5.87449322041316e-79	5.59771983336185e-77	chr3	47850690	48089272	-
ENSG00000115464.15	USP34	17	59.702868852385	7.02187351975187e-79	6.65791799622809e-77	chr2	61187463	61471087	-
ENSG00000163608.15	NEPRO	17	51.3590228369479	9.97561195909332e-79	9.41196531293174e-77	chr3	113002444	113019861	-
ENSG00000116560.11	SFPQ	8	45.8047162725257	1.02145236689624e-78	9.59013587409987e-77	chr1	35176378	35193145	-
ENSG00000184470.21	TXNRD2	18	54.2375062178889	1.17158661822438e-78	1.09460480482202e-76	chr22	19875517	19941820	-
ENSG00000077232.18	DNAJC10	12	63.1173410807758	1.57344374797878e-78	1.46292078179794e-76	chr2	182716041	182794464	+
ENSG00000161960.15	EIF4A1	19	85.4826141796711	2.25981784240025e-78	2.09093193891266e-76	chr17	7572706	7579006	+
ENSG00000114127.10	XRN1	14	58.3457480434651	2.2759853766388e-78	2.09576672686361e-76	chr3	142306607	142448062	-
ENSG00000013375.16	PGM3	20	72.7656678922175	2.83948276411729e-78	2.60213461153772e-76	chr6	83161150	83193936	-
ENSG00000120948.17	TARDBP	16	56.7270741469118	3.32494644689834e-78	3.03250949035447e-76	chr1	11012344	11026420	+
ENSG00000077782.20	FGFR1	26	71.4135413451868	3.77534159961495e-78	3.42697240082583e-76	chr8	38400215	38468834	-
ENSG00000115694.15	STK25	26	74.3786702805931	8.71056502587597e-78	7.86950245002842e-76	chr2	241492670	241509730	-
ENSG00000149273.15	RPS3	19	96.8679515255108	1.00181625852906e-77	9.00835061014416e-76	chr11	75399515	75422280	+
ENSG00000196482.18	ESRRG	17	52.5885916208317	1.27163585374534e-77	1.13811408910208e-75	chr1	216503246	217137755	-
ENSG00000134871.19	COL4A2	13	40.9059698953404	1.65813523177029e-77	1.47712856251611e-75	chr13	110305812	110513209	+
ENSG00000163138.19	PACRGL	18	45.5152906965401	1.67275244033878e-77	1.48325127267632e-75	chr4	20696282	20752907	+
ENSG00000115839.17	RAB3GAP1	6	31.2077398708326	2.08302961207973e-77	1.83010395230106e-75	chr2	135052265	135176394	+
ENSG00000181163.13	NPM1	11	59.1987632100571	2.07392485175123e-77	1.83010395230106e-75	chr5	171387116	171411137	+
ENSG00000159023.21	EPB41	27	103.397130113489	2.31689549356809e-77	2.02627851088172e-75	chr1	28887091	29120046	+
ENSG00000067606.17	PRKCZ	22	50.9686256098138	2.60373864773041e-77	2.26679119636275e-75	chr1	2050411	2185395	+
ENSG00000099917.17	MED15	22	57.1062655362992	2.89681448976507e-77	2.51052886527016e-75	chr22	20495913	20587632	+
ENSG00000137776.17	SLTM	22	87.571415090814	3.20870948580594e-77	2.76830688205591e-75	chr15	58879050	58933679	-
ENSG00000198589.13	LRBA	17	70.0897040464316	4.3546014306728e-77	3.74007539020969e-75	chr4	150264435	151015727	-
